regulatoryGene,targetGene,cor,p.adj
FBgn0266197,FBgn0266198,0.830090425229482,0.0107533244715721
FBgn0030499,FBgn0265897,0.86349483527423,0.00572572581162011
FBgn0038714,FBgn0041248,0.838053547626425,0.00937036097901914
FBgn0267987,FBgn0263409,0.80818481277865,0.0152028036457096
FBgn0053867,FBgn0040784,0.837109131221628,0.00952809689358057
FBgn0039002,FBgn0037498,0.864080334558619,0.00565497126821243
FBgn0053496,FBgn0267274,0.961471173378654,0.000138887254865026
FBgn0266549,FBgn0050238,0.802009169571979,0.0166361221457911
FBgn0000014,FBgn0278600,0.837042895016467,0.00953922243179883
FBgn0264980,FBgn0051933,0.820198933331904,0.0126425676399294
FBgn0034232,FBgn0003076,0.819576808928792,0.0127678973267327
FBgn0000499,FBgn0029552,0.925647925468127,0.000971138209584468
FBgn0039777,FBgn0266231,0.916216819099067,0.00137947289949932
FBgn0035000,FBgn0051228,0.85401002824924,0.00695189202611245
FBgn0034483,FBgn0266816,0.946364771059048,0.000370385885338617
FBgn0266260,FBgn0263761,0.826283677538016,0.0114575627855399
FBgn0031283,FBgn0034423,0.825480593234134,0.0116097559112758
FBgn0266455,FBgn0029946,0.83540358075269,0.0098172074374638
FBgn0030525,FBgn0032520,0.876994809243148,0.0042340812299693
FBgn0263333,FBgn0265625,0.900038989483414,0.00231361187405078
FBgn0266396,FBgn0266780,0.811523711084562,0.0144613714215947
FBgn0261555,FBgn0265051,0.892381145586834,0.00286995865772571
FBgn0038658,FBgn0028847,0.962173579250726,0.0001314990681851
FBgn0010774,FBgn0029809,-0.86281166577326,0.00580899733558006
FBgn0262516,FBgn0267274,0.800948099770644,0.0168905815790739
FBgn0038448,FBgn0038209,0.893924534577828,0.00275155098071258
FBgn0038642,FBgn0265897,0.881931789469959,0.00375894916055781
FBgn0035610,FBgn0043530,0.808152376694846,0.0152101208797617
FBgn0266762,FBgn0265658,0.9313102316628,0.000769076441867101
FBgn0029518,FBgn0265658,0.816920261911882,0.0133118809526278
FBgn0264702,FBgn0262610,0.932747055566736,0.000722614460420422
FBgn0003744,FBgn0263409,0.884354696583384,0.00353894840866962
FBgn0050075,FBgn0263409,0.918379992424857,0.0012774916543319
FBgn0030280,FBgn0263409,0.849864842805937,0.00753628887801433
FBgn0000056,FBgn0040784,0.923736066304887,0.0010464532363783
FBgn0028387,FBgn0265980,0.906033070193405,0.00193083197965034
FBgn0051872,FBgn0043825,0.930079830732407,0.000810382505434275
FBgn0053468,FBgn0262008,0.801146030182457,0.0168429313881121
