regulatoryGene,targetGene,cor,p.adj
FBgn0267090,FBgn0033591,0.989160971737757,3.15772165031231e-06
FBgn0267222,FBgn0039783,0.906714813519028,0.00189010957851644
FBgn0283508,FBgn0267266,0.939625489907377,0.000525563424284613
FBgn0032763,FBgn0083016,0.902506394895578,0.00215059852666599
FBgn0266970,FBgn0028415,0.982089840747019,1.41705361977039e-05
FBgn0267677,FBgn0011938,0.914609711785777,0.0014585747115069
FBgn0034473,FBgn0267147,0.923924179433451,0.00103887931982895
FBgn0041252,FBgn0086659,0.917504985300918,0.00131812888656026
FBgn0259230,FBgn0031273,0.904257236184058,0.00203957190373601
FBgn0265372,FBgn0010295,0.976968350750635,3.00180756310392e-05
FBgn0262353,FBgn0030911,0.924233574286133,0.0010265003114934
FBgn0039461,FBgn0053897,0.938699108664374,0.000549738746660518
FBgn0053927,FBgn0263871,0.963554676225008,0.000117738401831236
FBgn0035328,FBgn0031135,-0.912132744908434,0.00158617996422126
FBgn0013683,FBgn0032645,0.91478486510034,0.00144981387298658
FBgn0025681,FBgn0266897,0.90005187593383,0.00231274037315525
FBgn0045478,FBgn0083016,0.904948858682877,0.00199676144679183
FBgn0051956,FBgn0266232,0.972924954555312,4.86168319601272e-05
FBgn0004414,FBgn0250907,0.943208411950252,0.000438639495072375
FBgn0263472,FBgn0038190,0.956230835862939,0.000202804694828398
FBgn0035064,FBgn0266074,0.90624225134864,0.00191827702220479
FBgn0065080,FBgn0063381,0.919067219117921,0.00124615467441166
FBgn0025391,FBgn0053247,0.90216155434734,0.00217291782386171
FBgn0026787,FBgn0260632,-0.900510052685842,0.00228189239511294
FBgn0265639,FBgn0264870,-0.920763775002352,0.00117095011017743
FBgn0261705,FBgn0267731,-0.924706997947705,0.00100774559377115
FBgn0038159,FBgn0053827,0.918723503826192,0.00126176437739863
FBgn0262002,FBgn0265423,0.900170680261739,0.00230471575163006
FBgn0029719,FBgn0063377,0.942597582948531,0.000452734117138645
FBgn0051961,FBgn0264485,0.901682013874047,0.00220420437189803
FBgn0053544,FBgn0266399,-0.949981222533122,0.000301233253662395
FBgn0267170,FBgn0033598,0.909711088586365,0.00171775188309434
FBgn0267703,FBgn0082993,0.947192150696877,0.000353731760263594
FBgn0038821,FBgn0264870,0.937049217670678,0.000594579660005649
FBgn0030657,FBgn0036094,0.904104415888633,0.00204911092026672
FBgn0032311,FBgn0036782,0.916541650854893,0.00136383237224862
FBgn0267065,FBgn0267154,1,2.2250738585072e-308
FBgn0011910,FBgn0265722,0.902298626591632,0.00216402811836719
FBgn0039225,FBgn0264835,0.942971769402813,0.000444065201833557
FBgn0267646,FBgn0262572,0.949612469652695,0.00030785815136593
FBgn0033261,FBgn0266844,0.925355859628667,0.000982406574089825
FBgn0030321,FBgn0039312,0.942244237729509,0.000461021510857671
FBgn0023000,FBgn0030563,0.922894296305992,0.00108078673786803
FBgn0032907,FBgn0011937,0.910148122924004,0.00169350162445723
FBgn0037655,FBgn0035258,0.906224792259032,0.00191932287432481
FBgn0260462,FBgn0035488,-0.922120657394253,0.00111298246865114
FBgn0062449,FBgn0034623,-0.932208886037375,0.000739795222826453
FBgn0030563,FBgn0010294,1,2.2250738585072e-308
FBgn0023530,FBgn0037350,0.936201336447673,0.000618527440351592
FBgn0051821,FBgn0265861,0.958298784729114,0.000175672252230574
FBgn0036831,FBgn0034427,0.942551168473872,0.000453817099776211
FBgn0030949,FBgn0267029,0.909545300600726,0.00172700990020723
FBgn0266978,FBgn0004896,-0.93773748697044,0.000575593375100294
FBgn0038118,FBgn0042103,0.900954881798422,0.00225219957182878
FBgn0039139,FBgn0030655,0.91796763604842,0.00129653903588407
FBgn0265527,FBgn0267135,1,2.2250738585072e-308
FBgn0016059,FBgn0030603,0.900202658347263,0.00230255888463664
FBgn0265806,FBgn0033469,0.938067163838807,0.00056664168413758
FBgn0037713,FBgn0266615,0.960106105061934,0.000154018735284919
FBgn0032184,FBgn0052198,0.920929857017857,0.00116375153980174
FBgn0002709,FBgn0033324,0.918221825355563,0.00128477591313937
FBgn0030892,FBgn0267272,-0.904067884939206,0.00205139545659422
FBgn0260761,FBgn0085471,0.919177135130672,0.00124118959217638
FBgn0083045,FBgn0267150,0.99757463584647,3.56025040850826e-08
FBgn0031040,FBgn0267067,0.908632355750319,0.0017785725897091
FBgn0267707,FBgn0265677,0.915261345612958,0.00142615483384553
FBgn0052813,FBgn0266853,0.938870893617258,0.000545201821289806
FBgn0053469,FBgn0267782,0.912853756403588,0.00154831579799841
FBgn0036877,FBgn0267564,0.917483368627247,0.00131914332909366
