regulatoryGene,targetGene,weight,cor,p.adj,log10padj
FBgn0265581,FBgn0034710,0.0116302252940786,0.489433150828764,0.218332612871309,-0.660881387826495
FBgn0267127,FBgn0266097,0.0114755231319849,0.654527495995192,0.0782180215692108,-1.10669317320159
FBgn0267090,FBgn0033591,0.0102849085270024,0.989160971737757,3.15772165031231e-06,-5.50062615522108
FBgn0034569,FBgn0051579,0.010081656855447,0.673545298422404,0.067072542308447,-1.17345523190887
FBgn0267538,FBgn0265909,0.00964600918122577,0.863767197274363,0.00569274214309684,-2.24467848742793
FBgn0032214,FBgn0265309,0.00946991048679849,0.335822213253995,0.416072752535119,-0.380830724031865
FBgn0030298,FBgn0053858,0.00927110740103662,0.371907056304965,0.364306501553968,-0.438533078102535
FBgn0267222,FBgn0039783,0.00926333940837356,0.906714813519028,0.00189010957851644,-2.72351301700903
FBgn0266804,FBgn0031135,0.00923733085939528,-0.806658991193386,0.0155494121573774,-1.80828602474858
FBgn0283508,FBgn0267266,0.00923405211884458,0.939625489907377,0.000525563424284613,-3.27937486640125
FBgn0032763,FBgn0083016,0.00918937772588491,0.902506394895578,0.00215059852666599,-2.66744065605935
FBgn0002535,FBgn0267977,0.00914290831450548,0.824389479898521,0.0118185726498346,-1.92743497080939
FBgn0267223,FBgn0086066,0.00912219351264497,0.625826694900363,0.0969633769567088,-1.01339226768145
FBgn0266970,FBgn0028415,0.00908030273292432,0.982089840747019,1.41705361977039e-05,-4.84861371620997
FBgn0034479,FBgn0030663,0.0090293453724605,0.343724719159573,0.404479347254814,-0.393103648593748
FBgn0261845,FBgn0267067,0.00902896317040577,0.519908695281838,0.186593491242202,-0.729103509393891
FBgn0031409,FBgn0265898,0.00894357899868425,0.830865248960856,0.0106134344980667,-1.97414405604259
FBgn0085478,FBgn0053764,0.00893198928161286,0.477062692235557,0.231958769853804,-0.63458920311024
FBgn0035028,FBgn0267321,0.0089187120957798,0.552600210367895,0.155483404524364,-0.808315958457823
FBgn0026361,FBgn0263976,0.00883060593616837,-0.485583473364829,0.222527473549245,-0.652616362776269
FBgn0267616,FBgn0041235,0.00881224593068694,0.84125434079104,0.00884813650545437,-2.05314818586891
FBgn0038331,FBgn0002933,0.00878252355704586,0.818180809113349,0.0130519729739388,-1.88432383415488
FBgn0040342,FBgn0266857,0.00870540009882297,-0.671118370016805,0.0684389243851293,-1.16469682463172
FBgn0086265,FBgn0263329,0.00866385339814883,0.779750767811509,0.0224926946706676,-1.64795851208337
FBgn0260766,FBgn0263659,0.00863246045262861,-0.71097502176287,0.0480318272380121,-1.31847089151446
