regulatoryGene,targetGene,cor,p.adj
FBgn0263463,FBgn0035887,0.917216359057945,0.00133171573205448
FBgn0035887,FBgn0036707,0.759449733162318,0.028822249775621
FBgn0028986,FBgn0267470,0.872045944055952,0.00474750398320245
FBgn0035520,FBgn0085200,0.730249568500451,0.0396790484114481
FBgn0264265,FBgn0051002,0.878928525641673,0.0040436374503793
FBgn0082967,FBgn0086658,0.719709853711646,0.044126878494792
FBgn0053775,FBgn0266679,0.760597090128229,0.028438476384627
FBgn0033238,FBgn0038356,0.802365973903437,0.0165510987225716
FBgn0034963,FBgn0047199,0.775078964712227,0.0238637782693864
FBgn0015000,FBgn0085230,0.734479265845332,0.0379742208802537
FBgn0003310,FBgn0050043,0.837690166989452,0.00943085472011769
FBgn0038788,FBgn0053333,0.72054256974193,0.0437650161460345
FBgn0038938,FBgn0063261,0.816995413263581,0.0132962951186061
FBgn0027585,FBgn0261992,0.738125364944192,0.0365410567249451
FBgn0036480,FBgn0264485,0.885260500074946,0.00345888783908751
FBgn0036958,FBgn0266682,0.893759087929396,0.00276408971546577
FBgn0011829,FBgn0267080,0.749488332267779,0.0322884451975081
FBgn0266632,FBgn0267441,-0.810128778720849,0.0147682954709143
FBgn0267707,FBgn0261846,0.758131105380915,0.0292672305956451
FBgn0029894,FBgn0036594,0.860379551029357,0.00611173306422129
FBgn0263763,FBgn0037910,0.891014963013523,0.00297747899665504
FBgn0054049,FBgn0035299,1,2.2250738585072e-308
FBgn0011890,FBgn0031130,0.968145167250728,7.88918198630077e-05
FBgn0030121,FBgn0265372,0.777088039574046,0.0232679819326852
FBgn0266862,FBgn0265733,0.90349119498762,0.00208767926499517
FBgn0262513,FBgn0011953,0.782895097346626,0.0215981025915867
FBgn0040519,FBgn0085765,0.847524588452994,0.00787961654884756
FBgn0030377,FBgn0052751,0.880766182627962,0.00386785160316025
FBgn0053510,FBgn0085472,0.77839115696591,0.022886524627019
FBgn0050460,FBgn0263765,0.720378491562183,0.0438361748134844
FBgn0265895,FBgn0030570,0.970867895035289,6.04669402515633e-05
FBgn0032877,FBgn0011910,0.936050822948973,0.00062284353849857
FBgn0033202,FBgn0036592,0.712936800264353,0.0471373795909534
FBgn0014127,FBgn0039577,0.839997255057697,0.00905096768426709
FBgn0002440,FBgn0265316,0.871917048934606,0.00476138388438454
FBgn0261561,FBgn0034658,0.741463311602436,0.0352583939215618
FBgn0029920,FBgn0267945,0.813239630621585,0.0140893655043195
FBgn0033993,FBgn0034551,0.849567088216316,0.00757943041511438
FBgn0028583,FBgn0053773,0.828044608535689,0.0111282801706876
FBgn0265846,FBgn0004915,0.775419712956459,0.0237620701518284
FBgn0038302,FBgn0053908,0.719376865394869,0.044272085645855
FBgn0050151,FBgn0085664,0.729942686159465,0.0398045160976937
FBgn0259702,FBgn0035642,0.989816954962544,2.61969208858244e-06
FBgn0267441,FBgn0035642,0.955432869694124,0.000213970187627495
FBgn0035591,FBgn0025821,0.879574126110162,0.00398130698723248
FBgn0034662,FBgn0267564,0.818580645668477,0.0129702061027741
FBgn0035741,FBgn0267513,0.717781288947022,0.0449718811173221
FBgn0031861,FBgn0053861,0.75753630008208,0.0294693272759299
FBgn0034425,FBgn0034133,0.77418564551029,0.0241317002356178
FBgn0033344,FBgn0259237,0.817118800973081,0.0132707303761237
FBgn0027556,FBgn0020546,0.86426694412398,0.00563253885089025
FBgn0032231,FBgn0003086,0.751875161062651,0.0314358427128323
FBgn0053310,FBgn0083007,0.845193125951717,0.00823140583622272
FBgn0030599,FBgn0032065,0.802361280353703,0.0165522153833825
FBgn0031465,FBgn0030979,0.852801004621209,0.00711923747933673
FBgn0036363,FBgn0036361,0.713910336392885,0.0466972668824169
FBgn0040487,FBgn0035736,0.941083105701157,0.00048895477553481
FBgn0053288,FBgn0035736,0.755884117027728,0.0300351862845859
FBgn0266047,FBgn0262534,0.886640103425656,0.00333921149439948
FBgn0034099,FBgn0263403,0.856337686811146,0.00663683425859983
FBgn0036715,FBgn0036808,0.84955041854691,0.00758185032040921
FBgn0261380,FBgn0031504,0.77647805633676,0.0234478866133273
FBgn0053648,FBgn0034842,0.828314796362522,0.0110782935467052
FBgn0264739,FBgn0037456,0.826405658323086,0.0114345571394155
FBgn0037879,FBgn0053315,-0.899251765442283,0.00236725588187427
FBgn0011566,FBgn0085200,0.932105945970395,0.000743111688944021
FBgn0029948,FBgn0051294,0.855725173818114,0.00671883599829985
FBgn0035405,FBgn0266021,0.829433138417565,0.0108729048073412
FBgn0000239,FBgn0051002,0.827027385490853,0.0113177530529706
FBgn0261697,FBgn0082990,-0.775164252161673,0.0238382960015831
FBgn0015010,FBgn0034906,0.81335316302636,0.0140649669489305
FBgn0051682,FBgn0265446,0.724001681644276,0.042281096076939
FBgn0263027,FBgn0053752,0.842528355931133,0.00864554711052401
FBgn0086027,FBgn0085398,0.808601962961027,0.0151088960729311
FBgn0034463,FBgn0265145,0.757395495213051,0.0295172938155991
FBgn0014023,FBgn0040362,0.806663968049084,0.0155482736216278
FBgn0083021,FBgn0031423,0.745349216425144,0.033800297214458
FBgn0085240,FBgn0265641,0.942815977451044,0.000447661122427721
FBgn0030120,FBgn0035941,-0.850914872917684,0.00738540154120418
FBgn0036395,FBgn0052945,0.78162303495735,0.0219572991457906
FBgn0083985,FBgn0267156,0.821090877365446,0.0124642405332816
FBgn0004406,FBgn0028410,0.758012045318285,0.0293076150558552
FBgn0085222,FBgn0265910,0.89864042485542,0.00240946604408264
FBgn0267147,FBgn0261616,0.840625567394049,0.0089492239595051
FBgn0035218,FBgn0051735,0.858363247005224,0.00637022209957649
FBgn0037944,FBgn0031164,0.895443822782803,0.00263812613063959
FBgn0035510,FBgn0031208,0.802713901167772,0.0164684534282436
FBgn0052755,FBgn0267400,-0.729220839465153,0.0401005902512161
FBgn0036380,FBgn0042092,-0.757274223814961,0.0295586445755213
FBgn0025186,FBgn0047199,0.858552865057497,0.00634562086859688
FBgn0039258,FBgn0052379,0.715826930446868,0.0458380877783932
FBgn0033164,FBgn0086029,0.757225731376963,0.0295751893534467
FBgn0266701,FBgn0262355,-0.742733116326372,0.0347777841925382
FBgn0051130,FBgn0037964,0.984755502544805,8.75589619267838e-06
FBgn0259972,FBgn0037964,0.889870523557451,0.00306952533059573
FBgn0010292,FBgn0031442,0.717645897174685,0.0450315674623562
FBgn0031574,FBgn0265681,-0.890923017051241,0.00298480728987827
FBgn0265533,FBgn0037563,0.710977838987028,0.0480305354916392
FBgn0031728,FBgn0032066,-0.777563102904132,0.023128464801357
FBgn0038046,FBgn0039577,0.819569691909318,0.0127693355965414
FBgn0029153,FBgn0050043,-0.843850329715756,0.0084384772544295
FBgn0086054,FBgn0039086,0.9103806967912,0.00168068779912568
FBgn0260996,FBgn0052463,0.931530077425736,0.000761844312040071
FBgn0264553,FBgn0265895,0.764185034257724,0.0272587507818632
FBgn0260657,FBgn0039771,0.904686276576693,0.00201294548868963
FBgn0040069,FBgn0035555,0.744777257468204,0.0340125500449137
FBgn0051077,FBgn0035555,0.852838459737252,0.00711401498554004
FBgn0262166,FBgn0032111,0.812597375615361,0.014227890217801
FBgn0002578,FBgn0052633,0.917975850507941,0.00129615780187227
FBgn0035380,FBgn0052633,0.830035112573688,0.0107633552545143
FBgn0086022,FBgn0265372,-0.897052700178798,0.00252136125988527
FBgn0033459,FBgn0042207,0.889196171623447,0.00312461376448569
FBgn0051016,FBgn0042207,-0.708629750872723,0.0491144436928908
FBgn0264550,FBgn0053680,0.98754478041872,4.78551170301155e-06
FBgn0083938,FBgn0265712,0.803426755165956,0.0162999340756371
FBgn0037224,FBgn0085287,-0.827917815937399,0.0111517868026327
FBgn0039850,FBgn0267721,0.874600035622491,0.00447781111002725
FBgn0032590,FBgn0265544,-0.837265734451346,0.00950182539849845
FBgn0036440,FBgn0051693,-0.851654634648778,0.00728026560543981
FBgn0027561,FBgn0261054,0.804992631197698,0.0159335670460117
FBgn0051010,FBgn0259185,0.815397019740521,0.0136302755851679
FBgn0037092,FBgn0002933,0.722115510021627,0.0430863984792659
