regulatoryGene,targetGene,cor,p.adj
FBgn0033600,FBgn0052986,1,2.2250738585072e-308
FBgn0038218,FBgn0265526,0.990504312965607,2.12530416019919e-06
FBgn0036161,FBgn0038941,1,2.2250738585072e-308
FBgn0040812,FBgn0265270,1,2.2250738585072e-308
FBgn0036346,FBgn0265148,1,2.2250738585072e-308
FBgn0051940,FBgn0002629,0.99994997896033,3.12882921468536e-13
FBgn0263246,FBgn0036320,1,2.2250738585072e-308
FBgn0267418,FBgn0034560,1,2.2250738585072e-308
FBgn0036320,FBgn0266910,1,2.2250738585072e-308
FBgn0052487,FBgn0040356,1,2.2250738585072e-308
FBgn0038512,FBgn0032072,1,2.2250738585072e-308
FBgn0034560,FBgn0052718,0.994286667398969,4.64243375959249e-07
FBgn0032280,FBgn0058172,1,2.2250738585072e-308
FBgn0267492,FBgn0267592,1,2.2250738585072e-308
FBgn0267756,FBgn0267610,1,2.2250738585072e-308
FBgn0030538,FBgn0265882,1,2.2250738585072e-308
FBgn0266773,FBgn0037179,1,2.2250738585072e-308
FBgn0083016,FBgn0052283,1,2.2250738585072e-308
FBgn0265424,FBgn0039475,1,2.2250738585072e-308
FBgn0265145,FBgn0267493,1,2.2250738585072e-308
FBgn0043865,FBgn0040694,1,2.2250738585072e-308
FBgn0030599,FBgn0040694,1,2.2250738585072e-308
FBgn0263760,FBgn0267490,1,2.2250738585072e-308
FBgn0266938,FBgn0035933,0.999482475668978,3.46388721510608e-10
FBgn0267492,FBgn0054029,1,2.2250738585072e-308
FBgn0267592,FBgn0054029,1,2.2250738585072e-308
FBgn0262991,FBgn0267957,1,2.2250738585072e-308
FBgn0053893,FBgn0266565,0.998604351343267,6.78912197667885e-09
FBgn0011936,FBgn0037038,0.996356661534897,1.20573285999582e-07
FBgn0030570,FBgn0084001,0.993566824469432,6.62397113148746e-07
FBgn0050472,FBgn0036160,0.995678666281156,2.0108737916883e-07
FBgn0264349,FBgn0036160,0.99610399799075,1.47410238940848e-07
FBgn0261291,FBgn0030313,1,2.2250738585072e-308
FBgn0032625,FBgn0039435,0.994764180158519,3.57426799408823e-07
FBgn0260969,FBgn0053272,0.990499055700625,2.12882770215186e-06
FBgn0035552,FBgn0013300,0.997423843747938,4.26596339739068e-08
FBgn0262807,FBgn0262837,1,2.2250738585072e-308
FBgn0035552,FBgn0264264,0.999925789633924,1.0216674528706e-12
FBgn0267090,FBgn0264264,0.998254507953133,1.32777630704654e-08
FBgn0266074,FBgn0037987,0.998694516673317,5.55685003956738e-09
FBgn0039368,FBgn0265307,0.996377866938839,1.18482076492856e-07
FBgn0037485,FBgn0265817,0.995436855773135,2.36725529384757e-07
FBgn0053245,FBgn0050268,0.999090835621486,1.87746159671375e-09
FBgn0039368,FBgn0033369,1,2.2250738585072e-308
FBgn0267090,FBgn0043865,1,2.2250738585072e-308
FBgn0036953,FBgn0039288,0.991505491748362,1.52259281932384e-06
FBgn0266392,FBgn0053834,1,2.2250738585072e-308
FBgn0028868,FBgn0032276,0.998406221893228,1.01089094721725e-08
FBgn0085231,FBgn0040356,1,2.2250738585072e-308
FBgn0040904,FBgn0262989,0.991715856026825,1.41247472595342e-06
FBgn0037485,FBgn0038345,0.992468893312191,1.06184256842713e-06
FBgn0032709,FBgn0035788,0.99081580553621,1.92338807821456e-06
FBgn0050072,FBgn0264269,0.991864900086316,1.33775052990729e-06
FBgn0033322,FBgn0034671,1,2.2250738585072e-308
FBgn0265749,FBgn0265851,0.997285868554582,4.98824952023105e-08
FBgn0030570,FBgn0031026,0.998816077712916,4.14499383536099e-09
FBgn0053986,FBgn0036810,1,2.2250738585072e-308
FBgn0085327,FBgn0266957,0.990867689670873,1.89104840067751e-06
