regulatoryGene,targetGene,weight,cor,p.adj,log10padj
FBgn0039622,FBgn0265064,0.0161189285005867,0.787245728912264,0.0203973194222081,-1.69042690299743
FBgn0085274,FBgn0011884,0.0139773705903674,0.589945671017361,0.123707383764517,-0.9076043777154
FBgn0013755,FBgn0011884,0.0129420098058957,0.582770348842779,0.12950026466266,-0.887729344004233
FBgn0034768,FBgn0029816,0.0125106259256515,0.485583976110824,0.222526923028665,-0.652617437197966
FBgn0259203,FBgn0263388,0.0118147203384596,0.677737353595107,0.0647506449844927,-1.18875590119558
FBgn0264792,FBgn0011884,0.0116478088253062,0.635655957202012,0.0902805918711207,-1.04440560239092
FBgn0026080,FBgn0028901,0.0114468846121861,0.900721677527694,0.00226773475486498,-2.64440774397449
FBgn0025378,FBgn0266378,0.0113246554411441,0.862257739697088,0.00587708185827582,-2.23083826022147
FBgn0050374,FBgn0263092,0.0110523616211427,0.882976599332127,0.00366303034663037,-2.43615948337763
FBgn0250815,FBgn0260871,0.0110094966197616,0.83919639943936,0.00918171335142627,-2.03707626981842
FBgn0038753,FBgn0265468,0.0105885229495733,0.903905581479668,0.0020615654216541,-2.68580287875612
FBgn0052110,FBgn0261636,0.0104627588945321,-0.749013881901477,0.0324595942423078,-1.48865691332766
FBgn0267538,FBgn0083036,0.0101335890339312,0.577292837804412,0.134022460464018,-0.872822413290589
FBgn0036785,FBgn0046880,0.0100913625431999,0.548733321481366,0.159003357041904,-0.798593706312356
FBgn0034419,FBgn0267603,0.010062412156666,0.794366104239583,0.0185235208525406,-1.73227646141756
FBgn0020272,FBgn0040796,0.010027829543926,0.755256383622445,0.0302519173542735,-1.51924709473078
FBgn0011570,FBgn0050238,0.0100072570772168,0.799159009817161,0.0173251251433492,-1.76132361969626
FBgn0033486,FBgn0038550,0.010004011888238,0.785531810355541,0.0208652622815142,-1.68057615172877
FBgn0045485,FBgn0267110,0.0098939579771068,0.588372490864769,0.12496475024959,-0.903212474440097
FBgn0266142,FBgn0267110,0.0098939579771068,0.904448807650915,0.00202765482967269,-2.69300597356309
FBgn0038646,FBgn0046698,0.00988849544187448,0.439173883635037,0.276303813887038,-0.558613120372436
FBgn0267632,FBgn0259969,0.00985262558718232,0.80403063865588,0.016158024837892,-1.79161172861287
