regulatoryGene,targetGene,cor,p.adj
FBgn0046698,FBgn0266873,1,2.2250738585072e-308
FBgn0038158,FBgn0036873,0.990848166087883,1.90317476971568e-06
FBgn0032490,FBgn0004183,0.990677167570814,2.01160190400399e-06
FBgn0010097,FBgn0265307,1,2.2250738585072e-308
FBgn0265255,FBgn0052286,1,2.2250738585072e-308
FBgn0265728,FBgn0266226,1,2.2250738585072e-308
FBgn0036712,FBgn0265766,1,2.2250738585072e-308
FBgn0266955,FBgn0266398,1,2.2250738585072e-308
FBgn0265722,FBgn0033589,0.999584208860941,1.79651255423981e-10
FBgn0046698,FBgn0264550,0.999762703270347,3.33993466878718e-11
FBgn0265683,FBgn0085318,0.993921351268283,5.58957900933443e-07
FBgn0267756,FBgn0038458,1,2.2250738585072e-308
FBgn0260955,FBgn0266159,1,2.2250738585072e-308
FBgn0037424,FBgn0038012,1,2.2250738585072e-308
FBgn0265608,FBgn0053244,1,2.2250738585072e-308
FBgn0003140,FBgn0264570,0.996150295663707,1.42222190368999e-07
FBgn0029700,FBgn0028950,0.996177980198063,1.39178791824247e-07
FBgn0033591,FBgn0040362,0.996517095318873,1.0534880872384e-07
FBgn0028838,FBgn0036161,0.996150295663707,1.42222190368999e-07
FBgn0036871,FBgn0036873,0.997269836464173,5.07710678712611e-08
FBgn0040362,FBgn0263627,0.999812401559934,1.65031394817465e-11
FBgn0267782,FBgn0262480,1,2.2250738585072e-308
FBgn0034427,FBgn0082990,1,2.2250738585072e-308
FBgn0063261,FBgn0038124,1,2.2250738585072e-308
FBgn0266067,FBgn0038124,1,2.2250738585072e-308
FBgn0036490,FBgn0053908,0.995600456488368,2.12191866476308e-07
FBgn0053908,FBgn0036490,0.995600456488368,2.12191866476308e-07
FBgn0034318,FBgn0029965,0.994174243345085,4.92150035805936e-07
FBgn0260996,FBgn0266728,1,2.2250738585072e-308
FBgn0039576,FBgn0052054,1,2.2250738585072e-308
FBgn0040814,FBgn0085462,0.991609452965585,1.46748557519098e-06
FBgn0260996,FBgn0038209,1,2.2250738585072e-308
FBgn0034296,FBgn0262025,0.992936617127083,8.76344193038161e-07
FBgn0030563,FBgn0085303,0.991556089071867,1.49560362639825e-06
