regulatoryGene,targetGene,weight,cor,p.adj,log10padj
FBgn0046698,FBgn0266873,0.0132290698816571,1,2.2250738585072e-308,-307.652655568589
FBgn0039187,FBgn0263334,0.0130772070714796,0.895988090621197,0.00259824229023354,-2.58532035272216
FBgn0261787,FBgn0037038,0.0121945550471157,0.516660549659306,0.189851287302781,-0.721586453743573
FBgn0082945,FBgn0035787,0.012145785887234,0.753147776568475,0.0309869621379417,-1.50882099850734
FBgn0036799,FBgn0265450,0.011191643572799,0.826242084771104,0.0114654138926125,-1.9406102629547
FBgn0050018,FBgn0038189,0.0110766504209127,0.480512070455476,0.228116543457841,-0.641843217696082
FBgn0030097,FBgn0042187,0.0110648792847954,0.640275037100558,0.0872350320126426,-1.0593090752223
FBgn0261706,FBgn0267618,0.0109414579335109,0.879143118349468,0.00402285005898041,-2.39546615429699
FBgn0032311,FBgn0040958,0.0106359897919874,0.667797272361525,0.0703351433876677,-1.15282762283674
FBgn0033316,FBgn0010295,0.0102761316425902,0.696909422718471,0.0547437904268906,-1.26166513559795
FBgn0262968,FBgn0034825,0.0101197795844723,0.86988324577685,0.00498385285554424,-2.30243478837307
FBgn0037565,FBgn0011958,0.0100483222688886,0.461845119034082,0.249300623072855,-0.603276636069974
FBgn0038638,FBgn0038469,0.0100051015533793,0.886347265274187,0.00336438709717951,-2.47309404126376
FBgn0038851,FBgn0029647,0.00995148106754287,0.815975868939188,0.013508723285079,-1.86938569438625
FBgn0051021,FBgn0036459,0.00981141335775462,0.645575679102123,0.0838145693931759,-1.07668048188182
FBgn0052643,FBgn0037038,0.00975564403769252,0.837923773348049,0.00939193675333926,-2.02724484068848
FBgn0031414,FBgn0041238,0.00963054989703848,0.77970608198413,0.0225055711004722,-1.64770996194627
FBgn0265799,FBgn0266773,0.00958476256263846,0.777222787664709,0.0232283560551577,-1.63398152551778
FBgn0265625,FBgn0263627,0.00957594595375904,0.80836604623533,0.0151619600118417,-1.81924465310334
FBgn0265413,FBgn0003411,0.0095718823051442,0.854981948618607,0.00681920306168825,-2.16626637697616
FBgn0267096,FBgn0003411,0.0095718823051442,0.820414786303978,0.0125992652820731,-1.89965477974314
FBgn0030065,FBgn0266957,0.00948058834271888,0.754745152014433,0.0304291334278873,-1.51671041546456
FBgn0067317,FBgn0263246,0.0094080565520566,0.64815551550595,0.0821785434916704,-1.08524156031357
FBgn0052588,FBgn0265690,0.00936209717496734,0.899259997578141,0.00236669078856709,-2.62585847954079
FBgn0016059,FBgn0040723,0.00932797488748686,0.699253109142663,0.0535887463956302,-1.27092640231127
FBgn0036498,FBgn0034783,0.00924092409240924,0.627000838286559,0.0961506095717045,-1.01704795809437
FBgn0004374,FBgn0034783,0.00924092409240924,0.568955714621831,0.14107176558094,-0.850559898218671
FBgn0263665,FBgn0052328,0.00917872284627825,0.517615746184793,0.188890139824556,-0.723790711911681
FBgn0262482,FBgn0083057,0.00912853804532072,0.834999818371592,0.00988645433626558,-2.00495943522674
FBgn0264740,FBgn0053764,0.00907225402311265,0.489556581889191,0.218198798123313,-0.661147645910146
FBgn0051100,FBgn0266873,0.00906436269669096,0.517384514040072,0.18912257473278,-0.72325662823207
FBgn0039909,FBgn0025679,0.00896995066527134,0.603674439858211,0.113037467194429,-0.946777582191051
FBgn0000394,FBgn0033589,0.00895610244435334,0.640561134774045,0.0870483852852605,-1.06023928047089
FBgn0264838,FBgn0037975,0.0089535057238483,0.795634226678813,0.0182015628408148,-1.73989132058624
FBgn0260401,FBgn0028910,0.00893753213375433,0.862828919529619,0.00580688478751853,-2.23605679057445
FBgn0265734,FBgn0036872,0.00892819182857872,0.387207815516567,0.343288865842805,-0.464340282159587
FBgn0004003,FBgn0038218,0.00892439760316179,0.616524026124611,0.103542194977518,-0.984882632704368
FBgn0030375,FBgn0265593,0.00890122089209784,0.598557927327048,0.116950506693829,-0.931997892248523
FBgn0038751,FBgn0030570,0.0088914194634537,0.691397738876417,0.0575183980526679,-1.24019321801069
FBgn0037994,FBgn0263976,0.00887367687139507,0.561375483711773,0.147655187819633,-0.830751289627726
FBgn0261974,FBgn0038189,0.00886132033673017,0.357902549243092,0.384037094388919,-0.415626824824241
FBgn0030067,FBgn0261616,0.00885942805516509,0.511745849853007,0.194837550731344,-0.710327338505665
FBgn0025111,FBgn0034272,0.00885762726579134,0.748862194669535,0.0325144296386708,-1.4879238598923
FBgn0085405,FBgn0042187,0.00885190342783631,0.653916934635983,0.0785925738826318,-1.10461848798297
FBgn0037456,FBgn0085461,0.00884923302130339,0.911445997544281,0.00162280027180908,-2.78973492822605
FBgn0020261,FBgn0012001,0.00882926608101328,0.448330388427744,0.265231225891734,-0.576375347408465
FBgn0030314,FBgn0086029,0.00881790336205843,0.838125901321282,0.00935834541314251,-2.02880092919585
FBgn0034572,FBgn0052283,0.00880780105822268,0.524819451534053,0.18172516049356,-0.74058493891632
FBgn0032818,FBgn0259922,0.0088037897393299,0.79996080439233,0.0171295261919324,-1.76625464958995
FBgn0267613,FBgn0085570,0.00880098155375079,-0.718305398896734,0.0447412825216905,-1.34929157088512
FBgn0046253,FBgn0031517,0.00879815605659371,0.813033390415925,0.0141337554432105,-1.84974242756658
FBgn0034397,FBgn0039576,0.00876537949914261,0.435270430412964,0.281092003291422,-0.551151509340295
FBgn0263483,FBgn0266964,0.00873798577181239,0.860209024635784,0.00613332962269799,-2.21230369445615
FBgn0265270,FBgn0028844,0.00872798434010937,0.936818897981127,0.000601023610667457,-3.2211084667973
FBgn0035995,FBgn0034206,0.00871778615109458,0.643720969678217,0.0850023607470378,-1.07056901257777
FBgn0261530,FBgn0050464,0.00871204300300482,0.504837436884384,0.201962208015423,-0.694729889889445
FBgn0084008,FBgn0265812,0.00870966215018719,0.747857603949033,0.0328790257777075,-1.4830810593082
FBgn0034029,FBgn0263746,0.00870358782710691,0.882809934225219,0.00367822396276574,-2.43436183060853
FBgn0264909,FBgn0030979,0.00869505735002356,0.509030952838436,0.197621331931788,-0.704166177965833
FBgn0261059,FBgn0051902,0.00866871698682275,0.897952769730501,0.00245752478251639,-2.60950209390036
FBgn0035070,FBgn0082969,0.00863782436584345,0.542407589671203,0.164854249983251,-0.782899852157576
FBgn0015379,FBgn0267581,0.00862423641108424,0.777897582610892,0.0230305466472243,-1.63769575360956
FBgn0001077,FBgn0038458,0.00860776719221979,0.691553521287151,0.0574388498936208,-1.24079426461977
FBgn0260756,FBgn0038458,0.00860776719221979,0.936297162432295,0.000615789791368476,-3.21056751515528
FBgn0265648,FBgn0038458,0.00860776719221979,0.676952048710918,0.065181927521551,-1.18587280098048
FBgn0264875,FBgn0261996,0.00855299771771646,0.775333056873831,0.0237879101233029,-1.62364371104325
FBgn0038640,FBgn0046698,0.00853872504599062,0.604178588644224,0.112655979550112,-0.948245751861164
FBgn0039331,FBgn0051960,0.00852509150170938,0.801538852835312,0.0167486120753726,-1.77602117626782
FBgn0029825,FBgn0030224,0.00852504012683455,0.799500136616934,0.0172417367980975,-1.76341898886871
FBgn0000826,FBgn0266225,0.00851000919436951,0.656006945410009,0.0773147820649473,-1.11173746396666
FBgn0266900,FBgn0086041,0.00850178193195959,0.92109049064785,0.00115681665075575,-2.93673546894365
FBgn0000559,FBgn0261357,0.00849952654983952,0.629605596389024,0.0943615817986817,-1.02520478757575
FBgn0023528,FBgn0029539,0.00849095527672064,0.494396070983212,0.212985749870521,-0.671649452709753
FBgn0264713,FBgn0265722,0.00848087196112336,0.55422164125999,0.154020255434312,-0.81242216069027
FBgn0053138,FBgn0033322,0.00847048359753106,0.842582438151501,0.00863701311418284,-2.06363642098198
FBgn0265316,FBgn0267916,0.00845219861356409,0.883640562952134,0.00360290366258522,-2.44334735024685
FBgn0263466,FBgn0039441,0.00844446712398214,0.883489391341746,0.00361653693260662,-2.44170709546515
FBgn0265894,FBgn0032491,0.00844259544071461,0.756701857130142,0.0297542895146906,-1.52645041553978
FBgn0263250,FBgn0267274,0.00839632336562653,0.764531983673585,0.027146304611935,-1.56628928194532
FBgn0267337,FBgn0266957,0.00838714763561525,0.738166668575374,0.0365250139167651,-1.4374096099187
FBgn0053139,FBgn0031031,0.00835777176381926,-0.841274824578648,0.00884485561589424,-2.05330925215304
FBgn0259710,FBgn0261994,0.00832250278768167,0.872655695732488,0.00468219613278799,-2.32955039807137
FBgn0260793,FBgn0039034,0.00831974512664053,0.831461998061844,0.0105064847698508,-1.97854256469662
FBgn0266248,FBgn0052986,0.00831775506591558,0.636476509204084,0.0897351432118475,-1.0470374397436
