regulatoryGene,targetGene,cor,p.adj
FBgn0261507,FBgn0039582,0.933859762016429,0.00068792497305279
FBgn0043825,FBgn0265877,0.90682389529064,0.0018836460866795
FBgn0265690,FBgn0034554,0.982846196374084,1.24571049811863e-05
FBgn0038931,FBgn0267284,0.927684683633437,0.000894897910683672
FBgn0041242,FBgn0053810,0.910743470709608,0.00166082669138808
FBgn0037123,FBgn0050457,0.921854854407908,0.00112418685965045
FBgn0033817,FBgn0264722,0.925839772372592,0.000963782608285287
FBgn0053087,FBgn0035374,-0.957373141497381,0.000187499884738477
FBgn0266492,FBgn0267284,0.918416970047075,0.00127579257214386
FBgn0030186,FBgn0266936,0.90017135631764,0.0023046701392702
FBgn0030826,FBgn0267623,-0.954392404935576,0.000229127092511618
FBgn0264552,FBgn0264487,0.972926617580742,4.86079351694427e-05
FBgn0051928,FBgn0051578,0.903915894824571,0.00206091821392476
FBgn0054049,FBgn0053537,0.905775096719653,0.00194638877639677
FBgn0082949,FBgn0265687,0.955838814431034,0.000208240757783923
FBgn0035159,FBgn0267318,0.910033737968651,0.00169982698548177
FBgn0267454,FBgn0086077,0.931440843289896,0.000764774400429465
FBgn0064227,FBgn0267801,0.957001756597871,0.00019238905380546
FBgn0083042,FBgn0266830,0.908900263786703,0.00176333896431992
FBgn0265156,FBgn0054031,0.978796245657573,2.34555732236435e-05
FBgn0278600,FBgn0035933,0.952054937241715,0.000265718985473608
FBgn0086668,FBgn0052365,-0.93891953761365,0.000543921586426681
FBgn0065107,FBgn0267425,0.96141043978403,0.000139538638187869
FBgn0267150,FBgn0264471,0.91866100734403,0.0012646162579661
FBgn0000251,FBgn0040506,0.970505543871983,6.27341941795603e-05
FBgn0011705,FBgn0052213,0.919302315756231,0.0012355507169602
FBgn0036361,FBgn0020556,0.978688358353194,2.38134911484144e-05
FBgn0050476,FBgn0040534,0.97104525271854,5.9377251784853e-05
FBgn0086078,FBgn0015602,0.909819750544157,0.00171170147180907
FBgn0030577,FBgn0265690,0.956378430212558,0.00020078253662857
FBgn0085198,FBgn0259972,0.923968468451288,0.00103710135299301
FBgn0085353,FBgn0038756,0.985682549302539,7.25875076073341e-06
FBgn0036454,FBgn0263133,0.906430002303035,0.00190705356320365
FBgn0265677,FBgn0264868,0.965220726242627,0.000102448059019073
FBgn0004372,FBgn0051742,0.905446221064438,0.00196633899263932
FBgn0032907,FBgn0050464,0.924605367240913,0.00101175267211012
FBgn0266262,FBgn0086371,-0.943368588593339,0.000434991808277998
FBgn0266897,FBgn0265895,1,2.2250738585072e-308
FBgn0036831,FBgn0028518,0.974822437134696,3.91510927947149e-05
FBgn0265706,FBgn0052073,0.90800733523811,0.00181444412062376
FBgn0260794,FBgn0038833,0.911611369333111,0.00161393219556603
FBgn0046302,FBgn0264775,0.914051111589485,0.00148674496659529
FBgn0035957,FBgn0267279,0.936710093640032,0.000604083623094098
FBgn0264903,FBgn0050401,-0.948937094668727,0.000320238873161359
FBgn0264817,FBgn0259481,0.908258059241672,0.00179999849076718
FBgn0033526,FBgn0267272,0.909244765839881,0.00174387511570201
FBgn0043530,FBgn0267470,0.974462193227392,4.08446541088682e-05
FBgn0052073,FBgn0266565,0.937915089863149,0.000570759506511347
FBgn0032967,FBgn0085267,0.963864591427473,0.000114787302417502
FBgn0041195,FBgn0085267,0.981677004159442,1.51684799964505e-05
FBgn0264546,FBgn0086046,-0.912466334994518,0.00156858734834085
FBgn0264722,FBgn0261699,0.912706861858256,0.00155598175354242
FBgn0035667,FBgn0050457,0.927373563676707,0.000906280960402908
FBgn0037964,FBgn0053325,0.922945517999831,0.00107867683690314
FBgn0050265,FBgn0263037,0.925045489211329,0.000994474412713976
FBgn0031470,FBgn0042187,0.906677959145878,0.00189229658626167
FBgn0265307,FBgn0265912,0.934380529115021,0.000672071700539821
FBgn0031008,FBgn0267817,0.919038622464019,0.0012474485507274
FBgn0037826,FBgn0039371,0.982420128554823,1.34042734712412e-05
