regulatoryGene	targetGene	weight
FBgn0037433	FBgn0053710	0.0113386557899151
FBgn0266197	FBgn0266198	0.0113240795256349
FBgn0030499	FBgn0265897	0.0107342497427896
FBgn0261705	FBgn0265582	0.0107224911730579
FBgn0035109	FBgn0036176	0.0106917373736534
FBgn0050272	FBgn0037987	0.0103304115580333
FBgn0038714	FBgn0041248	0.0102396895494783
FBgn0267987	FBgn0263409	0.0101965296567897
FBgn0053867	FBgn0040784	0.0101850581642176
FBgn0003076	FBgn0040365	0.0101756638507547
FBgn0039459	FBgn0086066	0.01000520340825
FBgn0030429	FBgn0033248	0.00998352607017872
FBgn0035742	FBgn0030221	0.00988431150471951
FBgn0259193	FBgn0264722	0.00986916309496955
FBgn0039002	FBgn0037498	0.00981651985126789
FBgn0029727	FBgn0036176	0.00974136071821753
FBgn0030574	FBgn0051228	0.00971116244133451
FBgn0053496	FBgn0267274	0.00967897351428149
FBgn0031883	FBgn0266985	0.00967474279866368
FBgn0266549	FBgn0050238	0.00965538106410252
FBgn0000014	FBgn0278600	0.00964625876431682
FBgn0027599	FBgn0011890	0.00963577656413804
FBgn0264980	FBgn0051933	0.00958856216293902
FBgn0039505	FBgn0259969	0.00957075627328134
FBgn0030013	FBgn0261994	0.00956022944550669
FBgn0023169	FBgn0031786	0.00954502369024344
FBgn0015320	FBgn0040338	0.009386104096364
FBgn0034232	FBgn0003076	0.00925479668722193
FBgn0085197	FBgn0267592	0.0092341172153345
FBgn0031733	FBgn0265592	0.00923221184493637
FBgn0000499	FBgn0029552	0.00922889257097061
FBgn0039777	FBgn0266231	0.00915997232687163
FBgn0003890	FBgn0038204	0.00907097352712088
FBgn0035000	FBgn0051228	0.00903694897951958
FBgn0036257	FBgn0267321	0.00899421768834432
FBgn0263466	FBgn0267134	0.00896937595951985
FBgn0008646	FBgn0086037	0.00892394349904704
FBgn0034483	FBgn0266816	0.00888295977643126
FBgn0039519	FBgn0265749	0.00887350148962611
FBgn0029768	FBgn0261806	0.00885739592559787
FBgn0263240	FBgn0265754	0.0088092403032333
FBgn0033993	FBgn0266114	0.00880832750877752
FBgn0266260	FBgn0263761	0.00880615448307067
FBgn0033731	FBgn0051245	0.00879333243872402
FBgn0031283	FBgn0034423	0.00876988081736477
FBgn0039454	FBgn0028900	0.00873962169923216
FBgn0052369	FBgn0266412	0.00868878899954796
FBgn0266455	FBgn0029946	0.00868840116740062
FBgn0030525	FBgn0032520	0.00865567448501347
FBgn0263333	FBgn0265625	0.00865272070465174
