regulatoryGene	targetGene	weight
FBgn0265581	FBgn0034710	0.0116302252940786
FBgn0267127	FBgn0266097	0.0114755231319849
FBgn0267090	FBgn0033591	0.0102849085270024
FBgn0034569	FBgn0051579	0.010081656855447
FBgn0267538	FBgn0265909	0.00964600918122577
FBgn0032214	FBgn0265309	0.00946991048679849
FBgn0030298	FBgn0053858	0.00927110740103662
FBgn0267222	FBgn0039783	0.00926333940837356
FBgn0266804	FBgn0031135	0.00923733085939528
FBgn0283508	FBgn0267266	0.00923405211884458
FBgn0032763	FBgn0083016	0.00918937772588491
FBgn0002535	FBgn0267977	0.00914290831450548
FBgn0267223	FBgn0086066	0.00912219351264497
FBgn0266970	FBgn0028415	0.00908030273292432
FBgn0034479	FBgn0030663	0.0090293453724605
FBgn0261845	FBgn0267067	0.00902896317040577
FBgn0031409	FBgn0265898	0.00894357899868425
FBgn0085478	FBgn0053764	0.00893198928161286
FBgn0035028	FBgn0267321	0.0089187120957798
FBgn0026361	FBgn0263976	0.00883060593616837
FBgn0267616	FBgn0041235	0.00881224593068694
FBgn0038331	FBgn0002933	0.00878252355704586
FBgn0040342	FBgn0266857	0.00870540009882297
FBgn0086265	FBgn0263329	0.00866385339814883
FBgn0260766	FBgn0263659	0.00863246045262861
FBgn0039259	FBgn0039197	0.00863059939631045
FBgn0267677	FBgn0011938	0.00859602089577375
FBgn0265663	FBgn0083057	0.00855419165407359
FBgn0003463	FBgn0264377	0.00855109072077776
FBgn0260396	FBgn0031731	0.00854894678738399
FBgn0266040	FBgn0261507	0.00849843868124499
FBgn0031711	FBgn0031135	0.00849834439064365
FBgn0003175	FBgn0053702	0.00849009067004746
FBgn0038547	FBgn0083016	0.00847102944721581
FBgn0039634	FBgn0035068	0.00843196164182003
FBgn0038584	FBgn0030563	0.00840578171271584
FBgn0040261	FBgn0266825	0.00840403393628942
FBgn0053290	FBgn0283508	0.00840174242233544
FBgn0262839	FBgn0033628	0.0083905394713957
FBgn0031276	FBgn0262818	0.0083575191213624
FBgn0025806	FBgn0036949	0.0083574636595625
FBgn0031455	FBgn0083033	0.00831324690542321
FBgn0053679	FBgn0263611	0.00830908262410058
FBgn0085231	FBgn0010294	0.00830858631330642
FBgn0031494	FBgn0265374	0.00819132114194792
FBgn0034473	FBgn0267147	0.00815328169588259
FBgn0267743	FBgn0053824	0.00813485780443454
FBgn0038429	FBgn0267618	0.00811820342492669
FBgn0035636	FBgn0267090	0.00811601156147914
FBgn0086048	FBgn0051579	0.00806532548435757
FBgn0038797	FBgn0266948	0.0080624740450654
FBgn0036916	FBgn0262606	0.00801222546455903
FBgn0038507	FBgn0259998	0.00796882302772176
FBgn0265685	FBgn0265898	0.00794984799883044
FBgn0036529	FBgn0266853	0.00793824964683907
FBgn0262991	FBgn0265529	0.00793363964916379
FBgn0069969	FBgn0266867	0.00789813260447911
FBgn0039188	FBgn0037422	0.00788338129529237
FBgn0041252	FBgn0086659	0.00787777105195665
FBgn0266456	FBgn0040797	0.00786325426394324
FBgn0029709	FBgn0040797	0.00786325426394324
FBgn0035632	FBgn0264495	0.00783137819796307
FBgn0028687	FBgn0264677	0.00781732185710908
FBgn0264479	FBgn0083021	0.00781409001847856
FBgn0040588	FBgn0265469	0.0077906097039377
FBgn0003205	FBgn0032289	0.00778222380910659
FBgn0038143	FBgn0000227	0.00775985639263845
FBgn0023521	FBgn0020376	0.00772610309195181
FBgn0262475	FBgn0264480	0.00771938512587897
FBgn0259230	FBgn0031273	0.0077054513725475
FBgn0023083	FBgn0052644	0.00767995969875114
FBgn0053286	FBgn0052546	0.00767896377529277
FBgn0263213	FBgn0265378	0.00764644908887102
FBgn0030707	FBgn0042098	0.0076418017563002
FBgn0265966	FBgn0265950	0.00763475559318926
FBgn0061361	FBgn0053891	0.00763410275163039
FBgn0034266	FBgn0032472	0.00760246776866224
FBgn0052418	FBgn0038190	0.00758411730906099
FBgn0033301	FBgn0267199	0.00755418307449368
FBgn0038237	FBgn0036176	0.00755103173187631
FBgn0265372	FBgn0010295	0.00751313082312239
FBgn0262353	FBgn0030911	0.00751120581861212
FBgn0040588	FBgn0004183	0.00747368607524948
FBgn0039461	FBgn0053897	0.00746423454453892
FBgn0035213	FBgn0259845	0.00746338504071684
FBgn0265693	FBgn0040393	0.00745346816342183
FBgn0004364	FBgn0011863	0.00744709459878778
FBgn0029712	FBgn0037761	0.00743394006845537
FBgn0032525	FBgn0052283	0.00742329316831608
FBgn0034569	FBgn0053858	0.00741688592082929
FBgn0033810	FBgn0037783	0.00741403692160755
FBgn0032811	FBgn0039783	0.00741067152669885
FBgn0266525	FBgn0039783	0.00741067152669885
FBgn0029765	FBgn0040743	0.00740488681481789
FBgn0013773	FBgn0266899	0.00740056528334497
FBgn0053927	FBgn0263871	0.0073997364930599
FBgn0283426	FBgn0266680	0.00739841888043818
FBgn0015803	FBgn0266899	0.00739274466455614
FBgn0035328	FBgn0031135	0.00738986468751622
FBgn0260458	FBgn0010294	0.00738541005627238
FBgn0039459	FBgn0033993	0.00738418670348072
FBgn0031600	FBgn0026384	0.0073822662800252
FBgn0022027	FBgn0263340	0.00738005074648891
FBgn0267348	FBgn0051813	0.00737635818658674
FBgn0004903	FBgn0053852	0.00736915672783714
FBgn0004838	FBgn0261984	0.00736730071668317
FBgn0013683	FBgn0032645	0.00736529319127678
FBgn0025681	FBgn0266897	0.00735443844493101
FBgn0036450	FBgn0267070	0.00735158994125918
FBgn0005411	FBgn0083016	0.00735150218070792
FBgn0045478	FBgn0083016	0.00735150218070792
FBgn0030206	FBgn0083016	0.00735150218070792
FBgn0263029	FBgn0264324	0.00733725574201015
FBgn0038181	FBgn0038204	0.00732931546693876
FBgn0028675	FBgn0266009	0.00730847449240234
FBgn0003867	FBgn0030832	0.00730445304422235
FBgn0033980	FBgn0003961	0.0072923417796943
FBgn0259736	FBgn0003961	0.0072923417796943
FBgn0260447	FBgn0003961	0.0072923417796943
FBgn0039831	FBgn0265942	0.00728553013224614
FBgn0051956	FBgn0266232	0.00727951255813709
FBgn0033463	FBgn0050316	0.00727299257118421
FBgn0032390	FBgn0028415	0.00726424218633945
FBgn0264712	FBgn0028415	0.00726424218633945
FBgn0264541	FBgn0083058	0.00726009616333926
FBgn0031801	FBgn0001308	0.00725052096489652
FBgn0004414	FBgn0250907	0.00724325159514657
FBgn0263472	FBgn0038190	0.00724090717808202
FBgn0028939	FBgn0038190	0.00724090717808202
FBgn0051580	FBgn0267678	0.00722963666747158
FBgn0038499	FBgn0265821	0.00722431128081046
FBgn0028518	FBgn0267319	0.00722271669566921
FBgn0039301	FBgn0035931	0.00721668097994794
FBgn0038959	FBgn0082990	0.00721005308475719
FBgn0264599	FBgn0267150	0.00720939054165846
FBgn0033850	FBgn0250842	0.00720899355148989
FBgn0267322	FBgn0265156	0.00720567072413747
FBgn0040922	FBgn0053855	0.00717849425087579
FBgn0033437	FBgn0024510	0.00716778128937462
FBgn0050493	FBgn0085786	0.00715927434522877
FBgn0052529	FBgn0011881	0.00715598202140739
FBgn0016013	FBgn0051943	0.00713028242771267
FBgn0035064	FBgn0266074	0.00712558966259027
FBgn0030090	FBgn0263839	0.00711899950646331
FBgn0033972	FBgn0053824	0.00711800053881438
FBgn0030598	FBgn0053824	0.00711800053881438
FBgn0033539	FBgn0031273	0.0071110464472238
FBgn0039069	FBgn0002855	0.00710252426815411
FBgn0003751	FBgn0265309	0.00710243286509887
FBgn0053121	FBgn0265309	0.00710243286509887
FBgn0267287	FBgn0265309	0.00710243286509887
FBgn0267743	FBgn0263763	0.00710109949079008
FBgn0086350	FBgn0265900	0.00709694106096545
FBgn0032956	FBgn0011910	0.0070759715573916
FBgn0041243	FBgn0266847	0.00706907340012656
FBgn0260990	FBgn0031082	0.00706598944935721
FBgn0065095	FBgn0266449	0.00706562763576367
FBgn0036184	FBgn0267618	0.00705930732602321
FBgn0030770	FBgn0043533	0.00705519233333319
FBgn0033912	FBgn0053813	0.00705193626970638
FBgn0052693	FBgn0053813	0.00705193626970638
FBgn0264509	FBgn0053813	0.00705193626970638
FBgn0034822	FBgn0262572	0.00705004875115691
FBgn0050154	FBgn0266959	0.00701847654958968
FBgn0031516	FBgn0052831	0.00701714275692077
FBgn0053092	FBgn0040477	0.0069964381568703
FBgn0261697	FBgn0265728	0.00698361780718282
FBgn0030611	FBgn0267067	0.00698290610522969
FBgn0035980	FBgn0034710	0.00697813517644713
FBgn0037470	FBgn0034710	0.00697813517644713
FBgn0052571	FBgn0034710	0.00697813517644713
FBgn0016061	FBgn0034710	0.00697813517644713
FBgn0263395	FBgn0040357	0.00697754814233597
