regulatoryGene	targetGene	weight
FBgn0261848	FBgn0039079	0.0124028980428428
FBgn0040717	FBgn0047199	0.0116467823184896
FBgn0036514	FBgn0042187	0.0115656599035094
FBgn0259231	FBgn0265713	0.0115595478553906
FBgn0000711	FBgn0267213	0.01134987870736
FBgn0263463	FBgn0035887	0.0111327736143711
FBgn0031800	FBgn0041238	0.0108483275434781
FBgn0030364	FBgn0005779	0.0107701696621937
FBgn0035887	FBgn0036707	0.010685384941944
FBgn0267219	FBgn0265196	0.01047455108541
FBgn0028986	FBgn0267470	0.0103995876021581
FBgn0032955	FBgn0265895	0.0102675734381557
FBgn0011705	FBgn0265910	0.0101092716846033
FBgn0041224	FBgn0262356	0.0101056198608692
FBgn0035520	FBgn0085200	0.010053780351557
FBgn0264265	FBgn0051002	0.0100135750035814
FBgn0010235	FBgn0267110	0.00991518825438802
FBgn0082967	FBgn0086658	0.009907197134326
FBgn0053775	FBgn0266679	0.00988143320342321
FBgn0036801	FBgn0266821	0.00979091655612406
FBgn0034480	FBgn0265766	0.00968380453149393
FBgn0033238	FBgn0038356	0.00964630220019874
FBgn0000927	FBgn0047199	0.00960097669822726
FBgn0034963	FBgn0047199	0.00960097669822726
FBgn0015000	FBgn0085230	0.00960032864919887
FBgn0003310	FBgn0050043	0.00954215214981092
FBgn0034060	FBgn0085296	0.00950818007009258
FBgn0038788	FBgn0053333	0.00947995646109561
FBgn0038938	FBgn0063261	0.0094147516762083
FBgn0003885	FBgn0050268	0.00940733753957398
FBgn0027585	FBgn0261992	0.00938697542387316
FBgn0002174	FBgn0261846	0.00938226556130737
FBgn0035486	FBgn0261816	0.00935740761137249
FBgn0036480	FBgn0264485	0.00934495239799187
FBgn0027594	FBgn0267937	0.00917872284112566
FBgn0028542	FBgn0011890	0.00917802512491102
FBgn0263408	FBgn0264786	0.00913063323931494
FBgn0036958	FBgn0266682	0.00912649080717213
FBgn0011829	FBgn0267080	0.00911722271332905
FBgn0038425	FBgn0051579	0.00911102420072199
