regulatoryGene	targetGene	weight
FBgn0039622	FBgn0265064	0.0161189285005867
FBgn0085274	FBgn0011884	0.0139773705903674
FBgn0013755	FBgn0011884	0.0129420098058957
FBgn0034768	FBgn0029816	0.0125106259256515
FBgn0259203	FBgn0263388	0.0118147203384596
FBgn0264792	FBgn0011884	0.0116478088253062
FBgn0026080	FBgn0028901	0.0114468846121861
FBgn0025378	FBgn0266378	0.0113246554411441
FBgn0050374	FBgn0263092	0.0110523616211427
FBgn0250815	FBgn0260871	0.0110094966197616
FBgn0038753	FBgn0265468	0.0105885229495733
FBgn0052110	FBgn0261636	0.0104627588945321
FBgn0267538	FBgn0083036	0.0101335890339312
FBgn0036785	FBgn0046880	0.0100913625431999
FBgn0034419	FBgn0267603	0.010062412156666
FBgn0020272	FBgn0040796	0.010027829543926
FBgn0011570	FBgn0050238	0.0100072570772168
FBgn0033486	FBgn0038550	0.010004011888238
FBgn0045485	FBgn0267110	0.0098939579771068
FBgn0266142	FBgn0267110	0.0098939579771068
FBgn0038646	FBgn0046698	0.00988849544187448
FBgn0267632	FBgn0259969	0.00985262558718232
FBgn0263603	FBgn0011958	0.00980797342720577
FBgn0034495	FBgn0264373	0.0097902447273798
FBgn0266912	FBgn0031617	0.00977980962490301
FBgn0262624	FBgn0265833	0.00970182640891764
FBgn0034670	FBgn0011882	0.00965728808917313
FBgn0264955	FBgn0051742	0.00940218207931547
FBgn0050413	FBgn0264866	0.00933023128172899
FBgn0083936	FBgn0035299	0.00932194022476055
FBgn0264701	FBgn0035299	0.00932194022476055
FBgn0034027	FBgn0265700	0.00931665012017819
FBgn0039507	FBgn0034592	0.0092539711015489
FBgn0037020	FBgn0011921	0.00923605242942206
FBgn0037411	FBgn0262944	0.00922630810422741
FBgn0266408	FBgn0262818	0.00922446568801548
FBgn0005779	FBgn0267951	0.00918100334461592
FBgn0003980	FBgn0265051	0.00918014035770092
FBgn0033212	FBgn0030570	0.00916772987195329
FBgn0261615	FBgn0265051	0.00915583072056236
FBgn0267733	FBgn0011889	0.00914674080837381
FBgn0267431	FBgn0265980	0.00909864045403564
FBgn0264381	FBgn0025821	0.00909202373835285
FBgn0032421	FBgn0065076	0.00908396868394932
FBgn0040353	FBgn0037498	0.00901914268340469
FBgn0028504	FBgn0040357	0.00898009056253387
FBgn0036502	FBgn0004414	0.00893439959087629
FBgn0265710	FBgn0028847	0.00890953443124022
FBgn0034391	FBgn0002629	0.00888848940781081
FBgn0262361	FBgn0002629	0.00888848940781081
FBgn0034715	FBgn0028871	0.00886070379442814
FBgn0263453	FBgn0265608	0.00884877728517929
FBgn0266791	FBgn0275432	0.00883987177798164
FBgn0036996	FBgn0011743	0.00883968924078378
FBgn0263653	FBgn0034824	0.00883186963091946
FBgn0001321	FBgn0037940	0.00882999303805437
FBgn0039561	FBgn0265526	0.00881148987945926
FBgn0260719	FBgn0262812	0.00879433812136187
FBgn0036662	FBgn0029816	0.00879327684409819
FBgn0039872	FBgn0029724	0.0087736490502808
FBgn0004876	FBgn0264269	0.00875824409316349
FBgn0038316	FBgn0052249	0.00872631790399937
FBgn0033043	FBgn0051010	0.00872190350280591
FBgn0039034	FBgn0267449	0.00872038701908104
FBgn0026602	FBgn0029816	0.00871260826535498
FBgn0053929	FBgn0262839	0.00870738908518135
FBgn0039776	FBgn0266905	0.00868199106995204
FBgn0259937	FBgn0085300	0.00864961419666305
FBgn0265627	FBgn0034663	0.00862854884348521
FBgn0035600	FBgn0262882	0.008624167682333
FBgn0015803	FBgn0266066	0.00861592050211851
FBgn0038039	FBgn0261616	0.00861496911109074
FBgn0267433	FBgn0033589	0.00855360775842666
FBgn0033645	FBgn0264866	0.00855271200825157
FBgn0065080	FBgn0260968	0.00853696316883495
FBgn0034265	FBgn0263084	0.00850910462678889
FBgn0264785	FBgn0263084	0.00850910462678889
FBgn0267470	FBgn0267418	0.00850116717764498
FBgn0004908	FBgn0266087	0.00844664335241324
FBgn0263782	FBgn0030570	0.00843431148219702
FBgn0031626	FBgn0033507	0.00843360710032144
FBgn0031288	FBgn0052644	0.00839718384012737
FBgn0039258	FBgn0266857	0.00838108194839142
FBgn0034804	FBgn0052651	0.00837869775216776
FBgn0038838	FBgn0263335	0.00836285857931513
FBgn0262951	FBgn0263324	0.00835828589141078
FBgn0000964	FBgn0265713	0.00835527171549317
FBgn0001990	FBgn0029816	0.00834041728376767
FBgn0037714	FBgn0028867	0.00833895838237517
FBgn0033890	FBgn0034022	0.00831530310780632
FBgn0265657	FBgn0267150	0.00831501098491321
FBgn0031471	FBgn0264866	0.00829353891709243
FBgn0002985	FBgn0267817	0.00828526875754866
FBgn0038401	FBgn0264340	0.00828369054193027
FBgn0038071	FBgn0265713	0.00827705586446655
FBgn0262486	FBgn0038218	0.00827444791781103
FBgn0033206	FBgn0264866	0.00826264436943572
FBgn0017545	FBgn0266415	0.00824190357730454
FBgn0030620	FBgn0038357	0.00823977398576917
FBgn0267299	FBgn0036161	0.00823793556205053
FBgn0086074	FBgn0032442	0.00823728455212166
FBgn0260399	FBgn0032442	0.00823728455212166
FBgn0028563	FBgn0267610	0.00820921777882022
FBgn0039182	FBgn0051482	0.00818667715401472
FBgn0031409	FBgn0264476	0.00818555091779146
FBgn0267137	FBgn0265882	0.00817972874204715
FBgn0039087	FBgn0267817	0.00817454114391287
FBgn0033600	FBgn0052986	0.00817422782740702
FBgn0003134	FBgn0267110	0.0081736115755928
FBgn0267455	FBgn0046880	0.00817162221327343
FBgn0032477	FBgn0033278	0.00816413096434218
FBgn0034684	FBgn0033278	0.00816413096434218
FBgn0035543	FBgn0033278	0.00816413096434218
FBgn0036599	FBgn0033278	0.00816413096434218
FBgn0052369	FBgn0051463	0.00812709224249695
FBgn0053465	FBgn0051010	0.00812690016079127
FBgn0028920	FBgn0051698	0.00812510179501126
FBgn0264513	FBgn0265145	0.00812410538125266
FBgn0037291	FBgn0040694	0.00810558206730331
FBgn0261955	FBgn0032315	0.00810259296137777
FBgn0038470	FBgn0266834	0.00808996829031665
FBgn0052574	FBgn0266834	0.00808996829031665
FBgn0037416	FBgn0037395	0.00808169769094988
FBgn0039341	FBgn0267490	0.00807443863426638
FBgn0033371	FBgn0265064	0.00805946425029336
FBgn0082939	FBgn0265064	0.00805946425029336
FBgn0266326	FBgn0265064	0.00805946425029336
FBgn0030944	FBgn0261502	0.00805183843585604
FBgn0267418	FBgn0028844	0.00805130134911285
FBgn0034413	FBgn0052987	0.00804671219628023
FBgn0025378	FBgn0030370	0.00804446039270349
FBgn0267816	FBgn0035006	0.00804195057270461
FBgn0262840	FBgn0038285	0.00803795999343328
FBgn0262547	FBgn0032624	0.00803120697567692
FBgn0267057	FBgn0266050	0.00802898962548339
FBgn0037759	FBgn0266415	0.00801914942656658
FBgn0260746	FBgn0038550	0.00800320951059043
FBgn0031391	FBgn0038550	0.00800320951059043
FBgn0004635	FBgn0051501	0.00799988747524392
FBgn0040649	FBgn0267612	0.00799278703136492
FBgn0035621	FBgn0032280	0.00797895003727349
FBgn0038039	FBgn0050211	0.00795688705409392
FBgn0031295	FBgn0037439	0.00795172090328011
FBgn0050118	FBgn0052832	0.00794838036717589
FBgn0260228	FBgn0053752	0.00793893971154351
FBgn0050278	FBgn0005779	0.0079311498033155
FBgn0259702	FBgn0263844	0.00792940699172631
FBgn0262856	FBgn0036246	0.00792616126670308
FBgn0265980	FBgn0030342	0.00792418165364108
FBgn0033206	FBgn0267110	0.00791516638168544
FBgn0034098	FBgn0267110	0.00791516638168544
FBgn0035686	FBgn0035265	0.0079149954394045
FBgn0028950	FBgn0034661	0.00791041982874889
FBgn0038536	FBgn0262361	0.00790408643017295
FBgn0265903	FBgn0086030	0.0078965950603519
FBgn0262736	FBgn0032968	0.00788854444950957
FBgn0004782	FBgn0259969	0.00788210046974586
FBgn0042175	FBgn0259969	0.00788210046974586
FBgn0030536	FBgn0262875	0.00786779461603859
FBgn0032211	FBgn0037038	0.0078659033546117
FBgn0265681	FBgn0038690	0.00786437129938506
FBgn0002592	FBgn0267612	0.00784938445656727
FBgn0039469	FBgn0267612	0.00784938445656727
FBgn0263504	FBgn0083036	0.00784535925207575
FBgn0259926	FBgn0084001	0.00783663733577379
