regulatoryGene	targetGene	weight
FBgn0046698	FBgn0266873	0.0132290698816571
FBgn0039187	FBgn0263334	0.0130772070714796
FBgn0261787	FBgn0037038	0.0121945550471157
FBgn0082945	FBgn0035787	0.012145785887234
FBgn0036799	FBgn0265450	0.011191643572799
FBgn0050018	FBgn0038189	0.0110766504209127
FBgn0030097	FBgn0042187	0.0110648792847954
FBgn0261706	FBgn0267618	0.0109414579335109
FBgn0032311	FBgn0040958	0.0106359897919874
FBgn0033316	FBgn0010295	0.0102761316425902
FBgn0262968	FBgn0034825	0.0101197795844723
FBgn0037565	FBgn0011958	0.0100483222688886
FBgn0038638	FBgn0038469	0.0100051015533793
FBgn0038851	FBgn0029647	0.00995148106754287
FBgn0051021	FBgn0036459	0.00981141335775462
FBgn0052643	FBgn0037038	0.00975564403769252
FBgn0031414	FBgn0041238	0.00963054989703848
FBgn0265799	FBgn0266773	0.00958476256263846
FBgn0265625	FBgn0263627	0.00957594595375904
FBgn0265413	FBgn0003411	0.0095718823051442
FBgn0267096	FBgn0003411	0.0095718823051442
FBgn0030065	FBgn0266957	0.00948058834271888
FBgn0067317	FBgn0263246	0.0094080565520566
FBgn0052588	FBgn0265690	0.00936209717496734
FBgn0016059	FBgn0040723	0.00932797488748686
FBgn0036498	FBgn0034783	0.00924092409240924
FBgn0004374	FBgn0034783	0.00924092409240924
FBgn0263665	FBgn0052328	0.00917872284627825
FBgn0262482	FBgn0083057	0.00912853804532072
FBgn0264740	FBgn0053764	0.00907225402311265
FBgn0051100	FBgn0266873	0.00906436269669096
FBgn0039909	FBgn0025679	0.00896995066527134
FBgn0000394	FBgn0033589	0.00895610244435334
FBgn0264838	FBgn0037975	0.0089535057238483
FBgn0260401	FBgn0028910	0.00893753213375433
FBgn0265734	FBgn0036872	0.00892819182857872
FBgn0004003	FBgn0038218	0.00892439760316179
FBgn0030375	FBgn0265593	0.00890122089209784
FBgn0038751	FBgn0030570	0.0088914194634537
FBgn0037994	FBgn0263976	0.00887367687139507
FBgn0261974	FBgn0038189	0.00886132033673017
