regulatoryGene	targetGene	weight
FBgn0032646	FBgn0264264	0.0123969720006255
FBgn0267601	FBgn0086077	0.0107440760291673
FBgn0262895	FBgn0085277	0.0106797062080102
FBgn0033594	FBgn0050457	0.010508352241861
FBgn0032359	FBgn0002855	0.0103789034360278
FBgn0037647	FBgn0002855	0.0103789034360278
FBgn0034103	FBgn0052249	0.0102523034753827
FBgn0039210	FBgn0266732	0.0102079179922969
FBgn0051388	FBgn0267865	0.0101009831020688
FBgn0052278	FBgn0266592	0.00999781128350401
FBgn0035707	FBgn0267139	0.00998436871433543
FBgn0085213	FBgn0002631	0.0099629236359741
FBgn0026398	FBgn0020376	0.00984664338069596
FBgn0266766	FBgn0053535	0.00981498263782632
FBgn0265633	FBgn0267678	0.00981098347930187
FBgn0033650	FBgn0262961	0.00965009082404824
FBgn0264742	FBgn0029811	0.00963497489673866
FBgn0043550	FBgn0260226	0.00960805743644049
FBgn0033515	FBgn0267056	0.00960799377572039
FBgn0034135	FBgn0267072	0.00958178168764138
FBgn0012042	FBgn0052213	0.00955225494922355
FBgn0032907	FBgn0050211	0.00951418980264602
FBgn0033623	FBgn0264349	0.00951120732657056
FBgn0031771	FBgn0010294	0.00951000815143556
FBgn0036009	FBgn0003961	0.00949340173250783
FBgn0037578	FBgn0267599	0.00946464844595354
FBgn0036920	FBgn0085786	0.00940059984779981
FBgn0267556	FBgn0266223	0.00939840518120594
FBgn0032067	FBgn0038157	0.00930544076846356
FBgn0261507	FBgn0039582	0.00928087161605017
FBgn0263381	FBgn0020556	0.00927705254787622
FBgn0011957	FBgn0267139	0.00926321894916944
FBgn0041252	FBgn0266905	0.00924832582930987
FBgn0263240	FBgn0262623	0.00923209366046201
FBgn0043825	FBgn0265877	0.00921748791492868
FBgn0266264	FBgn0267077	0.00918695434442548
FBgn0083001	FBgn0039582	0.00911325543121631
FBgn0265690	FBgn0034554	0.00907305484235557
FBgn0263018	FBgn0053852	0.00903633899180275
FBgn0036686	FBgn0266830	0.00888564044697381
FBgn0036213	FBgn0085228	0.00883257947592738
FBgn0065105	FBgn0266646	0.00882576778182891
FBgn0052808	FBgn0083040	0.00882322150731504
FBgn0267753	FBgn0266841	0.00878598895487062
FBgn0003416	FBgn0034427	0.00876572362215149
FBgn0001330	FBgn0041236	0.00875873115361843
FBgn0028532	FBgn0263024	0.00870322019147084
FBgn0033644	FBgn0267951	0.00870096543170948
FBgn0039078	FBgn0011977	0.00860710072056703
FBgn0038931	FBgn0267284	0.00857771757040795
FBgn0024294	FBgn0262883	0.00854571025463931
FBgn0041242	FBgn0053810	0.00850777994392755
FBgn0033471	FBgn0053535	0.00850631828611614
FBgn0015270	FBgn0267321	0.00849554096364514
FBgn0035760	FBgn0053771	0.00848571011386705
FBgn0035754	FBgn0030563	0.00846685936357271
FBgn0266099	FBgn0262588	0.00845687545878328
FBgn0028691	FBgn0053906	0.00845126217472541
FBgn0265204	FBgn0058100	0.00844548926835712
FBgn0040359	FBgn0264514	0.00844006119223571
FBgn0263706	FBgn0265912	0.00843973393915477
FBgn0260645	FBgn0000360	0.00841530525059124
FBgn0037123	FBgn0050457	0.0084066817934888
FBgn0267301	FBgn0050457	0.0084066817934888
FBgn0033395	FBgn0031273	0.00839683527078089
FBgn0050200	FBgn0031273	0.00839683527078089
FBgn0004003	FBgn0042187	0.00838448435376004
FBgn0001112	FBgn0043539	0.00836946778835678
FBgn0265901	FBgn0039768	0.00832500894170047
FBgn0040333	FBgn0034804	0.0083243822041506
FBgn0038205	FBgn0052189	0.00832313236406981
FBgn0085790	FBgn0267618	0.00831708619297328
FBgn0035458	FBgn0040729	0.00831267675103887
FBgn0262847	FBgn0267034	0.00830962935130467
FBgn0035545	FBgn0002855	0.00830312274882222
FBgn0261564	FBgn0002855	0.00830312274882222
FBgn0264708	FBgn0002855	0.00830312274882222
FBgn0263617	FBgn0267321	0.00826593174841148
FBgn0026174	FBgn0264264	0.00826464800041702
FBgn0000014	FBgn0003375	0.00824987308330782
FBgn0002945	FBgn0032184	0.00824536963017967
FBgn0052694	FBgn0267664	0.0082241844617104
FBgn0036655	FBgn0085277	0.00821515862154633
FBgn0004192	FBgn0085277	0.00821515862154633
FBgn0261995	FBgn0085277	0.00821515862154633
FBgn0030241	FBgn0060292	0.00820153882037595
FBgn0031980	FBgn0267807	0.00817927464815142
FBgn0044812	FBgn0038157	0.00817063091865093
FBgn0000140	FBgn0266732	0.00816633439383756
FBgn0264984	FBgn0037123	0.00814404719198573
FBgn0032790	FBgn0083018	0.00814144914291867
FBgn0032663	FBgn0042105	0.00813942273692524
FBgn0035204	FBgn0053117	0.00812675377130734
FBgn0023172	FBgn0053117	0.00812675377130734
FBgn0000594	FBgn0267110	0.00811775017994367
FBgn0035254	FBgn0265711	0.00811536544831872
FBgn0039596	FBgn0265711	0.00811536544831872
FBgn0025373	FBgn0267865	0.00808078648165501
FBgn0013278	FBgn0051813	0.00806433542945558
FBgn0053003	FBgn0263762	0.00804791510992096
FBgn0085761	FBgn0036010	0.00804736147070428
FBgn0038241	FBgn0050464	0.00800231181230277
FBgn0050281	FBgn0033591	0.00799406086613062
FBgn0265806	FBgn0039193	0.00799215948267603
FBgn0033817	FBgn0264722	0.00798944942897373
FBgn0266621	FBgn0034427	0.00798654818907136
FBgn0086362	FBgn0002631	0.00797033890877928
FBgn0050287	FBgn0052283	0.0079639553726222
FBgn0053082	FBgn0026384	0.00794976606173441
FBgn0038311	FBgn0053703	0.00794219561676777
FBgn0051956	FBgn0004181	0.0079391603068431
FBgn0031659	FBgn0082969	0.0079344151385792
FBgn0082934	FBgn0082948	0.00791159777617846
FBgn0000543	FBgn0034819	0.00790609535960702
FBgn0011787	FBgn0260869	0.00790564446956828
FBgn0039307	FBgn0265821	0.00786356611828644
FBgn0051368	FBgn0053535	0.00785198611026105
FBgn0031822	FBgn0263340	0.00783436401922973
FBgn0038470	FBgn0263844	0.00782192003463186
FBgn0032494	FBgn0266780	0.00781891824346522
FBgn0015946	FBgn0267683	0.00781308698979766
FBgn0053087	FBgn0035374	0.00781145462178103
FBgn0266843	FBgn0053239	0.0077965954560909
FBgn0036291	FBgn0053858	0.00777222870215313
FBgn0037469	FBgn0264480	0.00777208221373262
FBgn0034723	FBgn0083045	0.00776873910808382
FBgn0033597	FBgn0265877	0.00774268984854009
FBgn0065046	FBgn0036712	0.00773757046149426
FBgn0039525	FBgn0034427	0.00770711299323368
FBgn0266492	FBgn0267284	0.00770620334041579
FBgn0024329	FBgn0262822	0.00769151052696423
FBgn0031677	FBgn0086667	0.0076750751204539
FBgn0037183	FBgn0259190	0.00765639639415424
FBgn0053192	FBgn0266774	0.00762635088195817
FBgn0010504	FBgn0266774	0.00762635088195817
FBgn0038842	FBgn0050211	0.00761135184211682
FBgn0064227	FBgn0050211	0.00761135184211682
