gene,degree,betweenness,rank
FBgn0053496,2,10,820
FBgn0000499,1,0,367.25
FBgn0039777,2,1,773.25
FBgn0034483,1,0,367.25
FBgn0263333,1,0,367.25
FBgn0038658,2,13,822.5
FBgn0266762,1,0,367.25
FBgn0264702,1,0,367.25
FBgn0050075,1,0,367.25
FBgn0000056,1,0,367.25
FBgn0028387,2,1,773.25
FBgn0051872,2,1,773.25
FBgn0267539,1,0,367.25
FBgn0050280,1,0,367.25
FBgn0267176,1,0,367.25
FBgn0038033,1,0,367.25
FBgn0031407,1,0,367.25
FBgn0053773,1,0,367.25
FBgn0038773,1,0,367.25
FBgn0053511,1,0,367.25
FBgn0039818,1,0,367.25
FBgn0037454,1,0,367.25
FBgn0030162,3,5,848
FBgn0031208,1,0,367.25
FBgn0063449,1,0,367.25
FBgn0038186,1,0,367.25
FBgn0036361,2,1,773.25
FBgn0053986,1,0,367.25
FBgn0261582,1,0,367.25
FBgn0261861,1,0,367.25
FBgn0262807,1,0,367.25
FBgn0038217,1,0,367.25
FBgn0267491,2,42,828.5
FBgn0037526,1,0,367.25
FBgn0035107,1,0,367.25
FBgn0265051,1,0,367.25
FBgn0262998,2,3,801.25
FBgn0263511,1,0,367.25
FBgn0267203,1,0,367.25
FBgn0031335,1,0,367.25
FBgn0266086,1,0,367.25
FBgn0082585,3,25,861.25
FBgn0051406,2,6,816.25
FBgn0034507,2,2,789.75
FBgn0085311,1,0,367.25
FBgn0259795,1,0,367.25
FBgn0031908,1,0,367.25
FBgn0030208,1,0,367.25
FBgn0038709,1,0,367.25
FBgn0263655,1,0,367.25
FBgn0036056,1,0,367.25
FBgn0264817,1,0,367.25
FBgn0030437,1,0,367.25
FBgn0264789,1,0,367.25
FBgn0266868,1,0,367.25
FBgn0035730,1,0,367.25
FBgn0029812,1,0,367.25
FBgn0037534,1,0,367.25
FBgn0040648,1,0,367.25
FBgn0035196,1,0,367.25
FBgn0052720,1,0,367.25
FBgn0028421,1,0,367.25
FBgn0264539,1,0,367.25
FBgn0266773,1,0,367.25
FBgn0050485,1,0,367.25
FBgn0004381,1,0,367.25
FBgn0035923,1,0,367.25
FBgn0267673,1,0,367.25
FBgn0037227,1,0,367.25
FBgn0262944,1,0,367.25
FBgn0265721,1,0,367.25
FBgn0031897,1,0,367.25
FBgn0020497,1,0,367.25
FBgn0037680,1,0,367.25
FBgn0038887,1,0,367.25
FBgn0036888,1,0,367.25
FBgn0260230,1,0,367.25
FBgn0029861,1,0,367.25
FBgn0000078,1,0,367.25
FBgn0265715,1,0,367.25
FBgn0035687,1,0,367.25
FBgn0036529,2,4,810.25
FBgn0004863,1,0,367.25
FBgn0054046,1,0,367.25
FBgn0015300,2,1,773.25
FBgn0038902,1,0,367.25
FBgn0038273,1,0,367.25
FBgn0031786,1,0,367.25
FBgn0001341,1,0,367.25
FBgn0037042,1,0,367.25
FBgn0053333,1,0,367.25
FBgn0041249,1,0,367.25
FBgn0031711,1,0,367.25
FBgn0261616,1,0,367.25
FBgn0265870,1,0,367.25
FBgn0025573,1,0,367.25
FBgn0083010,1,0,367.25
FBgn0085200,1,0,367.25
FBgn0033271,1,0,367.25
FBgn0038330,1,0,367.25
FBgn0004860,2,3,801.25
FBgn0267417,1,0,367.25
FBgn0038205,1,0,367.25
FBgn0039797,1,0,367.25
FBgn0264378,1,0,367.25
FBgn0028468,1,0,367.25
FBgn0085295,1,0,367.25
FBgn0034842,2,1,773.25
FBgn0030804,1,0,367.25
FBgn0037239,1,0,367.25
FBgn0038356,1,0,367.25
FBgn0010388,1,0,367.25
FBgn0040382,1,0,367.25
FBgn0033961,1,0,367.25
FBgn0087040,1,0,367.25
FBgn0265895,3,25,861.25
FBgn0085233,1,0,367.25
FBgn0264822,1,0,367.25
FBgn0261286,1,0,367.25
FBgn0040729,1,0,367.25
FBgn0040066,1,0,367.25
FBgn0003377,3,43,863.5
FBgn0262099,2,2,789.75
FBgn0034655,1,0,367.25
FBgn0033278,1,0,367.25
FBgn0003744,1,0,367.25
FBgn0011694,3,3,835.75
FBgn0026076,1,0,367.25
FBgn0035299,2,1,773.25
FBgn0035850,1,0,367.25
FBgn0263442,1,0,367.25
FBgn0036881,1,0,367.25
FBgn0259185,2,2,789.75
FBgn0004197,2,1,773.25
FBgn0037829,1,0,367.25
FBgn0003257,1,0,367.25
FBgn0029821,2,1,773.25
FBgn0267218,2,2,789.75
FBgn0267192,1,0,367.25
FBgn0019809,1,0,367.25
FBgn0261550,1,0,367.25
FBgn0051851,1,0,367.25
FBgn0263382,1,0,367.25
FBgn0030433,1,0,367.25
FBgn0053283,2,2,789.75
FBgn0261808,1,0,367.25
FBgn0025865,1,0,367.25
FBgn0040723,2,1,773.25
FBgn0011880,1,0,367.25
FBgn0083046,1,0,367.25
FBgn0050048,1,0,367.25
FBgn0263409,2,2,789.75
FBgn0053784,1,0,367.25
FBgn0039441,1,0,367.25
FBgn0265978,1,0,367.25
FBgn0033572,1,0,367.25
FBgn0266004,1,0,367.25
FBgn0263761,1,0,367.25
FBgn0023096,1,0,367.25
FBgn0033524,1,0,367.25
FBgn0265766,1,0,367.25
FBgn0266003,1,0,367.25
FBgn0264748,1,0,367.25
FBgn0038311,1,0,367.25
FBgn0020880,1,0,367.25
FBgn0261706,4,21,869.25
FBgn0050067,3,3,835.75
FBgn0033526,1,0,367.25
FBgn0035886,1,0,367.25
FBgn0260953,1,0,367.25
FBgn0035795,1,0,367.25
FBgn0033363,1,0,367.25
FBgn0036913,1,0,367.25
FBgn0023181,1,0,367.25
FBgn0050237,1,0,367.25
FBgn0037036,2,0,577
FBgn0283429,1,0,367.25
FBgn0053245,1,0,367.25
FBgn0035965,1,0,367.25
FBgn0265525,1,0,367.25
FBgn0051816,1,0,367.25
FBgn0263992,1,0,367.25
FBgn0029753,1,0,367.25
FBgn0035479,1,0,367.25
FBgn0028847,4,45,873.75
FBgn0262576,1,0,367.25
FBgn0053891,1,0,367.25
FBgn0033450,2,7,818.5
FBgn0267631,2,1,773.25
FBgn0266322,1,0,367.25
FBgn0039580,3,5,848
FBgn0267266,1,0,367.25
FBgn0043865,3,11,855.25
FBgn0265547,1,0,367.25
FBgn0037855,1,0,367.25
FBgn0037773,1,0,367.25
FBgn0083038,2,1,773.25
FBgn0053895,3,17,859
FBgn0265272,1,0,367.25
FBgn0039449,1,0,367.25
FBgn0037792,1,0,367.25
FBgn0259230,1,0,367.25
FBgn0031091,1,0,367.25
FBgn0036496,1,0,367.25
FBgn0037622,1,0,367.25
FBgn0031129,1,0,367.25
FBgn0265722,4,3,845
FBgn0085353,1,0,367.25
FBgn0050417,1,0,367.25
FBgn0034506,1,0,367.25
FBgn0063496,1,0,367.25
FBgn0051576,1,0,367.25
FBgn0053062,1,0,367.25
FBgn0035083,1,0,367.25
FBgn0047199,1,0,367.25
FBgn0031649,1,0,367.25
FBgn0015520,1,0,367.25
FBgn0263652,1,0,367.25
FBgn0004635,1,0,367.25
FBgn0265551,2,3,801.25
FBgn0262608,2,1,773.25
FBgn0052026,1,0,367.25
FBgn0034834,3,5,848
FBgn0010383,1,0,367.25
FBgn0039495,1,0,367.25
FBgn0050042,1,0,367.25
FBgn0020546,1,0,367.25
FBgn0051946,1,0,367.25
FBgn0038816,1,0,367.25
FBgn0263271,1,0,367.25
FBgn0267452,1,0,367.25
FBgn0032252,1,0,367.25
FBgn0039945,1,0,367.25
FBgn0037364,1,0,367.25
FBgn0263207,2,3,801.25
FBgn0052633,4,17,868.25
FBgn0040487,1,0,367.25
FBgn0030904,1,0,367.25
FBgn0265979,2,2,789.75
FBgn0037139,2,1,773.25
FBgn0035669,1,0,367.25
FBgn0038612,1,0,367.25
FBgn0266984,1,0,367.25
FBgn0083936,1,0,367.25
FBgn0031248,1,0,367.25
FBgn0085239,2,3,801.25
FBgn0031939,1,0,367.25
FBgn0040996,1,0,367.25
FBgn0267569,1,0,367.25
FBgn0030951,4,53,874.25
FBgn0032143,1,0,367.25
FBgn0033774,1,0,367.25
FBgn0033834,1,0,367.25
FBgn0266803,1,0,367.25
FBgn0028903,1,0,367.25
FBgn0053489,1,0,367.25
FBgn0267423,1,0,367.25
FBgn0085325,1,0,367.25
FBgn0267545,1,0,367.25
FBgn0035027,1,0,367.25
FBgn0038147,1,0,367.25
FBgn0039483,1,0,367.25
FBgn0037325,1,0,367.25
FBgn0034021,1,0,367.25
FBgn0267748,1,0,367.25
FBgn0032231,1,0,367.25
FBgn0040571,1,0,367.25
FBgn0031065,1,0,367.25
FBgn0265338,1,0,367.25
FBgn0037664,2,3,801.25
