gene,degree,betweenness,rank
FBgn0037433,1,0,1832.25
FBgn0266197,3,55756.4006196417,5051.25
FBgn0030499,1,0,1832.25
FBgn0261705,1,0,1832.25
FBgn0035109,1,0,1832.25
FBgn0050272,2,2767,4289.25
FBgn0038714,1,0,1832.25
FBgn0267987,1,0,1832.25
FBgn0053867,1,0,1832.25
FBgn0003076,2,2767,4289.25
FBgn0039459,2,145366.150432901,4828
FBgn0030429,1,0,1832.25
FBgn0035742,2,2767,4289.25
FBgn0259193,1,0,1832.25
FBgn0039002,1,0,1832.25
FBgn0029727,1,0,1832.25
FBgn0030574,2,16148.1666666667,4524.5
FBgn0053496,2,94259.5858918864,4777
FBgn0031883,2,20632.5,4573
FBgn0266549,1,0,1832.25
FBgn0000014,1,0,1832.25
FBgn0027599,1,0,1832.25
FBgn0264980,1,0,1832.25
FBgn0039505,2,2767,4289.25
FBgn0030013,1,0,1832.25
FBgn0023169,1,0,1832.25
FBgn0015320,1,0,1832.25
FBgn0034232,1,0,1832.25
FBgn0085197,2,2767,4289.25
FBgn0031733,1,0,1832.25
FBgn0000499,1,0,1832.25
FBgn0039777,11,369727.784948646,5538.25
FBgn0003890,1,0,1832.25
FBgn0035000,1,0,1832.25
FBgn0036257,2,95089.5925463425,4778.5
FBgn0263466,1,0,1832.25
FBgn0008646,1,0,1832.25
FBgn0034483,4,103854.5,5268
FBgn0039519,1,0,1832.25
FBgn0029768,1,0,1832.25
FBgn0263240,1,0,1832.25
FBgn0033993,1,0,1832.25
FBgn0266260,1,0,1832.25
FBgn0033731,1,0,1832.25
FBgn0031283,1,0,1832.25
FBgn0039454,2,2,4013.75
FBgn0052369,1,0,1832.25
FBgn0266455,2,12,4142
FBgn0030525,3,18323.5583333334,4903.75
FBgn0263333,2,2,4013.75
FBgn0260859,1,0,1832.25
FBgn0266396,2,107814.204761904,4792
FBgn0261555,2,0,3013
FBgn0038658,7,353189.856906982,5490.75
FBgn0033248,8,27618,5254
FBgn0001269,1,0,1832.25
FBgn0020617,1,0,1832.25
FBgn0033969,1,0,1832.25
FBgn0266262,1,0,1832.25
FBgn0010774,1,0,1832.25
FBgn0035544,1,0,1832.25
FBgn0033569,2,15,4155.75
FBgn0052226,1,0,1832.25
FBgn0262516,1,0,1832.25
FBgn0265318,2,27560,4605
FBgn0038695,2,8295,4433.25
FBgn0039719,4,37642.5358585859,5133
FBgn0032755,3,22095,4934.5
FBgn0032329,2,8,4118.25
FBgn0030347,1,0,1832.25
FBgn0034712,1,0,1832.25
FBgn0028687,1,0,1832.25
FBgn0263802,1,0,1832.25
FBgn0034735,2,2767,4289.25
FBgn0037655,1,0,1832.25
FBgn0038448,1,0,1832.25
FBgn0001991,1,0,1832.25
FBgn0036815,1,0,1832.25
FBgn0259739,2,5532,4375.25
FBgn0034816,1,0,1832.25
FBgn0028997,1,0,1832.25
FBgn0038000,2,2,4013.75
FBgn0038642,2,14588.7599206349,4521
FBgn0267299,1,0,1832.25
FBgn0035610,1,0,1832.25
FBgn0030086,1,0,1832.25
FBgn0264703,2,58773.0294865589,4703.5
FBgn0034181,1,0,1832.25
FBgn0039674,2,2767,4289.25
FBgn0266762,6,50616.7940476189,5284.5
FBgn0024945,1,0,1832.25
FBgn0029518,1,0,1832.25
FBgn0010395,2,2767,4289.25
FBgn0032381,1,0,1832.25
FBgn0031779,2,41521.4849567099,4664.5
FBgn0052298,1,0,1832.25
FBgn0267679,1,0,1832.25
FBgn0264702,1,0,1832.25
FBgn0003744,3,105743.102380952,5143.25
FBgn0050075,2,19976.5023809524,4568
FBgn0030280,1,0,1832.25
FBgn0264818,4,30835.8523809523,5104
FBgn0000056,1,0,1832.25
FBgn0052330,2,8295,4433.25
FBgn0028387,2,4,4072.75
FBgn0051872,2,9660,4464.25
FBgn0053468,3,42682.8324007039,5020.75
FBgn0035203,2,36,4189.5
FBgn0034377,3,68,4561.25
FBgn0028970,2,4,4072.75
FBgn0052713,2,20,4167.5
FBgn0267539,2,3,4046.75
FBgn0267245,2,48284.7567460316,4684.5
FBgn0028904,2,25143.0948073168,4598
FBgn0083048,1,0,1832.25
FBgn0265792,2,13815,4502.5
FBgn0050280,1,0,1832.25
FBgn0033547,1,0,1832.25
FBgn0262362,1,0,1832.25
FBgn0041231,1,0,1832.25
FBgn0262167,1,0,1832.25
FBgn0267176,1,0,1832.25
FBgn0031900,1,0,1832.25
FBgn0031596,8,32521.6352835073,5273
FBgn0025879,3,23,4528.5
FBgn0264878,2,18,4163.75
FBgn0033285,4,11022.5,4946.5
FBgn0037700,1,0,1832.25
FBgn0050156,2,2767,4289.25
FBgn0038033,2,113135.129986681,4798
FBgn0031407,6,93205.3037864914,5370.5
FBgn0265868,3,19333,4913.25
FBgn0265370,1,0,1832.25
FBgn0029707,3,8298,4809.75
FBgn0263602,1,0,1832.25
FBgn0002645,2,22080,4577.5
FBgn0052581,1,0,1832.25
FBgn0033917,3,16577,4890.75
FBgn0265457,3,102750.257037407,5138.75
FBgn0053773,5,131666.495347708,5369.75
FBgn0034456,3,154678.76984127,5186.75
FBgn0035873,2,5,4087.75
FBgn0033413,1,0,1832.25
FBgn0038773,4,71341,5214.75
FBgn0033928,1,0,1832.25
FBgn0264081,2,11056,4471.75
FBgn0263399,2,15859.1992063492,4524
FBgn0031127,1,0,1832.25
FBgn0039861,1,0,1832.25
FBgn0260392,1,0,1832.25
FBgn0053160,1,0,1832.25
FBgn0040992,1,0,1832.25
FBgn0034913,2,46767,4678
FBgn0035003,3,62747.8929667551,5067.75
FBgn0027504,1,0,1832.25
FBgn0039483,3,46783,5032.75
FBgn0031288,1,0,1832.25
FBgn0037364,3,87668.3365786519,5121.75
FBgn0053511,2,7,4112
FBgn0039153,2,1093.23333333333,4223
FBgn0038045,2,19327,4555.75
FBgn0033904,1,0,1832.25
FBgn0266778,1,0,1832.25
FBgn0000286,1,0,1832.25
FBgn0087021,1,0,1832.25
FBgn0031816,1,0,1832.25
FBgn0037149,1,0,1832.25
FBgn0051526,3,173356.344214119,5192.25
FBgn0040010,1,0,1832.25
FBgn0035087,2,0,3013
FBgn0039818,1,0,1832.25
FBgn0266318,8,29599.6452380953,5260.5
FBgn0038722,3,17537.5666666667,4900.25
FBgn0264500,1,0,1832.25
FBgn0002533,1,0,1832.25
FBgn0266457,1,0,1832.25
FBgn0028948,2,0,3013
FBgn0034276,1,0,1832.25
FBgn0283430,1,0,1832.25
FBgn0035085,1,0,1832.25
FBgn0051874,1,0,1832.25
FBgn0000233,1,0,1832.25
FBgn0038638,2,32,4184.5
FBgn0003312,2,2767,4289.25
FBgn0261984,1,0,1832.25
FBgn0035571,2,82266.0327700077,4754.5
FBgn0267475,2,8739.65740648241,4462
FBgn0029996,1,0,1832.25
FBgn0034491,1,0,1832.25
FBgn0003964,2,55,4202.5
FBgn0052673,2,15,4155.75
FBgn0000032,1,0,1832.25
FBgn0037069,1,0,1832.25
FBgn0028537,2,30281.2564213564,4617.5
FBgn0035468,2,1,3965.25
FBgn0002914,1,0,1832.25
FBgn0025832,2,2767,4289.25
FBgn0266678,1,0,1832.25
FBgn0037731,1,0,1832.25
FBgn0264565,1,0,1832.25
FBgn0263271,3,74454.7321428572,5092.25
FBgn0267722,1,0,1832.25
FBgn0033074,1,0,1832.25
FBgn0037454,2,2767,4289.25
FBgn0085200,4,68044.0846787436,5208
FBgn0029084,1,0,1832.25
FBgn0036859,1,0,1832.25
FBgn0039404,1,0,1832.25
FBgn0036183,1,0,1832.25
FBgn0030162,4,88224.0265023956,5250.5
FBgn0266459,1,0,1832.25
FBgn0031208,3,32125.7404761905,4981.25
FBgn0030518,1,0,1832.25
FBgn0034785,2,1,3965.25
FBgn0034049,1,0,1832.25
FBgn0037487,1,0,1832.25
FBgn0063449,2,1,3965.25
FBgn0267099,1,0,1832.25
FBgn0034827,3,221091.485225885,5206.75
FBgn0034838,1,0,1832.25
FBgn0036203,3,91348.7084054834,5128.75
FBgn0261634,2,2767,4289.25
FBgn0035995,2,38556,4654
FBgn0051773,2,68575,4727.5
FBgn0053105,1,0,1832.25
FBgn0265957,1,0,1832.25
FBgn0000279,2,12,4142
FBgn0038186,1,0,1832.25
FBgn0036361,6,45,4792.25
FBgn0053986,1,0,1832.25
FBgn0261582,3,13819,4861
FBgn0002989,1,0,1832.25
FBgn0037398,2,1,3965.25
FBgn0266115,1,0,1832.25
FBgn0034301,2,16572,4531.5
FBgn0037933,1,0,1832.25
FBgn0266736,1,0,1832.25
FBgn0035140,1,0,1832.25
FBgn0039852,2,32665.6071988796,4629.5
FBgn0029813,2,22239.7950462283,4585
FBgn0037970,2,34175.8552388224,4640
FBgn0034612,2,2767,4289.25
FBgn0264877,1,0,1832.25
FBgn0261861,2,2767,4289.25
FBgn0260764,1,0,1832.25
FBgn0036309,1,0,1832.25
FBgn0262580,3,5533,4761.75
FBgn0065081,2,2767,4289.25
FBgn0002525,1,0,1832.25
FBgn0050259,2,88,4211.5
FBgn0032076,3,16598.5464285714,4897.75
FBgn0033277,1,0,1832.25
FBgn0025777,1,0,1832.25
FBgn0039152,2,8209.8812548563,4425.75
FBgn0031905,2,90163.9119047618,4773
FBgn0027598,1,0,1832.25
FBgn0034460,1,0,1832.25
FBgn0050082,1,0,1832.25
FBgn0262807,1,0,1832.25
FBgn0032189,1,0,1832.25
FBgn0030921,1,0,1832.25
FBgn0020279,2,5532,4375.25
FBgn0039714,1,0,1832.25
FBgn0038217,1,0,1832.25
FBgn0032590,1,0,1832.25
FBgn0014006,1,0,1832.25
FBgn0037039,2,5532,4375.25
FBgn0038200,1,0,1832.25
FBgn0029716,1,0,1832.25
FBgn0051559,2,2767,4289.25
FBgn0267491,2,41944.967483905,4666
FBgn0037526,1,0,1832.25
FBgn0036711,1,0,1832.25
FBgn0039417,3,5533,4761.75
FBgn0035089,3,22095,4934.5
FBgn0036592,3,5533,4761.75
FBgn0265053,2,30233.3142857142,4617
FBgn0265872,1,0,1832.25
FBgn0000464,1,0,1832.25
FBgn0035107,1,0,1832.25
FBgn0265051,6,119558.852916039,5399
FBgn0267628,1,0,1832.25
FBgn0033095,1,0,1832.25
FBgn0038006,2,5532,4375.25
FBgn0050484,2,2767,4289.25
FBgn0262998,5,11062,5037.5
FBgn0033867,1,0,1832.25
FBgn0034817,1,0,1832.25
FBgn0032601,1,0,1832.25
FBgn0263511,2,17254.59491342,4544.5
FBgn0035673,5,208522.377328897,5396.25
FBgn0033688,2,30569.4295038295,4621.5
FBgn0267995,1,0,1832.25
FBgn0266248,1,0,1832.25
FBgn0035959,1,0,1832.25
FBgn0036451,1,0,1832.25
FBgn0004885,1,0,1832.25
FBgn0016920,1,0,1832.25
FBgn0032225,3,98073.2452380959,5135.25
FBgn0014032,3,18791.1880952381,4905.25
FBgn0030451,2,2,4013.75
FBgn0027793,1,0,1832.25
FBgn0038450,2,2767,4289.25
FBgn0267203,1,0,1832.25
FBgn0259896,1,0,1832.25
FBgn0266717,3,296721.835714285,5217.25
FBgn0021847,2,46197.2611111111,4675.5
FBgn0250904,1,0,1832.25
FBgn0039380,1,0,1832.25
FBgn0039908,2,120,4216
FBgn0051948,2,63501.5238095239,4718
FBgn0031335,1,0,1832.25
FBgn0052817,2,5532,4375.25
FBgn0024234,2,9,4124.25
FBgn0265200,1,0,1832.25
FBgn0038365,1,0,1832.25
FBgn0266937,2,5532,4375.25
FBgn0259139,1,0,1832.25
FBgn0267030,2,39401.6573061742,4658.5
FBgn0266086,2,58538.6899225774,4702.5
FBgn0040045,2,21525.4047619047,4575
FBgn0035857,1,0,1832.25
FBgn0265864,2,19327,4555.75
FBgn0082585,4,30346,5101
FBgn0031997,2,35115.8158008659,4642.5
FBgn0053893,3,214415.345148217,5203.75
FBgn0025839,1,0,1832.25
FBgn0015039,1,0,1832.25
FBgn0051406,2,2767,4289.25
FBgn0052196,2,24,4176.5
FBgn0033691,1,0,1832.25
FBgn0265075,1,0,1832.25
FBgn0265139,1,0,1832.25
FBgn0037339,3,35837,5000.75
FBgn0034507,3,2968.5,4706.75
FBgn0053532,2,2767,4289.25
FBgn0085311,2,76509.8587912089,4742.5
FBgn0039612,1,0,1832.25
FBgn0267951,4,122146.236560662,5289
FBgn0267952,1,0,1832.25
FBgn0052064,1,0,1832.25
FBgn0050428,1,0,1832.25
FBgn0038073,2,31220.0841269841,4624.5
FBgn0038357,2,24831,4591
FBgn0040068,2,46418.8742424241,4676.5
FBgn0263498,1,0,1832.25
FBgn0040755,7,315877.758553946,5487.75
FBgn0035021,1,0,1832.25
FBgn0085294,2,2767,4289.25
FBgn0263463,1,0,1832.25
FBgn0267611,2,17,4161
FBgn0031702,2,8295,4433.25
FBgn0051259,1,0,1832.25
FBgn0037626,2,16572,4531.5
FBgn0035240,1,0,1832.25
FBgn0259795,1,0,1832.25
FBgn0031908,1,0,1832.25
FBgn0030208,1,0,1832.25
FBgn0083003,1,0,1832.25
FBgn0040319,1,0,1832.25
FBgn0033356,1,0,1832.25
FBgn0037566,1,0,1832.25
FBgn0085424,1,0,1832.25
FBgn0033342,1,0,1832.25
FBgn0034568,1,0,1832.25
FBgn0085212,2,46767,4678
FBgn0263325,1,0,1832.25
FBgn0264911,3,157697,5187.75
FBgn0266254,2,220252,4852.5
FBgn0015569,1,0,1832.25
FBgn0083055,2,2767,4289.25
FBgn0030189,2,2767,4289.25
FBgn0039651,1,0,1832.25
FBgn0052733,2,5,4087.75
FBgn0002733,1,0,1832.25
FBgn0035158,1,0,1832.25
FBgn0038709,2,5532,4375.25
FBgn0260713,3,11059,4833.5
FBgn0046793,1,0,1832.25
FBgn0010109,1,0,1832.25
FBgn0263655,1,0,1832.25
FBgn0029725,1,0,1832.25
FBgn0019990,2,2767,4289.25
FBgn0036056,1,0,1832.25
FBgn0036709,1,0,1832.25
FBgn0267453,3,97722.0646825399,5134.75
FBgn0266041,2,13740.6454406705,4499.5
FBgn0036905,2,77415.9416666667,4746
FBgn0001202,2,15594.4285714285,4522.5
FBgn0052374,1,0,1832.25
FBgn0039779,1,0,1832.25
FBgn0026390,1,0,1832.25
FBgn0032377,1,0,1832.25
FBgn0024184,4,222339.047925995,5334.5
FBgn0052191,1,0,1832.25
FBgn0052086,1,0,1832.25
FBgn0037449,1,0,1832.25
FBgn0267174,1,0,1832.25
FBgn0260399,2,11056,4471.75
FBgn0052058,1,0,1832.25
FBgn0035161,1,0,1832.25
FBgn0032138,1,0,1832.25
FBgn0034618,1,0,1832.25
FBgn0052445,1,0,1832.25
FBgn0030000,1,0,1832.25
FBgn0032981,2,27580,4606.5
FBgn0031566,1,0,1832.25
FBgn0265830,1,0,1832.25
FBgn0036484,2,1,3965.25
FBgn0040251,1,0,1832.25
FBgn0001281,1,0,1832.25
FBgn0039680,4,413747.378841206,5350
FBgn0267005,1,0,1832.25
FBgn0264817,1,0,1832.25
FBgn0030437,4,84051.8958076402,5240.5
FBgn0050325,3,25977.7924263645,4955.75
FBgn0261811,1,0,1832.25
FBgn0031873,1,0,1832.25
FBgn0003074,1,0,1832.25
FBgn0035849,3,8287,4780.25
FBgn0032051,1,0,1832.25
FBgn0038032,2,11056,4471.75
FBgn0267567,2,44608.8576126487,4673.5
FBgn0037389,3,81273.2277417027,5106.25
FBgn0036764,1,0,1832.25
FBgn0032479,1,0,1832.25
FBgn0261573,1,0,1832.25
FBgn0020249,1,0,1832.25
FBgn0050000,1,0,1832.25
FBgn0027515,1,0,1832.25
FBgn0051029,3,13819,4861
FBgn0264789,1,0,1832.25
FBgn0032087,1,0,1832.25
FBgn0033884,1,0,1832.25
FBgn0266868,1,0,1832.25
FBgn0030033,1,0,1832.25
FBgn0038751,2,2767,4289.25
FBgn0034784,1,0,1832.25
FBgn0263483,2,5532,4375.25
FBgn0035730,2,5532,4375.25
FBgn0029812,2,2767,4289.25
FBgn0033540,1,0,1832.25
FBgn0034198,3,8297,4799
FBgn0038519,1,0,1832.25
FBgn0260428,2,70602.6944722373,4732
FBgn0036218,1,0,1832.25
FBgn0052278,1,0,1832.25
FBgn0035343,2,16357.8091991342,4526.5
FBgn0267934,3,47069.4404761904,5034.75
FBgn0266638,1,0,1832.25
FBgn0267502,1,0,1832.25
FBgn0026722,1,0,1832.25
FBgn0052161,2,20,4167.5
FBgn0052826,3,5533,4761.75
FBgn0038344,1,0,1832.25
FBgn0035854,2,2767,4289.25
FBgn0032688,3,109112.283510934,5146.75
FBgn0033821,1,0,1832.25
FBgn0082935,2,16572,4531.5
FBgn0260447,2,5532,4375.25
FBgn0263768,1,0,1832.25
FBgn0037534,1,0,1832.25
FBgn0263072,1,0,1832.25
FBgn0034224,1,0,1832.25
FBgn0040648,1,0,1832.25
FBgn0015247,1,0,1832.25
FBgn0038248,1,0,1832.25
FBgn0263488,1,0,1832.25
FBgn0033723,2,13815,4502.5
FBgn0260759,1,0,1832.25
FBgn0038388,2,36,4189.5
FBgn0035196,4,200351.519280662,5325.5
FBgn0042101,2,8295,4433.25
FBgn0261804,1,0,1832.25
FBgn0010339,1,0,1832.25
FBgn0052720,3,35,4541
FBgn0039802,1,0,1832.25
FBgn0086080,3,5,4441.5
FBgn0036520,1,0,1832.25
FBgn0264862,3,33092,4987.75
FBgn0036585,1,0,1832.25
FBgn0266489,1,0,1832.25
FBgn0028421,1,0,1832.25
FBgn0039677,1,0,1832.25
FBgn0085351,1,0,1832.25
FBgn0265363,1,0,1832.25
FBgn0038788,1,0,1832.25
FBgn0267047,2,5532,4375.25
FBgn0037478,1,0,1832.25
FBgn0004915,2,11056,4471.75
FBgn0086680,1,0,1832.25
