gene,degree,betweenness,rank
FBgn0267090,2,6,1389.5
FBgn0267538,1,0,629.5
FBgn0267222,1,0,629.5
FBgn0266804,2,3,1370
FBgn0283508,3,3,1427.5
FBgn0032763,2,16,1415.75
FBgn0002535,1,0,629.5
FBgn0266970,2,3,1370
FBgn0031409,1,0,629.5
FBgn0267616,2,8,1399.75
FBgn0038331,1,0,629.5
FBgn0267677,1,0,629.5
FBgn0265663,1,0,629.5
FBgn0039634,1,0,629.5
FBgn0038584,2,5,1383.75
FBgn0053290,1,0,629.5
FBgn0025806,2,8,1399.75
FBgn0085231,1,0,629.5
FBgn0034473,1,0,629.5
FBgn0038429,1,0,629.5
FBgn0035636,1,0,629.5
FBgn0038797,1,0,629.5
FBgn0262991,1,0,629.5
FBgn0069969,1,0,629.5
FBgn0039188,1,0,629.5
FBgn0041252,1,0,629.5
FBgn0035632,1,0,629.5
FBgn0264479,2,4,1379
FBgn0040588,2,8,1399.75
FBgn0003205,1,0,629.5
FBgn0038143,2,1,1324.75
FBgn0259230,2,8,1399.75
FBgn0265966,1,0,629.5
FBgn0034266,1,0,629.5
FBgn0265372,3,44,1484
FBgn0262353,1,0,629.5
FBgn0039461,1,0,629.5
FBgn0053927,2,1,1324.75
FBgn0283426,1,0,629.5
FBgn0035328,1,0,629.5
FBgn0039459,1,0,629.5
FBgn0013683,1,0,629.5
FBgn0025681,1,0,629.5
FBgn0005411,1,0,629.5
FBgn0045478,1,0,629.5
FBgn0030206,1,0,629.5
FBgn0038181,1,0,629.5
FBgn0051956,1,0,629.5
FBgn0033463,1,0,629.5
FBgn0264712,1,0,629.5
FBgn0004414,1,0,629.5
FBgn0263472,2,7,1394.5
FBgn0051580,1,0,629.5
FBgn0038499,1,0,629.5
FBgn0050493,1,0,629.5
FBgn0052529,2,2,1354.75
FBgn0035064,1,0,629.5
FBgn0030090,1,0,629.5
FBgn0033539,2,14,1411.25
FBgn0036184,1,0,629.5
FBgn0065080,1,0,629.5
FBgn0034724,1,0,629.5
FBgn0025391,1,0,629.5
