gene,degree,betweenness,rank
FBgn0265581,1,0,1378.5
FBgn0267127,1,0,1378.5
FBgn0267090,4,744,3533.75
FBgn0034569,2,325,3265.75
FBgn0267538,1,0,1378.5
FBgn0032214,1,0,1378.5
FBgn0030298,1,0,1378.5
FBgn0267222,1,0,1378.5
FBgn0266804,3,17,3307.75
FBgn0283508,3,8,3253
FBgn0032763,2,1988,3320.75
FBgn0002535,1,0,1378.5
FBgn0267223,1,0,1378.5
FBgn0266970,4,41,3418.75
FBgn0034479,2,5915,3341.75
FBgn0261845,1,0,1378.5
FBgn0031409,1,0,1378.5
FBgn0085478,1,0,1378.5
FBgn0035028,2,8,3072
FBgn0026361,2,28,3152
FBgn0267616,2,24,3144.75
FBgn0038331,1,0,1378.5
FBgn0040342,1,0,1378.5
FBgn0086265,1,0,1378.5
FBgn0260766,1,0,1378.5
FBgn0039259,1,0,1378.5
FBgn0267677,1,0,1378.5
FBgn0265663,1,0,1378.5
FBgn0003463,1,0,1378.5
FBgn0260396,2,12,3105.5
FBgn0266040,2,596,3284.25
FBgn0031711,1,0,1378.5
FBgn0003175,1,0,1378.5
FBgn0038547,2,1460,3307.5
FBgn0039634,1,0,1378.5
FBgn0038584,3,309,3444.75
FBgn0040261,1,0,1378.5
FBgn0053290,1,0,1378.5
FBgn0262839,2,3534.66666666667,3335.75
FBgn0031276,1,0,1378.5
FBgn0025806,2,42,3176.5
FBgn0031455,1,0,1378.5
FBgn0053679,1,0,1378.5
FBgn0085231,1,0,1378.5
FBgn0031494,1,0,1378.5
FBgn0034473,2,2,2981
FBgn0267743,2,10,3091
FBgn0038429,1,0,1378.5
FBgn0035636,2,504,3279
FBgn0086048,1,0,1378.5
FBgn0038797,1,0,1378.5
FBgn0036916,1,0,1378.5
FBgn0038507,1,0,1378.5
FBgn0265685,2,101,3211
FBgn0036529,2,1043,3298.25
FBgn0262991,1,0,1378.5
FBgn0069969,1,0,1378.5
FBgn0039188,1,0,1378.5
FBgn0041252,1,0,1378.5
FBgn0266456,1,0,1378.5
FBgn0029709,1,0,1378.5
FBgn0035632,1,0,1378.5
FBgn0028687,1,0,1378.5
FBgn0264479,3,2495,3507.75
FBgn0040588,2,156,3238.75
FBgn0003205,1,0,1378.5
FBgn0038143,2,6,3053.25
FBgn0023521,1,0,1378.5
FBgn0262475,1,0,1378.5
FBgn0259230,2,42,3176.5
FBgn0023083,1,0,1378.5
FBgn0053286,2,20,3134.5
FBgn0263213,1,0,1378.5
FBgn0030707,1,0,1378.5
FBgn0265966,2,152,3227.5
FBgn0061361,1,0,1378.5
FBgn0034266,1,0,1378.5
FBgn0052418,1,0,1378.5
FBgn0033301,2,5,3041.25
FBgn0038237,1,0,1378.5
FBgn0265372,4,613,3530.5
FBgn0262353,2,11,3098.75
FBgn0039461,1,0,1378.5
FBgn0035213,1,0,1378.5
FBgn0265693,1,0,1378.5
FBgn0004364,1,0,1378.5
FBgn0029712,1,0,1378.5
FBgn0032525,1,0,1378.5
FBgn0033810,1,0,1378.5
FBgn0032811,2,42,3176.5
FBgn0266525,1,0,1378.5
FBgn0029765,2,1445,3305.75
FBgn0013773,1,0,1378.5
FBgn0053927,3,39,3352
FBgn0283426,1,0,1378.5
FBgn0015803,1,0,1378.5
FBgn0035328,2,7,3064.25
FBgn0260458,1,0,1378.5
FBgn0039459,1,0,1378.5
FBgn0031600,1,0,1378.5
FBgn0022027,1,0,1378.5
FBgn0267348,1,0,1378.5
FBgn0004903,1,0,1378.5
FBgn0004838,1,0,1378.5
FBgn0013683,1,0,1378.5
FBgn0025681,1,0,1378.5
FBgn0036450,1,0,1378.5
FBgn0005411,1,0,1378.5
FBgn0045478,1,0,1378.5
FBgn0030206,1,0,1378.5
FBgn0263029,2,2,2981
FBgn0038181,1,0,1378.5
FBgn0028675,1,0,1378.5
FBgn0003867,1,0,1378.5
FBgn0033980,2,392,3268.75
FBgn0259736,1,0,1378.5
FBgn0260447,1,0,1378.5
FBgn0039831,1,0,1378.5
FBgn0051956,1,0,1378.5
FBgn0033463,1,0,1378.5
FBgn0032390,1,0,1378.5
FBgn0264712,1,0,1378.5
FBgn0264541,1,0,1378.5
FBgn0031801,1,0,1378.5
FBgn0004414,1,0,1378.5
FBgn0263472,3,71,3374.5
FBgn0028939,1,0,1378.5
FBgn0051580,3,2207,3505.25
FBgn0038499,1,0,1378.5
FBgn0028518,1,0,1378.5
FBgn0039301,1,0,1378.5
FBgn0038959,1,0,1378.5
FBgn0264599,1,0,1378.5
FBgn0033850,2,1,2928.75
FBgn0267322,1,0,1378.5
FBgn0040922,1,0,1378.5
FBgn0033437,1,0,1378.5
FBgn0050493,2,9,3081.5
FBgn0052529,2,120,3217
FBgn0016013,1,0,1378.5
FBgn0035064,2,155,3234.75
FBgn0030090,1,0,1378.5
FBgn0033972,1,0,1378.5
FBgn0030598,1,0,1378.5
FBgn0033539,2,280,3255.75
FBgn0039069,1,0,1378.5
FBgn0003751,1,0,1378.5
FBgn0053121,2,2117,3321.25
FBgn0267287,1,0,1378.5
FBgn0086350,1,0,1378.5
FBgn0032956,1,0,1378.5
FBgn0041243,1,0,1378.5
FBgn0260990,2,4,3030.75
FBgn0065095,2,155,3234.75
FBgn0036184,1,0,1378.5
FBgn0030770,1,0,1378.5
FBgn0033912,1,0,1378.5
FBgn0052693,1,0,1378.5
FBgn0264509,2,882,3292
FBgn0034822,1,0,1378.5
FBgn0050154,1,0,1378.5
FBgn0031516,1,0,1378.5
FBgn0053092,1,0,1378.5
FBgn0261697,2,1,2928.75
FBgn0030611,1,0,1378.5
FBgn0035980,1,0,1378.5
FBgn0037470,1,0,1378.5
FBgn0052571,1,0,1378.5
FBgn0016061,1,0,1378.5
FBgn0263395,1,0,1378.5
FBgn0014010,3,429,3452
FBgn0030756,1,0,1378.5
FBgn0003023,1,0,1378.5
FBgn0065080,1,0,1378.5
FBgn0032876,1,0,1378.5
FBgn0034724,1,0,1378.5
FBgn0037535,1,0,1378.5
FBgn0046888,4,133,3466.25
