gene,degree,betweenness,rank
FBgn0263463,1,0,1231.75
FBgn0035887,4,70188.9354978355,3392.25
FBgn0028986,2,210,2887
FBgn0035520,1,0,1231.75
FBgn0264265,1,0,1231.75
FBgn0082967,1,0,1231.75
FBgn0053775,1,0,1231.75
FBgn0033238,2,1,2641
FBgn0034963,3,152506,3313.75
FBgn0015000,1,0,1231.75
FBgn0003310,2,11,2794.25
FBgn0038788,1,0,1231.75
FBgn0038938,1,0,1231.75
FBgn0027585,1,0,1231.75
FBgn0036480,1,0,1231.75
FBgn0036958,1,0,1231.75
FBgn0011829,2,6616,3023.25
FBgn0266632,2,13374.1666666667,3048.5
FBgn0267707,1,0,1231.75
FBgn0029894,2,2,2688.75
FBgn0263763,1,0,1231.75
FBgn0054049,1,0,1231.75
FBgn0011890,2,30,2834.25
FBgn0030121,1,0,1231.75
FBgn0266862,1,0,1231.75
FBgn0262513,2,32499.2645021645,3076.5
FBgn0040519,2,14,2804.75
FBgn0030377,3,4851.4,3213.75
FBgn0053510,1,0,1231.75
FBgn0050460,1,0,1231.75
FBgn0265895,6,187398.546320347,3461.75
FBgn0032877,1,0,1231.75
FBgn0033202,1,0,1231.75
FBgn0014127,1,0,1231.75
FBgn0002440,1,0,1231.75
FBgn0261561,1,0,1231.75
FBgn0029920,1,0,1231.75
FBgn0033993,1,0,1231.75
FBgn0028583,3,7,2977.5
FBgn0265846,2,834,2926.75
FBgn0038302,1,0,1231.75
FBgn0050151,1,0,1231.75
FBgn0259702,3,1667,3169.25
FBgn0267441,3,16553.5000000001,3260.25
FBgn0035591,1,0,1231.75
FBgn0034662,1,0,1231.75
FBgn0035741,1,0,1231.75
FBgn0031861,1,0,1231.75
FBgn0034425,1,0,1231.75
FBgn0033344,1,0,1231.75
FBgn0027556,1,0,1231.75
FBgn0032231,1,0,1231.75
FBgn0053310,3,5808,3223.75
FBgn0030599,1,0,1231.75
FBgn0031465,1,0,1231.75
FBgn0036363,2,30,2834.25
FBgn0040487,3,41671.1666666666,3286.75
FBgn0053288,1,0,1231.75
FBgn0266047,1,0,1231.75
FBgn0034099,2,45,2849.25
FBgn0036715,1,0,1231.75
FBgn0261380,1,0,1231.75
FBgn0053648,4,6699.50000000004,3318.75
FBgn0264739,1,0,1231.75
FBgn0037879,1,0,1231.75
FBgn0011566,1,0,1231.75
FBgn0029948,2,10686,3040.5
FBgn0035405,1,0,1231.75
FBgn0000239,1,0,1231.75
FBgn0261697,1,0,1231.75
FBgn0015010,1,0,1231.75
FBgn0051682,1,0,1231.75
FBgn0263027,2,2,2688.75
FBgn0086027,1,0,1231.75
FBgn0034463,2,14,2804.75
FBgn0014023,2,28,2830
FBgn0083021,1,0,1231.75
FBgn0085240,1,0,1231.75
FBgn0030120,2,4,2743.25
FBgn0036395,1,0,1231.75
FBgn0083985,2,0,1988.5
FBgn0004406,1,0,1231.75
FBgn0085222,1,0,1231.75
FBgn0267147,1,0,1231.75
FBgn0035218,2,24,2824.25
FBgn0037944,2,29279.4199134199,3074.5
FBgn0035510,1,0,1231.75
FBgn0052755,2,6,2766
FBgn0036380,1,0,1231.75
FBgn0025186,2,25696,3071.25
FBgn0039258,2,72,2865
FBgn0033164,1,0,1231.75
FBgn0266701,1,0,1231.75
FBgn0051130,3,55,3059
FBgn0259972,4,111.5,3165.75
FBgn0010292,1,0,1231.75
FBgn0031574,1,0,1231.75
FBgn0265533,1,0,1231.75
FBgn0031728,3,23,3027.25
FBgn0038046,3,59.5,3061.75
FBgn0029153,1,0,1231.75
FBgn0086054,2,3,2719.5
FBgn0260996,3,124,3081.25
FBgn0264553,2,172746,3110
FBgn0260657,1,0,1231.75
FBgn0040069,2,234,2888.5
FBgn0051077,1,0,1231.75
FBgn0262166,1,0,1231.75
FBgn0002578,3,24954,3274.75
FBgn0035380,2,4974,3011
FBgn0086022,1,0,1231.75
FBgn0033459,1,0,1231.75
FBgn0051016,1,0,1231.75
FBgn0264550,3,7,2977.5
FBgn0083938,1,0,1231.75
FBgn0037224,2,925,2946
FBgn0039850,1,0,1231.75
FBgn0032590,4,35943.7,3371.25
FBgn0036440,1,0,1231.75
FBgn0027561,1,0,1231.75
FBgn0051010,2,834,2926.75
FBgn0037092,1,0,1231.75
FBgn0011239,1,0,1231.75
FBgn0265200,1,0,1231.75
FBgn0250831,1,0,1231.75
FBgn0028573,2,8,2778
FBgn0011672,1,0,1231.75
FBgn0266371,2,70,2864
FBgn0016698,1,0,1231.75
FBgn0265576,2,80,2866.75
FBgn0264618,1,0,1231.75
FBgn0083001,1,0,1231.75
FBgn0014859,1,0,1231.75
FBgn0265454,1,0,1231.75
FBgn0035393,1,0,1231.75
FBgn0053483,2,6,2766
FBgn0035725,1,0,1231.75
FBgn0000395,1,0,1231.75
FBgn0032809,1,0,1231.75
FBgn0028562,1,0,1231.75
FBgn0001296,1,0,1231.75
FBgn0010421,1,0,1231.75
FBgn0031417,2,28,2830
FBgn0003475,1,0,1231.75
FBgn0265998,1,0,1231.75
FBgn0065046,5,205,3216
FBgn0052086,1,0,1231.75
FBgn0039190,1,0,1231.75
FBgn0267677,2,168,2880.75
FBgn0086082,2,60,2857.5
FBgn0032462,4,19487,3353.25
FBgn0267010,1,0,1231.75
FBgn0053200,1,0,1231.75
FBgn0267299,2,16,2813.75
FBgn0032248,1,0,1231.75
FBgn0267758,1,0,1231.75
FBgn0042083,2,3,2719.5
FBgn0000056,1,0,1231.75
FBgn0040077,1,0,1231.75
FBgn0031036,1,0,1231.75
FBgn0039126,1,0,1231.75
FBgn0034176,2,8,2778
FBgn0262534,5,158983.546320346,3439.75
FBgn0037779,1,0,1231.75
FBgn0032285,3,834,3131.5
FBgn0036196,2,10594,3039.5
FBgn0039411,1,0,1231.75
FBgn0034296,1,0,1231.75
FBgn0025463,1,0,1231.75
FBgn0037718,1,0,1231.75
FBgn0266211,2,13906,3049.5
FBgn0053532,2,85800,3106
FBgn0036929,1,0,1231.75
FBgn0042103,4,249,3185.5
FBgn0065100,1,0,1231.75
FBgn0262569,1,0,1231.75
FBgn0261631,4,2499,3274.25
FBgn0264369,1,0,1231.75
FBgn0263004,1,0,1231.75
FBgn0051360,1,0,1231.75
FBgn0053144,2,834,2926.75
FBgn0038809,1,0,1231.75
FBgn0053319,2,47214,3087
FBgn0025800,1,0,1231.75
FBgn0263235,1,0,1231.75
FBgn0264694,2,1,2641
FBgn0267754,3,5808,3223.75
FBgn0003463,1,0,1231.75
FBgn0266836,1,0,1231.75
FBgn0266869,3,695,3113.25
FBgn0038901,10,71734.1467532465,3470
FBgn0033842,3,3227.16666666668,3193.25
FBgn0034520,3,14,3009.5
FBgn0040684,1,0,1231.75
FBgn0260867,2,4974,3011
FBgn0263656,2,43624,3083
FBgn0040319,1,0,1231.75
FBgn0266853,2,61,2859.25
FBgn0030686,1,0,1231.75
FBgn0085239,7,7464,3388.75
FBgn0267351,1,0,1231.75
FBgn0004108,1,0,1231.75
FBgn0040730,2,0,1988.5
FBgn0034958,2,198,2885
FBgn0025381,2,834,2926.75
FBgn0029643,1,0,1231.75
