gene,degree,betweenness,rank
FBgn0261848,2,21,3940.5
FBgn0040717,1,0,1730
FBgn0036514,2,5,3855.5
FBgn0259231,1,0,1730
FBgn0000711,1,0,1730
FBgn0263463,1,0,1730
FBgn0031800,2,104813.271428572,4601.25
FBgn0030364,1,0,1730
FBgn0035887,4,84070.4208513709,5078.5
FBgn0267219,1,0,1730
FBgn0028986,2,6294.34585561501,4156.25
FBgn0032955,1,0,1730
FBgn0011705,3,8882,4540.25
FBgn0041224,2,58619.5859307358,4511.75
FBgn0035520,1,0,1730
FBgn0264265,2,2962,4039
FBgn0010235,1,0,1730
FBgn0082967,1,0,1730
FBgn0053775,1,0,1730
FBgn0036801,2,5922,4111.25
FBgn0034480,1,0,1730
FBgn0033238,3,11839,4580.5
FBgn0000927,1,0,1730
FBgn0034963,3,60153.200612949,4871.25
FBgn0015000,1,0,1730
FBgn0003310,2,2962,4039
FBgn0034060,2,17742,4285.5
FBgn0038788,1,0,1730
FBgn0038938,1,0,1730
FBgn0003885,2,25337.7831168832,4350.75
FBgn0027585,1,0,1730
FBgn0002174,1,0,1730
FBgn0035486,1,0,1730
FBgn0036480,1,0,1730
FBgn0027594,1,0,1730
FBgn0028542,1,0,1730
FBgn0263408,2,17528.0793650794,4281.75
FBgn0036958,1,0,1730
FBgn0011829,3,19153.2690476191,4651.75
FBgn0038425,1,0,1730
FBgn0266632,2,33406.4970442954,4406.25
FBgn0052461,1,0,1730
FBgn0036118,1,0,1730
FBgn0267707,1,0,1730
FBgn0039209,1,0,1730
FBgn0029894,3,45432.9895021645,4815.25
FBgn0263763,1,0,1730
FBgn0054049,5,22,4531.5
FBgn0000527,2,22664.3702380952,4332.75
FBgn0011890,4,11841,4737.75
FBgn0030121,1,0,1730
FBgn0266862,2,2962,4039
FBgn0263029,1,0,1730
FBgn0026878,2,26008.330952381,4355.25
FBgn0262513,3,68798.6056998555,4896.25
FBgn0040519,2,26,3947.75
FBgn0021764,2,21041.0106803327,4322
FBgn0037368,1,0,1730
FBgn0030377,3,116973.062161532,4968.75
FBgn0053510,1,0,1730
FBgn0050460,1,0,1730
FBgn0265895,10,329002.736753523,5381
FBgn0032877,2,4,3842.25
FBgn0038649,1,0,1730
FBgn0033202,1,0,1730
FBgn0014127,2,2962,4039
FBgn0002440,1,0,1730
FBgn0266096,1,0,1730
FBgn0010113,1,0,1730
FBgn0003751,1,0,1730
FBgn0051694,1,0,1730
FBgn0030438,2,4,3842.25
FBgn0261561,1,0,1730
FBgn0040333,1,0,1730
FBgn0029920,2,2962,4039
FBgn0033993,1,0,1730
FBgn0028583,4,136643.826190476,5132.5
FBgn0038463,3,141298.848976024,4982.75
FBgn0266195,1,0,1730
FBgn0037322,2,2962,4039
FBgn0265846,2,2962,4039
FBgn0038302,2,25032.5,4348
FBgn0050151,1,0,1730
FBgn0039135,2,68913.8479575983,4545.75
FBgn0259702,4,33272.2990287491,4909.5
FBgn0267441,4,72315.9168467152,5058.5
FBgn0004828,1,0,1730
FBgn0083960,1,0,1730
FBgn0036858,4,44918.281890332,4968
FBgn0035591,1,0,1730
FBgn0264326,1,0,1730
FBgn0086666,1,0,1730
FBgn0037675,3,5923,4490.75
FBgn0034662,1,0,1730
FBgn0264344,1,0,1730
FBgn0035741,1,0,1730
FBgn0004009,1,0,1730
FBgn0031861,2,17742,4285.5
FBgn0034310,1,0,1730
FBgn0034425,1,0,1730
FBgn0033344,1,0,1730
FBgn0259712,1,0,1730
FBgn0027556,1,0,1730
FBgn0032231,1,0,1730
FBgn0029915,1,0,1730
FBgn0266457,2,52888.6663419911,4494.75
FBgn0053310,3,40708.8174603174,4793.25
FBgn0030599,2,5922,4111.25
FBgn0031465,1,0,1730
FBgn0036363,3,22136.2924908425,4678.75
FBgn0040487,3,63759.8718781216,4885.25
FBgn0053288,1,0,1730
FBgn0032086,1,0,1730
FBgn0266047,1,0,1730
FBgn0031399,3,43068.086940837,4804.75
FBgn0031309,3,11929.9277777778,4590.25
FBgn0034099,2,43402.4952380952,4454.75
FBgn0036715,2,8880,4174.5
FBgn0053286,2,1,3744.25
FBgn0263030,3,110845.434415585,4962.25
FBgn0008646,1,0,1730
FBgn0261380,1,0,1730
FBgn0263078,3,23,4294.75
FBgn0065088,4,123980.004154996,5128
FBgn0053648,4,44627.1999639249,4966
FBgn0264739,1,0,1730
FBgn0005636,1,0,1730
FBgn0037879,1,0,1730
FBgn0011603,1,0,1730
FBgn0011566,1,0,1730
FBgn0029948,2,15668.8073593074,4272.75
FBgn0035405,1,0,1730
FBgn0031765,2,56879.549098124,4508.25
FBgn0000239,1,0,1730
FBgn0261697,1,0,1730
FBgn0267558,2,6,3873.75
FBgn0033539,1,0,1730
FBgn0263484,1,0,1730
FBgn0015010,1,0,1730
FBgn0267682,1,0,1730
FBgn0283429,1,0,1730
FBgn0264880,2,9984.31666666666,4208.75
FBgn0036498,1,0,1730
FBgn0003863,1,0,1730
FBgn0041624,1,0,1730
FBgn0037207,1,0,1730
FBgn0051682,1,0,1730
FBgn0263027,2,11836,4221.25
FBgn0029525,1,0,1730
FBgn0086027,1,0,1730
FBgn0034463,2,8880,4174.5
FBgn0014023,2,560,3978.25
FBgn0036169,1,0,1730
FBgn0034694,2,20087.6252164502,4306.75
FBgn0083021,1,0,1730
FBgn0085240,2,26046.991272453,4355.75
FBgn0030120,2,20692,4311.25
FBgn0036395,1,0,1730
FBgn0001147,1,0,1730
FBgn0027360,2,2962,4039
FBgn0033917,2,51519.1174603173,4488.25
FBgn0263080,2,28661.330952381,4374.25
FBgn0083985,2,0,2845.75
FBgn0004406,1,0,1730
FBgn0034961,1,0,1730
FBgn0085222,1,0,1730
FBgn0025936,1,0,1730
FBgn0037467,2,47425.4043650792,4478.25
FBgn0267147,1,0,1730
FBgn0035218,2,11836,4221.25
FBgn0031808,2,49246.0676406927,4482.25
FBgn0037944,2,6290.3056998557,4155.75
FBgn0266805,2,2962,4039
FBgn0262580,1,0,1730
FBgn0035510,1,0,1730
FBgn0052755,3,5923,4490.75
FBgn0260224,2,37482.6726084373,4425.25
FBgn0036380,1,0,1730
FBgn0031613,8,104787.096212121,5292
FBgn0032336,2,4,3842.25
FBgn0028336,1,0,1730
FBgn0266028,3,9318.18333333333,4558.75
FBgn0030096,1,0,1730
FBgn0040319,3,201175.942496393,5008.75
FBgn0025186,2,17294.9008488244,4279.25
FBgn0039258,2,38681.7654761905,4433.25
FBgn0267280,3,20187.8638888889,4659.25
FBgn0033164,1,0,1730
FBgn0042189,1,0,1730
FBgn0266701,2,110102.829351368,4609.75
FBgn0051130,4,47936.7845238094,4984
FBgn0259972,5,20701,4902.5
FBgn0010292,2,17742,4285.5
FBgn0263979,1,0,1730
FBgn0085320,1,0,1730
FBgn0004379,1,0,1730
FBgn0031574,1,0,1730
FBgn0036133,1,0,1730
FBgn0267622,1,0,1730
FBgn0265533,2,17742,4285.5
FBgn0027565,1,0,1730
FBgn0031728,3,5923,4490.75
FBgn0038046,3,8866,4514.25
FBgn0263746,2,23640,4337.25
FBgn0029153,1,0,1730
FBgn0030881,2,5922,4111.25
FBgn0086054,2,12,3918.5
FBgn0050340,1,0,1730
FBgn0260996,6,92388.3857142858,5224.25
FBgn0264553,2,116893.45215479,4617.25
FBgn0260657,1,0,1730
FBgn0040069,2,8518.58589041675,4162.75
FBgn0051077,1,0,1730
FBgn0267246,1,0,1730
FBgn0262166,1,0,1730
FBgn0030938,4,70047.3230158731,5052
FBgn0002578,5,194946.725374298,5244.5
FBgn0035380,3,245202.092532467,5017.75
FBgn0053654,3,78237.8654761904,4913.25
FBgn0086022,3,5923,4490.75
FBgn0033459,1,0,1730
FBgn0051016,1,0,1730
FBgn0262985,1,0,1730
FBgn0264550,3,5923,4490.75
FBgn0264676,2,28992.2038461539,4375.25
FBgn0083938,1,0,1730
FBgn0037224,2,37400.1468253969,4424.75
FBgn0027569,1,0,1730
FBgn0039850,2,5922,4111.25
FBgn0032590,4,105418.405699856,5107.5
FBgn0036440,1,0,1730
FBgn0027561,1,0,1730
FBgn0051010,3,113998.378571429,4966.25
FBgn0030686,2,105338.983333333,4602.25
FBgn0051716,1,0,1730
FBgn0010452,1,0,1730
FBgn0033663,1,0,1730
FBgn0037092,4,18933.6095238095,4804
FBgn0011239,1,0,1730
FBgn0265200,1,0,1730
FBgn0250831,2,5922,4111.25
FBgn0028573,2,23640,4337.25
FBgn0262100,1,0,1730
FBgn0086611,1,0,1730
FBgn0011672,1,0,1730
FBgn0266371,2,35560.9428571428,4417.25
FBgn0016698,1,0,1730
FBgn0265576,2,24202.85,4343.25
FBgn0264618,1,0,1730
FBgn0035792,1,0,1730
FBgn0083001,1,0,1730
FBgn0085234,1,0,1730
FBgn0014859,1,0,1730
FBgn0265454,1,0,1730
FBgn0035393,3,14794,4611.75
FBgn0053483,2,27752.625,4372.25
FBgn0035725,1,0,1730
FBgn0000395,1,0,1730
FBgn0032809,1,0,1730
FBgn0263615,1,0,1730
FBgn0028562,1,0,1730
FBgn0001296,1,0,1730
FBgn0010421,2,5922,4111.25
FBgn0031417,2,5922,4111.25
FBgn0259936,1,0,1730
FBgn0003475,1,0,1730
FBgn0034989,2,6,3873.75
FBgn0053138,1,0,1730
FBgn0265998,1,0,1730
FBgn0065046,6,45690.3654804345,5105.25
FBgn0052086,1,0,1730
FBgn0039190,1,0,1730
FBgn0267677,2,44256.5654761904,4458.75
FBgn0086082,3,639,4332.25
FBgn0267959,2,6,3873.75
FBgn0032462,5,61629.2011994547,5117
FBgn0051087,2,59076.7976975638,4515.75
FBgn0267010,1,0,1730
FBgn0053200,1,0,1730
FBgn0266042,1,0,1730
FBgn0267299,2,2962,4039
FBgn0032248,1,0,1730
FBgn0267758,2,5922,4111.25
FBgn0042083,2,2962,4039
FBgn0000056,1,0,1730
FBgn0040077,1,0,1730
FBgn0052039,1,0,1730
FBgn0035024,2,2962,4039
FBgn0031036,1,0,1730
FBgn0039126,1,0,1730
FBgn0034176,2,32472,4398.5
FBgn0262619,2,41286,4444.75
FBgn0262534,6,203329.87246781,5298.25
FBgn0037779,1,0,1730
FBgn0032285,4,145778.828896104,5139
FBgn0036196,3,66465.0301587302,4892.75
FBgn0039411,1,0,1730
FBgn0034296,1,0,1730
FBgn0025463,2,4,3842.25
