gene,degree,betweenness,rank
FBgn0033600,1,0,44.25
FBgn0038218,1,0,44.25
FBgn0036161,1,0,44.25
FBgn0040812,1,0,44.25
FBgn0036346,1,0,44.25
FBgn0051940,1,0,44.25
FBgn0263246,1,0,44.25
FBgn0267418,1,0,44.25
FBgn0036320,2,1,93.5
FBgn0052487,1,0,44.25
FBgn0038512,1,0,44.25
FBgn0034560,2,1,93.5
FBgn0032280,1,0,44.25
FBgn0267492,2,0,69.5
FBgn0267756,1,0,44.25
FBgn0030538,1,0,44.25
FBgn0266773,1,0,44.25
FBgn0083016,1,0,44.25
FBgn0265424,1,0,44.25
FBgn0265145,1,0,44.25
FBgn0043865,2,8,96.75
FBgn0030599,1,0,44.25
FBgn0263760,1,0,44.25
FBgn0266938,1,0,44.25
FBgn0267592,2,0,69.5
FBgn0262991,1,0,44.25
FBgn0053893,1,0,44.25
FBgn0011936,1,0,44.25
FBgn0030570,2,1,93.5
FBgn0050472,1,0,44.25
FBgn0264349,1,0,44.25
FBgn0261291,1,0,44.25
FBgn0032625,1,0,44.25
FBgn0260969,1,0,44.25
FBgn0035552,2,5,95.75
FBgn0262807,1,0,44.25
FBgn0267090,2,9,97.5
FBgn0266074,1,0,44.25
FBgn0039368,2,1,93.5
FBgn0037485,2,1,93.5
FBgn0053245,1,0,44.25
FBgn0036953,1,0,44.25
FBgn0266392,1,0,44.25
FBgn0028868,1,0,44.25
FBgn0085231,1,0,44.25
FBgn0040904,1,0,44.25
FBgn0032709,1,0,44.25
FBgn0050072,1,0,44.25
FBgn0033322,1,0,44.25
FBgn0265749,1,0,44.25
FBgn0053986,1,0,44.25
FBgn0085327,1,0,44.25
FBgn0052986,1,0,44.25
FBgn0265526,1,0,44.25
FBgn0038941,1,0,44.25
FBgn0265270,1,0,44.25
FBgn0265148,1,0,44.25
FBgn0002629,1,0,44.25
FBgn0266910,1,0,44.25
FBgn0040356,2,1,93.5
FBgn0032072,1,0,44.25
FBgn0052718,1,0,44.25
FBgn0058172,1,0,44.25
FBgn0267610,1,0,44.25
FBgn0265882,1,0,44.25
FBgn0037179,1,0,44.25
FBgn0052283,1,0,44.25
FBgn0039475,1,0,44.25
FBgn0267493,1,0,44.25
FBgn0040694,2,5,95.75
FBgn0267490,1,0,44.25
FBgn0035933,1,0,44.25
FBgn0054029,2,0,69.5
FBgn0267957,1,0,44.25
FBgn0266565,1,0,44.25
FBgn0037038,1,0,44.25
FBgn0084001,1,0,44.25
FBgn0036160,2,1,93.5
FBgn0030313,1,0,44.25
FBgn0039435,1,0,44.25
FBgn0053272,1,0,44.25
FBgn0013300,1,0,44.25
FBgn0262837,1,0,44.25
FBgn0264264,2,8,96.75
FBgn0037987,1,0,44.25
FBgn0265307,1,0,44.25
FBgn0265817,1,0,44.25
FBgn0050268,1,0,44.25
FBgn0033369,1,0,44.25
FBgn0039288,1,0,44.25
FBgn0053834,1,0,44.25
FBgn0032276,1,0,44.25
FBgn0262989,1,0,44.25
FBgn0038345,1,0,44.25
FBgn0035788,1,0,44.25
FBgn0264269,1,0,44.25
FBgn0034671,1,0,44.25
FBgn0265851,1,0,44.25
FBgn0031026,1,0,44.25
FBgn0036810,1,0,44.25
FBgn0266957,1,0,44.25
