gene,degree,betweenness,rank
FBgn0039622,1,0,1629.5
FBgn0085274,1,0,1629.5
FBgn0013755,3,132611.49574523,4780
FBgn0034768,2,3072,3795.75
FBgn0259203,2,33837.5829365079,4230.5
FBgn0264792,1,0,1629.5
FBgn0026080,4,35493.7204406706,4728.75
FBgn0025378,5,75930.6807664558,4933.75
FBgn0050374,1,0,1629.5
FBgn0250815,1,0,1629.5
FBgn0038753,3,24040.7854700855,4501
FBgn0052110,2,2,3568.75
FBgn0267538,2,3072,3795.75
FBgn0036785,1,0,1629.5
FBgn0034419,2,17670.2263653014,4090.5
FBgn0020272,1,0,1629.5
FBgn0011570,1,0,1629.5
FBgn0033486,1,0,1629.5
FBgn0045485,1,0,1629.5
FBgn0266142,1,0,1629.5
FBgn0038646,1,0,1629.5
FBgn0267632,2,3072,3795.75
FBgn0263603,1,0,1629.5
FBgn0034495,2,3072,3795.75
FBgn0266912,2,103326,4400.25
FBgn0262624,2,52362.6786993893,4304.5
FBgn0034670,1,0,1629.5
FBgn0264955,2,4,3614.25
FBgn0050413,1,0,1629.5
FBgn0083936,1,0,1629.5
FBgn0264701,4,9213,4483
FBgn0034027,1,0,1629.5
FBgn0039507,1,0,1629.5
FBgn0037020,1,0,1629.5
FBgn0037411,2,3072,3795.75
FBgn0266408,1,0,1629.5
FBgn0005779,5,101986.585257692,4972.25
FBgn0003980,3,49300.5576996102,4645.5
FBgn0033212,2,0,2695.75
FBgn0261615,2,45932.3754880739,4283.5
FBgn0267733,1,0,1629.5
FBgn0267431,3,63259.6927017423,4681.5
FBgn0264381,1,0,1629.5
FBgn0032421,3,6139.6804029304,4228
FBgn0040353,2,3072,3795.75
FBgn0028504,2,11260.7642857143,4009
FBgn0036502,2,36357.1722222222,4242.5
FBgn0265710,3,28124.7695218524,4538
FBgn0034391,2,3072,3795.75
FBgn0262361,8,279601.150646147,5136.75
FBgn0034715,1,0,1629.5
FBgn0263453,3,64981.2514085029,4685.5
FBgn0266791,1,0,1629.5
FBgn0036996,6,88363.8273040298,5005.5
FBgn0263653,4,43658.0187229438,4767.25
FBgn0001321,1,0,1629.5
FBgn0039561,1,0,1629.5
FBgn0260719,1,0,1629.5
FBgn0036662,1,0,1629.5
FBgn0039872,3,60102.7438003172,4672.5
FBgn0004876,1,0,1629.5
FBgn0038316,1,0,1629.5
FBgn0033043,2,13322.3721583971,4046
FBgn0039034,3,5465.8126984127,4221
FBgn0026602,2,36732,4244
FBgn0053929,2,3072,3795.75
FBgn0039776,2,21462,4128
FBgn0259937,1,0,1629.5
FBgn0265627,3,29239.8386335889,4543
FBgn0035600,1,0,1629.5
FBgn0015803,2,20557.9007969972,4122.5
FBgn0038039,3,12279,4374.75
FBgn0267433,2,44284.7494355059,4276.5
FBgn0033645,1,0,1629.5
FBgn0065080,1,0,1629.5
FBgn0034265,1,0,1629.5
FBgn0264785,3,12279,4374.75
FBgn0267470,2,21585.723771277,4139
FBgn0004908,1,0,1629.5
FBgn0263782,1,0,1629.5
FBgn0031626,3,13603.3419108669,4397
FBgn0031288,1,0,1629.5
FBgn0039258,2,30597.4218658849,4199.5
FBgn0034804,1,0,1629.5
FBgn0038838,2,3072,3795.75
FBgn0262951,6,23114.1416674073,4772
FBgn0000964,3,86200.1670854215,4725
FBgn0001990,1,0,1629.5
FBgn0037714,1,0,1629.5
FBgn0033890,1,0,1629.5
FBgn0265657,2,6,3640.25
FBgn0031471,2,65986.844145854,4338
FBgn0002985,1,0,1629.5
FBgn0038401,1,0,1629.5
FBgn0038071,3,151956.740055567,4786.5
FBgn0262486,4,29485.6309043013,4687.25
FBgn0033206,2,27530.002759997,4177
FBgn0017545,1,0,1629.5
FBgn0030620,6,17675.6785714285,4719
FBgn0267299,5,327442.860738979,5043.25
FBgn0086074,4,40407.4858254319,4753.75
FBgn0260399,4,80744.3141116948,4858.75
FBgn0028563,1,0,1629.5
FBgn0039182,1,0,1629.5
FBgn0031409,1,0,1629.5
FBgn0267137,3,95383.1115528117,4738
FBgn0039087,10,148053.72720085,5129.5
FBgn0033600,8,169765,5113.75
FBgn0003134,2,7663.64254413529,3944.5
FBgn0267455,2,18206.4067321226,4093.5
FBgn0032477,1,0,1629.5
FBgn0034684,2,3072,3795.75
FBgn0035543,1,0,1629.5
FBgn0036599,2,3072,3795.75
FBgn0052369,1,0,1629.5
FBgn0053465,2,3072,3795.75
FBgn0028920,3,5614.05334727969,4222
FBgn0264513,2,6,3640.25
FBgn0037291,1,0,1629.5
FBgn0261955,1,0,1629.5
FBgn0038470,4,25400.3056293198,4660.25
FBgn0052574,3,30504.6652964381,4548.5
FBgn0037416,1,0,1629.5
FBgn0039341,1,0,1629.5
FBgn0033371,1,0,1629.5
FBgn0082939,1,0,1629.5
FBgn0266326,2,21462,4128
FBgn0030944,1,0,1629.5
FBgn0267418,4,88447.8520859359,4871.25
FBgn0034413,1,0,1629.5
FBgn0267816,1,0,1629.5
FBgn0262840,3,24,4046.25
FBgn0262547,3,36743,4595
FBgn0267057,3,59267.2165194415,4669
FBgn0037759,1,0,1629.5
FBgn0260746,2,3072,3795.75
FBgn0031391,2,0,2695.75
FBgn0004635,1,0,1629.5
FBgn0040649,1,0,1629.5
FBgn0035621,2,5762.89921189922,3874
FBgn0031295,2,3072,3795.75
FBgn0050118,2,6142,3891.75
FBgn0260228,1,0,1629.5
FBgn0050278,2,3072,3795.75
FBgn0259702,4,73715.6420272706,4849.25
FBgn0262856,1,0,1629.5
FBgn0265980,13,125136.810342435,5132.25
FBgn0034098,1,0,1629.5
FBgn0035686,2,12276,4018.75
FBgn0028950,3,6143,4270.25
FBgn0038536,2,12061.5075036075,4011.5
FBgn0265903,1,0,1629.5
FBgn0262736,1,0,1629.5
FBgn0004782,4,131012.424387838,4920.75
FBgn0042175,1,0,1629.5
FBgn0030536,5,172549.408000994,5017.75
FBgn0032211,3,122507.633519323,4772.5
FBgn0265681,4,45221.9492424242,4770.75
FBgn0002592,2,19648.6195249195,4119
FBgn0039469,1,0,1629.5
FBgn0263504,1,0,1629.5
FBgn0259926,1,0,1629.5
FBgn0261686,2,23623.1761883283,4149
FBgn0053051,3,99077.6146630881,4742.5
FBgn0262571,2,27587.3952491953,4183
FBgn0053548,1,0,1629.5
FBgn0021767,2,73.9333333333334,3717
FBgn0028561,1,0,1629.5
FBgn0035254,1,0,1629.5
FBgn0029661,1,0,1629.5
FBgn0266260,1,0,1629.5
FBgn0037396,2,27537.1815084442,4178
FBgn0039509,1,0,1629.5
FBgn0035787,1,0,1629.5
FBgn0267183,1,0,1629.5
FBgn0266376,1,0,1629.5
FBgn0019957,2,3,3593.75
FBgn0031566,1,0,1629.5
FBgn0260447,2,3345.34355789119,3863
FBgn0037078,1,0,1629.5
FBgn0036627,1,0,1629.5
FBgn0038218,4,32492.6862889167,4708.25
FBgn0034628,1,0,1629.5
FBgn0036139,2,99876.3139263558,4395
FBgn0045486,1,0,1629.5
FBgn0038014,1,0,1629.5
FBgn0085761,2,5,3626.75
FBgn0051998,2,6,3640.25
FBgn0263506,1,0,1629.5
FBgn0267582,2,59924.9104653518,4321.5
FBgn0003295,1,0,1629.5
FBgn0260798,1,0,1629.5
