gene,degree,betweenness,rank
FBgn0046698,2,1,190
FBgn0052207,1,0,92
FBgn0038158,1,0,92
FBgn0051821,1,0,92
FBgn0032490,1,0,92
FBgn0262547,1,0,92
FBgn0010097,1,0,92
FBgn0265255,1,0,92
FBgn0033541,1,0,92
FBgn0086663,1,0,92
FBgn0263026,1,0,92
FBgn0265728,1,0,92
FBgn0036712,1,0,92
FBgn0266955,1,0,92
FBgn0265722,1,0,92
FBgn0262974,1,0,92
FBgn0085357,1,0,92
FBgn0045497,1,0,92
FBgn0265683,1,0,92
FBgn0267756,1,0,92
FBgn0260955,1,0,92
FBgn0035730,1,0,92
FBgn0037424,1,0,92
FBgn0265608,1,0,92
FBgn0264474,1,0,92
FBgn0035068,1,0,92
FBgn0266565,1,0,92
FBgn0261699,1,0,92
FBgn0003140,1,0,92
FBgn0267121,1,0,92
FBgn0261993,1,0,92
FBgn0029700,1,0,92
FBgn0033591,1,0,92
FBgn0013708,1,0,92
FBgn0000360,1,0,92
FBgn0028838,1,0,92
FBgn0035428,1,0,92
FBgn0265372,1,0,92
FBgn0036871,1,0,92
FBgn0040362,2,1,190
FBgn0039742,1,0,92
FBgn0263660,1,0,92
FBgn0036436,2,1,190
FBgn0267664,1,0,92
FBgn0031775,1,0,92
FBgn0267782,1,0,92
FBgn0265544,2,0,141.5
FBgn0267266,1,0,92
FBgn0034427,1,0,92
FBgn0082934,1,0,92
FBgn0264377,1,0,92
FBgn0011871,1,0,92
FBgn0266430,1,0,92
FBgn0013692,1,0,92
FBgn0002578,1,0,92
FBgn0039669,1,0,92
FBgn0028497,1,0,92
FBgn0063261,1,0,92
FBgn0266067,1,0,92
FBgn0036490,2,0,141.5
FBgn0034289,1,0,92
FBgn0038190,2,0,141.5
FBgn0050177,1,0,92
FBgn0265821,1,0,92
FBgn0053908,2,0,141.5
FBgn0265909,2,1,190
FBgn0034318,1,0,92
FBgn0052572,1,0,92
FBgn0260996,2,4,194
FBgn0039576,1,0,92
FBgn0031751,1,0,92
FBgn0262814,1,0,92
FBgn0030071,1,0,92
FBgn0086667,1,0,92
FBgn0040814,1,0,92
FBgn0032680,1,0,92
FBgn0085494,1,0,92
FBgn0034514,1,0,92
FBgn0052986,1,0,92
FBgn0040519,1,0,92
FBgn0036159,1,0,92
FBgn0051946,1,0,92
FBgn0033296,2,3,193
FBgn0263324,1,0,92
FBgn0266683,1,0,92
FBgn0051698,1,0,92
FBgn0262598,1,0,92
FBgn0015766,1,0,92
FBgn0263023,1,0,92
FBgn0028700,1,0,92
FBgn0085807,1,0,92
FBgn0054026,1,0,92
FBgn0039025,1,0,92
FBgn0039224,1,0,92
FBgn0000810,1,0,92
FBgn0033598,1,0,92
FBgn0039124,1,0,92
FBgn0052368,1,0,92
FBgn0031941,1,0,92
FBgn0003124,1,0,92
FBgn0005648,1,0,92
FBgn0034296,1,0,92
FBgn0260455,1,0,92
FBgn0083050,1,0,92
FBgn0030563,1,0,92
FBgn0263511,1,0,92
FBgn0038944,1,0,92
FBgn0266873,1,0,92
FBgn0278600,1,0,92
FBgn0036873,2,1,190
FBgn0026136,1,0,92
FBgn0004183,1,0,92
FBgn0036459,1,0,92
FBgn0265307,1,0,92
FBgn0052286,1,0,92
FBgn0001313,2,1,190
FBgn0051446,3,5,199
FBgn0033324,1,0,92
FBgn0266226,1,0,92
FBgn0265766,1,0,92
FBgn0266398,1,0,92
FBgn0033589,1,0,92
FBgn0260430,1,0,92
FBgn0052320,1,0,92
FBgn0264550,1,0,92
FBgn0085318,1,0,92
FBgn0038458,1,0,92
FBgn0266159,1,0,92
FBgn0265822,1,0,92
FBgn0038012,1,0,92
FBgn0053244,1,0,92
FBgn0265870,1,0,92
FBgn0262822,1,0,92
FBgn0036426,1,0,92
FBgn0029658,1,0,92
FBgn0264570,1,0,92
FBgn0020376,1,0,92
FBgn0053830,1,0,92
FBgn0028950,1,0,92
FBgn0028520,1,0,92
FBgn0036161,1,0,92
FBgn0041238,1,0,92
FBgn0053824,1,0,92
FBgn0263627,1,0,92
FBgn0003377,1,0,92
FBgn0267191,1,0,92
FBgn0267284,1,0,92
FBgn0264513,1,0,92
FBgn0262480,1,0,92
FBgn0267598,1,0,92
FBgn0082990,1,0,92
FBgn0083024,1,0,92
FBgn0267307,1,0,92
FBgn0267269,1,0,92
FBgn0266231,1,0,92
FBgn0262961,1,0,92
FBgn0052751,1,0,92
FBgn0051960,1,0,92
FBgn0028948,1,0,92
FBgn0038124,2,1,190
FBgn0035265,1,0,92
FBgn0052376,2,1,190
FBgn0259676,1,0,92
FBgn0029965,1,0,92
FBgn0283428,1,0,92
FBgn0266728,2,3,193
FBgn0052054,1,0,92
FBgn0030280,1,0,92
FBgn0052553,1,0,92
FBgn0267726,1,0,92
FBgn0036350,1,0,92
FBgn0085462,1,0,92
FBgn0011938,1,0,92
FBgn0265795,1,0,92
FBgn0002855,1,0,92
FBgn0051025,1,0,92
FBgn0011882,1,0,92
FBgn0262875,2,1,190
FBgn0266140,1,0,92
FBgn0266224,1,0,92
FBgn0039594,1,0,92
FBgn0266703,1,0,92
FBgn0063382,1,0,92
FBgn0262572,1,0,92
FBgn0083023,1,0,92
FBgn0263510,1,0,92
FBgn0035270,1,0,92
FBgn0266238,1,0,92
FBgn0045498,1,0,92
FBgn0038209,2,3,193
FBgn0035787,1,0,92
FBgn0262984,1,0,92
FBgn0034554,1,0,92
FBgn0051054,1,0,92
FBgn0262025,1,0,92
FBgn0037782,1,0,92
FBgn0085303,1,0,92
FBgn0038469,1,0,92
FBgn0032374,1,0,92
