gene,degree,betweenness,rank
FBgn0046698,10,275680.275130951,5142.25
FBgn0039187,1,0,1723
FBgn0261787,1,0,1723
FBgn0082945,2,5,3796
FBgn0036799,3,24759,4594.5
FBgn0050018,1,0,1723
FBgn0030097,2,8265,4110
FBgn0261706,1,0,1723
FBgn0032311,4,152449.585586636,4922.5
FBgn0033316,1,0,1723
FBgn0262968,2,0,2818.5
FBgn0037565,2,11016,4154.75
FBgn0038638,1,0,1723
FBgn0038851,1,0,1723
FBgn0051021,2,5512,4055.5
FBgn0052643,2,40327.4572177822,4351.75
FBgn0031414,1,0,1723
FBgn0265799,1,0,1723
FBgn0265625,1,0,1723
FBgn0265413,2,2757,3984.75
FBgn0267096,2,24741,4286
FBgn0030065,1,0,1723
FBgn0067317,1,0,1723
FBgn0052588,4,156040.919379803,4923.5
FBgn0016059,1,0,1723
FBgn0036498,2,2757,3984.75
FBgn0004374,1,0,1723
FBgn0263665,1,0,1723
FBgn0262482,2,20,3876.25
FBgn0264740,1,0,1723
FBgn0051100,1,0,1723
FBgn0039909,1,0,1723
FBgn0000394,1,0,1723
FBgn0264838,1,0,1723
FBgn0260401,2,2757,3984.75
FBgn0265734,1,0,1723
FBgn0004003,1,0,1723
FBgn0030375,1,0,1723
FBgn0038751,2,9,3834.25
FBgn0037994,1,0,1723
FBgn0261974,1,0,1723
FBgn0030067,2,9880.96386391395,4143.25
FBgn0025111,1,0,1723
FBgn0085405,1,0,1723
FBgn0037456,1,0,1723
FBgn0020261,1,0,1723
FBgn0030314,1,0,1723
FBgn0034572,1,0,1723
FBgn0032818,2,62323.6910193836,4413.75
FBgn0267613,2,33560.8156926408,4326.75
FBgn0046253,1,0,1723
FBgn0034397,1,0,1723
FBgn0263483,1,0,1723
FBgn0265270,4,13990.1297619048,4640.5
FBgn0035995,1,0,1723
FBgn0261530,3,27496,4608.5
FBgn0084008,10,152004.233080808,5110.75
FBgn0034029,1,0,1723
FBgn0264909,2,55154.6217502646,4397.25
FBgn0261059,2,13765,4198
FBgn0035070,3,16521,4540.25
FBgn0015379,1,0,1723
FBgn0001077,5,131115.381840759,4978.25
FBgn0260756,1,0,1723
