gene,degree,betweenness,rank
FBgn0265690,4,10,160
FBgn0053087,1,0,73
FBgn0030826,2,1,150
FBgn0264552,1,0,73
FBgn0082949,1,0,73
FBgn0064227,1,0,73
FBgn0265156,1,0,73
FBgn0278600,1,0,73
FBgn0065107,1,0,73
FBgn0000251,1,0,73
FBgn0036361,1,0,73
FBgn0050476,1,0,73
FBgn0030577,1,0,73
FBgn0085353,1,0,73
FBgn0265677,1,0,73
FBgn0266897,1,0,73
FBgn0036831,2,3,153.75
FBgn0043530,1,0,73
FBgn0032967,1,0,73
FBgn0041195,1,0,73
FBgn0037826,1,0,73
FBgn0004389,1,0,73
FBgn0036703,1,0,73
FBgn0052198,1,0,73
FBgn0035661,1,0,73
FBgn0036091,1,0,73
FBgn0086046,1,0,73
FBgn0262682,1,0,73
FBgn0261291,1,0,73
FBgn0083007,1,0,73
FBgn0036842,1,0,73
FBgn0265955,1,0,73
FBgn0011882,1,0,73
FBgn0054038,1,0,73
FBgn0030544,1,0,73
FBgn0051077,1,0,73
FBgn0267449,1,0,73
FBgn0266862,1,0,73
FBgn0036482,1,0,73
FBgn0266732,1,0,73
FBgn0086027,1,0,73
FBgn0082973,1,0,73
FBgn0261858,1,0,73
FBgn0260817,1,0,73
FBgn0264431,1,0,73
FBgn0030620,1,0,73
FBgn0043791,1,0,73
FBgn0265469,1,0,73
FBgn0034554,3,6.5,158.5
FBgn0028667,2,1.5,152
FBgn0266099,1,0,73
FBgn0030234,1,0,73
FBgn0025627,1,0,73
FBgn0036227,1,0,73
FBgn0267539,1,0,73
FBgn0053908,1,0,73
FBgn0030034,1,0,73
FBgn0264602,1,0,73
FBgn0038190,1,0,73
FBgn0051875,2,2,152.75
FBgn0036421,1,0,73
FBgn0014340,1,0,73
FBgn0265795,1,0,73
FBgn0052073,1,0,73
FBgn0030536,1,0,73
FBgn0051609,1,0,73
FBgn0035693,1,0,73
FBgn0043012,1,0,73
FBgn0264598,1,0,73
FBgn0260484,1,0,73
FBgn0038934,1,0,73
FBgn0266403,2,1,150
FBgn0053245,1,0,73
FBgn0032523,2,1,150
FBgn0264697,1,0,73
FBgn0267433,1,0,73
FBgn0039395,1,0,73
FBgn0267520,1,0,73
FBgn0267110,3,3,157.25
FBgn0032033,1,0,73
FBgn0036362,1,0,73
FBgn0033362,1,0,73
FBgn0267151,1,0,73
FBgn0038359,1,0,73
FBgn0051948,1,0,73
FBgn0003091,1,0,73
FBgn0035374,1,0,73
FBgn0267623,1,0,73
FBgn0264487,1,0,73
FBgn0265687,1,0,73
FBgn0267801,1,0,73
FBgn0054031,2,2,152.75
FBgn0035933,1,0,73
FBgn0267425,1,0,73
FBgn0040506,1,0,73
FBgn0020556,1,0,73
FBgn0040534,1,0,73
FBgn0038756,1,0,73
FBgn0264868,1,0,73
FBgn0265895,1,0,73
FBgn0028518,1,0,73
FBgn0267470,1,0,73
FBgn0085267,2,1,150
FBgn0039371,1,0,73
FBgn0034552,1,0,73
FBgn0030376,1,0,73
FBgn0051617,1,0,73
FBgn0025679,2,1,150
FBgn0053117,1,0,73
FBgn0036176,1,0,73
FBgn0011556,1,0,73
FBgn0266065,1,0,73
FBgn0265792,1,0,73
FBgn0041239,1,0,73
FBgn0028570,1,0,73
FBgn0085494,1,0,73
FBgn0029644,1,0,73
FBgn0036203,1,0,73
FBgn0266682,1,0,73
FBgn0036232,3,5,158
FBgn0267664,1,0,73
FBgn0031331,1,0,73
FBgn0082948,1,0,73
FBgn0011881,1,0,73
FBgn0265367,1,0,73
FBgn0262961,1,0,73
FBgn0266050,1,0,73
FBgn0032366,1,0,73
FBgn0028900,2,1,150
FBgn0263233,1,0,73
FBgn0267982,2,1,150
FBgn0050457,1,0,73
FBgn0267745,1,0,73
FBgn0264677,1,0,73
FBgn0002933,1,0,73
FBgn0083938,1,0,73
FBgn0011954,1,0,73
FBgn0063374,1,0,73
FBgn0265064,1,0,73
FBgn0261358,1,0,73
FBgn0040063,1,0,73
FBgn0032489,1,0,73
FBgn0034092,1,0,73
FBgn0023508,1,0,73
FBgn0265694,1,0,73
FBgn0051702,1,0,73
FBgn0264900,1,0,73
FBgn0034661,1,0,73
FBgn0266646,1,0,73
FBgn0051700,1,0,73
FBgn0265265,1,0,73
FBgn0053238,1,0,73
FBgn0052268,1,0,73
FBgn0266445,1,0,73
FBgn0053325,1,0,73
FBgn0053236,1,0,73
FBgn0034901,1,0,73
FBgn0064126,1,0,73
FBgn0051294,1,0,73
FBgn0036490,1,0,73
