gene,degree,betweenness,rank
FBgn0032646,1,0,1544.5
FBgn0267601,1,0,1544.5
FBgn0262895,2,2832,3635.5
FBgn0033594,1,0,1544.5
FBgn0032359,2,55555.7214285715,3815
FBgn0037647,1,0,1544.5
FBgn0034103,1,0,1544.5
FBgn0039210,1,0,1544.5
FBgn0051388,1,0,1544.5
FBgn0052278,1,0,1544.5
FBgn0035707,2,65600.0428571425,3823
FBgn0085213,1,0,1544.5
FBgn0026398,1,0,1544.5
FBgn0266766,2,21,3476.5
FBgn0265633,2,1417,3594.5
FBgn0033650,1,0,1544.5
FBgn0264742,1,0,1544.5
FBgn0043550,1,0,1544.5
FBgn0033515,2,2,3343.75
FBgn0034135,2,2,3343.75
FBgn0012042,2,42997,3800
FBgn0032907,2,29631.2476190476,3778
FBgn0033623,1,0,1544.5
FBgn0031771,1,0,1544.5
FBgn0036009,1,0,1544.5
FBgn0037578,2,1,3300.25
FBgn0036920,1,0,1544.5
FBgn0267556,2,144,3537.75
FBgn0032067,3,2833,3870.25
FBgn0261507,2,14080,3735.75
FBgn0263381,2,9877,3714.75
FBgn0011957,3,35352.230952381,4010.25
FBgn0041252,2,1417,3594.5
FBgn0263240,1,0,1544.5
FBgn0043825,2,11280,3721.5
FBgn0266264,1,0,1544.5
FBgn0083001,1,0,1544.5
FBgn0265690,11,41403.4,4217.25
FBgn0263018,1,0,1544.5
FBgn0036686,1,0,1544.5
FBgn0036213,1,0,1544.5
FBgn0065105,1,0,1544.5
FBgn0052808,1,0,1544.5
FBgn0267753,1,0,1544.5
FBgn0003416,2,9877,3714.75
FBgn0001330,1,0,1544.5
FBgn0028532,2,5656,3682.75
FBgn0033644,1,0,1544.5
FBgn0039078,2,31,3494.5
FBgn0038931,1,0,1544.5
FBgn0024294,1,0,1544.5
FBgn0041242,3,71,3747.25
FBgn0033471,1,0,1544.5
FBgn0015270,1,0,1544.5
FBgn0035760,2,34561.9452380952,3787
FBgn0035754,2,10,3437
FBgn0266099,3,15487,3967
FBgn0028691,1,0,1544.5
FBgn0265204,4,133437,4142.5
FBgn0040359,1,0,1544.5
FBgn0263706,1,0,1544.5
FBgn0260645,1,0,1544.5
FBgn0037123,6,7075,4065.5
FBgn0267301,7,26661,4156.5
FBgn0033395,1,0,1544.5
FBgn0050200,6,168762.711904762,4221.25
FBgn0004003,1,0,1544.5
FBgn0001112,1,0,1544.5
FBgn0265901,2,2832,3635.5
FBgn0040333,2,4,3380.75
FBgn0038205,3,83,3750.25
FBgn0085790,1,0,1544.5
FBgn0035458,1,0,1544.5
FBgn0262847,1,0,1544.5
FBgn0035545,2,2832,3635.5
FBgn0261564,1,0,1544.5
FBgn0264708,5,128955.847619048,4182.75
FBgn0263617,1,0,1544.5
FBgn0026174,1,0,1544.5
FBgn0000014,1,0,1544.5
FBgn0002945,1,0,1544.5
FBgn0052694,2,1417,3594.5
FBgn0036655,1,0,1544.5
FBgn0004192,1,0,1544.5
FBgn0261995,1,0,1544.5
FBgn0030241,2,18265,3752.75
