regulatoryGene,targetGene,cor,p.adj
FBgn0005596,FBgn0036177,0.731725032934236,0.0390791692393658
FBgn0003372,FBgn0036343,0.725385931441745,0.0416959395337115
FBgn0037275,FBgn0263018,0.728942964763835,0.0402149195294969
FBgn0033668,FBgn0259969,0.707597079775553,0.0495957539619503
FBgn0267053,FBgn0040784,0.738035437811339,0.0365760003324747
FBgn0267165,FBgn0265696,0.942541621811136,0.000454040061451897
FBgn0046887,FBgn0267143,0.931230852021703,0.000771698742724434
FBgn0033860,FBgn0037498,0.978620519096073,2.40403928592992e-05
FBgn0000158,FBgn0052718,0.773677193287512,0.0242850226261419
FBgn0024332,FBgn0086519,0.889855413277247,0.00307075277309196
FBgn0036750,FBgn0032375,0.727197209405518,0.0409377258106331
FBgn0259187,FBgn0267274,0.741661417763523,0.0351831469817124
FBgn0067628,FBgn0036176,0.715110774741116,0.0461580024196292
FBgn0260817,FBgn0259861,0.79255240833872,0.0189901391754021
FBgn0029727,FBgn0040729,0.793957394985056,0.0186280388724474
FBgn0265868,FBgn0011884,0.766911266448191,0.0263828942902363
FBgn0261882,FBgn0266834,0.930820669390467,0.000785342362605675
FBgn0028942,FBgn0043576,0.929021219183657,0.000847061102972471
FBgn0026061,FBgn0053710,0.875564138772035,0.00437863287555573
FBgn0038167,FBgn0263092,0.781090624357295,0.022108732574795
FBgn0025683,FBgn0265696,0.792270137056913,0.0190634133390446
FBgn0034705,FBgn0050048,-0.720766117335837,0.0436681789074211
FBgn0030109,FBgn0265907,0.799746662236547,0.0171816304096352
FBgn0015001,FBgn0004183,0.900447351990594,0.00228609803143075
FBgn0035964,FBgn0266231,0.832066154351226,0.0103989057899607
FBgn0039184,FBgn0085692,0.827193734632638,0.0112866295516568
FBgn0262904,FBgn0051960,0.723759900022895,0.0423838106985952
FBgn0042127,FBgn0040784,0.866386792105804,0.00538170610884285
FBgn0051294,FBgn0011958,0.784542016202668,0.021138517677639
FBgn0003744,FBgn0262361,0.931411028759694,0.0007657550303563
FBgn0029965,FBgn0053772,0.896809865765828,0.00253876604235595
FBgn0266901,FBgn0037430,0.742182821704056,0.0349855707588581
FBgn0041241,FBgn0015300,0.787231606242755,0.0204011482741693
FBgn0266488,FBgn0085288,0.801290127395186,0.0168082941523806
FBgn0082950,FBgn0262944,0.834853329978041,0.00991165408535031
FBgn0083974,FBgn0262944,0.734010921326167,0.0381607515682237
FBgn0058469,FBgn0261682,0.867360241860829,0.00526896691819314
FBgn0086253,FBgn0011878,0.963966274380585,0.000113829803583266
