regulatoryGene,targetGene,cor,p.adj
FBgn0267625,FBgn0263505,0.917003854082684,0.00134177735058092
FBgn0053536,FBgn0020376,0.909591801203898,0.0017244099241206
FBgn0005390,FBgn0010403,0.936590479926895,0.000607459402597515
FBgn0028473,FBgn0263246,0.908077165599555,0.00181041325590942
FBgn0053899,FBgn0053901,0.998775082440922,4.59051618237047e-09
FBgn0052299,FBgn0038944,0.993929138098259,5.5681581274611e-07
FBgn0266641,FBgn0083046,0.969075585606764,7.22298743988401e-05
FBgn0039441,FBgn0263201,0.969421971570141,6.98481485334172e-05
FBgn0266688,FBgn0035574,-0.917262479496544,0.00132953855139193
FBgn0034611,FBgn0031906,0.924140904586094,0.00103019789811784
FBgn0003261,FBgn0265727,0.911277821488988,0.00163185118036215
FBgn0033252,FBgn0035086,0.928896702954744,0.000851445318648081
FBgn0036766,FBgn0053265,0.967465723026373,8.40050968257978e-05
FBgn0264376,FBgn0031540,0.900644984163128,0.00227285891748164
FBgn0085214,FBgn0022246,0.920210522781121,0.00119513941385149
FBgn0037742,FBgn0031273,0.90841364406397,0.00179107207278325
FBgn0015926,FBgn0037574,0.927241458179464,0.000911142830728504
FBgn0266843,FBgn0039476,0.934620478742555,0.000664848404997517
FBgn0086472,FBgn0052213,0.908876698070113,0.00176467552787261
FBgn0038082,FBgn0033789,0.998415772037064,9.92834530756111e-09
FBgn0011705,FBgn0038718,0.919838976770197,0.00121156570046426
FBgn0265534,FBgn0261699,0.902561063800694,0.00214707388407223
FBgn0083045,FBgn0033628,-0.982843687821976,1.24625473288768e-05
FBgn0036365,FBgn0038173,-0.911859552477758,0.00160068262213407
FBgn0011648,FBgn0036059,0.92208898200605,0.00111431383793304
FBgn0262807,FBgn0050376,0.97758096487878,2.7698715235822e-05
FBgn0035857,FBgn0028853,0.914831880890703,0.00144746808108157
FBgn0051835,FBgn0085199,0.918862682491816,0.0012554283614878
FBgn0035753,FBgn0034391,-0.902976260409432,0.00212042738853982
FBgn0030018,FBgn0264873,-0.900132088310229,0.00230732045647644
FBgn0084049,FBgn0266232,0.970981787050641,5.97656797229262e-05
FBgn0052150,FBgn0053109,-0.936207984705224,0.000618337249538495
FBgn0000482,FBgn0260632,-0.95000991667428,0.000300721714684216
FBgn0030998,FBgn0261952,-0.911582447731883,0.0016154808379933
FBgn0264957,FBgn0266281,0.969282915103359,7.07979476626457e-05
FBgn0003557,FBgn0037786,0.918581342967972,0.00126825764427346
FBgn0037889,FBgn0265452,0.920321584609114,0.00119025766451515
FBgn0003023,FBgn0259215,0.949893874751441,0.000302793951678816
FBgn0267783,FBgn0030563,0.913454264021513,0.00151723296348358
FBgn0032010,FBgn0264394,-0.970546018235038,6.24781999284826e-05
FBgn0262594,FBgn0266902,0.912826841953616,0.00154971853312051
FBgn0033863,FBgn0004425,0.925053115664357,0.000994176726348386
FBgn0265854,FBgn0036951,0.90978363530431,0.00171371086580811
FBgn0261523,FBgn0052283,0.90531266039227,0.00197447879569384
FBgn0029995,FBgn0050025,0.996063416323549,1.52060130557199e-07
FBgn0036181,FBgn0031523,0.968306869310179,7.77060212992887e-05
FBgn0086265,FBgn0031523,0.942339281948534,0.000458782626503152
FBgn0028563,FBgn0031523,0.974363625279212,4.13163426003442e-05
FBgn0032473,FBgn0036089,0.964870884214276,0.000105542773471939
FBgn0032003,FBgn0050430,0.982262995902236,1.37652940927252e-05
FBgn0000640,FBgn0039768,0.996517453372908,1.05316349769977e-07
FBgn0005590,FBgn0053462,0.915707462974605,0.00140423273235153
FBgn0041238,FBgn0264550,0.969494529761684,6.93559171631979e-05
FBgn0030459,FBgn0031301,0.95621482421193,0.000203024870537265
FBgn0266854,FBgn0051580,0.939630757018405,0.000525428005147877
FBgn0030566,FBgn0010294,0.957121790263408,0.000190799768479271
FBgn0283450,FBgn0052213,0.920317362299949,0.0011904430188148
FBgn0033027,FBgn0265095,0.982237138659247,1.38253137992745e-05
FBgn0035203,FBgn0262606,0.935284916978238,0.000645112436470866
FBgn0033725,FBgn0020880,0.968490432160855,7.63742655583137e-05
FBgn0067782,FBgn0266679,0.931325991067997,0.000768556525870185
FBgn0267646,FBgn0262572,0.939246655324644,0.000535363538302024
FBgn0011887,FBgn0264374,0.94376779567376,0.000425987536332987
FBgn0265307,FBgn0040503,0.946427383982172,0.000369107914694344
FBgn0085327,FBgn0052054,0.907004178557647,0.00187299515926117
FBgn0265153,FBgn0264469,-0.932566327347449,0.000728354644161127
FBgn0010043,FBgn0039444,0.956359428854646,0.000201042121373831
FBgn0266848,FBgn0000277,-0.901804620082899,0.00219617758420543
FBgn0262721,FBgn0266905,0.912117332913267,0.0015869958380564
FBgn0031756,FBgn0034441,0.959359187569453,0.00016274011448562
FBgn0036160,FBgn0263403,0.987074129762576,5.34686979178869e-06
FBgn0038717,FBgn0260393,0.922255648094248,0.00110732022626474
FBgn0052832,FBgn0266378,0.959429160938533,0.000161909586112798
FBgn0085789,FBgn0267158,0.9605936584956,0.000148495612758442
FBgn0000405,FBgn0085427,0.915814102922253,0.00139902519439665
FBgn0261636,FBgn0037880,0.937505183690142,0.000581956449707002
FBgn0030494,FBgn0036217,0.926940520636415,0.000922281800312917
FBgn0052847,FBgn0012017,0.920954694546407,0.00116267748386412
FBgn0262606,FBgn0267135,1,2.2250738585072e-308
FBgn0038945,FBgn0011985,0.921305201630293,0.00114758931944462
FBgn0034972,FBgn0264480,0.937923264955452,0.000570537645910873
FBgn0010039,FBgn0039131,0.908036397664686,0.00181276582281315
FBgn0052263,FBgn0040958,0.919895034000823,0.00120907800072217
FBgn0039760,FBgn0265801,0.996597196048615,9.82520836396023e-08
FBgn0011936,FBgn0038033,0.918107418942239,0.00129006165121755
FBgn0022246,FBgn0264677,0.914246781498319,0.00147683737299182
FBgn0086346,FBgn0040338,0.953914324935574,0.000236322205820036
FBgn0263346,FBgn0040338,0.957195594274231,0.000189826889422635
FBgn0263768,FBgn0085386,0.922572122369092,0.00109411937342351
FBgn0033696,FBgn0265907,0.972040119362929,5.35049548454941e-05
FBgn0051700,FBgn0037424,0.915971328490951,0.00139137038917972
FBgn0039557,FBgn0026573,0.938787640865491,0.000547397488051717
FBgn0033301,FBgn0259748,0.951780921126384,0.000270244499043976
FBgn0036147,FBgn0266938,0.907763023821198,0.00182859256622629
FBgn0263143,FBgn0036459,0.910386975124702,0.00168034276692833
FBgn0266535,FBgn0036176,0.91348111203991,0.00151585285764846
FBgn0019972,FBgn0036176,0.925647217590506,0.000971165418008252
FBgn0036617,FBgn0265728,0.922250061600987,0.00110755418026872
FBgn0040503,FBgn0265728,0.918978139176244,0.00125018804618898
FBgn0053810,FBgn0032853,0.950139354829399,0.000298421286095336
FBgn0034081,FBgn0267749,0.941622061427031,0.000475855005900426
FBgn0033902,FBgn0261602,0.963219463503223,0.000120986322401709
FBgn0031763,FBgn0086253,-0.929124139777256,0.000843448436179221
FBgn0264982,FBgn0264513,-0.962397683753964,0.00012919767319377
FBgn0034715,FBgn0266703,0.945987654568029,0.000378144625419102
FBgn0039665,FBgn0266703,0.950346984249642,0.000294755444656553
FBgn0032665,FBgn0054049,0.972674123957451,4.99710953259255e-05
FBgn0263041,FBgn0053283,0.930451405608612,0.000797759099294739
FBgn0033303,FBgn0082973,0.934464754466533,0.000669530407636182
FBgn0040071,FBgn0082973,0.913728188892183,0.00150319037851866
FBgn0031918,FBgn0000137,0.961049579724889,0.000143450571297316
FBgn0036746,FBgn0000137,0.902738977636543,0.00213562928352678
FBgn0050323,FBgn0267191,0.941741101689264,0.00047299305105665
FBgn0083045,FBgn0036707,0.973576138310882,4.52149486595739e-05
FBgn0034612,FBgn0041229,0.956069491827707,0.000205030540059724
FBgn0265452,FBgn0046697,0.982988474046547,1.21510066901313e-05
FBgn0029589,FBgn0266772,0.940672758670207,0.000499085716272121
FBgn0040279,FBgn0266774,1,2.2250738585072e-308
FBgn0260441,FBgn0050457,0.90331953000442,0.00209855983606182
FBgn0266454,FBgn0267755,0.97090448576664,6.02410520312938e-05
FBgn0036676,FBgn0040648,0.909567695731557,0.00172575740912891
FBgn0266418,FBgn0267237,0.917250534485687,0.0013301022097661
FBgn0031004,FBgn0266207,0.989075317626469,3.23296683829226e-06
FBgn0053509,FBgn0037667,-0.974022343162869,4.29773653696145e-05
FBgn0263839,FBgn0263340,-0.905201427634076,0.00198127450873199
FBgn0039755,FBgn0263246,0.944057749482342,0.000419524859543194
FBgn0016675,FBgn0263246,0.910004800524778,0.0017014296254526
FBgn0050469,FBgn0034094,0.918161530594936,0.00128755985293096
FBgn0264843,FBgn0262613,0.959753703221823,0.000158094075334025
