regulatoryGene,targetGene,weight,cor,p.adj,log10padj
FBgn0035431,FBgn0267090,0.014591142437176,0.719219628505811,0.0443407526989283,-1.35319693886662
FBgn0034520,FBgn0266150,0.0127770903455454,0.53777091487354,0.169215855859273,-0.771558945141221
FBgn0010316,FBgn0003916,0.0107585579798484,0.792183856839609,0.0190858457921993,-1.71928858946149
FBgn0004652,FBgn0267090,0.0104222445979829,0.702943758354149,0.0517997019856394,-1.28567273883323
FBgn0032981,FBgn0265923,0.0103095678715497,0.862868945951255,0.00580198585228672,-2.23642333452703
FBgn0050241,FBgn0051579,0.0102260627518323,0.757567214590407,0.0294588023767663,-1.53078491301729
FBgn0267625,FBgn0263505,0.0100063905815156,0.917003854082684,0.00134177735058092,-2.8723195433595
FBgn0266067,FBgn0267192,0.00987854189795568,0.766111174542222,0.0266381092851847,-1.57449660368159
FBgn0038341,FBgn0050091,0.00984010791163848,0.882890729092094,0.00367085343171777,-2.43523295547611
FBgn0037183,FBgn0036707,0.00952978396181688,0.728682058482762,0.0403224473669063,-1.39445311630245
FBgn0002573,FBgn0083021,0.00941935095990807,0.652811101516836,0.0792736179089851,-1.1008713209153
FBgn0260401,FBgn0083016,0.00928665176959486,0.892708129863129,0.00284460288502377,-2.54597835383151
FBgn0265597,FBgn0265196,0.00926629479497488,0.761097617007808,0.0282720498567613,-1.54864270197366
FBgn0025635,FBgn0267928,0.00926357940520854,0.56716767381637,0.142609737528475,-0.845850819431542
FBgn0015571,FBgn0085345,0.0089687176492294,0.426360948251324,0.292171578850667,-0.534362032579164
FBgn0266398,FBgn0264900,0.00893948865531094,0.699759431320132,0.0533411498241046,-1.27293762687483
FBgn0035768,FBgn0034663,0.00884413632804893,-0.33974596471413,0.410298801404628,-0.386899751724573
FBgn0015019,FBgn0263246,0.00880818861888837,0.723653155836283,0.0424292062616588,-1.37233509265964
FBgn0034473,FBgn0265417,0.00874490108574085,0.817722027271763,0.0131461937721315,-1.88119997059914
FBgn0036376,FBgn0265766,0.00866050797248503,0.657438302270071,0.076446742940097,-1.11664101323761
FBgn0036846,FBgn0037836,0.00862290200775058,0.722389459551114,0.0429688638480384,-1.36684612946832
FBgn0033784,FBgn0003931,0.00861503117820807,0.389520915766804,0.340161433595477,-0.468314926837851
FBgn0025615,FBgn0003931,0.00861503117820807,0.638991698071477,0.0880751211912736,-1.05514675055756
FBgn0031736,FBgn0003931,0.00861503117820807,0.652479091022729,0.0794787620685256,-1.09974890591798
FBgn0033453,FBgn0038190,0.008564321240127,0.793887478631507,0.0186459551915171,-1.72941536377603
FBgn0032914,FBgn0267548,0.00854318316416943,0.699535303887005,0.0534506656374908,-1.27204688201948
FBgn0082971,FBgn0262818,0.00830835028722338,0.704988721702066,0.0508240569612342,-1.29393067093551
FBgn0267262,FBgn0261616,0.00824693685202639,0.615805084165142,0.104060942965886,-0.982712242989036
FBgn0083034,FBgn0031523,0.00824014125956445,0.834336049105887,0.0100009655234422,-1.99995806987388
FBgn0039831,FBgn0039768,0.00822574950936856,0.653324268070965,0.0789571494644878,-1.10260853908956
FBgn0263410,FBgn0053462,0.00820297973407255,0.78537657930737,0.0209079710799597,-1.6796881092928
FBgn0020622,FBgn0083058,0.00817200972386399,0.865657071857152,0.00546722446610782,-2.26223309505105
FBgn0264882,FBgn0263871,0.00816255795094883,0.738732375837203,0.0363057191325319,-1.4400249564499
FBgn0265048,FBgn0031522,0.00815700792023367,0.536958991069656,0.16998595660828,-0.769586956383241
FBgn0002533,FBgn0052569,0.00812111672014258,0.631024875553597,0.0933949179989258,-1.02967675487345
FBgn0052200,FBgn0263777,0.00806287752037356,0.718830695881373,0.044510880386068,-1.35153381566962
FBgn0053536,FBgn0020376,0.00804658448926591,0.909591801203898,0.0017244099241206,-2.76335948641058
