regulatoryGene,targetGene,cor,p.adj
FBgn0034906,FBgn0085462,0.933558422142023,0.00069720926383356
FBgn0264988,FBgn0260436,0.874711866262937,0.00446623366587466
FBgn0265907,FBgn0053702,0.938340568579551,0.000559287585471261
FBgn0259996,FBgn0020880,0.89108491016445,0.0029719118548649
FBgn0031969,FBgn0011953,0.796378335478508,0.018014284620018
FBgn0032704,FBgn0038122,0.952850745874184,0.000252859330538558
FBgn0065108,FBgn0085200,0.860229652381938,0.00613071459951416
FBgn0040359,FBgn0035787,0.713629536674147,0.0468239543009761
FBgn0037067,FBgn0011953,0.837296137454626,0.00949673037992212
FBgn0034894,FBgn0265766,0.88937237643332,0.00311015829021019
FBgn0265269,FBgn0266225,0.818460035423879,0.0129948368573863
FBgn0003922,FBgn0265910,0.948439063274081,0.000329575333363704
FBgn0030081,FBgn0034807,0.805498783351678,0.0158162586157883
FBgn0050293,FBgn0031621,0.891203484351353,0.00296248983709279
FBgn0036226,FBgn0040871,0.74038760477387,0.0356686974897447
FBgn0010417,FBgn0265851,0.801645781260543,0.016722995299893
FBgn0052220,FBgn0034882,0.810948918648106,0.0145873508532769
FBgn0028919,FBgn0083018,0.824211559122217,0.0118528464040826
FBgn0051099,FBgn0260871,0.845451222831332,0.00819197966430152
FBgn0011966,FBgn0031620,0.857371438112283,0.00649989453189228
FBgn0086043,FBgn0265825,0.835931392574059,0.00972715081516907
FBgn0263462,FBgn0265825,0.839862921155066,0.00907281554785073
FBgn0038097,FBgn0265910,0.857001229756352,0.00654872581688373
FBgn0031114,FBgn0264999,-0.970943614809467,6.00001124483504e-05
FBgn0030912,FBgn0261054,0.725122896830706,0.041806750291546
FBgn0053983,FBgn0027107,0.909567300483508,0.0017257795090197
FBgn0035887,FBgn0036707,0.823235199459305,0.0120420455432424
FBgn0263463,FBgn0036707,0.927856360267361,0.000888656938328473
FBgn0030734,FBgn0042092,0.784801264981244,0.0210667321119692
FBgn0043069,FBgn0036010,0.707800579422876,0.0495006828421755
FBgn0030224,FBgn0037498,0.751038459099229,0.0317331289789751
FBgn0085405,FBgn0265608,0.829832835902179,0.0108000879729281
FBgn0037037,FBgn0265766,0.850872589648871,0.00739143997907337
FBgn0083946,FBgn0051867,0.920959727571248,0.00116245991825881
FBgn0262028,FBgn0267937,0.884045512602241,0.00356654712190677
FBgn0265419,FBgn0267982,0.813698094587956,0.0139910030190163
FBgn0053341,FBgn0030370,0.813069474723328,0.0141259825235574
FBgn0034828,FBgn0051822,0.813840329318925,0.0139605749807548
FBgn0038610,FBgn0036328,0.872931823935543,0.00465281226889348
FBgn0036441,FBgn0053891,0.766770704869925,0.0264276210312791
FBgn0267978,FBgn0053891,0.839616273026998,0.00911301723916546
FBgn0034739,FBgn0040730,0.744091733581854,0.0342680187912056
FBgn0030643,FBgn0265162,0.739097651507657,0.0361645490853748
FBgn0034195,FBgn0265706,0.776009246800481,0.0235867390802863
FBgn0039128,FBgn0038136,0.951614620115242,0.000273015623510105
FBgn0031969,FBgn0020880,0.779303251680277,0.0226218552538533
FBgn0054052,FBgn0266774,0.837378305772033,0.00948296906953212
FBgn0015625,FBgn0014076,0.91935479501088,0.00123319172065509
FBgn0267019,FBgn0053899,0.808972602423091,0.0150257653519232
FBgn0034058,FBgn0265316,0.888916817097054,0.00314762027873075
FBgn0033203,FBgn0263323,0.744783126993092,0.0340103677450804
FBgn0052564,FBgn0263323,0.794102661256721,0.0185908482619497
FBgn0267319,FBgn0026175,0.764136666019039,0.0272744496993659
FBgn0267232,FBgn0037038,0.842733899016372,0.00861314161567999
FBgn0267807,FBgn0038888,0.812329605002958,0.0142858964183663
FBgn0263463,FBgn0030570,0.90146592612851,0.00221839749382229
FBgn0265895,FBgn0030570,0.952230191204997,0.0002628509040916
FBgn0266850,FBgn0263765,0.835114355012183,0.009866779451163
FBgn0037313,FBgn0035548,0.715370993821851,0.0460416043085822
FBgn0034477,FBgn0004895,0.854276287259018,0.00691537916983803
FBgn0029639,FBgn0262163,0.724470236626397,0.0420824726195411
FBgn0033465,FBgn0034822,0.730676024177903,0.0395050933060692
FBgn0265196,FBgn0035642,0.790998377731127,0.0193957347280758
FBgn0033373,FBgn0053861,0.726328560605806,0.0413002946133064
FBgn0262814,FBgn0053861,0.786101868467061,0.0207088881133627
FBgn0028412,FBgn0264980,0.973192115717243,4.72013631264898e-05
FBgn0262788,FBgn0051446,0.734196096712087,0.0380869339915519
FBgn0011297,FBgn0038901,0.787055224981054,0.0204490054117354
FBgn0030224,FBgn0038901,0.822747690302903,0.0121372247311119
FBgn0026755,FBgn0050472,0.818141779917542,0.0130599718386997
FBgn0037436,FBgn0265825,0.880932143375959,0.0038522234075072
FBgn0046776,FBgn0267143,0.911188700071773,0.00163666080638577
FBgn0039117,FBgn0038512,0.721824462240481,0.043211482000179
FBgn0004589,FBgn0262839,0.835061480391968,0.00987585906207095
FBgn0262898,FBgn0038135,0.849521568439494,0.0075860396017382
FBgn0036749,FBgn0051437,0.888719389068095,0.00316394548214439
FBgn0039059,FBgn0266009,0.710224308244888,0.0483767885717166
FBgn0267958,FBgn0004052,0.783241567071654,0.0215009065683223
FBgn0036020,FBgn0053702,0.813039053068941,0.0141325354732529
FBgn0266772,FBgn0043865,0.799864255521227,0.0171530058119066
FBgn0039821,FBgn0033888,0.815420969599697,0.01362523275581
FBgn0266867,FBgn0266169,0.950411465558907,0.000293623043286167
FBgn0030462,FBgn0266169,0.807384778243592,0.0153839290253769
FBgn0250845,FBgn0037039,0.910734077300775,0.00166133902497241
FBgn0267965,FBgn0028570,0.727639302438614,0.0407539435782429
FBgn0260934,FBgn0051821,0.709257215581063,0.0488233715183373
FBgn0264429,FBgn0053908,0.976042985750388,3.37599581015598e-05
FBgn0008646,FBgn0037284,0.775777216227352,0.0236556503346563
FBgn0000247,FBgn0040355,-0.754230381734227,0.0306082194840954
FBgn0030066,FBgn0262812,0.744426278287767,0.0341432005362464
FBgn0031995,FBgn0004895,0.744268791840512,0.0342019238377884
FBgn0038601,FBgn0004895,0.851496543152932,0.00730265299058167
FBgn0053929,FBgn0004895,0.928467003097022,0.000866688965987045
FBgn0028867,FBgn0263246,0.836044481101731,0.00970792383565766
FBgn0039478,FBgn0040487,0.721873981024002,0.043190184823382
FBgn0029946,FBgn0038941,0.825366868578078,0.0116314106881764
FBgn0051053,FBgn0050211,0.719008540133467,0.0444330385058565
FBgn0032969,FBgn0011953,0.750883011231051,0.0317885499989957
FBgn0037342,FBgn0030911,0.915050897143405,0.00143657312814462
FBgn0034323,FBgn0011865,0.962992359390401,0.000123220041582068
FBgn0032068,FBgn0085295,0.90141609527043,0.00222167888375179
FBgn0262892,FBgn0051294,0.800831346276189,0.0169187286209709
FBgn0036822,FBgn0267560,0.861007924290866,0.00603257219382621
FBgn0035968,FBgn0039019,0.742430457964856,0.034891971768401
FBgn0034956,FBgn0261807,0.842842063414005,0.00859611972288923
FBgn0031721,FBgn0034318,0.79118216419102,0.0193474880872378
FBgn0031389,FBgn0037675,0.83560024396003,0.00978359068061122
FBgn0023507,FBgn0267107,0.75071704264564,0.0318477874337064
FBgn0034959,FBgn0267513,0.791049596195662,0.0193822815927419
FBgn0040045,FBgn0034834,0.754734724130784,0.030432754829058
FBgn0265851,FBgn0262028,0.828830731772026,0.0109832372361044
FBgn0031546,FBgn0262028,0.967800980592392,8.14555247522007e-05
FBgn0053191,FBgn0263324,0.763011529020361,0.0276412119313573
FBgn0051912,FBgn0036705,0.734754391252353,0.0378649043454683
