regulatoryGene,targetGene,weight,cor,p.adj,log10padj
FBgn0034906,FBgn0085462,0.0123315972345189,0.933558422142023,0.00069720926383356,-3.15663685104416
FBgn0015622,FBgn0020880,0.0115176602300832,0.54350483397277,0.16383112801538,-0.785603578516091
FBgn0037727,FBgn0053855,0.0111679224799019,0.588426771099855,0.124921247765396,-0.9033636865062
FBgn0264988,FBgn0260436,0.0111612908913865,0.874711866262937,0.00446623366587466,-2.35005855910934
FBgn0265907,FBgn0053702,0.0111520969346365,0.938340568579551,0.000559287585471261,-3.25236482061662
FBgn0259996,FBgn0020880,0.0106780228773782,0.89108491016445,0.0029719118548649,-2.52696407563605
FBgn0031969,FBgn0011953,0.0104031091895932,0.796378335478508,0.018014284620018,-1.74438297982215
FBgn0038746,FBgn0030570,0.0103684883931499,0.577065370779562,0.134212128711898,-0.872208235324744
FBgn0035024,FBgn0263765,0.0103333677371123,0.508895629057132,0.197760634994971,-0.703860152101144
FBgn0032704,FBgn0038122,0.0102474680467927,0.952850745874184,0.000252859330538558,-3.59712101621912
FBgn0051380,FBgn0262816,0.010224594639531,0.639262901687316,0.0878971989763736,-1.05602496438569
FBgn0065108,FBgn0085200,0.0101973622781091,0.860229652381938,0.00613071459951416,-2.212488900924
FBgn0033074,FBgn0030979,0.0100446661342666,0.684684655767558,0.0610089074491544,-1.21460675230727
FBgn0040359,FBgn0035787,0.00987057933784795,0.713629536674147,0.0468239543009761,-1.32953191275437
FBgn0037067,FBgn0011953,0.0097529148652436,0.837296137454626,0.00949673037992212,-2.02242589180285
FBgn0083973,FBgn0037675,0.00963559091321127,0.685245438335522,0.0607126323958197,-1.21672093645346
FBgn0034894,FBgn0265766,0.00956336198472261,0.88937237643332,0.00311015829021019,-2.50721750717399
FBgn0265269,FBgn0266225,0.00946434174646563,0.818460035423879,0.0129948368573863,-1.8862291684432
FBgn0036880,FBgn0030570,0.0094468449804255,0.665097143567726,0.0718993661475174,-1.14327493826592
FBgn0003922,FBgn0265910,0.00942309167555809,0.948439063274081,0.000329575333363704,-3.48204529996311
FBgn0030081,FBgn0034807,0.00941615017409514,0.805498783351678,0.0158162586157883,-1.80089624237347
FBgn0050293,FBgn0031621,0.00940923449156529,0.891203484351353,0.00296248983709279,-2.52834313083909
FBgn0036226,FBgn0040871,0.00939135101292429,0.74038760477387,0.0356686974897447,-1.44771274946021
FBgn0010417,FBgn0265851,0.00931910990688279,0.801645781260543,0.016722995299893,-1.77668593229715
FBgn0052220,FBgn0034882,0.00929185873429935,0.810948918648106,0.0145873508532769,-1.83602357131881
FBgn0036366,FBgn0036490,0.00927051965565061,0.451382257730974,0.261590659361325,-0.582377767458846
FBgn0028919,FBgn0083018,0.00923761800159927,0.824211559122217,0.0118528464040826,-1.92617734339705
FBgn0051099,FBgn0260871,0.00922320590489449,0.845451222831332,0.00819197966430152,-2.08661113445572
FBgn0011966,FBgn0031620,0.0091462576028466,0.857371438112283,0.00649989453189228,-2.18709369021696
FBgn0086043,FBgn0265825,0.0091061664713814,0.835931392574059,0.00972715081516907,-2.01201435052855
FBgn0263462,FBgn0265825,0.0091061664713814,0.839862921155066,0.00907281554785073,-2.04225791832639
FBgn0031181,FBgn0262960,0.00910490147195907,0.680287297826567,0.0633619174189508,-1.19817168887011
FBgn0038097,FBgn0265910,0.00902741576567056,0.857001229756352,0.00654872581688373,-2.18384319230248
FBgn0031114,FBgn0264999,0.00901911648995054,-0.970943614809467,6.00001124483504e-05,-4.22184793568882
FBgn0030912,FBgn0261054,0.00898302156862531,0.725122896830706,0.041806750291546,-1.37875358957229
FBgn0053983,FBgn0027107,0.00897194872615637,0.909567300483508,0.0017257795090197,-2.76301469189599
FBgn0035887,FBgn0036707,0.0089674492390065,0.823235199459305,0.0120420455432424,-1.91929973461588
FBgn0263463,FBgn0036707,0.0089674492390065,0.927856360267361,0.000888656938328473,-3.05126586394046
FBgn0030734,FBgn0042092,0.00896126453442485,0.784801264981244,0.0210667321119692,-1.67640282726847
FBgn0036195,FBgn0053702,0.00892167754770919,0.585143005980471,0.12756829639586,-0.894257244197216
FBgn0043069,FBgn0036010,0.00890556812452948,0.707800579422876,0.0495006828421755,-1.30538881010596
FBgn0039873,FBgn0011953,0.00888598909944417,0.640652399964269,0.0869888937436101,-1.06053619213728
FBgn0030224,FBgn0037498,0.00887791377999576,0.751038459099229,0.0317331289789751,-1.49848710308695
FBgn0085405,FBgn0265608,0.00883350474296695,0.829832835902179,0.0108000879729281,-1.96657270692031
FBgn0262849,FBgn0264988,0.0088194942519889,0.61164154084116,0.10709427479957,-0.970233745689292
FBgn0037037,FBgn0265766,0.0087982930259448,0.850872589648871,0.00739143997907337,-2.13127094536095
FBgn0083946,FBgn0051867,0.00878758491186296,0.920959727571248,0.00116245991825881,-2.93462201269962
FBgn0038727,FBgn0011936,0.00878238485947541,0.621936234476108,0.0996845796251644,-1.00137201823455
FBgn0262028,FBgn0267937,0.00877266271200602,0.884045512602241,0.00356654712190677,-2.44775203362314
FBgn0000567,FBgn0031164,0.0087518651195009,0.616295941135071,0.103706607774419,-0.984193571204573
FBgn0036031,FBgn0265984,0.00875163360136299,-0.590398452424022,0.123346820714864,-0.908872040043602
FBgn0265419,FBgn0267982,0.00872231063413129,0.813698094587956,0.0139910030190163,-1.85415114969621
FBgn0082958,FBgn0264885,0.00869061413673233,0.635082600583515,0.0906628566625875,-1.04257060103673
FBgn0259791,FBgn0265910,0.00866924434151344,0.625715507868115,0.0970405470193706,-1.0130467640085
FBgn0053341,FBgn0030370,0.00866801484963236,0.813069474723328,0.0141259825235574,-1.8499813353868
FBgn0027338,FBgn0266114,0.00866122246968572,0.374698634810894,0.360429475137881,-0.443179700583356
FBgn0034828,FBgn0051822,0.00863773057859146,0.813840329318925,0.0139605749807548,-1.85509669447599
FBgn0038610,FBgn0036328,0.00861476969931407,0.872931823935543,0.00465281226889348,-2.33228446997445
FBgn0036441,FBgn0053891,0.00860461781155887,0.766770704869925,0.0264276210312791,-1.57794192954665
FBgn0267978,FBgn0053891,0.00860461781155887,0.839616273026998,0.00911301723916546,-2.04033780816748
FBgn0034739,FBgn0040730,0.00860203532875862,0.744091733581854,0.0342680187912056,-1.46511100362147
FBgn0030643,FBgn0265162,0.00857913211654678,0.739097651507657,0.0361645490853748,-1.44171694549717
FBgn0022936,FBgn0267107,0.00855282422942469,0.622765607573855,0.0991008419868192,-1.0039226556189
FBgn0034195,FBgn0265706,0.00854926316679029,0.776009246800481,0.0235867390802863,-1.62733209715296
FBgn0039128,FBgn0038136,0.00854707471731316,0.951614620115242,0.000273015623510105,-3.56381249944247
FBgn0031969,FBgn0020880,0.00854241830190258,0.779303251680277,0.0226218552538533,-1.64547178077791
FBgn0053673,FBgn0262994,0.00852670668972812,0.667994462768368,0.0702217014900042,-1.15352865167546
FBgn0054052,FBgn0266774,0.00852265965455368,0.837378305772033,0.00948296906953212,-2.0230556659707
FBgn0015625,FBgn0014076,0.00851828297692625,0.91935479501088,0.00123319172065509,-2.90896939968173
FBgn0267019,FBgn0053899,0.00851063829787234,0.808972602423091,0.0150257653519232,-1.82316339755141
FBgn0034058,FBgn0265316,0.00842927936592238,0.888916817097054,0.00314762027873075,-2.50201766538499
FBgn0036009,FBgn0264857,0.0084,0.526948062573939,0.179636297076159,-0.745605905824675
FBgn0000355,FBgn0083014,0.0083895801318275,0.651360589693599,0.0801721468882552,-1.09597648650067
FBgn0033203,FBgn0263323,0.00835315170154538,0.744783126993092,0.0340103677450804,-1.46838867213091
FBgn0052564,FBgn0263323,0.00835315170154538,0.794102661256721,0.0185908482619497,-1.73070079381717
FBgn0031054,FBgn0263323,0.00835315170154538,0.675577331525791,0.0659409945746181,-1.18084450676807
FBgn0015550,FBgn0033589,0.0083444261220273,0.482058808790275,0.226404351639297,-0.64511522998036
FBgn0267319,FBgn0026175,0.00833928981452999,0.764136666019039,0.0272744496993659,-1.56424400315721
FBgn0261555,FBgn0051245,0.00831801532097237,-0.282961281472602,0.497087207567889,-0.303567413192045
FBgn0267232,FBgn0037038,0.00831047759236926,0.842733899016372,0.00861314161567999,-2.06483841213565
FBgn0267807,FBgn0038888,0.00829826329203959,0.812329605002958,0.0142858964183663,-1.84509250310515
FBgn0263463,FBgn0030570,0.00829479071451996,0.90146592612851,0.00221839749382229,-2.65396063406298
FBgn0265895,FBgn0030570,0.00829479071451996,0.952230191204997,0.0002628509040916,-3.58029052486082
FBgn0082954,FBgn0032280,0.00828019952259139,-0.46799223104664,0.242218924251867,-0.615791929000177
FBgn0266850,FBgn0263765,0.00826669418968986,0.835114355012183,0.009866779451163,-2.00582457932919
FBgn0001083,FBgn0267472,0.00824134877655033,-0.627452829605633,0.0958387803200089,-1.01845872191282
FBgn0037313,FBgn0035548,0.00823927272810014,0.715370993821851,0.0460416043085822,-1.33684955189226
FBgn0034477,FBgn0004895,0.008223874260625,0.854276287259018,0.00691537916983803,-2.16018400256063
FBgn0029639,FBgn0262163,0.00819430709271873,0.724470236626397,0.0420824726195411,-1.37589875047328
FBgn0033465,FBgn0034822,0.00817402304907393,0.730676024177903,0.0395050933060692,-1.40334690811732
FBgn0265196,FBgn0035642,0.00814911699436429,0.790998377731127,0.0193957347280758,-1.71229376428227
FBgn0033373,FBgn0053861,0.0081424619035097,0.726328560605806,0.0413002946133064,-1.38404685031752
FBgn0262814,FBgn0053861,0.0081424619035097,0.786101868467061,0.0207088881133627,-1.68384321830569
FBgn0028412,FBgn0264980,0.00813055330756307,0.973192115717243,4.72013631264898e-05,-4.32604545920989
FBgn0262788,FBgn0051446,0.008120951253288,0.734196096712087,0.0380869339915519,-1.41922398675476
FBgn0011297,FBgn0038901,0.0081209005740722,0.787055224981054,0.0204490054117354,-1.68932781013582
FBgn0030224,FBgn0038901,0.0081209005740722,0.822747690302903,0.0121372247311119,-1.91588060665055
FBgn0026755,FBgn0050472,0.00810930737962919,0.818141779917542,0.0130599718386997,-1.88405775953189
FBgn0040959,FBgn0030537,0.00810357135966351,0.606697819387872,0.110760641923821,-0.955614535924248
FBgn0028487,FBgn0035788,0.00810068451496874,0.44792300896654,0.26571908260263,-0.575577255633255
FBgn0037436,FBgn0265825,0.00809437019678347,0.880932143375959,0.0038522234075072,-2.41428853415547
FBgn0051038,FBgn0262534,0.00809408328382933,0.670521676255713,0.068777362262092,-1.16255448418404
FBgn0046776,FBgn0267143,0.00809342120476356,0.911188700071773,0.00163666080638577,-2.78604131764285
FBgn0039117,FBgn0038512,0.0080887342442299,0.721824462240481,0.043211482000179,-1.3644008386769
FBgn0036311,FBgn0035736,0.0080560830833555,0.597779315965464,0.117552587676419,-0.929767806341507
FBgn0031299,FBgn0040871,0.00804972943964939,0.487443140735202,0.220495900664326,-0.656599480279644
FBgn0038749,FBgn0050472,0.00804370493222835,0.564704421284699,0.144743596224821,-0.839400641318967
FBgn0034162,FBgn0033141,0.00804227941176471,0.566675071290427,0.143035067333664,-0.844557475244947
FBgn0004589,FBgn0262839,0.00803981623277182,0.835061480391968,0.00987585906207095,-2.0054251164924
FBgn0262898,FBgn0038135,0.00803612430669925,0.849521568439494,0.0075860396017382,-2.11998489446061
FBgn0035024,FBgn0036592,0.00803296775989975,0.508895629057132,0.197760634994971,-0.703860152101144
FBgn0036749,FBgn0051437,0.00803194602146766,0.888719389068095,0.00316394548214439,-2.49977100842589
FBgn0039059,FBgn0266009,0.00801159774149245,0.710224308244888,0.0483767885717166,-1.31536296507448
FBgn0266973,FBgn0035887,0.00800791275228648,0.6770267198692,0.0651408458242088,-1.18614660661853
FBgn0264267,FBgn0266804,0.00800564207155519,0.611505054045823,0.107194553844956,-0.969827278963832
FBgn0267958,FBgn0004052,0.00800031203008797,0.783241567071654,0.0215009065683223,-1.66754322802303
FBgn0036020,FBgn0053702,0.00798459371525591,0.813039053068941,0.0141325354732529,-1.84977991576923
FBgn0266772,FBgn0043865,0.00797903294635162,0.799864255521227,0.0171530058119066,-1.76565976523397
FBgn0266148,FBgn0034661,0.00796436608353959,0.581406428290183,0.130618210370716,-0.883996270900227
FBgn0039821,FBgn0033888,0.0079606062622385,0.815420969599697,0.01362523275581,-1.86565607006413
FBgn0266867,FBgn0266169,0.00796045235710702,0.950411465558907,0.000293623043286167,-3.53220986435772
FBgn0015288,FBgn0266169,0.00796045235710702,0.656169447707384,0.0772159445390166,-1.11229301170676
FBgn0030462,FBgn0266169,0.00796045235710702,0.807384778243592,0.0153839290253769,-1.81293273240701
FBgn0011754,FBgn0265710,0.00795743252272497,0.622691230375702,0.0991531105972664,-1.00369365670792
FBgn0250845,FBgn0037039,0.00795635357433872,0.910734077300775,0.00166133902497241,-2.77954173320145
FBgn0031047,FBgn0036438,0.00795581182976551,-0.479060492372111,0.229729427667264,-0.638783369389583
FBgn0262878,FBgn0020880,0.00795197762161369,0.627108421051774,0.0960763352514707,-1.01738357107578
FBgn0267965,FBgn0028570,0.00794458484281561,0.727639302438614,0.0407539435782429,-1.3898303601411
FBgn0266836,FBgn0053702,0.00793038004240817,0.565008852619572,0.144478926379489,-0.840195494253687
FBgn0260934,FBgn0051821,0.00793019042284521,0.709257215581063,0.0488233715183373,-1.31137223349622
FBgn0029685,FBgn0262623,0.00792580724049331,0.590880955442007,0.12296324033799,-0.910224700791606
FBgn0036515,FBgn0053908,0.00792496109048278,0.639759624331671,0.0875718664751734,-1.05763539379775
FBgn0264429,FBgn0053908,0.00792496109048278,0.976042985750388,3.37599581015598e-05,-4.4715981010355
FBgn0008646,FBgn0037284,0.00791571646657495,0.775777216227352,0.0236556503346563,-1.62606510794641
FBgn0000247,FBgn0040355,0.00790352200456382,-0.754230381734227,0.0306082194840954,-1.51416193308554
FBgn0030066,FBgn0262812,0.00787062182319032,0.744426278287767,0.0341432005362464,-1.46669577115093
FBgn0037560,FBgn0265446,0.00786966029388589,0.584687724475167,0.127937755818944,-0.89300127159561
FBgn0040892,FBgn0036361,0.00783983030248023,-0.686182555746462,0.0602194435598817,-1.22026326177559
FBgn0031995,FBgn0004895,0.00783226120059524,0.744268791840512,0.0342019238377884,-1.46594946445157
FBgn0038601,FBgn0004895,0.00783226120059524,0.851496543152932,0.00730265299058167,-2.13651933578962
FBgn0053929,FBgn0004895,0.00783226120059524,0.928467003097022,0.000866688965987045,-3.06213673250207
FBgn0028487,FBgn0004895,0.00783226120059524,0.521715860874464,0.184793950340857,-0.733312250521694
FBgn0039303,FBgn0265064,0.00783219385177852,0.542160407793028,0.165085211059569,-0.782291830691785
FBgn0028867,FBgn0263246,0.00782899480452882,0.836044481101731,0.00970792383565766,-2.01287363962104
FBgn0039478,FBgn0040487,0.00782666062635248,0.721873981024002,0.043190184823382,-1.36461493747593
FBgn0052250,FBgn0032244,0.00782469534651087,0.555648981525445,0.152738516148103,-0.816051432875892
FBgn0029946,FBgn0038941,0.00781926019159133,0.825366868578078,0.0116314106881764,-1.93436760969657
FBgn0050269,FBgn0031082,0.0078162801950348,0.503013183819807,0.203866058894805,-0.690655072709722
FBgn0051053,FBgn0050211,0.00781563446421426,0.719008540133467,0.0444330385058565,-1.35229398697957
FBgn0267506,FBgn0052383,0.00781017872996988,-0.669253681695789,0.0694998272146306,-1.15801627511961
FBgn0039153,FBgn0266381,0.0078096891638568,0.660385727342636,0.0746773504150373,-1.12681109940724
FBgn0003459,FBgn0266381,0.0078096891638568,0.689621359508219,0.0584301298794124,-1.23336314833205
FBgn0002732,FBgn0263388,0.00780759544405204,0.670172586000715,0.0689758191596963,-1.16130313311883
FBgn0260858,FBgn0263388,0.00780759544405204,-0.619881599927673,0.101139168781999,-0.995080619962665
FBgn0032969,FBgn0011953,0.00780233189219488,0.750883011231051,0.0317885499989957,-1.49772928151577
FBgn0037342,FBgn0030911,0.0077794875037066,0.915050897143405,0.00143657312814462,-2.84267226153328
FBgn0001565,FBgn0042103,0.00777471399522924,0.615977234744968,0.103936593885376,-0.983231519579969
FBgn0036177,FBgn0042103,0.00777471399522924,0.706723566581443,0.0500050893638486,-1.3009857922609
FBgn0031811,FBgn0267034,0.0077721885187504,0.473261560534896,0.23623089010059,-0.626663313652737
FBgn0033005,FBgn0267592,0.00776462768066068,0.674287195595858,0.0666580935835263,-1.17614711128746
FBgn0261456,FBgn0036808,0.00775849810225139,0.67638839621448,0.065492526087177,-1.18380825824177
FBgn0034323,FBgn0011865,0.00775308277338847,0.962992359390401,0.000123220041582068,-3.90931864898475
FBgn0032068,FBgn0085295,0.00775057964951095,0.90141609527043,0.00222167888375179,-2.6533187127636
FBgn0262892,FBgn0051294,0.00772589789970682,0.800831346276189,0.0169187286209709,-1.77163227567302
FBgn0011746,FBgn0051702,0.00771639336634489,0.582971464614099,0.129335873162925,-0.888281000595974
FBgn0013772,FBgn0267513,0.00768764828401218,0.485177979897899,0.222971729026609,-0.651750198414076
FBgn0036822,FBgn0267560,0.00768003255091401,0.861007924290866,0.00603257219382621,-2.21949747203953
FBgn0035968,FBgn0039019,0.00767491028728356,0.742430457964856,0.034891971768401,-1.45727448759001
FBgn0034956,FBgn0261807,0.00766841360950774,0.842842063414005,0.00859611972288923,-2.06569754448026
FBgn0031721,FBgn0034318,0.00766370839911103,0.79118216419102,0.0193474880872378,-1.71337541207483
FBgn0028670,FBgn0264340,0.00765550914451537,0.550240121005354,0.157626630692186,-0.802370407496072
FBgn0031389,FBgn0037675,0.00765174127581421,0.83560024396003,0.00978359068061122,-2.00950172531666
FBgn0023507,FBgn0267107,0.00765057343507841,0.75071704264564,0.0318477874337064,-1.49692073408875
FBgn0039846,FBgn0025115,0.00763985749082831,0.599265804977802,0.116404638037254,-0.93402971527155
FBgn0026370,FBgn0053680,0.00763467949983442,0.68442323614324,0.0611473149128482,-1.21362260885069
FBgn0033651,FBgn0020377,0.00762444736298777,0.500391733433218,0.206618309459626,-0.684831196151575
FBgn0039160,FBgn0262355,0.00762287077030464,0.609099977721206,0.108970379831677,-0.962691535305406
FBgn0034959,FBgn0267513,0.00761154117454582,0.791049596195662,0.0193822815927419,-1.71259510113384
FBgn0040045,FBgn0034834,0.00760929026832065,0.754734724130784,0.030432754829058,-1.51665873272542
FBgn0265851,FBgn0262028,0.00760106213645738,0.828830731772026,0.0109832372361044,-1.95926963560865
FBgn0031546,FBgn0262028,0.00760106213645738,0.967800980592392,8.14555247522007e-05,-4.08907945416672
FBgn0266836,FBgn0020880,0.00759326071280229,0.565008852619572,0.144478926379489,-0.840195494253687
FBgn0053191,FBgn0263324,0.00758169420253387,0.763011529020361,0.0276412119313573,-1.5584429192008
FBgn0051912,FBgn0036705,0.00757894434566606,0.734754391252353,0.0378649043454683,-1.42176313595512
FBgn0267507,FBgn0031441,0.00757178859070159,-0.906845498087114,0.00188236774854835,-2.72529552673061
FBgn0034126,FBgn0266225,0.0075714733971725,0.65658779585183,0.0769618363187102,-1.11372457852783
FBgn0264833,FBgn0266225,0.0075714733971725,0.805208611123749,0.015883443887846,-1.79905532688817
FBgn0039588,FBgn0266882,0.0075696133250305,0.808725865838447,0.0150810738266605,-1.82156773403722
FBgn0029971,FBgn0063261,0.00756550830528285,0.868004190098696,0.00519522825592194,-2.28439536666125
FBgn0052811,FBgn0029770,0.00755696231334601,0.892687038948471,0.00284623397583475,-2.5457294014277
