regulatoryGene,targetGene,cor,p.adj
FBgn0028517,FBgn0265374,0.740239309347712,0.0357254889296548
FBgn0032375,FBgn0035299,0.893154972789734,0.00281018774903701
FBgn0262901,FBgn0267110,0.804391227607626,0.0160736592664429
FBgn0036570,FBgn0263084,0.77210547535892,0.0247627811000214
FBgn0035957,FBgn0031345,0.852098149704115,0.0072176932627301
FBgn0013987,FBgn0267441,0.960070725559625,0.000154424713084008
FBgn0265900,FBgn0052718,0.911371065502288,0.00162682892332935
FBgn0261640,FBgn0263388,0.740973920862142,0.0354447011651188
FBgn0034195,FBgn0267120,0.912205798320796,0.00158231640620702
FBgn0036142,FBgn0040796,0.875284435632771,0.00440725913354827
FBgn0051334,FBgn0040796,0.821207766602427,0.0124409891872208
FBgn0034681,FBgn0038690,0.97511942601958,3.77904093753627e-05
FBgn0039507,FBgn0265157,0.810635970117498,0.0146562301247652
FBgn0263022,FBgn0046880,0.836761536414672,0.00958657349530295
FBgn0262716,FBgn0002631,0.865958441878889,0.00543180108055499
FBgn0034907,FBgn0037320,0.91275466145763,0.00155348454050391
FBgn0265891,FBgn0264603,0.789130394139338,0.0198903704002551
FBgn0002031,FBgn0267110,0.725808936696428,0.0415181106195155
FBgn0267791,FBgn0063380,0.870128320744605,0.00495669882624949
FBgn0033589,FBgn0262839,0.79558523737769,0.0182139350383219
FBgn0031248,FBgn0034318,0.75212712549196,0.03134665425569
FBgn0032452,FBgn0033508,0.763745593941816,0.0274015852328075
FBgn0250815,FBgn0260871,0.762196207018116,0.0279088743227044
FBgn0034173,FBgn0052457,0.716520722445975,0.0455294436131526
FBgn0037085,FBgn0031792,0.743847344556259,0.0343593762587955
FBgn0023001,FBgn0032554,0.716859904578138,0.0453790113402847
FBgn0001990,FBgn0085692,0.711757000754818,0.0476740792509428
FBgn0265731,FBgn0031139,0.821891232429018,0.0123055838135055
FBgn0050291,FBgn0053906,0.845797495581387,0.00813927319990858
FBgn0264956,FBgn0262361,0.989573839828322,2.811324374992e-06
FBgn0051940,FBgn0002629,1,2.2250738585072e-308
FBgn0014454,FBgn0002629,0.808667926121149,0.0150940801116528
FBgn0035192,FBgn0037320,0.912339241081407,0.00157527487289542
FBgn0035272,FBgn0003377,0.926328285288737,0.000945217148969122
FBgn0050366,FBgn0262839,0.842653463373088,0.00862581371146917
FBgn0033303,FBgn0263649,0.938717417187337,0.000549254035112861
FBgn0259741,FBgn0263649,0.712875836529438,0.0471650227282331
FBgn0031559,FBgn0040487,0.892450338481512,0.00286458099767227
FBgn0015829,FBgn0011882,0.73903241099372,0.0361897383135235
FBgn0034901,FBgn0034099,0.925305872611811,0.000984343671584942
FBgn0264956,FBgn0037498,0.878498958690497,0.00408545676293615
FBgn0050362,FBgn0262807,0.754959419686565,0.0303547810668868
FBgn0260646,FBgn0052511,0.901780317619514,0.00219776710935814
FBgn0032445,FBgn0028867,0.783839590091034,0.0213337827707371
FBgn0266819,FBgn0250825,0.819570405587631,0.0127691913655483
FBgn0030737,FBgn0263246,0.788943343908926,0.0199403291131734
FBgn0267549,FBgn0265795,0.853483129034335,0.00702450963454149
FBgn0267065,FBgn0029811,0.817782863495942,0.0131336751531718
FBgn0041236,FBgn0267683,0.86473123301173,0.00557697419247884
FBgn0053983,FBgn0040356,0.866929909606284,0.00531861664738085
FBgn0039030,FBgn0263092,0.888442193809146,0.00318695876189724
FBgn0012026,FBgn0085198,0.723679326963744,0.0424180736273079
FBgn0036331,FBgn0029816,0.829718405202702,0.0108209032898761
FBgn0032590,FBgn0266208,0.831540787845483,0.010492415280938
FBgn0019660,FBgn0034554,0.765928178746957,0.0266966950553696
FBgn0031457,FBgn0032827,0.744348772276859,0.0341720931407676
FBgn0265468,FBgn0032491,0.761170017295209,0.0282480263935297
FBgn0266737,FBgn0032491,0.815499006968242,0.0136088095345643
FBgn0086660,FBgn0267961,0.936458860398124,0.000611188276863367
FBgn0034658,FBgn0036131,0.724422224374433,0.0421027992492891
FBgn0262877,FBgn0052832,0.77899443309939,0.0227112534295514
FBgn0038816,FBgn0267592,0.891107952300083,0.00297007939034023
FBgn0264485,FBgn0267121,0.829343072902611,0.0108893557249456
FBgn0045470,FBgn0063380,0.803103184595993,0.016376291773633
FBgn0034186,FBgn0266087,0.924442188891044,0.00101820818600522
FBgn0265823,FBgn0266087,0.88364858501105,0.00360218112853508
FBgn0020518,FBgn0040796,0.76705827339353,0.0263361667025977
FBgn0030566,FBgn0051614,0.820338822272004,0.0126144937673367
FBgn0266434,FBgn0034092,0.821680963329839,0.0123471418177974
FBgn0030462,FBgn0034092,0.807316548653102,0.0153994383869379
FBgn0031786,FBgn0085198,0.750462571230102,0.0319387447174527
FBgn0082972,FBgn0039080,0.897128272072573,0.00251596057624142
FBgn0283426,FBgn0262360,0.890760182576149,0.00299781414533318
FBgn0085346,FBgn0050199,0.720075203801305,0.0439678911637201
FBgn0053127,FBgn0266198,0.758978299137549,0.0289808566549239
FBgn0266248,FBgn0261357,0.771442291750671,0.0249661022140681
FBgn0011836,FBgn0031717,-0.750322148704732,0.0319890049649488
FBgn0037760,FBgn0265833,0.740118982898646,0.0357716098863134
FBgn0267460,FBgn0267191,0.872592358728882,0.00468895283848218
FBgn0266408,FBgn0267191,0.838829866038556,0.00924195065340137
FBgn0037668,FBgn0053764,0.750762146506059,0.0318316822868653
FBgn0033355,FBgn0035552,0.721269704639023,0.0434505084386229
FBgn0054044,FBgn0262480,0.806194708915503,0.0156558545171439
FBgn0035161,FBgn0051010,0.825752382939626,0.0115581066316678
FBgn0030994,FBgn0053283,0.788713602148136,0.020001797152309
FBgn0031335,FBgn0267723,0.876503997980661,0.00428331996072059
FBgn0264471,FBgn0028867,0.754925885411931,0.0303664103114632
FBgn0264672,FBgn0028867,0.716278558646725,0.0456370308830248
FBgn0039435,FBgn0046880,0.868167854738244,0.00517659316379952
FBgn0035070,FBgn0267579,0.858450001918579,0.00635895887555013
FBgn0032168,FBgn0002631,0.815422531800388,0.0136249038631271
FBgn0265885,FBgn0002631,0.843409688509649,0.00850714312494929
FBgn0040508,FBgn0267696,0.887226196674039,0.00328919049692781
FBgn0032919,FBgn0052588,0.752010102108894,0.0313880579565009
FBgn0266577,FBgn0034884,0.76428120383768,0.0272275535161776
FBgn0264085,FBgn0003935,0.727567117622985,0.0407839171915436
FBgn0030015,FBgn0265812,0.904778860337315,0.00200722947782827
FBgn0030449,FBgn0038656,0.865194051110418,0.00552193652146152
FBgn0014269,FBgn0263084,0.854333875704309,0.00690749805207887
FBgn0036793,FBgn0265713,0.844454157065042,0.00834495627036992
FBgn0262993,FBgn0031345,0.768547456670108,0.0258656971362593
FBgn0085249,FBgn0037320,0.878260606055016,0.00410878058376967
FBgn0266708,FBgn0037320,0.871883327955325,0.00476501938154693
FBgn0034262,FBgn0039626,0.730299873738475,0.0396585042741788
FBgn0038468,FBgn0054029,0.710298841024187,0.048342473425259
FBgn0034419,FBgn0030538,0.798613468812279,0.0174590064047048
FBgn0023001,FBgn0265942,0.761391228346083,0.0281747033361795
FBgn0262839,FBgn0262875,0.902858041763009,0.00212799244341917
FBgn0036363,FBgn0263388,0.707788644927475,0.0495062553803275
FBgn0039177,FBgn0032491,0.721959391654577,0.0431534661205364
FBgn0002772,FBgn0265792,0.755872636741564,0.0300391413652442
FBgn0265981,FBgn0250825,0.786906284716596,0.0204894714637729
FBgn0003132,FBgn0034834,0.890454675610054,0.00302231611431445
FBgn0052376,FBgn0011822,0.895921546559435,0.00260309752797802
FBgn0030744,FBgn0036688,-0.846115635263114,0.00809103972394462
FBgn0041239,FBgn0032280,0.873923823122138,0.00454822841328796
FBgn0259237,FBgn0032280,0.790792247620279,0.0194499361479938
FBgn0011936,FBgn0051804,0.747627512350131,0.0329628838635785
FBgn0024973,FBgn0267696,0.893432293739215,0.00278896504316758
FBgn0036510,FBgn0051358,-0.830905967607739,0.0106061150527846
FBgn0261090,FBgn0040958,0.929246881687686,0.000839153205617984
FBgn0266178,FBgn0040958,0.814167070215318,0.0138908337217449
FBgn0035645,FBgn0004372,0.798292514372481,0.0175380734673984
FBgn0260762,FBgn0032457,0.736048678818709,0.0373532142573713
FBgn0025776,FBgn0032457,0.807842161073579,0.0152802139919998
FBgn0035042,FBgn0265833,0.852953051312092,0.00709805228538835
FBgn0267557,FBgn0036204,0.930809382601494,0.000785720001382365
FBgn0037502,FBgn0036716,0.848769429216323,0.00769577805558768
FBgn0083960,FBgn0053834,0.933219764991933,0.00070774079566728
FBgn0037395,FBgn0267007,0.755660777964164,0.030112186466389
FBgn0035641,FBgn0032888,-0.892400938756953,0.00286841966967333
FBgn0260463,FBgn0265700,0.836552792355711,0.00962180018308933
FBgn0264862,FBgn0051093,0.79978939665567,0.0171712245254815
FBgn0002939,FBgn0053897,0.714900710823025,0.0462520951597009
FBgn0266985,FBgn0265529,0.804404072356093,0.0160706591402798
FBgn0264984,FBgn0262875,0.903018596964752,0.00211772243573097
FBgn0013279,FBgn0053899,0.745027482158618,0.0339195920899114
FBgn0000116,FBgn0031345,0.820496500894536,0.0125828969432667
FBgn0264873,FBgn0002631,0.714898958556213,0.0462528805290766
FBgn0053642,FBgn0266224,0.877242546142239,0.00420936698809265
FBgn0085291,FBgn0266160,0.786864969941924,0.0205007052369975
FBgn0265595,FBgn0052988,0.729058901016512,0.0401671944587905
FBgn0053983,FBgn0028945,0.788648368928386,0.0200192719848394
FBgn0013269,FBgn0052719,-0.800474855328624,0.0170048535585228
FBgn0262020,FBgn0039371,0.82092849639501,0.0124965864892193
FBgn0053117,FBgn0034661,0.794731727150474,0.0184303323754193
FBgn0034502,FBgn0038690,0.89138687399799,0.00294795559447164
FBgn0000591,FBgn0028844,0.884334516786117,0.00354074550149137
FBgn0037581,FBgn0039239,-0.766909808978129,0.026383357817535
