regulatoryGene,targetGene,weight,cor,p.adj,log10padj
FBgn0028517,FBgn0265374,0.0171291074227308,0.740239309347712,0.0357254889296548,-1.44702181885615
FBgn0032375,FBgn0035299,0.0149360533397619,0.893154972789734,0.00281018774903701,-2.55126466385047
FBgn0032709,FBgn0267007,0.0120894568980543,0.651615007518991,0.0800141183490236,-1.09683337575687
FBgn0262901,FBgn0267110,0.0109634678191761,0.804391227607626,0.0160736592664429,-1.79388524219653
FBgn0036570,FBgn0263084,0.0109515248961276,0.77210547535892,0.0247627811000214,-1.60620058143844
FBgn0035957,FBgn0031345,0.0109404022617296,0.852098149704115,0.0072176932627301,-2.14160157851568
FBgn0013987,FBgn0267441,0.0107776055200629,0.960070725559625,0.000154424713084008,-3.81128319689425
FBgn0265900,FBgn0052718,0.0106209290638908,0.911371065502288,0.00162682892332935,-2.78865811489379
FBgn0261640,FBgn0263388,0.0104886579373392,0.740973920862142,0.0354447011651188,-1.45044868084071
FBgn0034195,FBgn0267120,0.0102469015321558,0.912205798320796,0.00158231640620702,-2.80070666892307
FBgn0036142,FBgn0040796,0.0101888927976999,0.875284435632771,0.00440725913354827,-2.35583141353331
FBgn0051334,FBgn0040796,0.0101888927976999,0.821207766602427,0.0124409891872208,-1.9051450873725
FBgn0034681,FBgn0038690,0.0100309156426831,0.97511942601958,3.77904093753627e-05,-4.42261840343895
FBgn0039507,FBgn0265157,0.00993857878766165,0.810635970117498,0.0146562301247652,-1.83397772454883
FBgn0263022,FBgn0046880,0.00985139245396792,0.836761536414672,0.00958657349530295,-2.01833659387173
FBgn0262716,FBgn0002631,0.009801268927837,0.865958441878889,0.00543180108055499,-2.26505614285111
FBgn0034907,FBgn0037320,0.00973481371539241,0.91275466145763,0.00155348454050391,-2.80869306426755
FBgn0265891,FBgn0264603,0.00971134001780984,0.789130394139338,0.0198903704002551,-1.70135712932961
FBgn0002031,FBgn0267110,0.00962238395790148,0.725808936696428,0.0415181106195155,-1.38176241831444
FBgn0267629,FBgn0028900,0.00955261881971563,0.549746435407541,0.158076979853144,-0.801131370109964
FBgn0267791,FBgn0063380,0.00948510896498115,0.870128320744605,0.00495669882624949,-2.30480746844033
FBgn0033589,FBgn0262839,0.00946555491907776,0.79558523737769,0.0182139350383219,-1.73959621670871
FBgn0031248,FBgn0034318,0.0094562911461803,0.75212712549196,0.03134665425569,-1.5038088062155
FBgn0032452,FBgn0033508,0.00945019162923423,0.763745593941816,0.0274015852328075,-1.56222431170712
FBgn0250815,FBgn0260871,0.00934801728386475,0.762196207018116,0.0279088743227044,-1.55425768000355
FBgn0033459,FBgn0052834,0.00933650325346462,-0.454454258178898,0.257951434121434,-0.588462053255709
FBgn0032481,FBgn0262998,0.00931635667096761,0.571134180349429,0.139210440326557,-0.856328192841948
FBgn0030346,FBgn0265255,0.00926770503310026,0.451985771591929,0.260873700051208,-0.583569702035714
FBgn0036741,FBgn0029811,0.00925664596231153,0.496673197339593,0.210555539394953,-0.676633328468293
FBgn0034173,FBgn0052457,0.00923247442215983,0.716520722445975,0.0455294436131526,-1.34170765690055
FBgn0037085,FBgn0031792,0.00921158920594951,0.743847344556259,0.0343593762587955,-1.46395472871222
FBgn0033581,FBgn0262611,0.00920487402927941,0.604319698969257,0.11254933284969,-0.948657074990934
FBgn0023001,FBgn0032554,0.00911782406768799,0.716859904578138,0.0453790113402847,-1.34314497019934
FBgn0001990,FBgn0085692,0.00909841491148421,0.711757000754818,0.0476740792509428,-1.32171768590852
FBgn0265815,FBgn0085692,0.00909841491148421,0.582193460820824,0.129972459141891,-0.88614866392279
FBgn0265731,FBgn0031139,0.00909538645712584,0.821891232429018,0.0123055838135055,-1.90989777725014
FBgn0050291,FBgn0053906,0.00908124484845593,0.845797495581387,0.00813927319990858,-2.08941437390215
FBgn0264956,FBgn0262361,0.00900475424146661,0.989573839828322,2.811324374992e-06,-5.55108904192666
FBgn0051940,FBgn0002629,0.00899876438188462,1,2.2250738585072e-308,-307.652655568589
FBgn0014454,FBgn0002629,0.00899876438188462,0.808667926121149,0.0150940801116528,-1.82119334932565
FBgn0038286,FBgn0051940,0.00895085814053025,0.573742443752098,0.136999904791764,-0.863279734656922
FBgn0035192,FBgn0037320,0.00894764486216522,0.912339241081407,0.00157527487289542,-2.80264365434039
FBgn0035272,FBgn0003377,0.00884996379593482,0.926328285288737,0.000945217148969122,-3.02446840761193
FBgn0013718,FBgn0086046,0.00883915414727447,0.48679475290514,0.221203130928212,-0.655208730282246
FBgn0050366,FBgn0262839,0.00883560437943542,0.842653463373088,0.00862581371146917,-2.06419992538722
FBgn0011603,FBgn0034884,0.00881496711958988,0.616935610495068,0.103245885793255,-0.98612724536538
FBgn0033303,FBgn0263649,0.00878696967101831,0.938717417187337,0.000549254035112861,-3.26022674383702
FBgn0259741,FBgn0263649,0.00878696967101831,0.712875836529438,0.0471650227282331,-1.32637995194414
FBgn0031559,FBgn0040487,0.00876973189676773,0.892450338481512,0.00286458099767227,-2.54293889331495
FBgn0015829,FBgn0011882,0.00876923650916527,0.73903241099372,0.0361897383135235,-1.44141455724559
FBgn0066114,FBgn0040784,0.00874963543185701,0.662324539284878,0.0735266793947826,-1.13355504715333
FBgn0034901,FBgn0034099,0.00873919799155027,0.925305872611811,0.000984343671584942,-3.00685324647245
FBgn0264956,FBgn0037498,0.00873254180124703,0.878498958690497,0.00408545676293615,-2.3887593813511
FBgn0050362,FBgn0262807,0.00873070644720892,0.754959419686565,0.0303547810668868,-1.51777289511802
FBgn0260646,FBgn0052511,0.00871613592473353,0.901780317619514,0.00219776710935814,-2.65801833032898
FBgn0032445,FBgn0028867,0.00870821026561773,0.783839590091034,0.0213337827707371,-1.67093213138601
FBgn0266819,FBgn0250825,0.00869985762054754,0.819570405587631,0.0127691913655483,-1.89383660442803
FBgn0030737,FBgn0263246,0.00869907416996334,0.788943343908926,0.0199403291131734,-1.70026767797744
FBgn0015574,FBgn0267696,0.00868306497530316,0.583189396847199,0.129157867727886,-0.888879133379691
FBgn0267549,FBgn0265795,0.00864641811833788,0.853483129034335,0.00702450963454149,-2.15338398750058
FBgn0267065,FBgn0029811,0.00863493093499209,0.817782863495942,0.0131336751531718,-1.88161372970593
FBgn0041236,FBgn0267683,0.00861096873398257,0.86473123301173,0.00557697419247884,-2.2536013652072
FBgn0053983,FBgn0040356,0.00859368604137413,0.866929909606284,0.00531861664738085,-2.27420131141414
FBgn0039030,FBgn0263092,0.0085698413853955,0.888442193809146,0.00318695876189724,-2.49662355610466
FBgn0030941,FBgn0261807,0.00855805562146271,0.530594939087447,0.176087588932121,-0.7542712530517
FBgn0012026,FBgn0085198,0.00853125626265624,0.723679326963744,0.0424180736273079,-1.37244905840378
FBgn0036331,FBgn0029816,0.00852883812390068,0.829718405202702,0.0108209032898761,-1.96573648438336
FBgn0037025,FBgn0034318,0.0085262642218513,0.653623018169871,0.0787732517067759,-1.10362122677695
FBgn0038719,FBgn0264787,0.00846507974552053,0.404820238921787,0.319812172024656,-0.495105011063382
FBgn0264911,FBgn0264378,0.00845030230332212,-0.425694795014628,0.29300836219675,-0.533119985092707
FBgn0032590,FBgn0266208,0.00844993121170761,0.831540787845483,0.010492415280938,-1.9791245287326
FBgn0037620,FBgn0051848,0.00843787416339574,0.421057509158613,0.298865543157864,-0.524524152806187
FBgn0019660,FBgn0034554,0.0084139237490016,0.765928178746957,0.0266966950553696,-1.57354249923676
FBgn0031457,FBgn0032827,0.00838591161987184,0.744348772276859,0.0341720931407676,-1.46632841857777
FBgn0015772,FBgn0038888,0.00837253807511363,0.42344418052558,0.295844028886041,-0.52893719180192
FBgn0265468,FBgn0032491,0.00835892377761714,0.761170017295209,0.0282480263935297,-1.54901188966193
FBgn0266737,FBgn0032491,0.00835892377761714,0.815499006968242,0.0136088095345643,-1.86617986415614
FBgn0267714,FBgn0036871,0.00835156394077217,0.706428666851227,0.0501437387360771,-1.29978328801016
FBgn0065109,FBgn0267817,0.00834951770104587,0.537674326669133,0.169307369673257,-0.771324137350195
FBgn0265533,FBgn0263018,0.00833708737689469,0.585004549651051,0.127680589946141,-0.893875119337943
FBgn0034366,FBgn0051482,0.00832752507080847,0.697402882228418,0.054499372001646,-1.2636085020865
FBgn0085755,FBgn0267928,0.00832424932502103,0.667749303409261,0.0703627558177149,-1.15265715936539
FBgn0086660,FBgn0267961,0.00830460975190235,0.936458860398124,0.000611188276863367,-3.21382498450825
FBgn0015600,FBgn0031729,0.00829877005184145,0.585144240015164,0.127567295793743,-0.894260650668063
FBgn0034658,FBgn0036131,0.00826983197580773,0.724422224374433,0.0421027992492891,-1.37568902867489
