regulatoryGene,targetGene,cor,p.adj
FBgn0038452,FBgn0039577,0.860055420064188,0.00615282485547093
FBgn0037100,FBgn0041186,-0.773838093860237,0.0242364384030572
FBgn0031504,FBgn0265882,0.824486642326311,0.0117998822487309
FBgn0264943,FBgn0002855,0.882644250430539,0.00369336834247379
FBgn0028868,FBgn0029700,0.975258769039632,3.71629435776191e-05
FBgn0267658,FBgn0267191,0.88319148256388,0.00364350085717922
FBgn0053855,FBgn0052983,0.92945335804414,0.000831960093731248
FBgn0013272,FBgn0052986,0.745761496209161,0.0336478051543705
FBgn0265895,FBgn0000591,1,2.2250738585072e-308
FBgn0053348,FBgn0260643,0.816826207101911,0.0133314034418494
FBgn0267390,FBgn0037577,0.709285940694478,0.0488100712577998
FBgn0259113,FBgn0266873,0.927456762822261,0.000903227709247519
FBgn0037220,FBgn0032385,0.920638856737473,0.00117638360077382
FBgn0011239,FBgn0028945,0.753644080576995,0.0308129780244741
FBgn0032700,FBgn0036872,0.8540788939015,0.00694243650663148
FBgn0029733,FBgn0085506,-0.745435404397396,0.0337683835197985
FBgn0039378,FBgn0046698,1,2.2250738585072e-308
FBgn0266565,FBgn0046698,0.961295743038904,0.000140774283278252
FBgn0266009,FBgn0033589,0.826492565971084,0.0114181841452474
FBgn0051612,FBgn0264480,0.802861761672325,0.0164334097147566
FBgn0266400,FBgn0032280,0.907782910016363,0.00182743825524489
FBgn0038860,FBgn0265062,0.714869223329885,0.0462662091422961
FBgn0265608,FBgn0266834,0.964807134226399,0.000106113276089539
FBgn0267574,FBgn0002734,-0.921355432560996,0.00114543757158295
FBgn0051245,FBgn0051609,0.767819394575202,0.026095054911468
FBgn0266400,FBgn0038458,0.911405280138122,0.00162498859898651
FBgn0266565,FBgn0038458,0.961295743038904,0.000140774283278252
FBgn0030836,FBgn0267610,0.883196332836826,0.00364306082086112
FBgn0266904,FBgn0264471,0.76001660921845,0.0286322422708667
FBgn0038416,FBgn0053244,0.795744461164823,0.0181737424512489
FBgn0034565,FBgn0267677,0.754293357708056,0.0305862757712365
FBgn0266936,FBgn0050206,-0.707803579927616,0.0494992818848497
FBgn0265374,FBgn0083035,0.968709732047396,7.48031310956638e-05
FBgn0085570,FBgn0039378,0.924470741373691,0.00101707668240537
FBgn0041236,FBgn0031135,0.852487952667842,0.00716298312210181
FBgn0267241,FBgn0265694,0.803838925446737,0.0162029920648988
FBgn0266722,FBgn0038003,0.869499845375028,0.00502652448028254
FBgn0040699,FBgn0261925,0.997248979962775,5.19427302097912e-08
FBgn0003495,FBgn0266961,0.744495269332637,0.0341174947102842
FBgn0032863,FBgn0036112,0.823888504951691,0.0119152383566623
FBgn0264492,FBgn0266957,0.812216672984659,0.0143104050189061
FBgn0030936,FBgn0266415,0.952331280572995,0.000261205854808405
FBgn0265099,FBgn0278600,-0.88531386896787,0.00345420759631913
FBgn0266797,FBgn0002933,0.940962817087682,0.000491910426812937
FBgn0033005,FBgn0263335,0.754349511944393,0.0305667172204532
FBgn0263021,FBgn0034784,-0.776945898829367,0.0233098272286873
FBgn0042198,FBgn0266861,0.745361769602218,0.0337956478740367
FBgn0044047,FBgn0001234,-0.849491735619109,0.00759037313355497
FBgn0262743,FBgn0263648,0.714537204525122,0.0464151917782195
FBgn0039647,FBgn0267142,-0.751259309582714,0.0316544923356238
FBgn0265301,FBgn0266009,0.728406480749971,0.0404362112614341
FBgn0036947,FBgn0050043,0.775625657566732,0.0237007294011689
FBgn0038953,FBgn0036723,0.783848881431904,0.0213311926073101
FBgn0038195,FBgn0037428,0.717663362403716,0.0450238653723865
FBgn0014427,FBgn0262036,0.767635791058961,0.0261530923452265
FBgn0264617,FBgn0032368,-0.805019206956324,0.0159273941770066
FBgn0037722,FBgn0046698,0.861382867564056,0.00598565211774777
FBgn0265064,FBgn0046698,0.939404431836931,0.000531267565521961
FBgn0267294,FBgn0266320,0.75730382165392,0.0295485491063875
FBgn0266641,FBgn0085570,0.924400282401408,0.00101987038272259
FBgn0264480,FBgn0036426,1,2.2250738585072e-308
FBgn0267663,FBgn0036426,0.849891467639549,0.00753243886490452
FBgn0024230,FBgn0036426,0.792405456540336,0.0190282640736368
FBgn0051008,FBgn0031929,-0.821931537465254,0.0122976279485694
FBgn0259975,FBgn0260996,0.907505815560931,0.00184356515983231
FBgn0040319,FBgn0266882,0.756641474401849,0.0297749757072967
FBgn0004374,FBgn0265899,0.788057381080922,0.0201780210426644
FBgn0025645,FBgn0040628,0.770884037667478,0.0251380522603706
FBgn0033952,FBgn0086037,0.916874220230305,0.00134793947265902
FBgn0000557,FBgn0265722,0.761865189681247,0.0280179984689819
FBgn0030936,FBgn0039521,0.940881695682102,0.000493910292728885
FBgn0266321,FBgn0040294,0.873809145837595,0.00456024045917372
FBgn0036609,FBgn0262895,0.838996013321403,0.00921461445042931
FBgn0037402,FBgn0030664,0.796774370251514,0.0179151035248022
FBgn0026373,FBgn0028910,0.746664307721543,0.0333153507990211
FBgn0264957,FBgn0259969,0.971517308597867,5.65404353908169e-05
FBgn0250842,FBgn0266400,0.927634013709771,0.000896745378766927
FBgn0015576,FBgn0053537,-0.865345301002095,0.00550402591280165
FBgn0034159,FBgn0052185,0.848287501503937,0.00776662118826743
FBgn0031895,FBgn0051579,0.778412518215524,0.0228803042023722
FBgn0041235,FBgn0050206,0.924206311455705,0.00102758721627129
FBgn0038745,FBgn0028416,0.891239129716567,0.00295966120333222
FBgn0000140,FBgn0267318,0.735701888501152,0.0374899000537838
FBgn0031757,FBgn0043043,0.850538014021284,0.00743933154152703
FBgn0036039,FBgn0052987,0.750607939458751,0.0318867653660861
FBgn0024510,FBgn0267697,-0.708597410254554,0.0491294742788181
FBgn0262613,FBgn0264843,0.755347739752953,0.0302203161730099
FBgn0036155,FBgn0052273,0.760631843767497,0.0284269012541452
