regulatoryGene,targetGene,cor,p.adj
FBgn0261616,FBgn0036227,0.993572077634533,6.60778357924776e-07
FBgn0266897,FBgn0020546,1,2.2250738585072e-308
FBgn0267090,FBgn0053702,1,2.2250738585072e-308
FBgn0051104,FBgn0036320,0.992228212472312,1.16672333362447e-06
FBgn0053813,FBgn0051617,1,2.2250738585072e-308
FBgn0265870,FBgn0038157,1,2.2250738585072e-308
FBgn0038082,FBgn0085765,0.995118890450758,2.89670610443478e-07
FBgn0264358,FBgn0034318,0.998380884804134,1.05985322570657e-08
FBgn0263038,FBgn0041239,0.991752732297324,1.39373463623404e-06
FBgn0040725,FBgn0039472,0.992436523899859,1.0755670207477e-06
FBgn0053237,FBgn0034665,0.992192707989214,1.18275502103936e-06
FBgn0262030,FBgn0025115,0.991499385725303,1.52587158231435e-06
FBgn0051805,FBgn0051609,0.993890224669377,5.67575340821788e-07
FBgn0040958,FBgn0002570,0.998554337906536,7.54517623118384e-09
