regulatoryGene	targetGene	weight
FBgn0005596	FBgn0036177	0.0125437161020344
FBgn0039213	FBgn0265064	0.0120605204478916
FBgn0013435	FBgn0264473	0.0109082055425493
FBgn0003372	FBgn0036343	0.0102805298837921
FBgn0036980	FBgn0086066	0.0102612395511134
FBgn0037275	FBgn0263018	0.010028999277455
FBgn0033668	FBgn0259969	0.00977213128163972
FBgn0267053	FBgn0040784	0.00975606572931235
FBgn0033888	FBgn0266823	0.00966173537234043
FBgn0267165	FBgn0265696	0.00958037259740967
FBgn0046887	FBgn0267143	0.00952706550299277
FBgn0033860	FBgn0037498	0.00942023189146637
FBgn0000158	FBgn0052718	0.00939745196402753
FBgn0024332	FBgn0086519	0.00927959128127388
FBgn0033710	FBgn0266682	0.0092549418818724
FBgn0010113	FBgn0032839	0.0091767173571054
FBgn0036750	FBgn0032375	0.00911576979996018
FBgn0045468	FBgn0267274	0.00898608910944571
FBgn0259187	FBgn0267274	0.00898608910944571
FBgn0067628	FBgn0036176	0.00892358893031788
FBgn0265903	FBgn0038567	0.0088867908103889
FBgn0260817	FBgn0259861	0.00888437618987181
FBgn0038974	FBgn0266114	0.00876915711211469
FBgn0029727	FBgn0040729	0.00875310624141532
FBgn0031998	FBgn0264473	0.00872656443403944
FBgn0031390	FBgn0264473	0.00872656443403944
FBgn0261953	FBgn0037180	0.00868809723427623
FBgn0265868	FBgn0011884	0.00866425992779783
FBgn0261882	FBgn0266834	0.00865158659844873
FBgn0028942	FBgn0043576	0.00862891684496028
FBgn0026061	FBgn0053710	0.00856505157653239
FBgn0038167	FBgn0263092	0.00856400971072656
FBgn0025683	FBgn0265696	0.00854536317971527
FBgn0034705	FBgn0050048	0.00853755242102097
FBgn0051202	FBgn0267687	0.00850818755510147
FBgn0030109	FBgn0265907	0.00848362288234323
FBgn0015001	FBgn0004183	0.00847083184772778
FBgn0035964	FBgn0266231	0.00845995144381156
FBgn0032881	FBgn0052320	0.00845019415327043
FBgn0039184	FBgn0085692	0.00844822101543076
FBgn0040725	FBgn0267156	0.00841934172764451
FBgn0262904	FBgn0051960	0.00837671690090031
FBgn0042127	FBgn0040784	0.00836747600328204
FBgn0051294	FBgn0011958	0.00833955237002951
FBgn0004387	FBgn0266415	0.00833697248799079
FBgn0003744	FBgn0262361	0.00832885006225757
FBgn0029965	FBgn0053772	0.00831252475039249
FBgn0004378	FBgn0037975	0.00829252882640973
FBgn0266901	FBgn0037430	0.00827404069839796
FBgn0041241	FBgn0015300	0.00825495738757583
FBgn0035248	FBgn0036873	0.00825142823219907
FBgn0266488	FBgn0085288	0.00823554531000136
FBgn0082950	FBgn0262944	0.0082171413684487
FBgn0083974	FBgn0262944	0.0082171413684487
FBgn0058469	FBgn0261682	0.00820262069833084
FBgn0052703	FBgn0037500	0.00819096647997584
FBgn0038519	FBgn0260870	0.00818825180823894
FBgn0086253	FBgn0011878	0.00818102852224815
FBgn0031208	FBgn0259975	0.00817141098486901
FBgn0030274	FBgn0011882	0.00816914219108354
FBgn0027872	FBgn0052106	0.00815275463314132
FBgn0052192	FBgn0036438	0.00813008130081301
FBgn0031483	FBgn0085367	0.00812879667541215
FBgn0034611	FBgn0002631	0.00812231340670552
FBgn0267046	FBgn0002631	0.00812231340670552
FBgn0043796	FBgn0263092	0.00811808523633671
FBgn0085424	FBgn0053658	0.00807334153480792
FBgn0053325	FBgn0264722	0.00806838915553862
FBgn0011305	FBgn0265148	0.00806343846809302
FBgn0266904	FBgn0086519	0.00804231244377069
FBgn0039254	FBgn0085461	0.00802706271858939
FBgn0024234	FBgn0265064	0.00802011511782164
FBgn0037428	FBgn0266938	0.00800097805343492
FBgn0086443	FBgn0267513	0.00799529324480299
FBgn0032202	FBgn0028913	0.0079782687156887
FBgn0003714	FBgn0028570	0.00796691827611066
FBgn0046113	FBgn0085461	0.0079605363375834
FBgn0050048	FBgn0267599	0.00795507987237635
FBgn0262813	FBgn0266087	0.00794880482534656
FBgn0051693	FBgn0039810	0.00794208663192491
FBgn0267938	FBgn0265064	0.00794019050830553
FBgn0039454	FBgn0265526	0.00789604770623178
FBgn0046887	FBgn0050192	0.00789354979447491
FBgn0037985	FBgn0039368	0.00788845126698336
FBgn0039346	FBgn0266041	0.00787372706126413
FBgn0034860	FBgn0267610	0.00787003203535856
FBgn0020637	FBgn0265592	0.007861996091243
FBgn0039562	FBgn0085521	0.007857953442247
FBgn0051961	FBgn0085521	0.007857953442247
FBgn0038679	FBgn0263201	0.00785737001984525
FBgn0262964	FBgn0039087	0.00785284837061666
FBgn0053100	FBgn0037284	0.00784665396256025
FBgn0037882	FBgn0262513	0.00783535811987884
FBgn0259896	FBgn0262611	0.00782679941082965
FBgn0063376	FBgn0036807	0.00780989832790321
FBgn0036309	FBgn0037430	0.00780132997272596
FBgn0263870	FBgn0054026	0.0077815437252601
FBgn0035868	FBgn0267009	0.00777243232015009
FBgn0262791	FBgn0266146	0.00776301255786835
FBgn0265497	FBgn0262996	0.00775883974720057
FBgn0036373	FBgn0267537	0.00775855534254134
FBgn0040755	FBgn0029724	0.00775617943437824
FBgn0038959	FBgn0263409	0.00775433234255713
FBgn0027512	FBgn0263409	0.00775433234255713
FBgn0065066	FBgn0267612	0.00775199820562467
FBgn0267287	FBgn0265639	0.00775133013152837
FBgn0267671	FBgn0265639	0.00775133013152837
FBgn0034166	FBgn0032068	0.00774994363196567
FBgn0003129	FBgn0032068	0.00774994363196567
FBgn0264352	FBgn0032068	0.00774994363196567
FBgn0262160	FBgn0267726	0.00774991192492924
FBgn0034104	FBgn0029995	0.00774688281541352
FBgn0033203	FBgn0038090	0.00774136469200428
FBgn0038033	FBgn0085202	0.00773936754268186
FBgn0065055	FBgn0033369	0.00772835246898739
FBgn0025832	FBgn0053537	0.00772309104607363
FBgn0250786	FBgn0086037	0.0077043104933575
FBgn0030569	FBgn0036328	0.00770260604259706
FBgn0037783	FBgn0085303	0.00769752395678706
FBgn0036747	FBgn0039196	0.00769124204838277
FBgn0035488	FBgn0037172	0.00768976008685351
FBgn0052269	FBgn0034554	0.00767817250306296
FBgn0032781	FBgn0038901	0.00767805592953416
FBgn0038725	FBgn0038901	0.00767805592953416
FBgn0032176	FBgn0037369	0.00767357413352284
FBgn0040235	FBgn0040967	0.0076731803400105
FBgn0032378	FBgn0082947	0.00766450263673209
FBgn0032843	FBgn0267274	0.00765823486180072
FBgn0034371	FBgn0054028	0.00765507722305154
FBgn0265988	FBgn0054028	0.00765507722305154
FBgn0029580	FBgn0050067	0.00765494736934936
FBgn0050374	FBgn0011890	0.00765165437084162
FBgn0262478	FBgn0024319	0.00765052665055915
FBgn0034688	FBgn0038888	0.00764020722939888
FBgn0267742	FBgn0051946	0.0076401356540418
FBgn0034784	FBgn0267664	0.00762195411082107
FBgn0043865	FBgn0267664	0.00762195411082107
FBgn0000281	FBgn0036878	0.00759550521253439
FBgn0035762	FBgn0036873	0.00759131397362315
FBgn0036990	FBgn0032331	0.00756658610324416
FBgn0033708	FBgn0030540	0.00755804574731302
FBgn0011270	FBgn0051609	0.00755545156944075
FBgn0035311	FBgn0043532	0.00755219103447036
FBgn0039246	FBgn0040719	0.00755182531474506
