regulatoryGene	targetGene	weight
FBgn0035431	FBgn0267090	0.014591142437176
FBgn0034520	FBgn0266150	0.0127770903455454
FBgn0010316	FBgn0003916	0.0107585579798484
FBgn0004652	FBgn0267090	0.0104222445979829
FBgn0032981	FBgn0265923	0.0103095678715497
FBgn0050241	FBgn0051579	0.0102260627518323
FBgn0267625	FBgn0263505	0.0100063905815156
FBgn0266067	FBgn0267192	0.00987854189795568
FBgn0038341	FBgn0050091	0.00984010791163848
FBgn0037183	FBgn0036707	0.00952978396181688
FBgn0002573	FBgn0083021	0.00941935095990807
FBgn0260401	FBgn0083016	0.00928665176959486
FBgn0265597	FBgn0265196	0.00926629479497488
FBgn0025635	FBgn0267928	0.00926357940520854
FBgn0015571	FBgn0085345	0.0089687176492294
FBgn0266398	FBgn0264900	0.00893948865531094
FBgn0035768	FBgn0034663	0.00884413632804893
FBgn0015019	FBgn0263246	0.00880818861888837
FBgn0034473	FBgn0265417	0.00874490108574085
FBgn0036376	FBgn0265766	0.00866050797248503
FBgn0036846	FBgn0037836	0.00862290200775058
FBgn0033784	FBgn0003931	0.00861503117820807
FBgn0025615	FBgn0003931	0.00861503117820807
FBgn0031736	FBgn0003931	0.00861503117820807
FBgn0033453	FBgn0038190	0.008564321240127
FBgn0032914	FBgn0267548	0.00854318316416943
FBgn0082971	FBgn0262818	0.00830835028722338
FBgn0267262	FBgn0261616	0.00824693685202639
FBgn0083034	FBgn0031523	0.00824014125956445
FBgn0039831	FBgn0039768	0.00822574950936856
FBgn0263410	FBgn0053462	0.00820297973407255
FBgn0020622	FBgn0083058	0.00817200972386399
FBgn0264882	FBgn0263871	0.00816255795094883
FBgn0265048	FBgn0031522	0.00815700792023367
FBgn0002533	FBgn0052569	0.00812111672014258
FBgn0052200	FBgn0263777	0.00806287752037356
FBgn0053536	FBgn0020376	0.00804658448926591
FBgn0042111	FBgn0263040	0.00800687487544098
FBgn0283478	FBgn0042627	0.00797923937751716
FBgn0086707	FBgn0266853	0.00796193546269093
FBgn0266752	FBgn0267731	0.00791146951028169
FBgn0036775	FBgn0050316	0.00790024374629324
FBgn0050418	FBgn0050316	0.00790024374629324
FBgn0086674	FBgn0038131	0.00789526838587703
FBgn0267530	FBgn0000591	0.00786708859200811
FBgn0029079	FBgn0267869	0.00781991844942189
FBgn0035428	FBgn0264677	0.00780260590758047
FBgn0263385	FBgn0034457	0.00780037287670805
FBgn0034966	FBgn0250757	0.00778759942528083
FBgn0035858	FBgn0250757	0.00778759942528083
FBgn0005390	FBgn0010403	0.00778286682211418
FBgn0266979	FBgn0267284	0.00773967677421896
FBgn0264862	FBgn0036459	0.00772612756764043
FBgn0266312	FBgn0265728	0.00771957738942885
FBgn0267336	FBgn0267075	0.00771626643164806
FBgn0267709	FBgn0033591	0.00770718804197233
FBgn0266989	FBgn0264552	0.00770118602686384
FBgn0010431	FBgn0052493	0.0076996576098376
FBgn0011656	FBgn0085789	0.0076661759960983
FBgn0267824	FBgn0082973	0.00764870618373856
FBgn0030914	FBgn0036638	0.00764141233017987
FBgn0051333	FBgn0267191	0.00762657669047992
FBgn0031876	FBgn0266948	0.00760569201990601
FBgn0035421	FBgn0266948	0.00760569201990601
FBgn0033540	FBgn0031273	0.00760002498932909
FBgn0036331	FBgn0031273	0.00760002498932909
FBgn0052111	FBgn0005391	0.00759272839868201
FBgn0036105	FBgn0050457	0.00758373012315218
FBgn0052480	FBgn0050457	0.00758373012315218
FBgn0264902	FBgn0050457	0.00758373012315218
FBgn0036549	FBgn0265882	0.00754789179065189
FBgn0052212	FBgn0265882	0.00754789179065189
FBgn0054026	FBgn0265882	0.00754789179065189
FBgn0036139	FBgn0266693	0.00751361752357922
FBgn0265066	FBgn0264479	0.00747857264353454
FBgn0283426	FBgn0030911	0.00746821949462746
FBgn0033349	FBgn0263246	0.00745456453619095
FBgn0036825	FBgn0263246	0.00745456453619095
FBgn0050269	FBgn0263246	0.00745456453619095
FBgn0028473	FBgn0263246	0.00745456453619095
FBgn0053899	FBgn0053901	0.00744890292678201
FBgn0265590	FBgn0053901	0.00744890292678201
FBgn0032136	FBgn0266857	0.00743965369912743
FBgn0086058	FBgn0266857	0.00743965369912743
FBgn0020510	FBgn0266857	0.00743965369912743
FBgn0267959	FBgn0083045	0.00743884122421547
FBgn0013710	FBgn0053245	0.00743616255226183
FBgn0083050	FBgn0267807	0.00742223992186192
FBgn0265191	FBgn0033810	0.00741863146204687
FBgn0261401	FBgn0033591	0.00741587929843588
FBgn0266234	FBgn0085214	0.00739021556573436
FBgn0030937	FBgn0037786	0.00738937357188289
FBgn0052299	FBgn0038944	0.00738224403804698
FBgn0265378	FBgn0265923	0.0073639770511069
FBgn0034683	FBgn0083058	0.00735480875147759
FBgn0067407	FBgn0034665	0.00735123884602722
FBgn0036032	FBgn0265688	0.00733890705146262
FBgn0000055	FBgn0266688	0.0073363465682848
