regulatoryGene	targetGene	weight
FBgn0034906	FBgn0085462	0.0123315972345189
FBgn0015622	FBgn0020880	0.0115176602300832
FBgn0037727	FBgn0053855	0.0111679224799019
FBgn0264988	FBgn0260436	0.0111612908913865
FBgn0265907	FBgn0053702	0.0111520969346365
FBgn0259996	FBgn0020880	0.0106780228773782
FBgn0031969	FBgn0011953	0.0104031091895932
FBgn0038746	FBgn0030570	0.0103684883931499
FBgn0035024	FBgn0263765	0.0103333677371123
FBgn0032704	FBgn0038122	0.0102474680467927
FBgn0051380	FBgn0262816	0.010224594639531
FBgn0065108	FBgn0085200	0.0101973622781091
FBgn0033074	FBgn0030979	0.0100446661342666
FBgn0040359	FBgn0035787	0.00987057933784795
FBgn0037067	FBgn0011953	0.0097529148652436
FBgn0083973	FBgn0037675	0.00963559091321127
FBgn0034894	FBgn0265766	0.00956336198472261
FBgn0265269	FBgn0266225	0.00946434174646563
FBgn0036880	FBgn0030570	0.0094468449804255
FBgn0003922	FBgn0265910	0.00942309167555809
FBgn0030081	FBgn0034807	0.00941615017409514
FBgn0050293	FBgn0031621	0.00940923449156529
FBgn0036226	FBgn0040871	0.00939135101292429
FBgn0010417	FBgn0265851	0.00931910990688279
FBgn0052220	FBgn0034882	0.00929185873429935
FBgn0036366	FBgn0036490	0.00927051965565061
FBgn0028919	FBgn0083018	0.00923761800159927
FBgn0051099	FBgn0260871	0.00922320590489449
FBgn0011966	FBgn0031620	0.0091462576028466
FBgn0086043	FBgn0265825	0.0091061664713814
FBgn0263462	FBgn0265825	0.0091061664713814
FBgn0031181	FBgn0262960	0.00910490147195907
FBgn0038097	FBgn0265910	0.00902741576567056
FBgn0031114	FBgn0264999	0.00901911648995054
FBgn0030912	FBgn0261054	0.00898302156862531
FBgn0053983	FBgn0027107	0.00897194872615637
FBgn0035887	FBgn0036707	0.0089674492390065
FBgn0263463	FBgn0036707	0.0089674492390065
FBgn0030734	FBgn0042092	0.00896126453442485
FBgn0036195	FBgn0053702	0.00892167754770919
FBgn0043069	FBgn0036010	0.00890556812452948
FBgn0039873	FBgn0011953	0.00888598909944417
FBgn0030224	FBgn0037498	0.00887791377999576
FBgn0085405	FBgn0265608	0.00883350474296695
FBgn0262849	FBgn0264988	0.0088194942519889
FBgn0037037	FBgn0265766	0.0087982930259448
FBgn0083946	FBgn0051867	0.00878758491186296
FBgn0038727	FBgn0011936	0.00878238485947541
FBgn0262028	FBgn0267937	0.00877266271200602
FBgn0000567	FBgn0031164	0.0087518651195009
FBgn0036031	FBgn0265984	0.00875163360136299
FBgn0265419	FBgn0267982	0.00872231063413129
FBgn0082958	FBgn0264885	0.00869061413673233
FBgn0259791	FBgn0265910	0.00866924434151344
FBgn0053341	FBgn0030370	0.00866801484963236
FBgn0027338	FBgn0266114	0.00866122246968572
FBgn0034828	FBgn0051822	0.00863773057859146
FBgn0038610	FBgn0036328	0.00861476969931407
FBgn0036441	FBgn0053891	0.00860461781155887
FBgn0267978	FBgn0053891	0.00860461781155887
FBgn0034739	FBgn0040730	0.00860203532875862
FBgn0030643	FBgn0265162	0.00857913211654678
FBgn0022936	FBgn0267107	0.00855282422942469
FBgn0034195	FBgn0265706	0.00854926316679029
FBgn0039128	FBgn0038136	0.00854707471731316
FBgn0031969	FBgn0020880	0.00854241830190258
FBgn0053673	FBgn0262994	0.00852670668972812
FBgn0054052	FBgn0266774	0.00852265965455368
FBgn0015625	FBgn0014076	0.00851828297692625
FBgn0267019	FBgn0053899	0.00851063829787234
FBgn0034058	FBgn0265316	0.00842927936592238
FBgn0036009	FBgn0264857	0.0084
FBgn0000355	FBgn0083014	0.0083895801318275
