regulatoryGene	targetGene	weight
FBgn0028517	FBgn0265374	0.0171291074227308
FBgn0032375	FBgn0035299	0.0149360533397619
FBgn0032709	FBgn0267007	0.0120894568980543
FBgn0262901	FBgn0267110	0.0109634678191761
FBgn0036570	FBgn0263084	0.0109515248961276
FBgn0035957	FBgn0031345	0.0109404022617296
FBgn0013987	FBgn0267441	0.0107776055200629
FBgn0265900	FBgn0052718	0.0106209290638908
FBgn0261640	FBgn0263388	0.0104886579373392
FBgn0034195	FBgn0267120	0.0102469015321558
FBgn0036142	FBgn0040796	0.0101888927976999
FBgn0051334	FBgn0040796	0.0101888927976999
FBgn0034681	FBgn0038690	0.0100309156426831
FBgn0039507	FBgn0265157	0.00993857878766165
FBgn0263022	FBgn0046880	0.00985139245396792
FBgn0262716	FBgn0002631	0.009801268927837
FBgn0034907	FBgn0037320	0.00973481371539241
FBgn0265891	FBgn0264603	0.00971134001780984
FBgn0002031	FBgn0267110	0.00962238395790148
FBgn0267629	FBgn0028900	0.00955261881971563
FBgn0267791	FBgn0063380	0.00948510896498115
FBgn0033589	FBgn0262839	0.00946555491907776
FBgn0031248	FBgn0034318	0.0094562911461803
FBgn0032452	FBgn0033508	0.00945019162923423
FBgn0250815	FBgn0260871	0.00934801728386475
FBgn0033459	FBgn0052834	0.00933650325346462
FBgn0032481	FBgn0262998	0.00931635667096761
FBgn0030346	FBgn0265255	0.00926770503310026
FBgn0036741	FBgn0029811	0.00925664596231153
FBgn0034173	FBgn0052457	0.00923247442215983
FBgn0037085	FBgn0031792	0.00921158920594951
FBgn0033581	FBgn0262611	0.00920487402927941
FBgn0023001	FBgn0032554	0.00911782406768799
FBgn0001990	FBgn0085692	0.00909841491148421
FBgn0265815	FBgn0085692	0.00909841491148421
FBgn0265731	FBgn0031139	0.00909538645712584
FBgn0050291	FBgn0053906	0.00908124484845593
FBgn0264956	FBgn0262361	0.00900475424146661
FBgn0051940	FBgn0002629	0.00899876438188462
FBgn0014454	FBgn0002629	0.00899876438188462
FBgn0038286	FBgn0051940	0.00895085814053025
FBgn0035192	FBgn0037320	0.00894764486216522
FBgn0035272	FBgn0003377	0.00884996379593482
FBgn0013718	FBgn0086046	0.00883915414727447
FBgn0050366	FBgn0262839	0.00883560437943542
FBgn0011603	FBgn0034884	0.00881496711958988
FBgn0033303	FBgn0263649	0.00878696967101831
FBgn0259741	FBgn0263649	0.00878696967101831
FBgn0031559	FBgn0040487	0.00876973189676773
FBgn0015829	FBgn0011882	0.00876923650916527
FBgn0066114	FBgn0040784	0.00874963543185701
FBgn0034901	FBgn0034099	0.00873919799155027
FBgn0264956	FBgn0037498	0.00873254180124703
FBgn0050362	FBgn0262807	0.00873070644720892
FBgn0260646	FBgn0052511	0.00871613592473353
FBgn0032445	FBgn0028867	0.00870821026561773
FBgn0266819	FBgn0250825	0.00869985762054754
FBgn0030737	FBgn0263246	0.00869907416996334
FBgn0015574	FBgn0267696	0.00868306497530316
FBgn0267549	FBgn0265795	0.00864641811833788
FBgn0267065	FBgn0029811	0.00863493093499209
FBgn0041236	FBgn0267683	0.00861096873398257
FBgn0053983	FBgn0040356	0.00859368604137413
FBgn0039030	FBgn0263092	0.0085698413853955
FBgn0030941	FBgn0261807	0.00855805562146271
FBgn0012026	FBgn0085198	0.00853125626265624
FBgn0036331	FBgn0029816	0.00852883812390068
FBgn0037025	FBgn0034318	0.0085262642218513
FBgn0038719	FBgn0264787	0.00846507974552053
FBgn0264911	FBgn0264378	0.00845030230332212
FBgn0032590	FBgn0266208	0.00844993121170761
FBgn0037620	FBgn0051848	0.00843787416339574
FBgn0019660	FBgn0034554	0.0084139237490016
FBgn0031457	FBgn0032827	0.00838591161987184
FBgn0015772	FBgn0038888	0.00837253807511363
FBgn0265468	FBgn0032491	0.00835892377761714
FBgn0266737	FBgn0032491	0.00835892377761714
FBgn0267714	FBgn0036871	0.00835156394077217
FBgn0065109	FBgn0267817	0.00834951770104587
FBgn0265533	FBgn0263018	0.00833708737689469
FBgn0034366	FBgn0051482	0.00832752507080847
FBgn0085755	FBgn0267928	0.00832424932502103
FBgn0086660	FBgn0267961	0.00830460975190235
FBgn0015600	FBgn0031729	0.00829877005184145
FBgn0034658	FBgn0036131	0.00826983197580773
FBgn0262877	FBgn0052832	0.00825565802933
FBgn0038830	FBgn0266766	0.00825488282798061
FBgn0004584	FBgn0032968	0.00825405927901405
FBgn0038816	FBgn0267592	0.00824839445818346
FBgn0264485	FBgn0267121	0.00822396635560019
FBgn0015011	FBgn0263084	0.00822324397816988
FBgn0017551	FBgn0267034	0.00821654346105381
FBgn0045470	FBgn0063380	0.00820534582307042
FBgn0034186	FBgn0266087	0.00820080746579742
FBgn0265823	FBgn0266087	0.00820080746579742
FBgn0036848	FBgn0039648	0.00815564629995524
FBgn0020518	FBgn0040796	0.00815111423815994
FBgn0010398	FBgn0259969	0.00814821338112707
FBgn0030566	FBgn0051614	0.00814174376783343
FBgn0266434	FBgn0034092	0.00812807702178074
FBgn0030462	FBgn0034092	0.00812807702178074
FBgn0266320	FBgn0267168	0.00812761210799654
FBgn0031786	FBgn0085198	0.00811673209670691
