regulatoryGene	targetGene	weight
FBgn0039636	FBgn0020376	0.0130625508544942
FBgn0267474	FBgn0085570	0.0120360198791804
FBgn0032210	FBgn0266955	0.0117012503621816
FBgn0085479	FBgn0267191	0.0110093770932185
FBgn0032972	FBgn0265895	0.0101920637796702
FBgn0038452	FBgn0039577	0.00999950157330797
FBgn0037100	FBgn0041186	0.00996307934379252
FBgn0032677	FBgn0264840	0.00988227582524395
FBgn0035998	FBgn0085318	0.00984856073124292
FBgn0031504	FBgn0265882	0.00984852037705764
FBgn0264943	FBgn0002855	0.00980448171354066
FBgn0035285	FBgn0267681	0.00949517325345662
FBgn0263143	FBgn0265963	0.00942232189682554
FBgn0014022	FBgn0263409	0.00940144152427158
FBgn0028868	FBgn0029700	0.00936652398163568
FBgn0035293	FBgn0266955	0.00936100028974525
FBgn0267081	FBgn0267957	0.0093180103519317
FBgn0032101	FBgn0036712	0.00931078046449833
FBgn0036837	FBgn0036712	0.00931078046449833
FBgn0267658	FBgn0267191	0.00917448091101546
FBgn0053855	FBgn0052983	0.00916890431593425
FBgn0032598	FBgn0265717	0.00909435914785602
FBgn0002525	FBgn0085300	0.00909327097947519
FBgn0013272	FBgn0052986	0.00907875565095555
FBgn0030738	FBgn0028935	0.00907203477201517
FBgn0036094	FBgn0000591	0.00904431715405487
FBgn0265895	FBgn0000591	0.00904431715405487
FBgn0053348	FBgn0260643	0.00901810052858949
FBgn0267390	FBgn0037577	0.00899107312094824
FBgn0016660	FBgn0267612	0.00896765237055732
FBgn0259113	FBgn0266873	0.00891392655234269
FBgn0037220	FBgn0032385	0.00888868435758096
FBgn0259838	FBgn0034661	0.00887949645958777
FBgn0038272	FBgn0032965	0.00886711987501583
FBgn0011239	FBgn0028945	0.00876882616254895
FBgn0032700	FBgn0036872	0.00876424189307625
FBgn0032644	FBgn0042187	0.00876194397952543
FBgn0037561	FBgn0261699	0.00867747378257466
FBgn0025360	FBgn0085318	0.00864751673962793
FBgn0037561	FBgn0265752	0.00864686094883745
FBgn0034346	FBgn0265593	0.00861836426762603
FBgn0029733	FBgn0085506	0.00855876423968356
FBgn0030752	FBgn0028945	0.00846502715963687
FBgn0000928	FBgn0265801	0.00843328334360617
FBgn0003890	FBgn0039768	0.00840257238390808
FBgn0039378	FBgn0046698	0.00838541854990111
FBgn0266565	FBgn0046698	0.00838541854990111
FBgn0266009	FBgn0033589	0.00838043971719844
FBgn0051612	FBgn0264480	0.00837086126187957
FBgn0038931	FBgn0262895	0.00835404699846069
FBgn0266400	FBgn0032280	0.00831648112672712
FBgn0038860	FBgn0265062	0.00830609291679411
FBgn0265608	FBgn0266834	0.00829723600543939
FBgn0267574	FBgn0002734	0.00825967066077806
FBgn0051245	FBgn0051609	0.0082490424105908
FBgn0266400	FBgn0038458	0.00822773737783527
FBgn0266565	FBgn0038458	0.00822773737783527
FBgn0030836	FBgn0267610	0.00821114359013713
FBgn0266904	FBgn0264471	0.00819944099046168
FBgn0038416	FBgn0053244	0.00819608138360439
FBgn0034565	FBgn0267677	0.00813635700593912
FBgn0266936	FBgn0050206	0.00813470278123879
FBgn0265374	FBgn0083035	0.00812162122159562
FBgn0085570	FBgn0039378	0.00811197430877776
FBgn0053082	FBgn0262611	0.00810606585162632
FBgn0031407	FBgn0266948	0.00810002912772091
FBgn0265068	FBgn0085786	0.00809370714269655
FBgn0041236	FBgn0031135	0.00806550679655713
FBgn0267241	FBgn0265694	0.00805676967038371
FBgn0266722	FBgn0038003	0.00804835868758083
FBgn0034237	FBgn0264870	0.00803379541004049
FBgn0033238	FBgn0036459	0.00802259471705285
FBgn0036793	FBgn0266009	0.00801464846788219
FBgn0040699	FBgn0261925	0.00800548940586861
FBgn0003495	FBgn0266961	0.00799611272827262
FBgn0032863	FBgn0036112	0.00788104067287033
FBgn0037773	FBgn0031000	0.00787342461784723
FBgn0264492	FBgn0266957	0.00786598457042821
FBgn0266369	FBgn0052983	0.00785906084222935
FBgn0029838	FBgn0050239	0.00785032052217768
