regulatoryGene	targetGene	weight
FBgn0038894	FBgn0031273	0.0124551246098485
FBgn0263590	FBgn0053855	0.0117849333781191
FBgn0266645	FBgn0259230	0.0108164269282081
FBgn0037841	FBgn0036010	0.0101349205381134
FBgn0262904	FBgn0267327	0.0101228081336832
FBgn0266446	FBgn0039768	0.00998460997394694
FBgn0032682	FBgn0264377	0.0098128473679241
FBgn0039730	FBgn0266179	0.00975520206751778
FBgn0051971	FBgn0260393	0.00972192301132767
FBgn0085759	FBgn0083057	0.0096473397917801
FBgn0267051	FBgn0263763	0.00939429184933345
FBgn0034627	FBgn0266897	0.00924051746897826
FBgn0267520	FBgn0260644	0.00921883366075636
FBgn0065053	FBgn0267121	0.00912448403215294
FBgn0000308	FBgn0023171	0.00910415351646767
FBgn0050404	FBgn0038189	0.00907127429805616
FBgn0267569	FBgn0038131	0.00905713506264951
FBgn0032420	FBgn0003931	0.00900398738547216
FBgn0263215	FBgn0267064	0.00891420259833274
FBgn0029812	FBgn0265085	0.00890453071003032
FBgn0265877	FBgn0036131	0.00889358270777103
FBgn0035213	FBgn0085664	0.00881984480021314
FBgn0035839	FBgn0036227	0.00871308723180045
FBgn0030041	FBgn0053810	0.008711406442668
FBgn0085758	FBgn0267513	0.00868620659167251
FBgn0266953	FBgn0053813	0.00858971508769985
FBgn0264939	FBgn0033591	0.00855851603692963
FBgn0020309	FBgn0011936	0.00849804091763733
FBgn0038079	FBgn0264722	0.00848701666547042
FBgn0000394	FBgn0053855	0.00848515203224574
FBgn0039625	FBgn0053855	0.00848515203224574
FBgn0040357	FBgn0011910	0.00848159546816996
FBgn0266525	FBgn0038131	0.00844410676976641
FBgn0266364	FBgn0053725	0.00839551551563877
FBgn0082943	FBgn0002855	0.00839113139439008
FBgn0265872	FBgn0002855	0.00839113139439008
FBgn0005626	FBgn0030538	0.00835661699984971
FBgn0038466	FBgn0267539	0.00828131791967185
FBgn0030122	FBgn0038157	0.00824799891152764
FBgn0031464	FBgn0040729	0.00822497755679959
FBgn0266435	FBgn0053535	0.00820113560598509
FBgn0267705	FBgn0265060	0.00817760751761961
FBgn0263400	FBgn0264480	0.00817053051093346
FBgn0004862	FBgn0037039	0.00814850216665088
FBgn0035022	FBgn0053117	0.00814442597488549
FBgn0005694	FBgn0267597	0.00813036842209393
FBgn0085822	FBgn0036010	0.00810793643049069
FBgn0267503	FBgn0267068	0.00810042142554498
FBgn0051636	FBgn0042187	0.0080904651998186
FBgn0000308	FBgn0267958	0.00808131707175839
FBgn0265340	FBgn0033202	0.00807940034958445
FBgn0265496	FBgn0033202	0.00807940034958445
FBgn0267937	FBgn0033202	0.00807940034958445
FBgn0034877	FBgn0032523	0.00805775229134783
FBgn0266618	FBgn0265908	0.00804433355801027
FBgn0036750	FBgn0266009	0.00803687947880981
FBgn0038358	FBgn0266009	0.00803687947880981
FBgn0051025	FBgn0264295	0.00803582382533621
FBgn0261991	FBgn0264868	0.00801322088012511
FBgn0039454	FBgn0267618	0.00800829133545773
FBgn0045486	FBgn0267618	0.00800829133545773
FBgn0035553	FBgn0040729	0.00800268086607527
FBgn0262467	FBgn0267139	0.00798937669012104
FBgn0086041	FBgn0039768	0.00798768797915755
FBgn0033659	FBgn0085457	0.00797847088624544
FBgn0039112	FBgn0050043	0.00797362861160798
FBgn0033918	FBgn0038069	0.00795546367276568
FBgn0029690	FBgn0038069	0.00795546367276568
FBgn0069056	FBgn0262623	0.00795085273035927
FBgn0261020	FBgn0267898	0.0079218549481344
FBgn0039836	FBgn0265309	0.00787263381044036
FBgn0016053	FBgn0035886	0.00787097106514879
FBgn0065048	FBgn0262623	0.00785902125242532
FBgn0033753	FBgn0264377	0.00785027789433928
FBgn0035022	FBgn0264377	0.00785027789433928
FBgn0086070	FBgn0264377	0.00785027789433928
FBgn0027835	FBgn0264377	0.00785027789433928
FBgn0260799	FBgn0265709	0.0078441465768262
FBgn0010435	FBgn0266862	0.00781438977231072
FBgn0267624	FBgn0266862	0.00781438977231072
