gene,degree,betweenness,rank
FBgn0005596,1,0,1379.75
FBgn0003372,1,0,1379.75
FBgn0037275,1,0,1379.75
FBgn0033668,1,0,1379.75
FBgn0267053,2,3784,3308.75
FBgn0267165,1,0,1379.75
FBgn0046887,2,8,3078.5
FBgn0033860,1,0,1379.75
FBgn0000158,2,193,3229.25
FBgn0024332,1,0,1379.75
FBgn0036750,1,0,1379.75
FBgn0259187,1,0,1379.75
FBgn0067628,1,0,1379.75
FBgn0260817,1,0,1379.75
FBgn0029727,1,0,1379.75
FBgn0265868,2,193,3229.25
FBgn0261882,1,0,1379.75
FBgn0028942,2,27,3147.5
FBgn0026061,1,0,1379.75
FBgn0038167,1,0,1379.75
FBgn0025683,2,32,3153.5
FBgn0034705,2,7,3071.75
FBgn0030109,2,27,3147.5
FBgn0015001,1,0,1379.75
FBgn0035964,3,92,3376.25
FBgn0039184,1,0,1379.75
FBgn0262904,1,0,1379.75
FBgn0042127,2,193,3229.25
FBgn0051294,6,900,3556.5
FBgn0003744,1,0,1379.75
FBgn0029965,1,0,1379.75
FBgn0266901,1,0,1379.75
FBgn0041241,1,0,1379.75
FBgn0266488,1,0,1379.75
FBgn0082950,1,0,1379.75
FBgn0083974,1,0,1379.75
FBgn0058469,3,105,3379.25
FBgn0086253,2,80,3198.5
FBgn0031208,1,0,1379.75
FBgn0052192,1,0,1379.75
FBgn0031483,2,760,3280.5
FBgn0034611,1,0,1379.75
FBgn0267046,1,0,1379.75
FBgn0043796,1,0,1379.75
FBgn0085424,1,0,1379.75
FBgn0053325,3,5,3214.75
FBgn0266904,1,0,1379.75
FBgn0039254,1,0,1379.75
FBgn0032202,1,0,1379.75
FBgn0046113,1,0,1379.75
FBgn0262813,2,193,3229.25
FBgn0051693,2,750,3279.5
FBgn0267938,1,0,1379.75
FBgn0037985,1,0,1379.75
FBgn0039346,1,0,1379.75
FBgn0020637,1,0,1379.75
FBgn0039562,1,0,1379.75
FBgn0051961,1,0,1379.75
FBgn0038679,2,5,3046.75
FBgn0262964,1,0,1379.75
FBgn0037882,1,0,1379.75
FBgn0063376,2,48,3176
FBgn0036309,1,0,1379.75
FBgn0263870,1,0,1379.75
