gene,degree,betweenness,rank
FBgn0005596,1,0,1859.25
FBgn0039213,1,0,1859.25
FBgn0013435,1,0,1859.25
FBgn0003372,1,0,1859.25
FBgn0036980,1,0,1859.25
FBgn0037275,3,3443,4844
FBgn0033668,2,10,4238.5
FBgn0267053,2,47460,4700.75
FBgn0033888,1,0,1859.25
FBgn0267165,1,0,1859.25
FBgn0046887,2,3442,4502
FBgn0033860,1,0,1859.25
FBgn0000158,2,1722,4445.25
FBgn0024332,1,0,1859.25
FBgn0033710,1,0,1859.25
FBgn0010113,1,0,1859.25
FBgn0036750,1,0,1859.25
FBgn0045468,1,0,1859.25
FBgn0259187,1,0,1859.25
FBgn0067628,1,0,1859.25
FBgn0265903,2,73876,4722.25
FBgn0260817,1,0,1859.25
FBgn0038974,3,111041.467460318,5066.25
FBgn0029727,1,0,1859.25
FBgn0031998,1,0,1859.25
FBgn0031390,3,15,4594.5
FBgn0261953,2,102,4370.25
FBgn0265868,2,104580,4741.75
FBgn0261882,1,0,1859.25
FBgn0028942,2,60,4346.5
FBgn0026061,1,0,1859.25
FBgn0038167,2,13,4260
FBgn0025683,2,6876,4562
FBgn0034705,2,13720,4617.75
FBgn0051202,1,0,1859.25
FBgn0030109,2,65,4352
FBgn0015001,1,0,1859.25
FBgn0035964,3,116,4695.75
FBgn0032881,1,0,1859.25
FBgn0039184,1,0,1859.25
FBgn0040725,1,0,1859.25
FBgn0262904,1,0,1859.25
FBgn0042127,2,1722,4445.25
FBgn0051294,7,57815,5244.75
FBgn0004387,3,368,4712.25
FBgn0003744,2,166810.402380952,4767.75
FBgn0029965,1,0,1859.25
FBgn0004378,2,53598.2662337656,4706.75
FBgn0266901,1,0,1859.25
FBgn0041241,1,0,1859.25
FBgn0035248,1,0,1859.25
FBgn0266488,1,0,1859.25
FBgn0082950,1,0,1859.25
FBgn0083974,1,0,1859.25
FBgn0058469,3,94457.9166666671,5058.75
FBgn0052703,2,12,4252.75
FBgn0038519,1,0,1859.25
FBgn0086253,2,1722,4445.25
FBgn0031208,1,0,1859.25
FBgn0030274,1,0,1859.25
FBgn0027872,1,0,1859.25
FBgn0052192,2,30,4317.5
FBgn0031483,2,8590,4584.25
FBgn0034611,1,0,1859.25
FBgn0267046,1,0,1859.25
FBgn0043796,2,13,4260
FBgn0085424,1,0,1859.25
FBgn0053325,5,24,4788.25
FBgn0011305,1,0,1859.25
FBgn0266904,1,0,1859.25
FBgn0039254,1,0,1859.25
FBgn0024234,2,47878.5,4702.25
FBgn0037428,1,0,1859.25
FBgn0086443,1,0,1859.25
FBgn0032202,1,0,1859.25
FBgn0003714,2,12,4252.75
FBgn0046113,2,1722,4445.25
FBgn0050048,2,15426,4626.75
FBgn0262813,2,1722,4445.25
FBgn0051693,2,138143.013131313,4759.75
FBgn0267938,1,0,1859.25
FBgn0039454,1,0,1859.25
FBgn0037985,1,0,1859.25
FBgn0039346,1,0,1859.25
FBgn0034860,2,21,4299.5
FBgn0020637,1,0,1859.25
FBgn0039562,1,0,1859.25
FBgn0051961,1,0,1859.25
FBgn0038679,2,12,4252.75
FBgn0262964,1,0,1859.25
FBgn0053100,1,0,1859.25
FBgn0037882,1,0,1859.25
FBgn0259896,1,0,1859.25
FBgn0063376,2,10302,4600.75
FBgn0036309,1,0,1859.25
FBgn0263870,1,0,1859.25
FBgn0035868,1,0,1859.25
