gene,degree,betweenness,rank
FBgn0032981,1,0,629.25
FBgn0267625,1,0,629.25
FBgn0038341,2,3,1335.75
FBgn0260401,2,3,1335.75
FBgn0034473,1,0,629.25
FBgn0083034,1,0,629.25
FBgn0020622,1,0,629.25
FBgn0053536,1,0,629.25
FBgn0086707,1,0,629.25
FBgn0035428,2,30,1367.75
FBgn0034966,1,0,629.25
FBgn0005390,1,0,629.25
FBgn0266979,3,3,1372.25
FBgn0267709,1,0,629.25
FBgn0011656,1,0,629.25
FBgn0267824,1,0,629.25
FBgn0051333,1,0,629.25
FBgn0035421,1,0,629.25
FBgn0052111,1,0,629.25
FBgn0052480,2,4,1343.5
FBgn0264902,1,0,629.25
FBgn0036549,1,0,629.25
FBgn0052212,2,3,1335.75
FBgn0036139,1,0,629.25
FBgn0028473,1,0,629.25
FBgn0053899,1,0,629.25
FBgn0013710,1,0,629.25
FBgn0083050,1,0,629.25
FBgn0052299,1,0,629.25
FBgn0265378,1,0,629.25
FBgn0067407,2,56,1369.75
FBgn0039040,2,1,1304.5
FBgn0015803,1,0,629.25
FBgn0266641,2,5,1347.25
FBgn0013708,1,0,629.25
FBgn0001255,1,0,629.25
FBgn0266984,2,1,1304.5
FBgn0039441,1,0,629.25
FBgn0266688,2,2,1325.5
FBgn0052857,1,0,629.25
FBgn0036136,1,0,629.25
FBgn0034432,1,0,629.25
FBgn0264909,1,0,629.25
FBgn0001105,1,0,629.25
FBgn0033275,1,0,629.25
FBgn0000356,2,2,1325.5
FBgn0034611,1,0,629.25
FBgn0003261,1,0,629.25
FBgn0265987,1,0,629.25
FBgn0033252,1,0,629.25
FBgn0050316,4,3,1383.25
FBgn0083952,1,0,629.25
FBgn0028668,1,0,629.25
FBgn0036766,1,0,629.25
FBgn0040352,1,0,629.25
FBgn0050428,1,0,629.25
FBgn0265864,1,0,629.25
FBgn0038426,1,0,629.25
FBgn0035644,1,0,629.25
FBgn0264376,1,0,629.25
FBgn0037852,1,0,629.25
FBgn0001970,1,0,629.25
FBgn0085214,1,0,629.25
FBgn0037229,1,0,629.25
FBgn0264309,1,0,629.25
FBgn0025393,1,0,629.25
FBgn0036696,1,0,629.25
FBgn0037742,1,0,629.25
FBgn0030000,1,0,629.25
FBgn0015038,1,0,629.25
FBgn0050289,1,0,629.25
FBgn0015926,1,0,629.25
FBgn0267012,1,0,629.25
FBgn0034769,1,0,629.25
FBgn0243514,1,0,629.25
FBgn0033744,1,0,629.25
FBgn0266843,1,0,629.25
FBgn0085789,3,13,1398.75
FBgn0086472,1,0,629.25
FBgn0266889,1,0,629.25
FBgn0035975,1,0,629.25
FBgn0038082,1,0,629.25
FBgn0038224,1,0,629.25
FBgn0011705,1,0,629.25
FBgn0032416,1,0,629.25
FBgn0050203,1,0,629.25
FBgn0265534,1,0,629.25
FBgn0083045,4,9,1405.5
FBgn0036365,1,0,629.25
FBgn0011648,1,0,629.25
FBgn0262807,1,0,629.25
FBgn0035857,1,0,629.25
FBgn0033355,1,0,629.25
FBgn0051835,1,0,629.25
FBgn0035753,2,1,1304.5
FBgn0030018,1,0,629.25
FBgn0032880,1,0,629.25
FBgn0051675,1,0,629.25
FBgn0052546,1,0,629.25
FBgn0084049,1,0,629.25
FBgn0052150,1,0,629.25
FBgn0000482,1,0,629.25
FBgn0264479,1,0,629.25
FBgn0030998,1,0,629.25
