gene,degree,betweenness,rank
FBgn0035431,3,5375,3498.25
FBgn0034520,1,0,1394.5
FBgn0010316,1,0,1394.5
FBgn0004652,2,1778,3317.75
FBgn0032981,1,0,1394.5
FBgn0050241,4,249,3482.75
FBgn0267625,1,0,1394.5
FBgn0266067,1,0,1394.5
FBgn0038341,2,123,3245
FBgn0037183,2,329,3282
FBgn0002573,1,0,1394.5
FBgn0260401,3,9,3287.75
FBgn0265597,1,0,1394.5
FBgn0025635,1,0,1394.5
FBgn0015571,1,0,1394.5
FBgn0266398,1,0,1394.5
FBgn0035768,1,0,1394.5
FBgn0015019,1,0,1394.5
FBgn0034473,2,260,3268
FBgn0036376,1,0,1394.5
FBgn0036846,1,0,1394.5
FBgn0033784,1,0,1394.5
FBgn0025615,2,260,3268
FBgn0031736,2,5258,3330
FBgn0033453,1,0,1394.5
FBgn0032914,4,16456,3563
FBgn0082971,2,728,3302
FBgn0267262,1,0,1394.5
FBgn0083034,1,0,1394.5
FBgn0039831,2,37,3203.75
FBgn0263410,1,0,1394.5
FBgn0020622,1,0,1394.5
FBgn0264882,1,0,1394.5
FBgn0265048,1,0,1394.5
FBgn0002533,5,22,3427.25
FBgn0052200,1,0,1394.5
FBgn0053536,4,777,3529.25
FBgn0042111,1,0,1394.5
FBgn0283478,1,0,1394.5
FBgn0086707,1,0,1394.5
FBgn0266752,1,0,1394.5
FBgn0036775,1,0,1394.5
FBgn0050418,1,0,1394.5
FBgn0086674,1,0,1394.5
FBgn0267530,1,0,1394.5
FBgn0029079,1,0,1394.5
FBgn0035428,4,4212,3551.5
FBgn0263385,1,0,1394.5
FBgn0034966,1,0,1394.5
FBgn0035858,2,4,3065.25
FBgn0005390,1,0,1394.5
FBgn0266979,3,519,3463.25
FBgn0264862,1,0,1394.5
FBgn0266312,1,0,1394.5
FBgn0267336,1,0,1394.5
FBgn0267709,1,0,1394.5
FBgn0266989,1,0,1394.5
FBgn0010431,1,0,1394.5
FBgn0011656,2,15,3157.25
FBgn0267824,1,0,1394.5
FBgn0030914,2,7,3105.75
FBgn0051333,4,42,3431.5
FBgn0031876,1,0,1394.5
FBgn0035421,1,0,1394.5
FBgn0033540,1,0,1394.5
FBgn0036331,1,0,1394.5
FBgn0052111,1,0,1394.5
FBgn0036105,1,0,1394.5
FBgn0052480,6,112,3506.5
FBgn0264902,1,0,1394.5
FBgn0036549,2,6,3094
FBgn0052212,2,6,3094
FBgn0054026,1,0,1394.5
FBgn0036139,2,12,3142
FBgn0265066,1,0,1394.5
FBgn0283426,1,0,1394.5
FBgn0033349,2,13,3147.5
FBgn0036825,1,0,1394.5
FBgn0050269,3,35,3369.5
FBgn0028473,1,0,1394.5
FBgn0053899,2,8,3112
FBgn0265590,1,0,1394.5
FBgn0032136,1,0,1394.5
FBgn0086058,1,0,1394.5
FBgn0020510,1,0,1394.5
FBgn0267959,1,0,1394.5
FBgn0013710,1,0,1394.5
FBgn0083050,1,0,1394.5
FBgn0265191,1,0,1394.5
FBgn0261401,2,9020,3334.5
FBgn0266234,1,0,1394.5
