gene,degree,betweenness,rank
FBgn0032704,1,0,126
FBgn0031114,1,0,126
FBgn0039128,2,1,263.5
FBgn0265895,1,0,126
FBgn0028412,2,2,271.75
FBgn0266867,1,0,126
FBgn0264429,1,0,126
FBgn0034323,1,0,126
FBgn0031546,1,0,126
FBgn0036470,1,0,126
FBgn0266862,2,1,263.5
FBgn0031345,1,0,126
FBgn0082922,1,0,126
FBgn0037579,1,0,126
FBgn0262356,2,1,263.5
FBgn0031772,1,0,126
FBgn0262944,2,2,271.75
FBgn0004183,1,0,126
FBgn0011910,1,0,126
FBgn0003931,1,0,126
FBgn0265148,1,0,126
FBgn0267520,1,0,126
FBgn0265696,2,1,263.5
FBgn0086052,2,2,271.75
FBgn0032839,1,0,126
FBgn0265914,1,0,126
FBgn0030671,1,0,126
FBgn0053237,2,1,263.5
FBgn0004052,1,0,126
FBgn0032868,2,2,271.75
FBgn0053897,1,0,126
FBgn0032184,1,0,126
FBgn0021776,1,0,126
FBgn0031620,1,0,126
FBgn0034560,1,0,126
FBgn0053239,2,2,271.75
FBgn0261523,2,2,271.75
FBgn0267634,1,0,126
FBgn0011694,1,0,126
FBgn0033286,1,0,126
FBgn0085327,1,0,126
FBgn0267237,1,0,126
FBgn0030578,2,2,271.75
FBgn0053459,1,0,126
FBgn0034840,2,2,271.75
FBgn0045770,2,2,271.75
FBgn0036024,1,0,126
FBgn0266169,2,2,271.75
FBgn0267143,1,0,126
FBgn0267366,2,2,271.75
FBgn0052751,1,0,126
FBgn0039777,1,0,126
FBgn0051924,1,0,126
FBgn0038941,1,0,126
FBgn0034839,2,1,263.5
FBgn0260455,1,0,126
FBgn0053240,2,2,271.75
FBgn0044810,1,0,126
FBgn0262569,1,0,126
FBgn0004428,1,0,126
FBgn0259953,1,0,126
FBgn0039669,1,0,126
FBgn0034472,1,0,126
FBgn0028948,1,0,126
FBgn0266835,1,0,126
FBgn0053245,1,0,126
FBgn0050211,2,1,263.5
FBgn0036246,1,0,126
FBgn0259185,1,0,126
FBgn0038909,1,0,126
FBgn0052644,1,0,126
FBgn0034168,1,0,126
FBgn0002838,1,0,126
FBgn0050275,2,2,271.75
FBgn0262485,1,0,126
FBgn0085198,1,0,126
FBgn0039558,1,0,126
FBgn0052053,1,0,126
FBgn0036327,1,0,126
FBgn0262581,1,0,126
FBgn0052631,1,0,126
FBgn0011865,2,1,263.5
FBgn0267419,2,2,271.75
FBgn0031268,1,0,126
FBgn0052413,1,0,126
FBgn0034970,1,0,126
FBgn0027948,1,0,126
FBgn0265793,1,0,126
FBgn0019828,1,0,126
FBgn0250842,1,0,126
FBgn0038956,1,0,126
FBgn0011270,1,0,126
FBgn0002629,1,0,126
FBgn0031859,1,0,126
FBgn0029940,1,0,126
FBgn0085692,1,0,126
FBgn0265263,1,0,126
FBgn0050161,1,0,126
FBgn0262871,1,0,126
FBgn0263745,1,0,126
FBgn0265182,1,0,126
FBgn0038797,1,0,126
FBgn0031048,1,0,126
FBgn0043002,1,0,126
FBgn0039086,2,1,263.5
FBgn0051898,1,0,126
FBgn0267025,1,0,126
FBgn0264372,1,0,126
FBgn0032370,1,0,126
FBgn0263030,1,0,126
FBgn0036499,1,0,126
FBgn0035428,1,0,126
FBgn0029877,1,0,126
FBgn0034144,1,0,126
FBgn0263337,1,0,126
FBgn0265576,1,0,126
FBgn0035476,1,0,126
FBgn0038217,1,0,126
FBgn0031467,1,0,126
FBgn0030925,1,0,126
FBgn0031267,1,0,126
FBgn0260713,1,0,126
FBgn0264383,1,0,126
FBgn0267680,1,0,126
FBgn0038252,1,0,126
FBgn0263465,1,0,126
FBgn0033324,1,0,126
FBgn0261582,1,0,126
FBgn0039087,1,0,126
FBgn0267683,1,0,126
FBgn0035548,1,0,126
FBgn0038008,1,0,126
FBgn0050376,2,1,263.5
FBgn0034661,1,0,126
FBgn0259230,1,0,126
FBgn0030356,1,0,126
FBgn0033598,1,0,126
FBgn0267508,1,0,126
FBgn0031969,1,0,126
FBgn0265648,1,0,126
FBgn0036440,1,0,126
FBgn0063381,1,0,126
FBgn0023395,1,0,126
FBgn0050447,1,0,126
FBgn0025115,1,0,126
FBgn0265417,1,0,126
FBgn0003267,1,0,126
FBgn0038290,1,0,126
FBgn0038122,1,0,126
FBgn0264999,1,0,126
FBgn0038136,1,0,126
FBgn0030570,1,0,126
FBgn0264980,1,0,126
FBgn0053908,1,0,126
FBgn0262028,1,0,126
FBgn0267213,1,0,126
FBgn0265527,1,0,126
FBgn0053557,1,0,126
FBgn0262594,1,0,126
FBgn0262355,1,0,126
FBgn0082970,1,0,126
FBgn0038691,1,0,126
FBgn0051614,1,0,126
FBgn0011937,1,0,126
FBgn0262996,1,0,126
FBgn0030384,1,0,126
FBgn0036320,1,0,126
FBgn0265733,1,0,126
FBgn0264885,1,0,126
FBgn0051939,1,0,126
FBgn0261681,1,0,126
FBgn0262786,1,0,126
FBgn0036767,2,1,263.5
FBgn0034825,1,0,126
FBgn0020880,1,0,126
FBgn0051600,1,0,126
FBgn0265526,1,0,126
FBgn0267168,1,0,126
FBgn0053899,1,0,126
FBgn0029965,1,0,126
FBgn0267490,1,0,126
FBgn0260870,1,0,126
FBgn0266773,1,0,126
FBgn0036490,1,0,126
FBgn0038186,1,0,126
FBgn0030577,1,0,126
FBgn0267004,1,0,126
FBgn0034105,1,0,126
FBgn0085312,1,0,126
FBgn0267411,1,0,126
FBgn0265851,2,2,271.75
FBgn0053243,2,2,271.75
FBgn0052213,1,0,126
FBgn0265896,1,0,126
FBgn0030537,1,0,126
FBgn0262875,1,0,126
FBgn0085464,1,0,126
FBgn0265257,1,0,126
FBgn0034097,1,0,126
FBgn0033141,2,1,263.5
FBgn0053986,1,0,126
FBgn0053247,1,0,126
FBgn0053238,1,0,126
FBgn0264824,1,0,126
FBgn0038123,2,2,271.75
FBgn0265833,1,0,126
FBgn0262812,1,0,126
FBgn0053242,1,0,126
FBgn0267120,1,0,126
FBgn0265064,1,0,126
FBgn0038258,1,0,126
FBgn0036329,1,0,126
FBgn0031082,1,0,126
FBgn0034486,1,0,126
FBgn0267592,1,0,126
FBgn0262536,1,0,126
FBgn0267560,1,0,126
FBgn0038069,1,0,126
FBgn0034423,1,0,126
FBgn0040904,1,0,126
FBgn0265593,1,0,126
FBgn0035552,1,0,126
FBgn0038887,1,0,126
FBgn0267420,2,2,271.75
FBgn0035941,1,0,126
FBgn0262896,1,0,126
FBgn0033693,1,0,126
FBgn0260222,1,0,126
FBgn0052463,1,0,126
FBgn0035311,1,0,126
FBgn0266970,1,0,126
FBgn0029700,1,0,126
FBgn0004372,2,1,263.5
FBgn0265625,1,0,126
FBgn0267491,1,0,126
FBgn0261996,1,0,126
FBgn0261816,1,0,126
FBgn0038750,1,0,126
FBgn0267072,3,3,285
FBgn0051501,1,0,126
FBgn0265307,1,0,126
FBgn0030108,1,0,126
FBgn0267078,1,0,126
FBgn0266568,1,0,126
FBgn0259822,1,0,126
FBgn0053710,1,0,126
FBgn0035547,1,0,126
FBgn0036608,1,0,126
FBgn0039452,1,0,126
FBgn0031946,1,0,126
FBgn0040279,1,0,126
FBgn0033167,1,0,126
FBgn0004173,1,0,126
FBgn0031016,1,0,126
FBgn0032563,1,0,126
FBgn0265727,1,0,126
FBgn0004781,1,0,126
FBgn0031301,1,0,126
FBgn0265787,1,0,126
FBgn0038159,2,1,263.5
FBgn0283461,1,0,126
FBgn0028836,1,0,126
FBgn0261522,1,0,126
FBgn0086029,1,0,126
FBgn0265725,1,0,126
FBgn0042092,1,0,126
FBgn0265870,1,0,126
FBgn0262534,1,0,126
FBgn0263335,1,0,126
FBgn0266734,1,0,126
FBgn0085306,1,0,126
FBgn0266850,1,0,126
FBgn0262816,1,0,126
FBgn0031103,2,1,263.5
FBgn0030162,1,0,126
FBgn0266810,1,0,126
FBgn0035887,1,0,126
FBgn0028913,1,0,126
FBgn0267100,1,0,126
FBgn0085664,1,0,126
FBgn0034510,1,0,126
FBgn0260969,1,0,126
FBgn0266392,1,0,126
FBgn0000552,1,0,126
FBgn0051730,1,0,126
