gene,degree,betweenness,rank
FBgn0034906,1,0,1713.75
FBgn0015622,1,0,1713.75
FBgn0037727,1,0,1713.75
FBgn0264988,8,71722.9901507937,5090.25
FBgn0265907,2,2566,4013.25
FBgn0259996,3,44249.4823745699,4732.5
FBgn0031969,5,375751.531013258,5090.5
FBgn0038746,4,38444.4211649463,4846.75
FBgn0035024,2,5642.57738095238,4129.25
FBgn0032704,1,0,1713.75
FBgn0051380,5,122901.364218668,5049.5
FBgn0065108,3,179,4283.5
FBgn0033074,2,56238.107900433,4431.75
FBgn0040359,1,0,1713.75
FBgn0037067,4,9539.77792762793,4642.75
FBgn0083973,2,36,3919.25
FBgn0034894,2,2566,4013.25
FBgn0265269,2,12810,4216
FBgn0036880,1,0,1713.75
FBgn0003922,8,136072.028149276,5144.75
FBgn0030081,1,0,1713.75
FBgn0050293,2,4,3797
FBgn0036226,5,37549.1703629702,4912
FBgn0010417,5,181319.577806112,5075.5
FBgn0052220,1,0,1713.75
FBgn0036366,2,35742,4368.5
FBgn0028919,1,0,1713.75
FBgn0051099,1,0,1713.75
FBgn0011966,1,0,1713.75
FBgn0086043,7,78049.4170512493,5081.5
FBgn0263462,2,2566,4013.25
FBgn0031181,1,0,1713.75
FBgn0038097,2,0,2807
FBgn0031114,2,3,3770.5
FBgn0030912,2,5130,4086.75
FBgn0053983,1,0,1713.75
FBgn0035887,8,296908.815133844,5175.75
FBgn0263463,3,127403.553639154,4847
FBgn0030734,2,10252,4181
FBgn0036195,1,0,1713.75
FBgn0043069,1,0,1713.75
FBgn0039873,3,33888.7692852471,4695
FBgn0030224,3,101208.55553754,4830
FBgn0085405,1,0,1713.75
FBgn0262849,1,0,1713.75
FBgn0037037,1,0,1713.75
FBgn0083946,3,5131,4447.25
FBgn0038727,2,5130,4086.75
FBgn0262028,7,190566.033730159,5146.5
FBgn0000567,2,47127.064063714,4408.25
FBgn0036031,1,0,1713.75
FBgn0265419,2,10252,4181
FBgn0082958,2,5130,4086.75
FBgn0259791,1,0,1713.75
FBgn0053341,1,0,1713.75
FBgn0027338,1,0,1713.75
FBgn0034828,1,0,1713.75
FBgn0038610,2,2,3743.5
FBgn0036441,3,23,4228
FBgn0267978,1,0,1713.75
FBgn0034739,2,21778.6031746032,4305.75
FBgn0030643,1,0,1713.75
FBgn0022936,2,7692,4140.25
FBgn0034195,2,1,3700.25
FBgn0039128,2,2566,4013.25
FBgn0053673,1,0,1713.75
FBgn0054052,1,0,1713.75
FBgn0015625,3,20479,4628.5
FBgn0267019,2,33202,4357.5
FBgn0034058,1,0,1713.75
FBgn0036009,1,0,1713.75
FBgn0000355,1,0,1713.75
FBgn0033203,1,0,1713.75
FBgn0052564,1,0,1713.75
FBgn0031054,1,0,1713.75
FBgn0015550,1,0,1713.75
FBgn0267319,1,0,1713.75
