gene,degree,betweenness,rank
FBgn0013987,2,1,748.5
FBgn0265900,4,366.5,877.5
FBgn0034195,1,0,350.5
FBgn0034681,2,1,748.5
FBgn0034907,1,0,350.5
FBgn0264956,1,0,350.5
FBgn0051940,3,17,840.75
FBgn0035192,1,0,350.5
FBgn0035272,1,0,350.5
FBgn0033303,1,0,350.5
FBgn0034901,1,0,350.5
FBgn0260646,1,0,350.5
FBgn0086660,1,0,350.5
FBgn0034186,1,0,350.5
FBgn0030015,1,0,350.5
FBgn0262839,1,0,350.5
FBgn0261090,1,0,350.5
FBgn0267557,1,0,350.5
FBgn0083960,1,0,350.5
FBgn0264984,3,59,855
FBgn0266225,1,0,350.5
FBgn0033524,2,1,748.5
FBgn0010407,1,0,350.5
FBgn0035798,1,0,350.5
FBgn0034084,1,0,350.5
FBgn0266965,1,0,350.5
FBgn0035328,1,0,350.5
FBgn0026141,1,0,350.5
FBgn0033680,1,0,350.5
FBgn0029821,1,0,350.5
FBgn0030537,1,0,350.5
FBgn0003114,1,0,350.5
FBgn0266074,3,13,838.5
FBgn0032276,1,0,350.5
FBgn0053462,1,0,350.5
FBgn0266114,1,0,350.5
FBgn0265847,2,1,748.5
FBgn0264569,1,0,350.5
FBgn0261582,2,2,767.75
FBgn0031410,1,0,350.5
FBgn0028935,3,5,825.25
FBgn0043865,6,53,869.25
FBgn0038694,1,0,350.5
FBgn0266861,1,0,350.5
FBgn0003145,1,0,350.5
FBgn0031135,1,0,350.5
FBgn0053124,1,0,350.5
FBgn0030599,2,40,809.5
FBgn0037498,1,0,350.5
FBgn0265843,1,0,350.5
FBgn0031531,1,0,350.5
FBgn0033278,4,21,855
FBgn0035584,1,0,350.5
FBgn0038000,1,0,350.5
FBgn0051718,5,295,879
FBgn0267275,1,0,350.5
FBgn0029812,2,2,767.75
FBgn0264987,1,0,350.5
FBgn0037857,1,0,350.5
FBgn0053906,1,0,350.5
FBgn0033249,2,1,748.5
FBgn0034650,2,1,748.5
FBgn0250849,1,0,350.5
FBgn0033600,1,0,350.5
FBgn0040001,1,0,350.5
FBgn0261454,2,2,767.75
FBgn0065055,1,0,350.5
FBgn0035875,1,0,350.5
FBgn0033541,1,0,350.5
FBgn0037503,2,2,767.75
FBgn0004554,2,3,775.75
FBgn0040487,2,3,775.75
