gene,degree,betweenness,rank
FBgn0028517,1,0,1652.25
FBgn0032375,5,59774,4817
FBgn0032709,3,6409.17738095238,4288
FBgn0262901,1,0,1652.25
FBgn0036570,2,11938.2734987235,4048
FBgn0035957,2,5351.53303746904,3902
FBgn0013987,4,105,4217.25
FBgn0265900,6,319546.312007364,4997.5
FBgn0261640,1,0,1652.25
FBgn0034195,2,11440,4026
FBgn0036142,1,0,1652.25
FBgn0051334,7,28575,4784
FBgn0034681,4,50473.9498556997,4719.75
FBgn0039507,1,0,1652.25
FBgn0263022,2,4334.25463177177,3900
FBgn0262716,1,0,1652.25
FBgn0034907,5,244856.314402993,4941.5
FBgn0265891,4,118336.540403895,4833.25
FBgn0002031,1,0,1652.25
FBgn0267629,3,56899,4601.5
FBgn0267791,2,58634.2454227145,4283
FBgn0033589,3,18028.3167540062,4425.5
FBgn0031248,1,0,1652.25
FBgn0032452,1,0,1652.25
FBgn0250815,3,90639.1,4667
FBgn0033459,2,18268.8324481075,4102
FBgn0032481,1,0,1652.25
FBgn0030346,1,0,1652.25
FBgn0036741,1,0,1652.25
FBgn0034173,5,99725.5476995225,4884
FBgn0037085,2,15,3725
FBgn0033581,2,20949.0301587302,4122
FBgn0023001,2,28540,4171.75
FBgn0001990,1,0,1652.25
FBgn0265815,1,0,1652.25
FBgn0265731,3,17153,4410
FBgn0050291,1,0,1652.25
FBgn0264956,3,123334.139097014,4703.5
FBgn0051940,13,292682.062217033,5073.25
FBgn0014454,1,0,1652.25
FBgn0038286,2,63864.4810287751,4295
FBgn0035192,2,105185.07731406,4363.5
FBgn0035272,2,110806.552597403,4371
FBgn0013718,3,23923.5645632145,4466.5
FBgn0050366,1,0,1652.25
FBgn0011603,3,31041.2738095239,4509.5
FBgn0033303,1,0,1652.25
FBgn0259741,1,0,1652.25
FBgn0031559,3,34235,4531.5
FBgn0015829,1,0,1652.25
FBgn0066114,1,0,1652.25
FBgn0034901,1,0,1652.25
FBgn0050362,3,28564,4500.5
FBgn0260646,1,0,1652.25
FBgn0032445,1,0,1652.25
FBgn0266819,3,42749,4562.5
FBgn0030737,1,0,1652.25
FBgn0015574,4,38701.4666666667,4681.25
FBgn0267549,2,7728.30952380952,3966
FBgn0267065,1,0,1652.25
FBgn0041236,1,0,1652.25
FBgn0053983,4,67021.4047508046,4757.75
FBgn0039030,3,21037.8836298503,4446.5
FBgn0030941,1,0,1652.25
FBgn0012026,1,0,1652.25
FBgn0036331,1,0,1652.25
FBgn0037025,1,0,1652.25
FBgn0038719,1,0,1652.25
FBgn0264911,1,0,1652.25
FBgn0032590,1,0,1652.25
FBgn0037620,1,0,1652.25
FBgn0019660,1,0,1652.25
FBgn0031457,1,0,1652.25
FBgn0015772,1,0,1652.25
FBgn0265468,6,187229.969111444,4980.5
FBgn0266737,3,44683.1682178932,4569.5
FBgn0267714,2,2863,3831.25
FBgn0065109,1,0,1652.25
FBgn0265533,2,8583,3978.5
FBgn0034366,1,0,1652.25
FBgn0085755,2,2863,3831.25
FBgn0086660,2,25105.4303085803,4147
FBgn0015600,2,2863,3831.25
FBgn0034658,2,2863,3831.25
FBgn0262877,1,0,1652.25
FBgn0038830,1,0,1652.25
FBgn0004584,2,119929.7872225,4377.5
FBgn0038816,2,10,3702.75
FBgn0264485,2,2,3609.75
FBgn0015011,1,0,1652.25
FBgn0017551,3,5,3987.25
FBgn0045470,2,103648.252745719,4360.5
FBgn0034186,1,0,1652.25
FBgn0265823,2,2863,3831.25
FBgn0036848,1,0,1652.25
FBgn0020518,2,2863,3831.25
FBgn0010398,1,0,1652.25
FBgn0030566,2,8583,3978.5
FBgn0266434,1,0,1652.25
FBgn0030462,3,96713.6936018538,4675
FBgn0266320,3,11604.9577922078,4371
FBgn0031786,1,0,1652.25
FBgn0082972,3,35282.3627344877,4536
FBgn0086028,1,0,1652.25
FBgn0283426,3,25709,4476
FBgn0026061,1,0,1652.25
FBgn0085346,1,0,1652.25
FBgn0053127,1,0,1652.25
FBgn0264696,1,0,1652.25
FBgn0032643,1,0,1652.25
FBgn0042198,5,123180.621517372,4907.5
FBgn0266248,1,0,1652.25
FBgn0011836,3,26049.6595238094,4482
FBgn0037760,1,0,1652.25
FBgn0267460,1,0,1652.25
FBgn0266408,1,0,1652.25
FBgn0030775,2,14295,4059
FBgn0037668,2,3,3636
FBgn0031423,1,0,1652.25
FBgn0037406,4,32611.9145743145,4654.75
FBgn0033355,1,0,1652.25
FBgn0054044,2,23905.3551587302,4141.5
FBgn0035161,1,0,1652.25
FBgn0038203,1,0,1652.25
FBgn0263997,1,0,1652.25
FBgn0033337,1,0,1652.25
FBgn0030994,1,0,1652.25
FBgn0031335,1,0,1652.25
FBgn0264471,2,25695,4149.75
FBgn0264672,1,0,1652.25
FBgn0039435,5,113008.951001776,4902.5
FBgn0052642,1,0,1652.25
FBgn0035070,4,19683.2285714286,4561.75
FBgn0032168,1,0,1652.25
FBgn0265885,1,0,1652.25
FBgn0033819,1,0,1652.25
FBgn0040508,1,0,1652.25
FBgn0032919,1,0,1652.25
FBgn0000565,1,0,1652.25
FBgn0266577,1,0,1652.25
FBgn0264085,1,0,1652.25
FBgn0030015,3,37075,4540
FBgn0050359,1,0,1652.25
FBgn0030449,1,0,1652.25
FBgn0014269,1,0,1652.25
FBgn0033788,1,0,1652.25
FBgn0036793,1,0,1652.25
FBgn0262993,2,24860.1150488401,4146
FBgn0085249,1,0,1652.25
FBgn0266708,1,0,1652.25
FBgn0034262,1,0,1652.25
FBgn0042175,2,2863,3831.25
FBgn0038468,2,14295,4059
FBgn0034419,3,14299,4387.75
FBgn0262839,12,147623.768729838,5043.25
FBgn0040253,2,8,3691.25
FBgn0036363,1,0,1652.25
FBgn0039177,2,2863,3831.25
FBgn0002772,2,11,3706.5
FBgn0034205,5,10,4231.25
FBgn0085351,1,0,1652.25
FBgn0265981,2,73788,4314.75
FBgn0003132,1,0,1652.25
FBgn0052376,2,5794.26666666667,3963.5
FBgn0030744,2,6,3677.5
FBgn0041239,5,71957.4995670996,4841
FBgn0259237,2,23696.6405483406,4140.5
