gene,degree,betweenness,rank
FBgn0038452,1,0,682.25
FBgn0031504,2,31,1529.25
FBgn0264943,1,0,682.25
FBgn0028868,1,0,682.25
FBgn0267658,1,0,682.25
FBgn0053855,1,0,682.25
FBgn0265895,2,1,1435.75
FBgn0053348,1,0,682.25
FBgn0259113,1,0,682.25
FBgn0037220,1,0,682.25
FBgn0032700,1,0,682.25
FBgn0039378,3,489,1605
FBgn0266565,2,517,1544.5
FBgn0266009,1,0,682.25
FBgn0051612,1,0,682.25
FBgn0266400,3,375,1603.5
FBgn0265608,2,2,1465.75
FBgn0267574,1,0,682.25
FBgn0030836,1,0,682.25
FBgn0265374,3,9,1581
FBgn0085570,5,550,1629.25
FBgn0041236,1,0,682.25
FBgn0267241,1,0,682.25
FBgn0266722,1,0,682.25
FBgn0040699,1,0,682.25
FBgn0032863,1,0,682.25
FBgn0264492,1,0,682.25
FBgn0030936,2,4,1497.5
FBgn0265099,1,0,682.25
FBgn0266797,1,0,682.25
FBgn0044047,1,0,682.25
FBgn0264617,1,0,682.25
FBgn0037722,2,760,1548
FBgn0265064,2,58,1531.75
FBgn0266641,1,0,682.25
FBgn0264480,6,297,1627
FBgn0267663,3,31,1590.25
FBgn0051008,1,0,682.25
FBgn0259975,2,1,1435.75
FBgn0033952,1,0,682.25
FBgn0266321,1,0,682.25
FBgn0036609,1,0,682.25
FBgn0264957,1,0,682.25
FBgn0250842,4,435,1621.75
FBgn0015576,1,0,682.25
FBgn0034159,1,0,682.25
FBgn0041235,3,11,1583.5
FBgn0038745,1,0,682.25
FBgn0031757,1,0,682.25
FBgn0053497,1,0,682.25
FBgn0036781,1,0,682.25
FBgn0260434,1,0,682.25
FBgn0267137,1,0,682.25
FBgn0267539,2,2,1465.75
FBgn0032366,1,0,682.25
FBgn0038888,1,0,682.25
FBgn0264369,1,0,682.25
FBgn0032442,1,0,682.25
FBgn0083036,1,0,682.25
FBgn0032178,1,0,682.25
FBgn0038090,2,2,1465.75
FBgn0010097,1,0,682.25
FBgn0038431,1,0,682.25
FBgn0034326,1,0,682.25
FBgn0267488,1,0,682.25
FBgn0039246,1,0,682.25
FBgn0013708,1,0,682.25
FBgn0054043,1,0,682.25
FBgn0014076,1,0,682.25
FBgn0036950,1,0,682.25
FBgn0028581,1,0,682.25
FBgn0266990,1,0,682.25
FBgn0039405,1,0,682.25
FBgn0265639,1,0,682.25
FBgn0039778,1,0,682.25
FBgn0052328,3,3,1543.75
FBgn0037120,1,0,682.25
FBgn0039839,1,0,682.25
FBgn0051697,1,0,682.25
FBgn0024993,2,8,1517.25
FBgn0037498,3,5,1566.5
FBgn0266428,1,0,682.25
FBgn0053191,1,0,682.25
FBgn0267222,2,2,1465.75
FBgn0033554,1,0,682.25
FBgn0031585,1,0,682.25
FBgn0052718,2,1,1435.75
FBgn0264676,2,58,1531.75
FBgn0027527,1,0,682.25
FBgn0002734,2,4,1497.5
FBgn0037574,1,0,682.25
FBgn0263201,1,0,682.25
FBgn0266218,1,0,682.25
FBgn0085612,2,1,1435.75
FBgn0267697,2,1,1435.75
FBgn0039958,1,0,682.25
FBgn0085424,1,0,682.25
FBgn0041711,1,0,682.25
FBgn0267120,2,2,1465.75
FBgn0003655,1,0,682.25
FBgn0264947,1,0,682.25
FBgn0030012,1,0,682.25
FBgn0266955,2,2,1465.75
FBgn0004190,1,0,682.25
FBgn0030509,1,0,682.25
FBgn0033350,1,0,682.25
FBgn0028949,2,2,1465.75
FBgn0052329,1,0,682.25
FBgn0053552,1,0,682.25
FBgn0033271,1,0,682.25
FBgn0267564,1,0,682.25
FBgn0052279,1,0,682.25
FBgn0032961,1,0,682.25
FBgn0266564,1,0,682.25
FBgn0265526,1,0,682.25
FBgn0267145,1,0,682.25
FBgn0043471,1,0,682.25
FBgn0033275,1,0,682.25
FBgn0085819,2,60,1533.25
FBgn0031716,1,0,682.25
FBgn0050277,3,3,1543.75
FBgn0265856,2,3,1482.75
FBgn0031111,1,0,682.25
FBgn0260756,1,0,682.25
FBgn0030348,2,168,1537.5
FBgn0038157,2,4,1497.5
FBgn0011274,1,0,682.25
FBgn0038280,1,0,682.25
FBgn0259185,1,0,682.25
FBgn0032061,1,0,682.25
FBgn0037045,1,0,682.25
FBgn0037169,3,3,1543.75
FBgn0266233,2,3,1482.75
FBgn0020378,1,0,682.25
FBgn0036952,1,0,682.25
FBgn0002535,1,0,682.25
FBgn0262102,2,1,1435.75
FBgn0266169,1,0,682.25
FBgn0028668,2,1,1435.75
FBgn0265095,1,0,682.25
FBgn0032965,1,0,682.25
FBgn0034835,1,0,682.25
FBgn0052196,1,0,682.25
FBgn0267607,1,0,682.25
FBgn0030525,1,0,682.25
FBgn0004143,3,0,1132.75
FBgn0052405,1,0,682.25
FBgn0032166,1,0,682.25
FBgn0052546,1,0,682.25
FBgn0033112,1,0,682.25
FBgn0034327,1,0,682.25
FBgn0266046,1,0,682.25
FBgn0032124,1,0,682.25
FBgn0260871,1,0,682.25
FBgn0264843,2,1,1435.75
FBgn0036433,1,0,682.25
FBgn0000227,2,1,1435.75
FBgn0038873,1,0,682.25
FBgn0266762,5,118,1620.25
FBgn0035782,1,0,682.25
FBgn0051244,2,308,1541.5
FBgn0267191,4,171,1617
FBgn0032240,1,0,682.25
FBgn0265683,4,115,1613.5
FBgn0031032,1,0,682.25
FBgn0000071,1,0,682.25
FBgn0030507,1,0,682.25
FBgn0024740,1,0,682.25
FBgn0027376,1,0,682.25
FBgn0053284,1,0,682.25
FBgn0035104,2,1,1435.75
FBgn0034784,1,0,682.25
FBgn0004636,1,0,682.25
FBgn0038458,4,660,1623.75
FBgn0265732,1,0,682.25
FBgn0029642,1,0,682.25
FBgn0262840,1,0,682.25
FBgn0020643,1,0,682.25
FBgn0030599,1,0,682.25
FBgn0038680,1,0,682.25
FBgn0003254,1,0,682.25
FBgn0066304,1,0,682.25
FBgn0036708,2,688,1546
FBgn0050464,2,738,1547.5
