gene,degree,betweenness,rank
FBgn0039636,2,4593.72142857143,3775.25
FBgn0267474,1,0,1543.25
FBgn0032210,1,0,1543.25
FBgn0085479,1,0,1543.25
FBgn0032972,1,0,1543.25
FBgn0038452,2,18,3537.75
FBgn0037100,1,0,1543.25
FBgn0032677,1,0,1543.25
FBgn0035998,1,0,1543.25
FBgn0031504,2,1630,3721.5
FBgn0264943,1,0,1543.25
FBgn0035285,1,0,1543.25
FBgn0263143,2,16,3528.75
FBgn0014022,2,66,3611
FBgn0028868,1,0,1543.25
FBgn0035293,3,25151,4073.5
FBgn0267081,1,0,1543.25
FBgn0032101,1,0,1543.25
FBgn0036837,1,0,1543.25
FBgn0267658,1,0,1543.25
FBgn0053855,1,0,1543.25
FBgn0032598,1,0,1543.25
FBgn0002525,1,0,1543.25
FBgn0013272,1,0,1543.25
FBgn0030738,1,0,1543.25
FBgn0036094,1,0,1543.25
FBgn0265895,6,197,4047.75
FBgn0053348,1,0,1543.25
FBgn0267390,2,816,3694.25
FBgn0016660,1,0,1543.25
FBgn0259113,2,2182.78333333333,3740.75
FBgn0037220,2,9,3482.5
FBgn0259838,2,35,3582.75
FBgn0038272,1,0,1543.25
FBgn0011239,1,0,1543.25
FBgn0032700,1,0,1543.25
FBgn0032644,2,8235.96904761906,3798.25
FBgn0037561,3,5838.82857142857,4022
FBgn0025360,2,8271.05714285714,3798.75
FBgn0034346,1,0,1543.25
FBgn0029733,1,0,1543.25
FBgn0030752,2,26924.1976190476,3838.75
FBgn0000928,1,0,1543.25
FBgn0003890,1,0,1543.25
FBgn0039378,11,96225.3857142856,4283.25
FBgn0266565,5,8663.23571428571,4164.25
FBgn0266009,8,40519,4262.75
FBgn0051612,1,0,1543.25
FBgn0038931,2,1630,3721.5
FBgn0266400,3,6060.56666666667,4022.5
FBgn0038860,1,0,1543.25
FBgn0265608,2,9,3482.5
FBgn0267574,1,0,1543.25
FBgn0051245,1,0,1543.25
FBgn0030836,1,0,1543.25
FBgn0266904,1,0,1543.25
FBgn0038416,1,0,1543.25
FBgn0034565,2,21,3547.75
FBgn0266936,1,0,1543.25
FBgn0265374,3,1631,3967.25
FBgn0085570,9,77235.7,4277.5
FBgn0053082,1,0,1543.25
FBgn0031407,2,18,3537.75
FBgn0265068,1,0,1543.25
FBgn0041236,2,64,3607.25
FBgn0267241,1,0,1543.25
FBgn0266722,1,0,1543.25
FBgn0034237,2,203,3655.75
FBgn0033238,1,0,1543.25
FBgn0036793,1,0,1543.25
FBgn0040699,1,0,1543.25
FBgn0003495,1,0,1543.25
FBgn0032863,1,0,1543.25
FBgn0037773,2,15,3523
FBgn0264492,1,0,1543.25
FBgn0266369,1,0,1543.25
FBgn0029838,1,0,1543.25
FBgn0260987,1,0,1543.25
FBgn0259863,2,1,3299.25
FBgn0030936,2,54,3597.25
FBgn0032535,1,0,1543.25
FBgn0265099,1,0,1543.25
FBgn0266797,1,0,1543.25
FBgn0033005,1,0,1543.25
FBgn0039726,1,0,1543.25
FBgn0263021,1,0,1543.25
FBgn0037818,1,0,1543.25
FBgn0042198,1,0,1543.25
FBgn0044047,1,0,1543.25
FBgn0010772,1,0,1543.25
FBgn0262743,1,0,1543.25
FBgn0039647,1,0,1543.25
FBgn0265301,2,681.5,3675.25
FBgn0036947,1,0,1543.25
FBgn0038953,1,0,1543.25
FBgn0036382,1,0,1543.25
FBgn0265314,1,0,1543.25
FBgn0038195,1,0,1543.25
FBgn0014427,1,0,1543.25
FBgn0264617,1,0,1543.25
FBgn0034649,3,8876,4037.25
FBgn0037667,1,0,1543.25
FBgn0037722,2,22143.0428571429,3833.25
FBgn0265064,3,1631,3967.25
FBgn0027574,2,816,3694.25
FBgn0267294,1,0,1543.25
FBgn0030974,1,0,1543.25
FBgn0266641,3,18758.7880952381,4065.5
FBgn0035673,1,0,1543.25
FBgn0264480,7,62222.8023809526,4261.25
FBgn0267663,4,22119,4154.75
FBgn0024230,2,23694.9428571429,3836.25
FBgn0265878,1,0,1543.25
FBgn0051008,1,0,1543.25
FBgn0259975,2,8,3469.5
FBgn0040319,1,0,1543.25
FBgn0004374,2,14,3515.25
FBgn0025645,2,20,3545
FBgn0050390,1,0,1543.25
FBgn0266396,1,0,1543.25
FBgn0263200,1,0,1543.25
FBgn0033952,2,13041.1666666667,3818.75
FBgn0033159,1,0,1543.25
FBgn0000557,1,0,1543.25
FBgn0266321,1,0,1543.25
FBgn0051730,2,2442,3744.5
FBgn0036609,1,0,1543.25
FBgn0039417,2,1630,3721.5
FBgn0035059,1,0,1543.25
FBgn0030904,3,10464,4042.5
FBgn0026015,2,3,3388.5
FBgn0065095,2,2442,3744.5
FBgn0085351,1,0,1543.25
FBgn0037402,1,0,1543.25
FBgn0026373,1,0,1543.25
FBgn0264957,1,0,1543.25
