gene,degree,betweenness,rank
FBgn0051971,1,0,241.5
FBgn0085759,1,0,241.5
FBgn0267520,1,0,241.5
FBgn0265877,1,0,241.5
FBgn0035213,1,0,241.5
FBgn0030041,1,0,241.5
FBgn0005626,1,0,241.5
FBgn0265496,1,0,241.5
FBgn0267937,1,0,241.5
FBgn0039836,1,0,241.5
FBgn0039315,1,0,241.5
FBgn0267054,1,0,241.5
FBgn0267034,1,0,241.5
FBgn0000061,1,0,241.5
FBgn0040958,2,1,504
FBgn0035254,1,0,241.5
FBgn0266853,1,0,241.5
FBgn0063391,1,0,241.5
FBgn0267326,1,0,241.5
FBgn0003502,1,0,241.5
FBgn0265366,2,1,504
FBgn0262146,1,0,241.5
FBgn0053082,1,0,241.5
FBgn0037151,1,0,241.5
FBgn0001124,1,0,241.5
FBgn0052834,2,1,504
FBgn0001206,1,0,241.5
FBgn0266885,1,0,241.5
FBgn0053318,1,0,241.5
FBgn0035522,1,0,241.5
FBgn0039630,1,0,241.5
FBgn0038003,1,0,241.5
FBgn0041581,1,0,241.5
FBgn0261624,1,0,241.5
FBgn0051226,1,0,241.5
FBgn0030456,1,0,241.5
FBgn0261616,2,1,504
FBgn0053861,2,1,504
FBgn0267515,1,0,241.5
FBgn0264477,1,0,241.5
FBgn0086362,1,0,241.5
FBgn0040973,1,0,241.5
FBgn0266897,1,0,241.5
FBgn0031440,1,0,241.5
FBgn0034627,1,0,241.5
FBgn0039360,1,0,241.5
FBgn0043012,1,0,241.5
FBgn0266248,1,0,241.5
FBgn0085229,1,0,241.5
FBgn0011955,1,0,241.5
FBgn0267090,1,0,241.5
FBgn0034488,1,0,241.5
FBgn0051104,1,0,241.5
FBgn0031277,1,0,241.5
FBgn0051423,1,0,241.5
FBgn0039430,1,0,241.5
FBgn0053813,2,2,514.75
FBgn0085790,1,0,241.5
FBgn0000228,1,0,241.5
FBgn0036568,2,1,504
FBgn0023496,1,0,241.5
FBgn0267150,2,16,523
FBgn0028984,1,0,241.5
FBgn0044812,1,0,241.5
FBgn0265870,1,0,241.5
FBgn0035985,1,0,241.5
FBgn0267627,1,0,241.5
FBgn0051334,1,0,241.5
FBgn0040949,1,0,241.5
FBgn0051952,1,0,241.5
FBgn0267221,1,0,241.5
FBgn0039184,1,0,241.5
FBgn0028537,1,0,241.5
FBgn0263239,1,0,241.5
FBgn0050464,1,0,241.5
FBgn0030570,1,0,241.5
FBgn0002715,1,0,241.5
FBgn0264697,1,0,241.5
FBgn0039180,1,0,241.5
FBgn0263412,1,0,241.5
FBgn0031373,2,1,504
FBgn0036184,1,0,241.5
FBgn0051583,1,0,241.5
FBgn0030940,1,0,241.5
FBgn0267053,1,0,241.5
FBgn0259175,1,0,241.5
FBgn0034095,1,0,241.5
FBgn0263708,1,0,241.5
FBgn0260477,1,0,241.5
FBgn0051454,1,0,241.5
FBgn0010350,1,0,241.5
FBgn0260392,1,0,241.5
FBgn0260401,1,0,241.5
FBgn0003124,1,0,241.5
