gene,degree,betweenness,rank
FBgn0038894,1,0,1510.25
FBgn0263590,1,0,1510.25
FBgn0266645,1,0,1510.25
FBgn0037841,1,0,1510.25
FBgn0262904,1,0,1510.25
FBgn0266446,1,0,1510.25
FBgn0032682,1,0,1510.25
FBgn0039730,1,0,1510.25
FBgn0051971,3,231,3708
FBgn0085759,1,0,1510.25
FBgn0267051,1,0,1510.25
FBgn0034627,3,169,3697.5
FBgn0267520,1,0,1510.25
FBgn0065053,1,0,1510.25
FBgn0000308,2,87,3485.25
FBgn0050404,2,591,3551.5
FBgn0267569,1,0,1510.25
FBgn0032420,2,59,3468.5
FBgn0263215,3,13,3594.75
FBgn0029812,1,0,1510.25
FBgn0265877,5,5268,3923
FBgn0035213,1,0,1510.25
FBgn0035839,1,0,1510.25
FBgn0030041,2,19320,3656.5
FBgn0085758,1,0,1510.25
FBgn0266953,1,0,1510.25
FBgn0264939,1,0,1510.25
FBgn0020309,1,0,1510.25
FBgn0038079,1,0,1510.25
FBgn0000394,2,591,3551.5
FBgn0039625,1,0,1510.25
FBgn0040357,1,0,1510.25
FBgn0266525,1,0,1510.25
FBgn0266364,1,0,1510.25
FBgn0082943,2,325,3524
FBgn0265872,1,0,1510.25
FBgn0005626,1,0,1510.25
FBgn0038466,1,0,1510.25
FBgn0030122,1,0,1510.25
FBgn0031464,1,0,1510.25
FBgn0266435,1,0,1510.25
FBgn0267705,1,0,1510.25
FBgn0263400,2,371,3531
FBgn0004862,1,0,1510.25
FBgn0035022,2,224,3510
FBgn0005694,1,0,1510.25
FBgn0085822,2,591,3551.5
FBgn0267503,1,0,1510.25
FBgn0051636,1,0,1510.25
FBgn0265340,1,0,1510.25
FBgn0265496,1,0,1510.25
FBgn0267937,2,6,3352.75
FBgn0034877,1,0,1510.25
FBgn0266618,2,4095,3622
FBgn0036750,1,0,1510.25
FBgn0038358,1,0,1510.25
FBgn0051025,1,0,1510.25
FBgn0261991,1,0,1510.25
FBgn0039454,1,0,1510.25
FBgn0045486,1,0,1510.25
FBgn0035553,1,0,1510.25
FBgn0262467,1,0,1510.25
FBgn0086041,6,72804,3985
FBgn0033659,1,0,1510.25
FBgn0039112,3,1091,3766.5
FBgn0033918,1,0,1510.25
FBgn0029690,1,0,1510.25
FBgn0069056,1,0,1510.25
FBgn0261020,1,0,1510.25
FBgn0039836,1,0,1510.25
FBgn0016053,1,0,1510.25
FBgn0065048,2,591,3551.5
FBgn0033753,2,116,3494
FBgn0086070,2,1352,3587.5
FBgn0027835,2,230,3511.75
FBgn0260799,1,0,1510.25
FBgn0010435,1,0,1510.25
FBgn0267624,1,0,1510.25
FBgn0052571,3,1769,3785.5
FBgn0033032,1,0,1510.25
FBgn0029508,1,0,1510.25
FBgn0267230,1,0,1510.25
FBgn0036242,1,0,1510.25
FBgn0083963,1,0,1510.25
FBgn0037975,3,20,3612.5
FBgn0037873,1,0,1510.25
FBgn0050385,1,0,1510.25
FBgn0033592,1,0,1510.25
FBgn0037135,1,0,1510.25
FBgn0029836,1,0,1510.25
FBgn0000121,2,1152,3574
FBgn0266689,4,7553,3893.25
FBgn0264330,2,12,3397.25
FBgn0262170,2,3392,3615
FBgn0264738,2,384,3531.5
FBgn0264571,1,0,1510.25
FBgn0085241,1,0,1510.25
FBgn0267170,1,0,1510.25
FBgn0030048,1,0,1510.25
FBgn0267199,2,2935,3610.75
FBgn0028866,1,0,1510.25
FBgn0039424,2,4,3323.75
FBgn0266116,1,0,1510.25
FBgn0000442,2,264,3518.75
FBgn0031950,1,0,1510.25
FBgn0052072,1,0,1510.25
FBgn0034859,2,10,3387.5
FBgn0266641,1,0,1510.25
FBgn0267502,2,4,3323.75
FBgn0038007,1,0,1510.25
FBgn0264792,1,0,1510.25
FBgn0010333,1,0,1510.25
FBgn0259982,1,0,1510.25
FBgn0034011,1,0,1510.25
FBgn0003130,1,0,1510.25
FBgn0083046,1,0,1510.25
FBgn0037003,3,3,3494.25
FBgn0039315,1,0,1510.25
FBgn0265077,2,116,3494
FBgn0052091,2,30,3438
FBgn0037718,1,0,1510.25
FBgn0263234,1,0,1510.25
FBgn0260228,1,0,1510.25
FBgn0265735,1,0,1510.25
FBgn0250839,1,0,1510.25
FBgn0051388,1,0,1510.25
FBgn0267994,2,60,3471
FBgn0002592,3,11,3585.25
FBgn0015037,1,0,1510.25
FBgn0267054,1,0,1510.25
FBgn0267034,3,1181,3776
FBgn0250862,1,0,1510.25
FBgn0033274,1,0,1510.25
FBgn0036263,1,0,1510.25
FBgn0010105,1,0,1510.25
FBgn0040333,3,16964,3847.5
FBgn0270927,1,0,1510.25
FBgn0034025,1,0,1510.25
FBgn0264616,1,0,1510.25
FBgn0002719,1,0,1510.25
FBgn0016650,1,0,1510.25
FBgn0262732,2,11,3391.75
FBgn0025700,1,0,1510.25
FBgn0030769,2,20,3419
FBgn0250815,1,0,1510.25
FBgn0267496,1,0,1510.25
FBgn0034624,1,0,1510.25
FBgn0050472,1,0,1510.25
FBgn0000061,2,37,3448.25
FBgn0053514,1,0,1510.25
FBgn0267326,2,5,3337
FBgn0025638,1,0,1510.25
FBgn0029930,1,0,1510.25
FBgn0033240,2,2935,3610.75
FBgn0027836,1,0,1510.25
FBgn0033968,1,0,1510.25
FBgn0050284,1,0,1510.25
FBgn0041625,1,0,1510.25
FBgn0033579,1,0,1510.25
FBgn0266700,1,0,1510.25
FBgn0261477,2,591,3551.5
FBgn0264702,1,0,1510.25
FBgn0035279,1,0,1510.25
FBgn0038958,1,0,1510.25
FBgn0265918,3,3,3494.25
FBgn0040958,2,2,3268.25
FBgn0265377,2,22,3423.75
FBgn0015278,1,0,1510.25
FBgn0030668,1,0,1510.25
FBgn0036763,1,0,1510.25
FBgn0036772,1,0,1510.25
FBgn0259113,1,0,1510.25
FBgn0267500,1,0,1510.25
FBgn0037017,4,99,3747.75
FBgn0031040,1,0,1510.25
FBgn0028467,1,0,1510.25
FBgn0267200,1,0,1510.25
FBgn0031066,1,0,1510.25
FBgn0035254,2,264,3518.75
FBgn0267709,3,1181,3776
FBgn0032507,1,0,1510.25
FBgn0034540,1,0,1510.25
FBgn0037563,1,0,1510.25
FBgn0029907,1,0,1510.25
FBgn0262518,2,4,3323.75
FBgn0036937,1,0,1510.25
FBgn0265585,2,6,3352.75
FBgn0250907,1,0,1510.25
FBgn0038774,1,0,1510.25
FBgn0060292,5,2358,3899.25
FBgn0033712,1,0,1510.25
FBgn0027496,1,0,1510.25
FBgn0032549,3,51239,3863
FBgn0031564,1,0,1510.25
FBgn0267526,1,0,1510.25
FBgn0033710,2,1,3211.25
FBgn0039450,2,2352,3601
FBgn0039483,1,0,1510.25
FBgn0266853,4,1770,3855
FBgn0037009,1,0,1510.25
FBgn0028430,1,0,1510.25
FBgn0263289,2,1180,3577
FBgn0004893,1,0,1510.25
FBgn0031971,1,0,1510.25
FBgn0036294,2,148,3503.25
FBgn0265611,1,0,1510.25
FBgn0002522,1,0,1510.25
FBgn0032836,1,0,1510.25
FBgn0035110,1,0,1510.25
FBgn0026385,1,0,1510.25
FBgn0039634,1,0,1510.25
FBgn0051851,1,0,1510.25
FBgn0030010,1,0,1510.25
FBgn0063391,3,1769,3785.5
FBgn0011655,1,0,1510.25
FBgn0262485,1,0,1510.25
FBgn0039205,1,0,1510.25
FBgn0264829,1,0,1510.25
FBgn0003502,1,0,1510.25
FBgn0036207,1,0,1510.25
FBgn0265366,2,12,3397.25
FBgn0263208,1,0,1510.25
FBgn0266313,1,0,1510.25
FBgn0266772,2,539,3538
FBgn0085612,3,40755,3861.5
FBgn0032986,1,0,1510.25
FBgn0030638,1,0,1510.25
FBgn0036227,4,36929,3926.25
FBgn0037569,1,0,1510.25
FBgn0028664,1,0,1510.25
FBgn0030586,1,0,1510.25
FBgn0265105,1,0,1510.25
FBgn0036198,1,0,1510.25
FBgn0039639,1,0,1510.25
FBgn0039680,1,0,1510.25
FBgn0086657,1,0,1510.25
FBgn0267750,1,0,1510.25
FBgn0037121,1,0,1510.25
FBgn0031092,1,0,1510.25
FBgn0014417,1,0,1510.25
FBgn0025682,2,30,3438
FBgn0262146,1,0,1510.25
FBgn0033491,1,0,1510.25
FBgn0031574,2,5,3337
FBgn0035383,2,4,3323.75
FBgn0036995,1,0,1510.25
FBgn0053082,1,0,1510.25
FBgn0053144,1,0,1510.25
FBgn0052102,7,4697,3952
FBgn0031873,1,0,1510.25
FBgn0038903,1,0,1510.25
FBgn0013279,2,30972,3664
FBgn0026439,1,0,1510.25
FBgn0051999,1,0,1510.25
FBgn0263248,1,0,1510.25
FBgn0032815,2,360,3530.5
FBgn0037151,1,0,1510.25
FBgn0040341,1,0,1510.25
FBgn0035479,1,0,1510.25
FBgn0001124,1,0,1510.25
FBgn0265524,2,1,3211.25
FBgn0034523,1,0,1510.25
FBgn0051347,2,29,3435.5
FBgn0264269,3,1181,3776
FBgn0267452,2,3460,3616
FBgn0027356,1,0,1510.25
FBgn0038009,2,324,3522.75
FBgn0052834,2,459,3535.5
FBgn0051410,1,0,1510.25
