"gene1","gene2","cor","p.adj","log10padj"
"FBgn0000658","FBgn0001311",0.924704302878866,0.00100785172044411,-2.99660335849551
"FBgn0000658","FBgn0031940",0.966847973460951,8.88400614963368e-05,-4.05139114949873
"FBgn0001311","FBgn0031940",0.955043862144261,0.000219557115606329,-3.65845248332166
"FBgn0000658","FBgn0031942",0.927247431298603,0.000910922635261854,-3.04051850612867
"FBgn0001311","FBgn0031942",0.957048187970124,0.000191773256342129,-3.71721195729496
"FBgn0031940","FBgn0031942",0.965744730813762,9.79257994646811e-05,-4.00910287419233
"FBgn0000658","FBgn0033308",0.96325900228575,0.000120600186500066,-3.91865202058818
"FBgn0001311","FBgn0033308",0.965194312185609,0.00010267959795275,-3.98851584049966
"FBgn0031940","FBgn0033308",0.991565100758514,1.4908303332121e-06,-5.82657177944609
"FBgn0031942","FBgn0033308",0.982831314468007,1.2489414628464e-05,-4.90345791627643
"FBgn0000658","FBgn0033728",0.940235005943761,0.000510044072231652,-3.29239229547061
"FBgn0001311","FBgn0033728",0.957565663360895,0.000184997955973249,-3.73283307005343
"FBgn0031940","FBgn0033728",0.95796666493481,0.000179857602027238,-3.74507120116653
"FBgn0031942","FBgn0033728",0.990607629867673,2.05684362812789e-06,-5.68679872435905
"FBgn0033308","FBgn0033728",0.974940200539513,3.86077323109043e-05,-4.41332570663245
"FBgn0000658","FBgn0034098",-0.905539177663116,0.00196068667160451,-2.70759180340795
"FBgn0031940","FBgn0034098",-0.920930070680376,0.0011637422975764,-2.93414318045196
"FBgn0000658","FBgn0034253",0.954105522090274,0.000233427095898122,-3.63184873305489
"FBgn0001311","FBgn0034253",0.976000452079982,3.39389996243723e-05,-4.46930096296171
"FBgn0031940","FBgn0034253",0.9801813034004,1.91728833012186e-05,-4.71731257112567
"FBgn0031942","FBgn0034253",0.989546603238757,2.83335622590152e-06,-5.54769882003741
"FBgn0033308","FBgn0034253",0.988088259342888,4.18772047903673e-06,-5.37802231420982
"FBgn0033728","FBgn0034253",0.9922491371961,1.15734305462149e-06,-5.9365378902739
"FBgn0000658","FBgn0035398",0.930863330466822,0.000783916060845399,-3.10573043765139
"FBgn0001311","FBgn0035398",0.961769838332389,0.000135713188263832,-3.86737794665196
"FBgn0031940","FBgn0035398",0.967905858130852,8.0668589177242e-05,-4.09329553841958
"FBgn0031942","FBgn0035398",0.934099037248341,0.000680610853495467,-3.16710112962221
"FBgn0033308","FBgn0035398",0.945841623850307,0.000381177488184947,-3.41887275610756
"FBgn0033728","FBgn0035398",0.936326694475424,0.000614947695353422,-3.21116182176182
"FBgn0034253","FBgn0035398",0.960865988929151,0.000145468279288412,-3.83723169830627
"FBgn0001311","FBgn0035548",0.961545393273533,0.000138093956453282,-3.85982532747802
"FBgn0031940","FBgn0035548",0.926614062352759,0.000934465640485147,-3.02943666263404
"FBgn0031942","FBgn0035548",0.950643884240842,0.000289565138046482,-3.53825372584992
"FBgn0033308","FBgn0035548",0.944811959058597,0.000403016993524518,-3.3946766411087
"FBgn0033728","FBgn0035548",0.927424729797072,0.000904402463211441,-3.04363826348979
"FBgn0034253","FBgn0035548",0.938643190916115,0.000551220885585113,-3.25867433550804
"FBgn0035398","FBgn0035548",0.917077038136809,0.00133830668213683,-2.87344435361019
"FBgn0000658","FBgn0035969",0.901651650125922,0.00220619516249458,-2.65635607202028
"FBgn0033702","FBgn0035969",0.91988857500821,0.00120936446697524,-2.91744279579563
"FBgn0034098","FBgn0035969",-0.905573476249194,0.00195860377931366,-2.70805341181631
"FBgn0035918","FBgn0036617",-0.900214271974954,0.00230177588948409,-2.63793696337281
"FBgn0033702","FBgn0036619",-0.913459757225697,0.00151695052217278,-2.8190285842085
"FBgn0035969","FBgn0036619",-0.917693498728437,0.00130930374193783,-2.88295959092426
"FBgn0033728","FBgn0036656",0.920447929949147,0.00118471996324561,-2.92638429335829
"FBgn0001311","FBgn0036832",0.972368829129,5.16528211950897e-05,-4.28690595302143
"FBgn0031940","FBgn0036832",0.973967384422764,4.32489145496551e-05,-4.36402478787572
"FBgn0031942","FBgn0036832",0.967258736540347,8.56052230500135e-05,-4.06749973681118
"FBgn0033308","FBgn0036832",0.973338116046566,4.64394883121093e-05,-4.33311257412837
"FBgn0033728","FBgn0036832",0.948586679320952,0.000326789603414975,-3.48573176869816
"FBgn0034253","FBgn0036832",0.972482932202087,5.10199666772452e-05,-4.29225982937761
"FBgn0035398","FBgn0036832",0.962534884477808,0.000127801929564585,-3.89346258911247
"FBgn0035548","FBgn0036832",0.976699611022806,3.10748469161917e-05,-4.50759100214302
"FBgn0033702","FBgn0037065",-0.908728286252337,0.00177310805529015,-2.75126479717612
"FBgn0000658","FBgn0037419",0.958937091029873,0.000167809727904827,-3.77518286679141
"FBgn0001311","FBgn0037419",0.939225861986427,0.000535904885572935,-3.2709122836959
"FBgn0031940","FBgn0037419",0.96668322710937,9.01598331377756e-05,-4.04498690072648
"FBgn0031942","FBgn0037419",0.978381112986278,2.48525820663322e-05,-4.60462848343346
"FBgn0033308","FBgn0037419",0.977030052834436,2.97788541607843e-05,-4.52609201716888
"FBgn0033728","FBgn0037419",0.98629853182076,6.36455057037364e-06,-5.19623225842007
"FBgn0034098","FBgn0037419",-0.910482039012601,0.00167512406339472,-2.77595302262568
"FBgn0034253","FBgn0037419",0.989082857208093,3.22629615225697e-06,-5.49129576980889
"FBgn0035398","FBgn0037419",0.925242342734553,0.000986809181029158,-3.00576681859479
"FBgn0035969","FBgn0037419",0.905981937788381,0.00193390901920147,-2.71356396116728
"FBgn0036656","FBgn0037419",0.922281397718521,0.0011062422874222,-2.95614974412838
"FBgn0036832","FBgn0037419",0.936935872242654,0.000597745180690939,-3.22348391668901
"FBgn0035969","FBgn0037995",-0.985463276336935,7.59613397496963e-06,-5.11940738410394
"FBgn0036656","FBgn0037995",-0.904729241338663,0.00201029158308779,-2.69674094569302
"FBgn0037419","FBgn0037995",-0.927027187190819,0.000919064831797688,-3.03665385194481
"FBgn0034098","FBgn0038526",0.937357518947657,0.000586025044673012,-3.23208382334903
"FBgn0035398","FBgn0038526",-0.905187866136625,0.00198210407931779,-2.70287354466072
"FBgn0000658","FBgn0038629",0.908561606182029,0.0017826097373323,-2.74894372551485
"FBgn0001311","FBgn0038629",0.987435185531127,4.91254570318017e-06,-5.3086933961999
"FBgn0031940","FBgn0038629",0.959602351101494,0.000159865991789795,-3.79624391367016
"FBgn0031942","FBgn0038629",0.948682218439129,0.000324994922399213,-3.48812342422491
"FBgn0033308","FBgn0038629",0.96759329293423,8.3028826062518e-05,-4.08077110248594
"FBgn0033728","FBgn0038629",0.949588503928146,0.000308291997543687,-3.51103774827941
"FBgn0034253","FBgn0038629",0.969059004651132,7.23452111603319e-05,-4.14059021140708
"FBgn0035398","FBgn0038629",0.951597033082561,0.000273309770366666,-3.56334484272928
"FBgn0035548","FBgn0038629",0.969498927878,6.93261545306413e-05,-4.15910288911957
"FBgn0036832","FBgn0038629",0.981023873805225,1.68407395160084e-05,-4.77363884153768
"FBgn0037419","FBgn0038629",0.931702159007963,0.000756214615306823,-3.12135493331338
"FBgn0000658","FBgn0038820",0.926157085416405,0.000951696582994673,-3.02150148999213
"FBgn0001311","FBgn0038820",0.903275876317287,0.00210133257662152,-2.67750520663212
"FBgn0031940","FBgn0038820",0.93967604043824,0.000524264697984835,-3.28044938506056
"FBgn0031942","FBgn0038820",0.98286429621264,1.24178838120951e-05,-4.90595240794647
"FBgn0033308","FBgn0038820",0.960686211950469,0.000147462134395289,-3.83131948432558
"FBgn0033728","FBgn0038820",0.984735483595679,8.79030333519342e-06,-5.05599613806301
"FBgn0034253","FBgn0038820",0.969626627677926,6.84656725642373e-05,-4.16452712124712
"FBgn0036656","FBgn0038820",0.934890527561942,0.000656780067694654,-3.18258003588493
"FBgn0036832","FBgn0038820",0.913051532233122,0.00153803340394055,-2.81303423216169
"FBgn0037419","FBgn0038820",0.982963657039618,1.22040347295017e-05,-4.91349656513898
"FBgn0000658","FBgn0039028",0.908811170864667,0.00176839545920013,-2.75242060892499
