"gene1","gene2","cor","p.adj","log10padj"
"FBgn0000376","FBgn0002783",0.993003401549197,8.51763694460672e-07,-6.06968087521721
"FBgn0031859","FBgn0032269",0.991194038605663,1.69588979305303e-06,-5.77060237367368
"FBgn0032003","FBgn0032424",0.993460494789345,6.95732329560469e-07,-6.15755781520856
"FBgn0002862","FBgn0032471",0.992405369490869,1.08888730559593e-06,-5.96301706523082
"FBgn0032360","FBgn0032677",0.994481008670459,4.18523409972853e-07,-6.3782802448686
"FBgn0032521","FBgn0032721",0.992192053238763,1.18305203502207e-06,-5.92699615306779
"FBgn0032721","FBgn0032730",-0.990194823943233,2.33941330042589e-06,-5.63089304529733
"FBgn0032554","FBgn0032969",0.993463838428033,6.94667440620994e-07,-6.15822305622859
"FBgn0032314","FBgn0033020",0.992667489015957,9.80182070240739e-07,-6.00869324598451
"FBgn0002909","FBgn0033038",0.991204021967326,1.69014110795623e-06,-5.77207703512096
"FBgn0032464","FBgn0033056",0.991010825565032,1.80371059418028e-06,-5.74383314386352
"FBgn0031888","FBgn0033187",-0.994305557981064,4.59660182770463e-07,-6.33756311459211
"FBgn0032061","FBgn0033238",0.992923663306469,8.8116594673403e-07,-6.05494229480686
"FBgn0032061","FBgn0033279",0.990232532782426,2.31259178288773e-06,-5.63590102182756
"FBgn0032969","FBgn0033490",0.991567569103365,1.48952467542916e-06,-5.82695229787763
"FBgn0031942","FBgn0033728",0.992616865737492,1.0005858436851e-06,-5.99974564581893
"FBgn0032374","FBgn0033819",0.990135358826492,2.38212862502428e-06,-5.62303479212691
"FBgn0032878","FBgn0033819",0.990369921434981,2.21660079561986e-06,-5.6543125152168
"FBgn0000615","FBgn0033863",0.99337482180025,7.23389560197635e-07,-6.14062776317362
"FBgn0032269","FBgn0033868",0.991098207830395,1.75173471014981e-06,-5.75653166451602
"FBgn0032065","FBgn0033888",0.99318827581625,7.86121732623691e-07,-6.10451019732805
"FBgn0000489","FBgn0033998",-0.991663829271096,1.43919810202147e-06,-5.84187942239885
"FBgn0000615","FBgn0034105",0.993414712277817,7.10422703336822e-07,-6.14848316803977
"FBgn0031859","FBgn0034121",0.991608264344873,1.46810801124144e-06,-5.83324199144957
"FBgn0032269","FBgn0034121",0.993891729581599,5.67156683431394e-07,-6.24629694578178
"FBgn0033286","FBgn0034121",0.994176625365512,4.91547475426247e-07,-6.30843453008023
"FBgn0032554","FBgn0034122",0.993807153377283,5.91005676845614e-07,-6.22840834752672
"FBgn0032269","FBgn0034144",0.992315988291238,1.12771108265415e-06,-5.94780215148823
"FBgn0032360","FBgn0034144",0.990297274185316,2.26702092127797e-06,-5.64454447195392
"FBgn0032677","FBgn0034144",0.991300571532397,1.63521275350892e-06,-5.78642573434079
"FBgn0033286","FBgn0034144",0.991534564628705,1.50704577184035e-06,-5.82187355713738
"FBgn0033287","FBgn0034144",0.993401028598227,7.14853156282522e-07,-6.14578316094837
"FBgn0034121","FBgn0034144",0.995714564760429,1.96122723185634e-07,-6.70747208515723
"FBgn0032819","FBgn0034253",-0.992533758436988,1.03469184556895e-06,-5.9851889735846
"FBgn0032869","FBgn0034435",0.99319468212599,7.83909591413277e-07,-6.10573402177271
"FBgn0032554","FBgn0034459",0.993851727427242,5.78355099565116e-07,-6.23780543073432
"FBgn0034122","FBgn0034459",0.994586906165843,3.94922470761534e-07,-6.40348815456405
"FBgn0032677","FBgn0034464",0.990123130903503,2.39097605922963e-06,-5.62142477243986
"FBgn0032520","FBgn0034467",0.993282501930602,7.54001230132934e-07,-6.12262794558976
"FBgn0033020","FBgn0034467",0.990655461775856,2.02565203604125e-06,-5.69343515512872
"FBgn0032588","FBgn0034483",0.992110706756475,1.2203405557396e-06,-5.91351895552245
"FBgn0033195","FBgn0034488",0.996923974585357,7.25950989267892e-08,-7.13909269859604
"FBgn0032869","FBgn0034560",0.991296767005909,1.63735439144105e-06,-5.78585731106466
"FBgn0033819","FBgn0034560",0.993471399720991,6.92263306125195e-07,-6.159728687845
"FBgn0034464","FBgn0034560",0.99048484112024,2.13837409505129e-06,-5.66991631540211
"FBgn0033286","FBgn0034601",0.99282541849689,9.183111971175e-07,-6.0370101202276
"FBgn0032003","FBgn0034651",0.993345299970632,7.33086728796206e-07,-6.13484464253558
"FBgn0034477","FBgn0034816",0.992403939761209,1.08950121650216e-06,-5.96277228049815
"FBgn0032869","FBgn0034824",0.991258502798865,1.65899785835835e-06,-5.78015417461684
"FBgn0033286","FBgn0034824",0.992458116627056,1.06639880351261e-06,-5.97208035086742
"FBgn0034121","FBgn0034824",0.991474107881836,1.53949504627526e-06,-5.81262170421371
"FBgn0034435","FBgn0034824",0.992926091123238,8.80260908342233e-07,-6.05538858437367
"FBgn0033020","FBgn0034825",0.990538979878388,2.1021666546812e-06,-5.67733285712823
"FBgn0032520","FBgn0034827",0.994955968084013,3.19616424004098e-07,-6.49537091186405
"FBgn0034467","FBgn0034827",0.994836317797962,3.42874419726677e-07,-6.46486491437747
"FBgn0034132","FBgn0034840",0.996988505560037,6.81247280910486e-08,-7.16669521812877
"FBgn0034844","FBgn0034882",0.995532875226135,2.22109985572163e-07,-6.65343191609626
"FBgn0033286","FBgn0034907",0.990654576286369,2.02622659358475e-06,-5.69331198896549
"FBgn0034824","FBgn0034907",0.990984318414972,1.81967767015988e-06,-5.74000553425034
"FBgn0032065","FBgn0035007",0.992478664710231,1.05772256859105e-06,-5.97562822902103
"FBgn0032867","FBgn0035007",0.990185034844919,2.34640974362368e-06,-5.62959614658682
"FBgn0034651","FBgn0035007",0.99167874182121,1.43150423684029e-06,-5.84420736225389
"FBgn0034477","FBgn0035022",0.990823188574617,1.91876391513521e-06,-5.71697845760504
"FBgn0035021","FBgn0035022",0.990422598936033,2.18051075510712e-06,-5.66144176687996
"FBgn0035022","FBgn0035047",0.993828539046852,5.84913463288224e-07,-6.23290838211677
"FBgn0033969","FBgn0035124",0.990715875050201,1.98670773535334e-06,-5.70186601726819
"FBgn0033339","FBgn0035162",0.997122663025065,5.94257275631592e-08,-7.22602549239775
"FBgn0032061","FBgn0035196",0.993180726723313,7.88733812018555e-07,-6.10306954112107
"FBgn0033279","FBgn0035196",0.993690864861303,6.24873646972905e-07,-6.20420779060797
"FBgn0002909","FBgn0035245",0.990404691845109,2.19273494521432e-06,-5.65901386206977
"FBgn0032781","FBgn0035293",0.992522475646654,1.03938091765167e-06,-5.9832252608003
"FBgn0034129","FBgn0035299",0.996537837158192,1.03479446974889e-07,-6.98514590094888
"FBgn0032755","FBgn0035384",0.990125750606649,2.38907875392783e-06,-5.62176953386982
"FBgn0033667","FBgn0035545",0.991555675697565,1.49582282525688e-06,-5.8251198440184
"FBgn0033308","FBgn0035553",0.995043791699845,3.03230525517772e-07,-6.51822708141523
"FBgn0032276","FBgn0035568",0.99343572534251,7.03654809480768e-07,-6.15264033958414
"FBgn0032003","FBgn0035598",0.990470062491334,2.14832944165137e-06,-5.66789911975058
"FBgn0035007","FBgn0035598",0.994197659824676,4.86247861252681e-07,-6.3131422958939
"FBgn0035491","FBgn0035598",0.991725391856918,1.40761276034165e-06,-5.8515168048371
"FBgn0032065","FBgn0035709",0.992119895485552,1.21608989999093e-06,-5.91503431846229
"FBgn0032769","FBgn0035730",0.996333109332236,1.22924582646584e-07,-6.91036125755148
"FBgn0000100","FBgn0035753",0.990394820362844,2.19949311085193e-06,-5.65767739396158
"FBgn0033056","FBgn0035776",0.993539382943185,6.7089610019707e-07,-6.17334473259546
"FBgn0034435","FBgn0035776",0.99008170641337,2.42111084298638e-06,-5.6159853272888
"FBgn0034560","FBgn0035776",0.995176685042053,2.79514596793066e-07,-6.5535955074872
"FBgn0033819","FBgn0035800",0.992585518637666,1.01336092118813e-06,-5.99423584766682
"FBgn0032065","FBgn0035823",0.991034866803475,1.78930974232817e-06,-5.74731447344038
"FBgn0032867","FBgn0035823",0.991141605792216,1.7262956343199e-06,-5.76288482776372
"FBgn0035007","FBgn0035823",0.996371560699489,1.19101432769103e-07,-6.92408301400024
"FBgn0035598","FBgn0035823",0.993342178206072,7.34117177774164e-07,-6.13423461365468
"FBgn0001301","FBgn0035844",0.992733923678787,9.53828176990168e-07,-6.02052985224122
"FBgn0031954","FBgn0035915",0.991695385513889,1.42294958741622e-06,-5.84681048592751
"FBgn0034435","FBgn0035915",0.991271883315539,1.651407905733e-06,-5.78214564065085
"FBgn0034957","FBgn0035952",0.992810436322662,9.2406574348783e-07,-6.03429712940946
"FBgn0035004","FBgn0035971",0.990723256255415,1.98198400226937e-06,-5.70289985527666
"FBgn0032869","FBgn0035988",0.993393617975086,7.17260199310567e-07,-6.14432326744891
"FBgn0034560","FBgn0035988",0.994505494200302,4.12985229261201e-07,-6.38406548094667
"FBgn0035971","FBgn0035988",0.9903839289802,2.20696557287069e-06,-5.65620444147763
"FBgn0034477","FBgn0036014",0.992281417549594,1.14297083004916e-06,-5.94196485316582
"FBgn0034816","FBgn0036014",0.994598676891196,3.92355272641213e-07,-6.40632050677694
"FBgn0035786","FBgn0036014",0.991909273525394,1.31602309202831e-06,-5.88073649016547
"FBgn0032402","FBgn0036022",-0.992989553441526,8.56822383249782e-07,-6.06710919671064
"FBgn0034010","FBgn0036058",-0.990655577735903,2.02557680238303e-06,-5.6934512853272
"FBgn0034483","FBgn0036075",0.990819482765299,1.92108402149798e-06,-5.7164536402008
"FBgn0032269","FBgn0036082",0.992333953600957,1.11983488531424e-06,-5.95084600740409
"FBgn0002862","FBgn0036125",0.992700516547575,9.67020671470615e-07,-6.01456424214278
"FBgn0033705","FBgn0036156",0.994227379802649,4.78824978343586e-07,-6.31982320230524
"FBgn0035161","FBgn0036159",0.995800086145317,1.84625698116274e-07,-6.73370784950005
"FBgn0036125","FBgn0036160",0.990401336668193,2.19503039841205e-06,-5.65855946094751
"FBgn0034840","FBgn0036162",0.990864516081477,1.89301605293762e-06,-5.72284570316633
"FBgn0036169","FBgn0036170",1,2.2250738585072e-308,-307.652655568589
"FBgn0002862","FBgn0036217",0.992889218765395,8.94072928715404e-07,-6.04862705475343
"FBgn0032471","FBgn0036217",0.991535642307331,1.50647151023366e-06,-5.82203907711064
"FBgn0032111","FBgn0036222",0.994736253836473,3.63168965816442e-07,-6.43989127069755
"FBgn0033285","FBgn0036311",0.991011374640371,1.80338083745523e-06,-5.74391254940628
"FBgn0034105","FBgn0036311",0.990699797613272,1.99702268105901e-06,-5.69961700262913
"FBgn0033819","FBgn0036329",0.993099885107127,8.17069023392024e-07,-6.08774125410151
"FBgn0034560","FBgn0036329",0.991729986124774,1.40527429345353e-06,-5.85223889817406
"FBgn0031878","FBgn0036482",0.995672143169145,2.01998397128272e-07,-6.69465207669748
"FBgn0032664","FBgn0036497",0.990389529090742,2.20312129133171e-06,-5.65696159240619
"FBgn0034826","FBgn0036497",0.990019938941007,2.46651181455787e-06,-5.60791679993223
"FBgn0034975","FBgn0036567",-0.990397845487955,2.19742059465064e-06,-5.65808680950931
"FBgn0034641","FBgn0036568",-0.991965060155159,1.2890419878803e-06,-5.88973293617047
"FBgn0035047","FBgn0036608",0.992757565124685,9.44564888857786e-07,-6.02476820195085
"FBgn0035709","FBgn0036609",0.992466101504993,1.06302166063761e-06,-5.97345788599454
"FBgn0034246","FBgn0036624",0.990330340381685,2.24397812136006e-06,-5.64898138173803
"FBgn0034129","FBgn0036652",0.995879771686404,1.74325469051311e-07,-6.75863915758083
"FBgn0035299","FBgn0036652",0.991196034162022,1.6947396602104e-06,-5.77089700708795
"FBgn0033371","FBgn0036703",0.995948766660153,1.65722423340914e-07,-6.78061872468649
"FBgn0033542","FBgn0036757",-0.995533889163865,2.21958946907144e-07,-6.65372734438004
"FBgn0033888","FBgn0036895",0.990727520684229,1.97925831318229e-06,-5.70349752228234
"FBgn0032755","FBgn0036905",0.992069170582656,1.2396783229555e-06,-5.90669099281287
"FBgn0033287","FBgn0036905",0.993634037048765,6.41883909229063e-07,-6.19254351109032
"FBgn0033981","FBgn0036985",-0.991711339815515,1.41478126769658e-06,-5.84931069906217
"FBgn0034974","FBgn0036985",0.991002955123501,1.80844173309639e-06,-5.74269547938363
"FBgn0034467","FBgn0037040",0.99195402225158,1.29435096218066e-06,-5.88794794911388
"FBgn0034827","FBgn0037040",0.991933364035688,1.30432613510642e-06,-5.8846138035674
"FBgn0035568","FBgn0037040",0.994846760801507,3.40801015865525e-07,-6.46749911935095
"FBgn0032677","FBgn0037101",0.992800061807721,9.2806455001373e-07,-6.03242181608736
"FBgn0036329","FBgn0037101",0.992943885796307,8.73646309255971e-07,-6.05866435343823
"FBgn0034464","FBgn0037147",0.991750996761951,1.39461288344419e-06,-5.85554632709691
