"gene1","gene2","cor","p.adj","log10padj"
"FBgn0000063","FBgn0000092",0.956503471919061,0.000199079803040909,-3.70097279759593
"FBgn0000092","FBgn0000120",0.963851392664368,0.000114911977374131,-3.93963470206546
"FBgn0000092","FBgn0000337",-0.963134254196039,0.00012182125035833,-3.91427694726658
"FBgn0000120","FBgn0000337",-0.951297375677684,0.000278353707012136,-3.5554029905446
"FBgn0000182","FBgn0000358",0.961415611229912,0.000139483094741558,-3.85547842540367
"FBgn0000359","FBgn0000360",0.986369383851308,6.26665916432443e-06,-5.20296392538595
"FBgn0000360","FBgn0000414",-0.970384963291583,6.35009594419677e-05,-4.19721971286229
"FBgn0000299","FBgn0000422",-0.96608484374032,9.50623523846854e-05,-4.02199144298627
"FBgn0000299","FBgn0000592",0.973653595192332,4.48211221247125e-05,-4.34851727483196
"FBgn0000404","FBgn0001086",0.960872974731788,0.000145391162993158,-3.83746198948757
"FBgn0000359","FBgn0001233",0.951011270416567,0.000283226340447015,-3.54786635910788
"FBgn0000360","FBgn0001233",0.973496013583943,4.56247437687541e-05,-4.34079956155199
"FBgn0000504","FBgn0001235",0.954171178809657,0.000232438336836129,-3.63369224072542
"FBgn0000536","FBgn0001235",0.990478550648531,2.14260779456596e-06,-5.66905731950627
"FBgn0000063","FBgn0001281",0.972588781159225,5.04375010656911e-05,-4.29724643875767
"FBgn0000414","FBgn0001989",-0.96835884904742,7.73273605978666e-05,-4.11166681327138
"FBgn0000360","FBgn0002525",-0.950094802709513,0.000299211773219443,-3.52402132209219
"FBgn0001233","FBgn0002525",-0.959173992577283,0.000164951781793537,-3.7826429888854
"FBgn0000299","FBgn0002526",0.995255640915333,2.66027199921635e-07,-6.57507395670744
"FBgn0000422","FBgn0002526",-0.977763401126806,2.70317305702409e-05,-4.56812614989699
"FBgn0000592","FBgn0002526",0.954110166643685,0.00023335706024136,-3.63197905495676
"FBgn0000451","FBgn0002579",0.956330505931751,0.000201437672818647,-3.69585930455084
"FBgn0000536","FBgn0002645",0.965330229825893,0.000101491857654053,-3.99356879831982
"FBgn0000351","FBgn0002868",0.974091104143602,4.26392129693771e-05,-4.37019082007462
"FBgn0000535","FBgn0002924",-0.969269172868473,7.0892272510026e-05,-4.14940110175848
"FBgn0001235","FBgn0002948",-0.952081840388047,0.00026527737591101,-3.5762997870926
"FBgn0000404","FBgn0002962",0.951467273636994,0.000275486474286585,-3.5598997190877
"FBgn0001086","FBgn0002962",0.955213525772562,0.000217108736793825,-3.66332269950734
"FBgn0000351","FBgn0003053",-0.964189003014532,0.000111750941533831,-3.95174880912466
"FBgn0000359","FBgn0031850",0.968213578598473,7.83886942874011e-05,-4.10574656949228
"FBgn0000360","FBgn0031850",0.984192270285514,9.75855050275672e-06,-5.0106146859608
"FBgn0000414","FBgn0031850",-0.963046795101439,0.00012268217043315,-3.91121854929534
"FBgn0001233","FBgn0031850",0.96534136117752,0.000101394988572511,-3.99398350939212
"FBgn0000351","FBgn0031886",0.984781038380844,8.71213697916211e-06,-5.05987530487458
"FBgn0000711","FBgn0031886",-0.957398957582241,0.000187163103232238,-3.7277797626599
"FBgn0001624","FBgn0031886",-0.955055587864766,0.000219387322077673,-3.65878847298188
"FBgn0002868","FBgn0031886",0.969440969984603,6.97190416263584e-05,-4.15664859143073
"FBgn0000359","FBgn0031940",0.968488182735308,7.63904931814135e-05,-4.11696068613314
"FBgn0000360","FBgn0031940",0.976638584165078,3.13182093478963e-05,-4.50420307715558
"FBgn0002924","FBgn0031948",-0.979976324350678,1.97708951177645e-05,-4.70397366776749
"FBgn0000063","FBgn0031972",0.972756390546926,4.95242125563852e-05,-4.3051824210925
"FBgn0001281","FBgn0031972",0.982435901796094,1.33683846876638e-05,-4.87392106570848
"FBgn0000351","FBgn0031977",0.95327087273536,0.000246238887254529,-3.60864336007071
"FBgn0001086","FBgn0031977",0.95253066666243,0.000257981100700836,-3.58841210861808
"FBgn0001281","FBgn0031977",0.958548689875541,0.000172565676867897,-3.7630455807483
"FBgn0002868","FBgn0031977",0.969324247334857,7.05147491615191e-05,-4.15172003464668
"FBgn0031886","FBgn0031977",0.980397342785888,1.85557219082791e-05,-4.73152214480842
"FBgn0031972","FBgn0031977",0.959426186169641,0.00016194483722311,-3.79063289267544
"FBgn0002525","FBgn0031979",-0.962829359179814,0.00012483992881517,-3.90364648764518
"FBgn0031886","FBgn0031979",0.97181737050829,5.47847044306982e-05,-4.26134067707351
"FBgn0031977","FBgn0031979",0.98332932916912,1.14380859103321e-05,-4.94164664583419
"FBgn0000360","FBgn0031980",0.953231509473863,0.000246854276165663,-3.60755934525601
"FBgn0002525","FBgn0031980",-0.964156217976289,0.000112055356939184,-3.95056737667005
"FBgn0031979","FBgn0031980",0.957409122725589,0.000187030604244597,-3.72808732305145
"FBgn0031948","FBgn0031986",-0.961766747054218,0.000135745793110828,-3.86727362072301
