"gene1","gene2","cor","p.adj","log10padj"
"FBgn0000276","FBgn0000277",0.990259986207322,2.29319390987506e-06,-5.63955922026871
"FBgn0001281","FBgn0002868",0.960078107921708,0.000154339942675799,-3.81152166538961
"FBgn0001281","FBgn0031886",0.988636690954453,3.63702108156212e-06,-5.43925418160144
"FBgn0002868","FBgn0031886",0.97937479872091,2.15969379690463e-05,-4.66560781909971
"FBgn0002868","FBgn0031979",0.962408260337349,0.00012908972134389,-3.88910833667506
"FBgn0031886","FBgn0031979",0.969913806746152,6.65564423125492e-05,-4.17680990073961
"FBgn0001281","FBgn0032057",0.951427721230151,0.000276152224313179,-3.5588514543304
"FBgn0002868","FBgn0032057",0.968263192836803,7.80251408856523e-05,-4.10776543848056
"FBgn0031979","FBgn0032057",0.950630485937744,0.000289798056503929,-3.53790453139918
"FBgn0002868","FBgn0032483",0.972819855983891,4.9181273765711e-05,-4.30820022748311
"FBgn0031886","FBgn0032483",0.962165478758014,0.000131582757355014,-3.88080101707609
"FBgn0031886","FBgn0032602",0.950258960056204,0.000296305932717064,-3.52825965287199
"FBgn0031979","FBgn0032602",0.971288320818655,5.79050596478654e-05,-4.23728348668459
"FBgn0001281","FBgn0032789",0.962116124875837,0.000132093410263849,-3.87911884746823
"FBgn0002868","FBgn0032789",0.961030591746657,0.000143658392059146,-3.84266899885043
"FBgn0031886","FBgn0032789",0.983178456614672,1.17501176082364e-05,-4.92995778646863
"FBgn0001281","FBgn0032805",0.965822622166792,9.72650621555639e-05,-4.01204313134385
"FBgn0002868","FBgn0032805",0.958220347982576,0.000176654849125331,-3.75287443680559
"FBgn0031886","FBgn0032805",0.964649816473292,0.00010752983036904,-3.9684710393063
"FBgn0032057","FBgn0032805",0.980790026851924,1.74679552792997e-05,-4.75775792861114
"FBgn0032789","FBgn0032805",0.959713382557801,0.000158564846518369,-3.79979308848937
"FBgn0001281","FBgn0033190",0.977542359593126,2.78412397519246e-05,-4.5553114297859
"FBgn0002868","FBgn0033190",0.964502020817157,0.000108871972014702,-3.96308391056608
"FBgn0031886","FBgn0033190",0.975370063052516,3.66667706666509e-05,-4.43572733774629
"FBgn0031979","FBgn0033190",0.969969595556594,6.61896805645157e-05,-4.17920971483872
"FBgn0032057","FBgn0033190",0.975921203297688,3.42742659434914e-05,-4.46503183778148
"FBgn0032789","FBgn0033190",0.962704239726793,0.00012609285253886,-3.89930953032547
"FBgn0032805","FBgn0033190",0.987450419829686,4.89475477930149e-06,-5.31026906089126
"FBgn0001281","FBgn0033340",0.95183857780469,0.000269288088684752,-3.56978285614248
"FBgn0002868","FBgn0033340",0.971380676274007,5.73520866675878e-05,-4.24145077633755
"FBgn0031886","FBgn0033340",0.973924874638996,4.34597314147981e-05,-4.36191296198769
"FBgn0032483","FBgn0033340",0.976882123529116,3.03545106001906e-05,-4.51777676477917
"FBgn0032789","FBgn0033340",0.959494660576965,0.000161134695389234,-3.79281093758352
"FBgn0002868","FBgn0033341",0.962496219079835,0.000128194260226359,-3.89213141949602
"FBgn0031886","FBgn0033341",0.961690336601435,0.000136553366535557,-3.86469758845876
"FBgn0031979","FBgn0033341",0.964690789867705,0.000107159693417128,-3.96996853757447
"FBgn0032483","FBgn0033341",0.975870029156972,3.44919226473989e-05,-4.4622825965319
