"gene1","gene2","cor","p.adj","log10padj"
"FBgn0000044","FBgn0000253",0.905751106056636,0.00194783962909645,-2.71044680262452
"FBgn0000075","FBgn0000253",-0.904188398045283,0.00204386519204477,-2.68954775251082
"FBgn0000121","FBgn0000253",-0.908447209162642,0.00178915011320311,-2.74735321974522
"FBgn0000253","FBgn0000256",0.906660574393556,0.00189332880055597,-2.72277395874239
"FBgn0000075","FBgn0000337",0.913201086319955,0.00153028765388975,-2.81522692555179
"FBgn0000044","FBgn0000370",-0.900749585079494,0.00226587201068197,-2.64476462519831
"FBgn0000075","FBgn0000370",0.951319401393915,0.000277980893677784,-3.5559850532023
"FBgn0000253","FBgn0000370",-0.907556430215251,0.0018406125097036,-2.73503763062154
"FBgn0000337","FBgn0000370",0.938999800459966,0.00054181350590972,-3.26615017340961
"FBgn0000075","FBgn0000416",0.90889376313568,0.00176370759234535,-2.75357341555188
"FBgn0000157","FBgn0000416",0.924086627966755,0.00103236760750993,-2.98616563072677
"FBgn0000075","FBgn0000422",-0.91213462921722,0.00158608023219187,-2.79967484758785
"FBgn0000157","FBgn0000422",-0.963707664212779,0.000116275424196452,-3.93451206741875
"FBgn0000121","FBgn0000479",-0.911800804973432,0.00160381251342431,-2.79484640235132
"FBgn0000253","FBgn0000479",0.916199240917798,0.00138032259892683,-2.86001940159833
"FBgn0000337","FBgn0000479",-0.910865816041588,0.00165416313925577,-2.78142166105633
"FBgn0000044","FBgn0000592",-0.907207991334736,0.00186100135224584,-2.73025331130089
"FBgn0000075","FBgn0000592",0.954418346172786,0.000228740860247183,-3.64065624993262
"FBgn0000370","FBgn0000592",0.915668472209297,0.00140613991241312,-2.85197146440448
"FBgn0000422","FBgn0000592",-0.902983992755455,0.0021199331888531,-2.67367782594372
"FBgn0000075","FBgn0001208",0.928509149107551,0.000865186001931644,-3.06289051573898
"FBgn0000416","FBgn0001208",0.901360148565348,0.00222536675549631,-2.65259840411571
"FBgn0000592","FBgn0001208",0.988270074614252,3.99942183537078e-06,-5.39800278663617
"FBgn0001150","FBgn0001218",0.906959876409305,0.0018756088428074,-2.72685772838925
"FBgn0001218","FBgn0001227",0.95342304860631,0.000243869336130284,-3.61284280397745
"FBgn0000253","FBgn0001229",0.922756990833123,0.00108645585017308,-2.96398791721809
"FBgn0000337","FBgn0001229",-0.944795244248008,0.000403378133625627,-3.39428764777699
"FBgn0000370","FBgn0001229",-0.956336000404938,0.000201362490678993,-3.6960214255812
"FBgn0001227","FBgn0001229",0.969178064684258,7.15197297554337e-05,-4.14557413523487
"FBgn0001218","FBgn0001233",0.941070627896767,0.000489260828490791,-3.3104595536071
"FBgn0001227","FBgn0001233",0.9479805435853,0.000338327757713849,-3.47066236955633
"FBgn0000146","FBgn0001234",0.96600411966829,9.57368989427816e-05,-4.01892064405534
"FBgn0000253","FBgn0001259",0.936901054855504,0.000598719776774537,-3.22277639610152
"FBgn0001227","FBgn0001259",0.94606985371123,0.00037644445666571,-3.42429909368129
"FBgn0001229","FBgn0001259",0.932193658631149,0.000740285199068498,-3.13060093362082
"FBgn0000075","FBgn0001263",0.931077064326559,0.000776795744268427,-3.10969316240721
"FBgn0000337","FBgn0001263",0.958211059551948,0.00017677144705987,-3.75258788290762
"FBgn0000370","FBgn0001263",0.90827507362351,0.00179902091409472,-2.7449637878367
"FBgn0001229","FBgn0001263",-0.913395014960803,0.00152028151892366,-2.818075983901
"FBgn0001150","FBgn0001311",0.950708783074661,0.000288438668763272,-3.53994651751445
"FBgn0001259","FBgn0001311",0.901462726904881,0.00221860806998796,-2.65391941163694
"FBgn0000337","FBgn0002023",-0.973211967592318,4.70972874237126e-05,-4.32700410541543
"FBgn0001263","FBgn0002023",-0.962063015876066,0.000132644375922816,-3.8773111592321
"FBgn0001218","FBgn0002936",-0.932065708739585,0.00074441067062216,-3.12818741017976
"FBgn0001227","FBgn0002936",-0.942057501935742,0.00046544116993743,-3.33213520444883
"FBgn0001259","FBgn0002936",-0.961106360797949,0.000142830294378237,-3.84517966870877
"FBgn0001227","FBgn0002939",0.951630549919103,0.00027274937407716,-3.56423623738544
"FBgn0001229","FBgn0002939",0.931187999807994,0.000773116791466206,-3.11175489410503
"FBgn0001233","FBgn0002939",0.914141462681575,0.00148216474866082,-2.82910352006948
"FBgn0000075","FBgn0003042",-0.924812650822997,0.00100359093515369,-2.99844327006619
"FBgn0000253","FBgn0003042",0.96950361661385,6.92944345424306e-05,-4.15930164481926
"FBgn0000256","FBgn0003042",0.940472760423037,0.000504072939538159,-3.29750661643747
"FBgn0000256","FBgn0031850",0.907762201660933,0.00182864029941062,-2.73787171351989
"FBgn0001227","FBgn0031850",0.95491252662547,0.000221464830183503,-3.65469523228503
"FBgn0001229","FBgn0031850",0.946028513226632,0.000377298894602334,-3.42331446717857
"FBgn0001233","FBgn0031850",0.927762892130958,0.00089205125047008,-3.04961019365419
"FBgn0002939","FBgn0031850",0.956473564895829,0.000199486187251705,-3.70008717019299
"FBgn0001218","FBgn0031865",-0.900278182123642,0.00229747013233573,-2.63875012583787
"FBgn0001227","FBgn0031865",-0.906477792655871,0.0019042035588244,-2.72028662751205
"FBgn0002936","FBgn0031865",0.907918948306376,0.00181955449702374,-2.74003493243705
"FBgn0000075","FBgn0031914",0.971637360926701,5.58335814176863e-05,-4.25310451364961
"FBgn0000157","FBgn0031914",0.933333449289898,0.000704193919038021,-3.15230772953513
"FBgn0000337","FBgn0031914",0.943253545117659,0.000437609657405215,-3.35891310232473
"FBgn0000370","FBgn0031914",0.945265060500234,0.00039330804256181,-3.4052671728262
"FBgn0000416","FBgn0031914",0.930903526118011,0.000782573738442364,-3.10647473021624
"FBgn0000422","FBgn0031914",-0.916737536523988,0.00135445665161155,-2.86823488968371
"FBgn0000592","FBgn0031914",0.920731662164801,0.00117234533488173,-2.93094444041503
"FBgn0001263","FBgn0031914",0.959722376253519,0.000158459758978742,-3.8000810089817
"FBgn0002023","FBgn0031914",-0.921900365858687,0.00112226321673374,-2.94990527127206
"FBgn0000121","FBgn0031925",0.923733092216024,0.00104657326943257,-2.98023036178648
"FBgn0000253","FBgn0031925",-0.936686065870101,0.000604760753559827,-3.21841640048544
"FBgn0000370","FBgn0031925",0.902940252099502,0.0021227297829426,-2.67310528668469
"FBgn0001218","FBgn0031925",-0.906658281351291,0.00189346497653283,-2.72274272362433
"FBgn0001227","FBgn0031925",-0.970277729604993,6.41880392113434e-05,-4.19254589075442
"FBgn0001229","FBgn0031925",-0.964599172341826,0.000107988494616383,-3.96662251294629
"FBgn0001259","FBgn0031925",-0.972317226609496,5.19407243740311e-05,-4.28449199792099
"FBgn0001311","FBgn0031925",-0.906843196558566,0.0018825039138811,-2.72526411219223
"FBgn0002936","FBgn0031925",0.942989211865429,0.000443663787470736,-3.35294601762882
"FBgn0002939","FBgn0031925",-0.905276445504256,0.00197668966256267,-2.70406150894428
"FBgn0031865","FBgn0031925",0.930005393463171,0.000812926948310998,-3.08994847946235
"FBgn0001150","FBgn0031940",0.925476966321394,0.000977723776682204,-3.00978382333793
"FBgn0001218","FBgn0031940",0.964294798662924,0.00011077233488647,-3.95556869002597
"FBgn0001218","FBgn0031942",0.937576267988751,0.000580004491381427,-3.23656864337738
"FBgn0031940","FBgn0031942",0.983724775150826,1.06464463194821e-05,-4.97279533132264
"FBgn0000157","FBgn0031948",0.907969617283466,0.00181662376354434,-2.7407350090353
"FBgn0000337","FBgn0031948",0.908690910738486,0.00177523579450811,-2.75074395390323
"FBgn0001263","FBgn0031948",0.928780789477146,0.00085553994535896,-3.06775970833916
"FBgn0002023","FBgn0031948",-0.958313523930473,0.00017548801376211,-3.7557525415044
"FBgn0031914","FBgn0031948",0.931883590957823,0.000750308582320217,-3.1247600858929
"FBgn0000075","FBgn0031970",0.973226777169332,4.70197455698901e-05,-4.32771972523004
"FBgn0000337","FBgn0031970",0.907454677696281,0.00184655145616947,-2.73363858575517
"FBgn0000370","FBgn0031970",0.962273278157794,0.000130471918136107,-3.88448295277708
"FBgn0000416","FBgn0031970",0.91497505227004,0.00144033995991467,-2.84153499034241
"FBgn0000592","FBgn0031970",0.965234672783158,0.000102325946448869,-3.99001422972085
"FBgn0001208","FBgn0031970",0.953291448013041,0.000245917624335533,-3.60921034528574
"FBgn0001263","FBgn0031970",0.931024553433948,0.000778541150184909,-3.10871842763545
"FBgn0031914","FBgn0031970",0.971650047693241,5.57592267747426e-05,-4.2536832573238
"FBgn0000337","FBgn0031999",0.907963434528742,0.00181698121446868,-2.74064956278265
"FBgn0001263","FBgn0031999",0.924254626999124,0.00102566150344554,-2.98899594472253
"FBgn0002023","FBgn0031999",-0.973473494133035,4.57403597770265e-05,-4.33970042371347
"FBgn0031948","FBgn0031999",0.936380229197258,0.000613423096142429,-3.21223987631836
"FBgn0000157","FBgn0032083",0.955778299802607,0.000209088357401953,-3.67967014918548
"FBgn0000422","FBgn0032083",-0.973064608555459,4.78734657275928e-05,-4.31990513128374
"FBgn0031914","FBgn0032083",0.907263671072339,0.00185773345966819,-2.73101659674663
"FBgn0000337","FBgn0032084",0.901970002852216,0.0021853803746809,-2.66047296132618
"FBgn0001263","FBgn0032084",0.928973551391014,0.000848737737053072,-3.07122648754933
"FBgn0002023","FBgn0032084",-0.946883637155246,0.000359882904351671,-3.44383878330562
"FBgn0031948","FBgn0032084",0.930304039132194,0.000802750025607269,-3.09541967190771
"FBgn0031999","FBgn0032084",0.920995626872468,0.00116090884792292,-2.93520187879561
"FBgn0002939","FBgn0032109",0.910730596467749,0.00166152890203378,-2.7794920998354
"FBgn0031850","FBgn0032109",0.942971883488872,0.000444062575524821,-3.35255582652894
