"gene1","gene2","cor","p.adj","log10padj"
"FBgn0000182","FBgn0002865",0.96786702230017,8.09594002151519e-05,-4.09173271794764
"FBgn0000182","FBgn0031878",0.975810211948738,3.47474990473811e-05,-4.45907644831153
"FBgn0002865","FBgn0031878",0.953727797049167,0.000239169307978691,-3.62129455307292
"FBgn0002868","FBgn0031979",0.98657500064671,5.98824724947679e-06,-5.22270027632054
"FBgn0002868","FBgn0032057",0.96980100840075,6.73020927201315e-05,-4.17197143142721
"FBgn0031979","FBgn0032057",0.973195892100684,4.71815532927178e-05,-4.32622776554131
"FBgn0002865","FBgn0032061",0.987046224513466,5.38146102469912e-06,-5.26909980076037
"FBgn0032039","FBgn0032065",0.961237852004357,0.000141400684825694,-3.84954848717774
"FBgn0032039","FBgn0032072",0.951330140085132,0.000277799246876227,-3.5562689359848
"FBgn0032065","FBgn0032072",0.972160406670232,5.28221762307034e-05,-4.27718371018104
"FBgn0001281","FBgn0032090",0.968468796942165,7.65304391002429e-05,-4.11616579485995
"FBgn0002862","FBgn0032269",0.989701916862379,2.70924843167606e-06,-5.5671511693636
"FBgn0032065","FBgn0032269",0.954351454328168,0.000229737669291744,-3.63876778920089
"FBgn0032072","FBgn0032269",0.966434098838134,9.21800930046964e-05,-4.03536285803178
"FBgn0002869","FBgn0032281",0.960231056536058,0.00015259056039767,-3.81647233200371
"FBgn0032057","FBgn0032284",0.956798638671497,0.0001950982357417,-3.70974665787923
"FBgn0032065","FBgn0032312",0.977479672880508,2.80737031172688e-05,-4.55170029711541
"FBgn0002865","FBgn0032360",0.986592974645136,5.96430820592236e-06,-5.22443992245028
"FBgn0032061","FBgn0032360",0.984845220218701,8.60279425574989e-06,-5.06536046355297
"FBgn0032039","FBgn0032370",0.978138323740836,2.56946206282333e-05,-4.59015779013219
"FBgn0032065","FBgn0032370",0.954855523575551,0.000222296215032213,-3.6530679318337
"FBgn0032039","FBgn0032374",0.972810509448442,4.92316792246624e-05,-4.30775535078895
"FBgn0032065","FBgn0032374",0.974050845335445,4.28369828612387e-05,-4.36818112544194
"FBgn0032072","FBgn0032374",0.954900556999679,0.000221639235986895,-3.65435335556703
"FBgn0032370","FBgn0032374",0.962980160327374,0.000123340791880709,-3.90889326761461
"FBgn0032065","FBgn0032385",0.964650649630077,0.000107522295571186,-3.96850147212455
"FBgn0032312","FBgn0032385",0.968198576158702,7.84988463247966e-05,-4.10513672591024
"FBgn0002862","FBgn0032424",0.984637495471302,8.96001414236793e-06,-5.04769130485266
"FBgn0032039","FBgn0032424",0.966597581956895,9.08510204341026e-05,-4.04167019035472
"FBgn0032065","FBgn0032424",0.974001387137332,4.30807747543243e-05,-4.36571649505599
"FBgn0032269","FBgn0032424",0.967108268633114,8.67809867882941e-05,-4.0615754158077
"FBgn0032370","FBgn0032424",0.967729590344963,8.19940853438704e-05,-4.08621747438658
"FBgn0000182","FBgn0032457",0.963299327372151,0.000120207210674757,-3.92006948023401
"FBgn0002862","FBgn0032457",0.967618338408853,8.28380425450184e-05,-4.08177017199419
"FBgn0002865","FBgn0032457",0.982253768062822,1.37866938222674e-05,-4.86053986920467
"FBgn0032061","FBgn0032457",0.970050930051741,6.56573779556942e-05,-4.18271646492241
"FBgn0032065","FBgn0032457",0.96677698454133,8.94071717895523e-05,-4.04862764290763
"FBgn0032072","FBgn0032457",0.95341667679172,0.000243968249985757,-3.61266668904319
"FBgn0032269","FBgn0032457",0.974896432100451,3.88090927192512e-05,-4.41106651009762
"FBgn0032360","FBgn0032457",0.983663969226652,1.07657275813526e-05,-4.96795661387684
"FBgn0032424","FBgn0032457",0.96055192033143,0.000148963232350796,-3.82692091251147
"FBgn0000182","FBgn0032464",0.961066126731713,0.00014326962849394,-3.84384586525843
"FBgn0002865","FBgn0032464",0.981322087805908,1.60627997703656e-05,-4.79417875427244
"FBgn0031878","FBgn0032464",0.96616294886604,9.44126871045417e-05,-4.02496964162072
"FBgn0032061","FBgn0032464",0.974324631937675,4.15039331905862e-05,-4.38191074468485
"FBgn0032090","FBgn0032464",0.962699880652837,0.000126136652523081,-3.89915869871169
"FBgn0032360","FBgn0032464",0.959431130903879,0.000161886244743994,-3.79079005109572
"FBgn0032457","FBgn0032464",0.978473978076779,2.45354108103176e-05,-4.61020666598303
"FBgn0002862","FBgn0032471",0.984807149957563,8.66754158737202e-06,-5.06210406589621
"FBgn0032090","FBgn0032471",0.967244986794679,8.57122243626559e-05,-4.06695723414865
"FBgn0032269","FBgn0032471",0.99272241082298,9.58360995277603e-07,-6.01847087012214
"FBgn0032424","FBgn0032471",0.964598223174891,0.000107997103167296,-3.96658789354389
"FBgn0032457","FBgn0032471",0.966684105998401,9.01527582633142e-05,-4.04502098130751
"FBgn0002962","FBgn0032483",0.951612274220642,0.000273054847045643,-3.56375010982065
"FBgn0031886","FBgn0032483",0.968407720570002,7.69724572848227e-05,-4.11366464871135
"FBgn0032065","FBgn0032519",0.953245231372627,0.000246639638836875,-3.60793712423381
"FBgn0032090","FBgn0032519",0.950826499346642,0.000286402797408274,-3.5430227444192
"FBgn0032269","FBgn0032519",0.972043689565611,5.34846059148333e-05,-4.27177119981575
"FBgn0032385","FBgn0032519",0.953307993717902,0.000245659479596719,-3.60966647249349
"FBgn0032471","FBgn0032519",0.978338168918115,2.50001676725595e-05,-4.60205707856704
"FBgn0000182","FBgn0032520",0.961720716198877,0.00013623190934334,-3.86572115653018
"FBgn0002865","FBgn0032520",0.954598983013423,0.000226063291129178,-3.64576995403836
"FBgn0031878","FBgn0032520",0.99308787915381,8.2133404774324e-07,-6.0854801734706
"FBgn0032061","FBgn0032520",0.95571791120237,0.000209936455070971,-3.67791214044827
"FBgn0032464","FBgn0032520",0.967941728568608,8.04005979670502e-05,-4.09474072124129
"FBgn0001281","FBgn0032530",0.965173383715892,0.000102863296901446,-3.9877395600931
"FBgn0032464","FBgn0032553",0.973062297351636,4.78857064055096e-05,-4.31979410152472
"FBgn0032520","FBgn0032553",0.956363034108904,0.00020099285163736,-3.69681938810018
"FBgn0032065","FBgn0032554",0.968673674311849,7.50599778448109e-05,-4.12459156811209
"FBgn0032312","FBgn0032554",0.961335602438717,0.000140344056778373,-3.85280597393092
"FBgn0032385","FBgn0032554",0.95324616307324,0.000246625069674752,-3.60796277904596
"FBgn0032424","FBgn0032554",0.95325165263312,0.00024653923999321,-3.6081139471525
"FBgn0002862","FBgn0032563",0.975212610822083,3.73700248075084e-05,-4.42747661385065
"FBgn0032039","FBgn0032563",0.952039123149522,0.000265978796221653,-3.57515298386134
"FBgn0032065","FBgn0032563",0.967579228421885,8.31360895195397e-05,-4.08021040730186
"FBgn0032072","FBgn0032563",0.973509168290251,4.55572964546992e-05,-4.3414420565342
"FBgn0032269","FBgn0032563",0.987001796258215,5.43684041270496e-06,-5.26465341463463
"FBgn0032424","FBgn0032563",0.960672933878243,0.000147610108596297,-3.83088390025507
"FBgn0032457","FBgn0032563",0.966824170766008,8.90299486890045e-05,-4.0504638769225
"FBgn0032471","FBgn0032563",0.962588030110554,0.000127263965429051,-3.89529454866915
"FBgn0032519","FBgn0032563",0.954158352341428,0.000232631280106342,-3.63333188950345
"FBgn0002862","FBgn0032588",0.96853014236421,7.60881666424282e-05,-4.11868288017424
"FBgn0032065","FBgn0032588",0.97713973645744,2.93567319510904e-05,-4.53229229257765
"FBgn0032072","FBgn0032588",0.951860615652464,0.000268923113771586,-3.57037186883637
"FBgn0032269","FBgn0032588",0.97093500913323,6.00530476493475e-05,-4.22146494756651
"FBgn0032312","FBgn0032588",0.95305649860661,0.000249602585559533,-3.60275092023792
"FBgn0032360","FBgn0032588",0.956949858889389,0.00019307888982518,-3.71426520697466
"FBgn0032424","FBgn0032588",0.965739731830408,9.79683058568166e-05,-4.00891440203989
"FBgn0032457","FBgn0032588",0.974022889688682,4.29746706907656e-05,-4.3667874425695
"FBgn0032554","FBgn0032588",0.955012386036128,0.000220013331428115,-3.65755100285847
"FBgn0032563","FBgn0032588",0.986810623793758,5.67945650185781e-06,-5.24569322230617
"FBgn0002865","FBgn0032590",0.954079509387497,0.000233819599812288,-3.63111908712819
"FBgn0032061","FBgn0032590",0.971162297083856,5.8665295144537e-05,-4.23161874005532
"FBgn0032065","FBgn0032590",0.951133026460161,0.000281145920771542,-3.55106821341462
"FBgn0032360","FBgn0032590",0.967006253595055,8.75841784747945e-05,-4.05757433928482
"FBgn0032424","FBgn0032590",0.957845904757558,0.000181395556937297,-3.74137335465876
"FBgn0032457","FBgn0032590",0.958590779209721,0.000172046055655232,-3.76435527960686
"FBgn0032464","FBgn0032590",0.966687122510607,9.012847875645e-05,-4.04513795915936
"FBgn0002865","FBgn0032626",0.964370765239846,0.000110073149110882,-3.95831860850472
"FBgn0031878","FBgn0032626",0.969607310632262,6.85953808548073e-05,-4.16370512827007
"FBgn0032061","FBgn0032626",0.968905452202698,7.34191106312683e-05,-4.13419088066385
"FBgn0032457","FBgn0032626",0.958599146091162,0.000171942883971919,-3.76461579318119
"FBgn0032464","FBgn0032626",0.978682485941254,2.38330762021421e-05,-4.62281989842599
"FBgn0032520","FBgn0032626",0.988556693319608,3.7141532043097e-06,-5.43014018610673
"FBgn0032553","FBgn0032626",0.973450434682173,4.58589490274508e-05,-4.33857590243663
"FBgn0032065","FBgn0032632",0.952065847858295,0.000265539831677757,-3.57587032437398
"FBgn0032219","FBgn0032632",0.960682445192317,0.000147504102152252,-3.83119590160233
"FBgn0032590","FBgn0032632",0.963234959496395,0.000120834891345264,-3.91780764410267
"FBgn0032464","FBgn0032637",0.952565153232138,0.000257426008177747,-3.58934757772117
"FBgn0032520","FBgn0032637",0.966770954313235,8.94554555222556e-05,-4.04839316844526
"FBgn0032553","FBgn0032637",0.96449532086192,0.00010893307548546,-3.9628402348462
"FBgn0032626","FBgn0032637",0.971721042881797,5.53443471436525e-05,-4.25692673123858
