,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,updown,symbol,genename,ensembl,refseq,entrezid,GO
1,FBgn0000047,2168.84908542851,-4.24776685784137,1.21351436699361,-3.50038448112065,0.000464587549361334,0.00662538313847804,-1,Act88F,Actin 88F,FBgn0000047,NM_079643,41885,GO:0000281|GO:0005865|GO:0014866|GO:0030016|GO:0030018|GO:0071689
2,FBgn0000092,247.175814656314,1.28871075462392,0.238356928284727,5.40664273490092,6.42170549178294e-08,3.15021751873798e-06,1,dyw,daywake,FBgn0000092,NM_130660,31252,GO:0005615|GO:0005615|GO:0007623|GO:0010841|GO:0032504
3,FBgn0000276,1024.95263694647,5.43513976104541,1.36546989142893,3.98041714076732,6.87944414877134e-05,0.00137734302120035,1,CecA1,Cecropin A1,FBgn0000276,NM_079849,43596,GO:0002213|GO:0005576|GO:0005615|GO:0005615|GO:0006959|GO:0009617|GO:0019731|GO:0019731|GO:0019731|GO:0050829|GO:0050829|GO:0050829|GO:0050830|GO:0050830
4,FBgn0000277,970.962761527683,4.54044351022945,1.27607246297653,3.55813924519501,0.000373491312993913,0.00555410451315707,1,CecA1,Cecropin A1,FBgn0000277,NM_079849,43596,GO:0002213|GO:0005576|GO:0005615|GO:0005615|GO:0006959|GO:0009617|GO:0019731|GO:0019731|GO:0019731|GO:0050829|GO:0050829|GO:0050829|GO:0050830|GO:0050830
5,FBgn0000278,14.7211017057379,3.38945544049282,1.06469108024167,3.18351069469226,0.00145500738239742,0.0159674740636893,1,CecB,Cecropin B,FBgn0000278,NM_079851,43598,GO:0002213|GO:0005576|GO:0005615|GO:0005615|GO:0006959|GO:0019731|GO:0019731|GO:0019731|GO:0050829|GO:0050829|GO:0050830|GO:0050830|GO:0050830
6,FBgn0000279,70.7169641357459,3.2024659169235,0.752685490124312,4.25471987827823,2.09310887472394e-05,0.000499466077024726,1,CecC,Cecropin C,FBgn0000279,NM_079852,43599,GO:0005576|GO:0005615|GO:0005615|GO:0006959|GO:0019731|GO:0019731|GO:0050829|GO:0050829|GO:0050830|GO:0050830|GO:0050830
7,FBgn0000351,67.6721581001315,1.18499514773401,0.264641998796063,4.47772898151053,7.54412903310868e-06,0.000204655176777962,1,cort,cortex,FBgn0000351,NM_001273215,33937,GO:0005680|GO:0005737|GO:0007143|GO:0007144|GO:0007147|GO:0007279|GO:0007343|GO:0007349|GO:0010997|GO:0010997|GO:0031145|GO:0031145|GO:0045143|GO:1904668|GO:1905786|GO:1905786|GO:1990757
8,FBgn0000357,39.7513505319799,1.46856022711653,0.51579804439119,2.84716129323428,0.00441110066239678,0.0367707766118236,1,Cp18,Chorion protein 18,FBgn0000357,NM_079254,38998,GO:0005213|GO:0007275|GO:0042600
9,FBgn0000358,44.8872816703373,2.31993581353628,0.746055256197179,3.10960320199545,0.00187338826360918,0.019351534974681,1,Cp19,Chorion protein 19,FBgn0000358,NM_079256,39000,GO:0007275|GO:0042600
10,FBgn0001086,265.003027360125,1.16326591000093,0.418715528575291,2.77817714083598,0.00546648080274869,0.0432480282783757,1,fzy,fizzy,FBgn0001086,NM_058153,34968,GO:0000278|GO:0000776|GO:0005680|GO:0005680|GO:0005680|GO:0005813|GO:0005819|GO:0007144|GO:0007147|GO:0010997|GO:0030163|GO:0030718|GO:0031145|GO:0031145|GO:0031145|GO:0031145|GO:0060547|GO:0097150|GO:1904668|GO:1905786|GO:1990757
