gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	updown	symbol	genename	ensembl	refseq	entrezid	GO
1	FBgn0000146	32.6756562172748	1.07869656272902	0.344978093868926	3.12685524646346	0.0017668689824185	0.040057934407544	1	aub	aubergine	FBgn0000146	NM_001103674	34524	GO:0000398|GO:0001556|GO:0003723|GO:0003723|GO:0004521|GO:0004521|GO:0005737|GO:0007076|GO:0007279|GO:0007317|GO:0007318|GO:0010529|GO:0030717|GO:0031047|GO:0031047|GO:0031507|GO:0034584|GO:0034584|GO:0034584|GO:0035194|GO:0035194|GO:0035282|GO:0043186|GO:0043186|GO:0045089|GO:0046011|GO:0046012|GO:0046012|GO:0046594|GO:0046843|GO:0046843|GO:0048477|GO:0048477|GO:0050829|GO:0060213|GO:0071011|GO:0071013|GO:0098795|GO:1990511
2	FBgn0000337	52.1676891586617	-1.74677288260665	0.271063774233714	-6.44413989860766	1.16257811651472e-10	1.22642303141333e-07	-1	cn	cinnabar	FBgn0000337	NM_078927	35724	GO:0004502|GO:0004502|GO:0004502|GO:0005741|GO:0005741|GO:0006569|GO:0006569|GO:0006727|GO:0016174|GO:0019674|GO:0019674|GO:0019805|GO:0048072|GO:0050660|GO:0070189|GO:0070189|GO:0071949|GO:1901216
3	FBgn0001233	38998.5628875009	1.69794620056536	0.414710695054688	4.09429084133326	4.23462484362e-05	0.00291337586387965	1	Hsp83	Heat shock protein 83	FBgn0001233	NM_001274433	38389	GO:0002052|GO:0005158|GO:0005515|GO:0005524|GO:0005705|GO:0005737|GO:0005737|GO:0005813|GO:0005829|GO:0005886|GO:0005886|GO:0006457|GO:0006457|GO:0006457|GO:0007098|GO:0008285|GO:0009408|GO:0009631|GO:0010529|GO:0016887|GO:0019094|GO:0030911|GO:0032991|GO:0034605|GO:0034605|GO:0034663|GO:0043248|GO:0045187|GO:0045187|GO:0046628|GO:0048471|GO:0048471|GO:0048477|GO:0050821|GO:0051082|GO:0051082|GO:0070922|GO:0070922|GO:0097718|GO:0101031
4	FBgn0001259	55.2252415076284	1.08847377673891	0.303039448506599	3.59185506079487	0.000328332451500345	0.0130293432712942	1	in	inturned	FBgn0001259	NM_176370	40246	GO:0001736|GO:0001737|GO:0005737|GO:0005886|GO:0005929|GO:0007399|GO:0016192|GO:0035316|GO:0060271
5	FBgn0001311	306.347896506218	3.94333773351616	1.09580544774811	3.59857467547708	0.000319965980233269	0.0127774427248358	1	kkv	krotzkopf verkehrt	FBgn0001311	NM_079509	45884	GO:0001838|GO:0004100|GO:0004100|GO:0005737|GO:0006031|GO:0006035|GO:0006035|GO:0006038|GO:0007424|GO:0007443|GO:0008362|GO:0009611|GO:0016021|GO:0030428|GO:0035002|GO:0035149|GO:0035149|GO:0035158|GO:0035159|GO:0045177|GO:0060439|GO:0071944
6	FBgn0002939	146.266995890828	1.25179938841396	0.258212836170542	4.84793632640008	1.24752426076644e-06	0.000179459200193664	1	ninaD	neither inactivation nor afterpotential D	FBgn0002939	NM_001201907	326160	GO:0005044|GO:0005044|GO:0005044|GO:0005737|GO:0007602|GO:0007603|GO:0007604|GO:0016020|GO:0016063|GO:0046867|GO:0046867
7	FBgn0031925	7975.71052763619	-1.21289071345595	0.217763670739983	-5.5697569265545	2.55094966884936e-08	8.72769509674702e-06	-1	Cyp4d21	Cyp4d21	FBgn0031925	NM_135285	34036	GO:0004497|GO:0005506|GO:0005737|GO:0007618|GO:0016705|GO:0020037
8	FBgn0031940	514.286899295291	5.23631237588276	1.14712210086942	4.56473846324998	5.00117431849685e-06	0.000565266658016532	1	CG7214	uncharacterized protein	FBgn0031940	NM_135297	34053	NA
9	FBgn0031942	10817.5583298908	3.37163705013013	0.976929706738112	3.45125859811116	0.000557978662608563	0.018346628285615	1	CG7203	uncharacterized protein	FBgn0031942	NM_001298784	34055	NA
10	FBgn0032049	17.4686072362282	2.04457806475545	0.673963779676329	3.0336616394094	0.00241605242383814	0.0482763087685299	1	Bace	beta-site APP-cleaving enzyme	FBgn0032049	NM_001298827	34182	GO:0004190|GO:0005764|GO:0006508|GO:0008219|GO:0030424|GO:0043025|GO:1902944
11	FBgn0032109	167.590123054873	1.43365544658602	0.330567312266212	4.33695466365855	1.44470408650487e-05	0.00133492766650111	1	CG17005	uncharacterized protein	FBgn0032109	NM_001273356	34249	NA
12	FBgn0032187	58.3356778445353	1.98676802726776	0.471123651464112	4.21708403111046	2.47481770160911e-05	0.00191659522787495	1	CG4839	uncharacterized protein	FBgn0032187	NM_135505	34348	GO:0004692|GO:0005524|GO:0005737|GO:0005886|GO:0006468
13	FBgn0032377	136.365982525886	1.23658990222997	0.317585883961829	3.89371809226445	9.87193669337946e-05	0.00545715487342753	1	CG14937	uncharacterized protein	FBgn0032377	NM_135674	34591	GO:0019005|GO:0031146
14	FBgn0032414	1314.46227258406	1.33360352541979	0.166674871862376	8.00122724270605	1.23185206833863e-15	3.11880306661974e-12	1	CG17211	uncharacterized protein	FBgn0032414	NM_135708	34639	GO:0005178|GO:0005615|GO:0030513|GO:0031012|GO:0036122|GO:0060562|GO:0070700
15	FBgn0032538	752.469105962255	3.00868206466048	0.692348684699182	4.34561678407423	1.38884855387957e-05	0.0013023284328564	1	Vajk2	Vajk2	FBgn0032538	NM_135845	34811	GO:0005214|GO:0008061|GO:0040003|GO:0062129
16	FBgn0032639	28.1219467209361	1.97377867494263	0.393501840334161	5.01593251321647	5.27768531699922e-07	0.000102668613843502	1	CG18563	uncharacterized protein	FBgn0032639	NM_135997	35050	GO:0005615|GO:0006508
17	FBgn0033308	997.497424058247	5.03405796348879	1.02925052981129	4.89099380343462	1.00328123410947e-06	0.000151196870745141	1	CG8736	uncharacterized protein	FBgn0033308	NM_136550	35841	GO:0042302
18	FBgn0033623	40.9698807244131	2.73977522542224	0.895348637073587	3.06000937732713	0.00221330061485725	0.046318619122333	1	CG13202	uncharacterized protein	FBgn0033623	NM_136831	36222	GO:0003341|GO:0003351|GO:0005575|GO:0007368|GO:0036157|GO:0036159|GO:0042803
19	FBgn0033667	39.1899976706091	1.63390642111806	0.502769145535631	3.24981442402827	0.00115480339705377	0.030392216638885	1	reb	rebuf	FBgn0033667	NM_136869	36275	GO:0005737|GO:0006355|GO:0045177|GO:0060439
20	FBgn0033724	54.1316474183625	-1.31983563332598	0.398207144327985	-3.31444488660126	0.000918252798050402	0.0260631438800898	-1	CG8501	uncharacterized protein	FBgn0033724	NM_001299414	36347	NA
21	FBgn0033730	665.43889612185	1.22651184854365	0.224565963627045	5.4616996660305	4.71597433092596e-08	1.45608583061443e-05	1	Cpr49Ag	Cuticular protein 49Ag	FBgn0033730	NM_136932	36353	GO:0008010|GO:0008010|GO:0040003|GO:0062129|GO:0062129
22	FBgn0033774	64.6587306379901	5.30447201250129	1.5018136302223	3.53204412701736	0.000412360538782816	0.0150002070702634	1	CG12374	uncharacterized protein	FBgn0033774	NM_136975	36410	GO:0004181|GO:0005615|GO:0006508|GO:0008270
23	FBgn0033936	3331.57658717979	-2.31721676664353	0.163727399896192	-14.1528954109863	1.79223380335052e-45	1.13439438583071e-41	-1	Achl	Achilles	FBgn0033936	NM_001299490	36605	GO:0003723|GO:0003729|GO:0005634|GO:0005844|GO:0010629
24	FBgn0034098	45.9320944477653	-1.01456375986289	0.278689261281941	-3.64048386793234	0.000272126158251932	0.0111483658165411	-1	krimp	krimper	FBgn0034098	NM_137259	36804	GO:0007310|GO:0007319|GO:0030717|GO:0030719|GO:0034587|GO:0043186|GO:0043186|GO:0046872|GO:0048471
25	FBgn0034168	17.0070515484373	2.48930891118237	0.579988970356469	4.29199353507087	1.77076105665314e-05	0.00152490232763075	1	CG15614	uncharacterized protein	FBgn0034168	NM_137324	36899	GO:0004930|GO:0007186|GO:0016021
26	FBgn0034289	433.249233143383	7.19356173460128	1.57119590068481	4.57839899624607	4.68548313422238e-06	0.00053435613510019	1	CG10910	uncharacterized protein	FBgn0034289	NM_137436	37052	NA
27	FBgn0034394	3150.90507710583	-1.00349706953628	0.248056247901841	-4.04544162069795	5.22245794744605e-05	0.00344328620607914	-1	CG15096	uncharacterized protein	FBgn0034394	NM_137532	37170	GO:0005886|GO:0006820|GO:0016021|GO:0022857|GO:0055085
28	FBgn0034709	4035.8515544665	1.04077362684954	0.243013970309619	4.28277281970048	1.84578603146786e-05	0.00155772035815677	1	Swim	Secreted Wg-interacting molecule	FBgn0034709	NM_137808	37537	GO:0005615|GO:0005615|GO:0005764|GO:0017147|GO:0035593|GO:0042600|GO:0090263
