gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	updown	symbol	genename	ensembl	refseq	entrezid	GO	degree	betweenness	rank
FBgn0000337	75.466972396837	-1.23531473104937	0.333854310998744	-3.7001610892903	0.000215462652627534	0.0128145667963639	-1	cn	cinnabar	FBgn0000337	NM_078927	35724	GO:0004502|GO:0004502|GO:0004502|GO:0005741|GO:0005741|GO:0006569|GO:0006569|GO:0006727|GO:0016174|GO:0019674|GO:0019674|GO:0019805|GO:0048072|GO:0050660|GO:0070189|GO:0070189|GO:0071949|GO:1901216	9	51.7494325817038	47.75
FBgn0000658	68.2843227547382	1.06079524302236	0.291579526623802	3.63809920163224	0.000274657639458215	0.015209152834748	1	fj	four-jointed	FBgn0000658	NM_058135	37089	GO:0001736|GO:0001736|GO:0001737|GO:0004672|GO:0005615|GO:0005737|GO:0005886|GO:0006468|GO:0007267|GO:0007267|GO:0007267|GO:0007267|GO:0007446|GO:0007474|GO:0016348|GO:0017147|GO:0035159|GO:0043393|GO:0090175|GO:0090175	14	7.84318720001106	43.25
FBgn0001311	155.237643613636	2.6953256196281	0.805550326638227	3.34594317759935	0.000820031985280693	0.0309929863895474	1	kkv	krotzkopf verkehrt	FBgn0001311	NM_079509	45884	GO:0001838|GO:0004100|GO:0004100|GO:0005737|GO:0006031|GO:0006035|GO:0006035|GO:0006038|GO:0007424|GO:0007443|GO:0008362|GO:0009611|GO:0016021|GO:0030428|GO:0035002|GO:0035149|GO:0035149|GO:0035158|GO:0035159|GO:0045177|GO:0060439|GO:0071944	17	13.6688082783586	47
FBgn0031940	344.108451956314	4.66583230553889	0.888177336683014	5.25326656381923	1.49425028243602e-07	5.35807746675829e-05	1	CG7214	uncharacterized protein	FBgn0031940	NM_135297	34053	NA	18	20.6687967031236	48.25
FBgn0031942	7077.18852189465	2.62549501097296	0.669108750142232	3.92386889338222	8.7138169198655e-05	0.00677639570909674	1	CG7203	uncharacterized protein	FBgn0031942	NM_001298784	34055	NA	21	43.7220428716642	55
FBgn0033308	558.685179464727	4.49701723161177	0.929019049714373	4.84060820173104	1.29442353645431e-06	0.000269989046823954	1	CG8736	uncharacterized protein	FBgn0033308	NM_136550	35841	GO:0042302	19	27.8866973930156	51.5
FBgn0033702	116.333976742132	1.0243695665768	0.198248407437605	5.16710111227099	2.37752658202161e-07	7.48398977257826e-05	1	CG8854	uncharacterized protein	FBgn0033702	NM_001273985	36324	GO:0003674|GO:0005575|GO:0008150	21	38.1118135863616	53.75
FBgn0033728	548.450534126061	1.27103692476258	0.292942884419079	4.33885577143515	1.4322647628922e-05	0.00179464165338706	1	Cpr49Ae	Cuticular protein 49Ae	FBgn0033728	NM_136930	36351	GO:0008010|GO:0008010|GO:0040003|GO:0062129|GO:0062129	9	1.69463654680373	35.75
FBgn0034098	57.0189787059684	-1.20841836385795	0.253250400299402	-4.77163456574722	1.82736829624355e-06	0.000343513723806339	-1	krimp	krimper	FBgn0034098	NM_137259	36804	GO:0007310|GO:0007319|GO:0030717|GO:0030719|GO:0034587|GO:0043186|GO:0043186|GO:0046872|GO:0048471	8	4.1254495737689	36.25
FBgn0034253	522.952973965018	1.0263106516052	0.236948054919356	4.33137403028904	1.48181715560786e-05	0.00183646997326846	1	CG10936	uncharacterized protein	FBgn0034253	NM_137395	37000	NA	4	49.5	42
