gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,updown,symbol,genename,ensembl,refseq,entrezid,GO,degree,betweenness,rank
FBgn0002936,3646.38357069764,-0.643734646414096,0.0913628899186519,-7.04590941669279,1.8425409581194e-12,3.39711908649843e-09,-1,ninaA,neither inactivation nor afterpotential A,FBgn0002936,NM_057308,33271,GO:0000413|GO:0003755|GO:0003755|GO:0005737|GO:0005788|GO:0006457|GO:0006458|GO:0006491|GO:0006517|GO:0016018|GO:0016018|GO:0016021|GO:0016063|GO:0016063|GO:0030176|GO:0031410|GO:0043231|GO:0070059,2,0,73.75
FBgn0002940,766082.832944967,-0.308343544754097,0.0725170078298588,-4.25201692653316,2.11853843649659e-05,0.00227848808845208,-1,ninaE,neither inactivation nor afterpotential E,FBgn0002940,NM_079683,42367,GO:0005515|GO:0005769|GO:0005887|GO:0007186|GO:0007601|GO:0007602|GO:0007602|GO:0007602|GO:0008020|GO:0008020|GO:0008020|GO:0008344|GO:0008594|GO:0009584|GO:0009589|GO:0009642|GO:0016027|GO:0016027|GO:0016028|GO:0016029|GO:0030265|GO:0031410|GO:0042052|GO:0042331|GO:0043052|GO:0046673|GO:0071482|GO:0071482|GO:0071632|GO:0097038,4,35.8333333333333,117.25
FBgn0031850,4014.49767689925,0.46387522946741,0.107302693979571,4.32305296599286,1.53884770538735e-05,0.00183892300793788,1,Tsp,Thrombospondin,FBgn0031850,NM_001144330,33941,GO:0005509|GO:0005576|GO:0005927|GO:0007517|GO:0008201|GO:0016203|GO:0032991|GO:0033627|GO:0062023|GO:0062023,4,29.1666666666667,116.25
FBgn0031940,344.108451956314,4.66583230553889,0.888177336683014,5.25326656381923,1.49425028243602e-07,5.35807746675829e-05,1,CG7214,uncharacterized protein,FBgn0031940,NM_135297,34053,NA,1,0,46.5
FBgn0031942,7077.18852189465,2.62549501097296,0.669108750142232,3.92386889338222,8.7138169198655e-05,0.00677639570909674,1,CG7203,uncharacterized protein,FBgn0031942,NM_001298784,34055,NA,1,0,46.5
FBgn0032074,154.555668602059,0.448205947256785,0.140671972402953,3.1861780253774,0.00144165856138977,0.0438821825313594,1,Tsp29Fa,Tetraspanin 29Fa,FBgn0032074,NM_001169444,34211,GO:0003674|GO:0005887|GO:0008150|GO:0016021,1,0,46.5
FBgn0032083,560.884904365206,0.40540160901927,0.111086700530637,3.64941624049283,0.000262836921753279,0.014748579618034,1,CG9541,uncharacterized protein,FBgn0032083,NM_001273344,34220,GO:0004127|GO:0005524|GO:0005634|GO:0005737|GO:0006225|GO:0033862|GO:0046705,1,0,46.5
FBgn0033188,10663.7236126549,0.476735337546647,0.0898380247798824,5.30660974253079,1.11682932764156e-07,4.23935273604175e-05,1,Drat,Death resistor Adh domain containing target,FBgn0033188,NM_001273850,35687,GO:0001666|GO:0001666|GO:0006066|GO:0008106|GO:0016616|GO:0071361,1,0,46.5
FBgn0033308,558.685179464727,4.49701723161177,0.929019049714373,4.84060820173104,1.29442353645431e-06,0.000269989046823954,1,CG8736,uncharacterized protein,FBgn0033308,NM_136550,35841,GO:0042302,1,0,46.5
FBgn0033375,647.200816720681,-0.280597168696649,0.0852804451533089,-3.29028733600321,0.00100085123792693,0.034171920837791,-1,CG8078,uncharacterized protein,FBgn0033375,NM_136607,35920,GO:0000049|GO:0000049|GO:0002098|GO:0002143|GO:0002144|GO:0005829|GO:0016783|GO:0034227,2,0,73.75
FBgn0033638,5521.85257344676,0.278792495796603,0.0532256887648305,5.23793119950792,1.6238657146565e-07,5.66421916577209e-05,1,CG9005,uncharacterized protein,FBgn0033638,NM_001169647,36243,GO:0003674|GO:0005575|GO:0034976,3,0.5,106.25
FBgn0033728,548.450534126061,1.27103692476258,0.292942884419079,4.33885577143515,1.4322647628922e-05,0.00179464165338706,1,Cpr49Ae,Cuticular protein 49Ae,FBgn0033728,NM_136930,36351,GO:0008010|GO:0008010|GO:0040003|GO:0062129|GO:0062129,1,0,46.5
FBgn0033778,879.698865795558,0.436708415810541,0.133439316840394,3.27271171758834,0.00106521061862184,0.0355729532588832,1,Balat,Beta-alanine transporter,FBgn0033778,NM_136979,36417,GO:0001694|GO:0001761|GO:0001762|GO:0005887|GO:0055085,1,0,46.5
FBgn0034253,522.952973965018,1.0263106516052,0.236948054919356,4.33137403028904,1.48181715560786e-05,0.00183646997326846,1,CG10936,uncharacterized protein,FBgn0034253,NM_137395,37000,NA,1,0,46.5
FBgn0034408,1885.77299866131,0.335184756186696,0.102107694294229,3.28265914242312,0.00102832923499905,0.0348231508138028,1,sano,serrano,FBgn0034408,NM_001144234,37185,GO:0003674|GO:0035159|GO:0042067|GO:0045179,2,0,73.75
FBgn0034709,3182.62871734238,0.606406999327841,0.191045139775084,3.1741555950691,0.00150273110747642,0.0452080365340108,1,Swim,Secreted Wg-interacting molecule,FBgn0034709,NM_137808,37537,GO:0005615|GO:0005615|GO:0005764|GO:0017147|GO:0035593|GO:0042600|GO:0090263,3,33,114.5
FBgn0035099,409.31711378211,-0.640713184528768,0.138055825403003,-4.64097174210827,3.46774549620141e-06,0.000573778504794557,-1,CG6845,uncharacterized protein,FBgn0035099,NM_001144386,38019,GO:0016021,2,0,73.75
FBgn0035262,223.607366098647,0.520860174744943,0.156062315347577,3.33751407945537,0.000845314390201458,0.0309932599998296,1,CG18171,uncharacterized protein,FBgn0035262,NM_139394,38216,GO:0003674|GO:0005575|GO:0008150,2,0,73.75
FBgn0035308,236.91588563208,0.614911807554583,0.127786539747001,4.81202330677411,1.49409924629908e-06,0.000292164316253575,1,CG15822,uncharacterized protein,FBgn0035308,NM_001144400,38273,GO:0005546|GO:0010314|GO:0032266|GO:0043325|GO:0070273|GO:0080025,1,0,46.5
FBgn0035515,813.695374632481,-0.329590584281894,0.0846196679401656,-3.89496428318469,9.82132007135223e-05,0.00725107545361665,-1,CG14997,uncharacterized protein,FBgn0035515,NM_139620,38514,GO:0005739|GO:0070221|GO:0070224|GO:0071949,1,0,46.5
FBgn0035692,1112.42909205454,-0.278049941105403,0.0715354604262831,-3.88688266558278,0.000101539803878994,0.00736220622956345,-1,Sf3b6,Splicing factor 3b subunit 6,FBgn0035692,NM_139780,38720,GO:0000398|GO:0000398|GO:0003723|GO:0003729|GO:0005684|GO:0005686|GO:0005689|GO:0071011|GO:0071011|GO:0071013|GO:0071013,1,0,46.5
FBgn0035720,64147.321885431,0.222522796085662,0.0709737720075982,3.13528208789354,0.00171688930382087,0.0489174425620448,1,CG10077,uncharacterized protein,FBgn0035720,NM_001274562,38756,GO:0003723|GO:0003724|GO:0003724|GO:0005524|GO:0005634|GO:1990904,1,0,46.5
FBgn0036043,7855.56512974077,0.385014970630363,0.0999411297954423,3.85241763244427,0.00011695732436483,0.00829368806732139,1,Ae2,Anion exchanger 2,FBgn0036043,NM_001169931,39147,GO:0005452|GO:0005886|GO:0015701|GO:0016021|GO:0022857|GO:0050801|GO:0051452|GO:0051453|GO:0055085,1,0,46.5
FBgn0036417,117.546066386828,0.992925098692695,0.248563343069203,3.99465619681601,6.47881977737204e-05,0.00546507503573618,1,CG7906,uncharacterized protein,FBgn0036417,NM_001274906,39575,NA,1,0,46.5
FBgn0036615,2155.19394235762,-0.708916332979664,0.119641636092792,-5.92533131551159,3.11668367730184e-09,2.11704839680303e-06,-1,NA,NA,FBgn0036615,NA,NA,NA,2,0,73.75
FBgn0036991,823.286477111243,-0.279286022344206,0.0821802565521827,-3.3984564427207,0.000677672530937274,0.0272462357765622,-1,CtIP,CTBP-interacting protein,FBgn0036991,NM_001300200,40262,NA,1,0,46.5
FBgn0037140,631.624274746829,0.480296992647583,0.124224408992272,3.86636568886766,0.00011046925676391,0.00796489512734648,1,SLC22A,SLC22A family member,FBgn0037140,NM_141113,40437,GO:0007613|GO:0015220|GO:0015870|GO:0016021|GO:0032223|GO:0055085|GO:0090328,1,0,46.5
FBgn0037368,181.631765574536,-0.643690248229513,0.128664912159014,-5.00284216907551,5.64911903165383e-07,0.000148790878005152,-1,CG1239,uncharacterized protein,FBgn0037368,NM_001300256,40706,GO:0008171|GO:0008173|GO:0017069|GO:0040031,1,0,46.5
